Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_GLYCOLYSIS,-0.5710962755151572,-2.8252950953020384,0.0,0.0,200,27,ELF3;PYGB;ALDH9A1;COG2;SDC1;DSC2;CD44;PPP2CB;SOX9;PPIA;IER3;ALDH7A1;ALDOA;IDH1;FAM162A;SLC16A3;TPI1;LDHA;HSPA5;UGP2;MIF;PFKP;ERO1A;PGK1;PDK3;ANGPTL4;IGFBP3,FAM162A;SLC16A3;TPI1;LDHA;HSPA5;UGP2;MIF;PFKP;ERO1A;PGK1;PDK3;ANGPTL4;IGFBP3
HALLMARK_HYPOXIA,-0.6038496374302874,-2.7072587735921845,0.0,0.0,200,29,PKP1;S100A4;MT1E;PIM1;CDKN1A;BTG1;FOXO3;TIPARP;ANXA2;GPI;IER3;ALDOA;FAM162A;TPI1;BNIP3L;LDHA;HSPA5;UGP2;SLC2A1;MIF;PFKP;ERO1A;GAPDH;TMEM45A;PGK1;PDK3;NDRG1;ANGPTL4;IGFBP3,FAM162A;TPI1;BNIP3L;LDHA;HSPA5;UGP2;SLC2A1;MIF;PFKP;ERO1A;GAPDH;TMEM45A;PGK1;PDK3;NDRG1;ANGPTL4;IGFBP3
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.7138848919498489,2.776192642457986,0.0,0.0,97,20,CD74;TXNIP;MX1;ISG15;BST2;B2M;HLA-C;PSMB9;PARP9;PSMB8;TAP1;IFIH1;ADAR;TRIM14;PARP14;LGALS3BP;PARP12;CNP;PLSCR1;ELF1,CD74;TXNIP;MX1;ISG15;BST2;B2M;HLA-C;PSMB9;PARP9;PSMB8;TAP1;IFIH1;ADAR;TRIM14;PARP14
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6000520372560643,2.718927463699729,0.0,0.0,200,35,CD74;TXNIP;MX1;HLA-A;ISG15;HLA-B;TNFSF10;HLA-DRB1;BST2;B2M;PSMB9;PSMB8;TAP1;IFIH1;ADAR;CCL5;TRIM14;PARP14;TNFAIP2;AUTS2;PIM1;SOCS3;TAPBP;LGALS3BP;PARP12;CDKN1A;BTG1;STAT1;ZNFX1;PLSCR1;PSMA2;VAMP8;NFKBIA;UPP1;PFKP,CD74;TXNIP;MX1;HLA-A;ISG15;HLA-B;TNFSF10;HLA-DRB1;BST2;B2M;PSMB9;PSMB8;TAP1;IFIH1;ADAR;CCL5;TRIM14;PARP14;TNFAIP2;AUTS2;PIM1;SOCS3;TAPBP;LGALS3BP;PARP12;CDKN1A
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.48261179700423873,-2.232311427125952,0.0,0.0,200,22,OGDH;ATP1B1;PDP1;RHOT2;MGST3;NDUFB2;ATP6V1G1;COX5B;ATP5F1E;UQCRFS1;NDUFAB1;GPI;OAT;PRDX3;ACAT1;NDUFA3;ECH1;IDH1;ATP5ME;NDUFB1;LDHB;LDHA,MGST3;NDUFB2;ATP6V1G1;COX5B;ATP5F1E;UQCRFS1;NDUFAB1;GPI;OAT;PRDX3;ACAT1;NDUFA3;ECH1;IDH1;ATP5ME;NDUFB1;LDHB;LDHA
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.5140638208351764,-2.174639854994254,0.0,0.0031683765841882925,74,17,LGALS3;MAL2;CD9;PLSCR1;ATF5;JAG1;STX5;FADS2;ECH1;FDFT1;IDI1;ACAT2;MVD;FDPS;SCD;SQLE;PDK3,FDFT1;IDI1;ACAT2;MVD;FDPS;SCD;SQLE;PDK3
HALLMARK_ALLOGRAFT_REJECTION,0.6382234889532536,2.212291301400407,0.0,0.005727012408526885,200,14,CD74;HLA-A;INHBA;B2M;HLA-E;CTSS;TAP1;CCL5;TAPBP;DYRK3;STAT1;CDKN2A;EIF3J;TNF,CD74;HLA-A;INHBA;B2M;HLA-E;CTSS;TAP1
HALLMARK_KRAS_SIGNALING_DN,0.6746593702684907,2.1090493772884327,0.0,0.008590518612790327,200,11,MX1;CALML5;KRT5;PKP1;KLK7;BTG2;CLDN8;GPRC5C;TFCP2L1;KLK8;CAMK1D,MX1;CALML5;KRT5;PKP1;KLK7;BTG2
HALLMARK_INFLAMMATORY_RESPONSE,0.5405413329334354,2.028780946223639,0.01694915254237288,0.013744829780464525,200,16,INHBA;TNFSF10;BST2;IL1R1;BTG2;CCL5;HBEGF;AHR;RGS16;TAPBP;CDKN1A;KIF1B;MXD1;NFKBIA;CD14;CXCL8,INHBA;TNFSF10;BST2;IL1R1;BTG2;CCL5;HBEGF;AHR;RGS16
HALLMARK_MTORC1_SIGNALING,-0.4215106109996201,-2.0384941958865737,0.0,0.014785757392878698,200,33,BTG2;GSR;CTSC;IGFBP5;NUPR1;CDKN1A;CD9;DAPP1;SRD5A1;SERPINH1;SERP1;SQSTM1;PPIA;GPI;CALR;HSP90B1;TUBG1;ACSL3;ALDOA;FADS2;IDH1;SDF2L1;TPI1;ELOVL5;LDHA;HSPA5;IDI1;SLC2A1;SCD;SQLE;ERO1A;GAPDH;PGK1,SERP1;SQSTM1;PPIA;GPI;CALR;HSP90B1;TUBG1;ACSL3;ALDOA;FADS2;IDH1;SDF2L1;TPI1;ELOVL5;LDHA;HSPA5;IDI1;SLC2A1;SCD;SQLE;ERO1A;GAPDH;PGK1
