Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.47902084039434156,2.349808132989595,0.0,0.0,200,60,SFRP1;FERMT2;TPM1;MEST;ID2;FN1;DST;TGFBR3;COL4A2;EFEMP2;VEGFA;APLP1;EMP3;COL4A1;CADM1;ITGAV;TIMP1;GADD45A;CALD1;COL1A1;GPX7;COL6A2;SAT1;FUCA1;IGFBP2;LOXL1;THY1;PLAUR;CDH2;RHOB;PPIB;BMP1;CALU;WIPF1;ITGB1;MYLK;TIMP3;PMEPA1;MAGEE1;FLNA;GADD45B;PLOD1;PLOD2;FGF2;P3H1;COPA;FSTL1;PCOLCE2;SLC6A8;CD44;PMP22;SPARC;TPM2;QSOX1;DAB2;JUN;PCOLCE;PFN2;CTHRC1;PRRX1,SFRP1;FERMT2;TPM1;MEST;ID2;FN1;DST;TGFBR3;COL4A2;EFEMP2;VEGFA;APLP1;EMP3;COL4A1;CADM1;ITGAV;TIMP1;GADD45A;CALD1;COL1A1;GPX7;COL6A2;SAT1
HALLMARK_FATTY_ACID_METABOLISM,-0.34527117896288717,-2.2314923195837384,0.0,0.0,158,74,S100A10;KMT5A;GSTZ1;AUH;ACAA1;REEP6;PTS;HIBCH;CRAT;PPARA;FASN;CPT1A;HMGCS1;ECI1;ACOT8;HSPH1;ALDOA;AADAT;PTPRG;ACADS;ETFDH;HPGD;ACSL4;ACSL1;HMGCL;PCBD1;RAP1GDS1;NBN;ACAT2;EPHX1;SUCLG1;YWHAH;MCEE;HSD17B7;ACSS1;ODC1;UROD;HSD17B4;CPOX;MDH1;ERP29;SMS;PRDX6;HADHB;SDHA;ALDH9A1;HSD17B11;PDHB;MDH2;SUCLA2;ECI2;UROS;ME1;SERINC1;H2AFZ;GABARAPL1;DLST;MAOA;HSD17B10;G0S2;DHCR24;NTHL1;GLUL;APEX1;HCCS;ACO2;ELOVL5;METAP1;IDH3B;SDHC;ADSL;MIF;CCDC58;SDHD,ERP29;SMS;PRDX6;HADHB;SDHA;ALDH9A1;HSD17B11;PDHB;MDH2;SUCLA2;ECI2;UROS;ME1;SERINC1;H2AFZ;GABARAPL1;DLST;MAOA;HSD17B10;G0S2;DHCR24;NTHL1;GLUL;APEX1;HCCS;ACO2;ELOVL5;METAP1;IDH3B;SDHC;ADSL;MIF;CCDC58;SDHD
HALLMARK_MYC_TARGETS_V1,-0.5116606762677849,-3.6318411849254697,0.0,0.0,200,124,DEK;LSM7;HSPE1;TFDP1;NCBP1;XPO1;IFRD1;ABCE1;PSMD8;HNRNPA3;TRA2B;EIF3J;KPNB1;U2AF1;HNRNPR;CUL1;VDAC3;PSMA4;SNRPG;SSB;MYC;SNRPA1;MAD2L1;ORC2;PSMA7;PSMA1;VBP1;STARD7;G3BP1;TCP1;EIF4E;ETF1;ILF2;MRPS18B;CCT3;PSMB3;BUB3;RRP9;SRM;YWHAQ;SRSF7;SRSF1;IARS;ODC1;GSPT1;HSP90AB1;EPRS;PPM1G;TOMM70;SERBP1;TUFM;MRPL23;KPNA2;CANX;GLO1;USP1;PABPC4;EIF3B;PSMB2;HPRT1;NCBP2;AP3S1;PRDX3;SF3A1;CDC45;PSMC4;PWP1;CCT4;CCT7;PSMD1;EEF1B2;AIMP2;DDX21;SF3B3;RSL1D1;GOT2;RNPS1;ERH;H2AFZ;KARS;RAN;CCT2;DUT;PSMD7;HDGF;EIF4A1;CDK2;CLNS1A;HNRNPA1;PRPS2;UBE2E1;CDC20;COPS5;XPOT;SNRPA;EIF2S1;PPIA;RUVBL2;SNRPD3;PTGES3;CTPS1;APEX1;PSMA2;SLC25A3;CSTF2;NHP2;TYMS;VDAC1;HDDC2;CNBP;HDAC2;MCM2;PA2G4;NPM1;CDK4;C1QBP;UBE2L3;IMPDH2;CCT5;RACK1;RANBP1;PHB2;NOP16;PABPC1,HSP90AB1;EPRS;PPM1G;TOMM70;SERBP1;TUFM;MRPL23;KPNA2;CANX;GLO1;USP1;PABPC4;EIF3B;PSMB2;HPRT1;NCBP2;AP3S1;PRDX3;SF3A1;CDC45;PSMC4;PWP1;CCT4;CCT7;PSMD1;EEF1B2;AIMP2;DDX21;SF3B3;RSL1D1;GOT2;RNPS1;ERH;H2AFZ;KARS;RAN;CCT2;DUT;PSMD7;HDGF;EIF4A1;CDK2;CLNS1A;HNRNPA1;PRPS2;UBE2E1;CDC20;COPS5;XPOT;SNRPA;EIF2S1;PPIA;RUVBL2;SNRPD3;PTGES3;CTPS1;APEX1;PSMA2;SLC25A3;CSTF2;NHP2;TYMS;VDAC1;HDDC2;CNBP;HDAC2;MCM2;PA2G4;NPM1;CDK4;C1QBP;UBE2L3;IMPDH2;CCT5;RACK1;RANBP1;PHB2;NOP16;PABPC1
HALLMARK_MYC_TARGETS_V2,-0.5879953832771764,-2.7223605947180345,0.0,0.0,58,39,HSPE1;PLK4;HK2;TMEM97;MYC;PPAN;SLC19A1;SUPV3L1;BYSL;UTP20;RRP9;SRM;MRTO4;SORD;WDR74;TBRG4;RCL1;GRWD1;AIMP2;RABEPK;EXOSC5;NDUFAF4;PES1;DUSP2;SLC29A2;PRMT3;PUS1;RRP12;IMP4;PA2G4;NPM1;CDK4;FARSA;NIP7;IPO4;MYBBP1A;TCOF1;TFB2M;NOP16,EXOSC5;NDUFAF4;PES1;DUSP2;SLC29A2;PRMT3;PUS1;RRP12;IMP4;PA2G4;NPM1;CDK4;FARSA;NIP7;IPO4;MYBBP1A;TCOF1;TFB2M;NOP16
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.35228654262288445,-2.5083754333243427,0.0,0.0,200,123,ATP5MF;ATP5MG;ATP5MC1;NDUFB2;ATP5F1E;NDUFC1;NDUFA3;COX8A;NDUFS1;COX7A2;ATP5ME;NDUFA2;ATP6V1F;NDUFB1;COX6B1;ACAA1;NDUFC2;OPA1;ALDH6A1;GPI;NDUFA1;NDUFA4;NDUFS8;UQCR10;TIMM8B;UQCR11;NDUFB7;UQCRQ;POR;CPT1A;ECI1;ATP6V1D;NQO2;COX11;ATP1B1;COX6A1;ETFDH;VDAC3;NDUFA7;ETFA;NDUFA5;MRPS12;LRPPRC;RHOT1;NDUFB3;AIFM1;HADHA;ISCA1;FDX1;SUPV3L1;MTX2;SUCLG1;ATP5F1C;ALAS1;MAOB;ISCU;ACAT1;ATP6V0B;MRPS30;BAX;NDUFS7;FXN;TIMM9;TOMM70;UQCRB;MDH1;NDUFA8;MRPS15;HADHB;ATP5PB;COX15;MFN2;PRDX3;PHYH;IMMT;SDHA;COX4I1;PDHB;MDH2;DLAT;VDAC2;COX7A2L;PMPCA;SUCLA2;CASP7;GOT2;MRPL34;UQCRC1;DLST;NDUFB5;COX10;MRPL15;HTRA2;HSD17B10;ATP6V0E1;UQCRH;HCCS;SLC25A3;ACO2;CYCS;TIMM17A;RHOT2;SDHB;IDH3B;CS;NDUFS2;LDHB;MRPL35;VDAC1;ATP5MC2;SDHC;TOMM22;SLC25A5;COX6C;ATP5F1B;NDUFA9;NDUFV2;SDHD;ATP6V1C1;PHB2;OXA1L;ATP5MC3;MRPS22,MRPS15;HADHB;ATP5PB;COX15;MFN2;PRDX3;PHYH;IMMT;SDHA;COX4I1;PDHB;MDH2;DLAT;VDAC2;COX7A2L;PMPCA;SUCLA2;CASP7;GOT2;MRPL34;UQCRC1;DLST;NDUFB5;COX10;MRPL15;HTRA2;HSD17B10;ATP6V0E1;UQCRH;HCCS;SLC25A3;ACO2;CYCS;TIMM17A;RHOT2;SDHB;IDH3B;CS;NDUFS2;LDHB;MRPL35;VDAC1;ATP5MC2;SDHC;TOMM22;SLC25A5;COX6C;ATP5F1B;NDUFA9;NDUFV2;SDHD;ATP6V1C1;PHB2;OXA1L;ATP5MC3;MRPS22
HALLMARK_DNA_REPAIR,-0.3032593047528263,-1.8112718333417896,0.0,0.013209733487833141,150,75,VPS28;POLR2I;CETN2;POLR2J;XPC;ARL6IP1;POLA1;EDF1;STX3;POM121;RBX1;SAC3D1;NME3;POLD3;SUPT5H;AGO4;PDE4B;AC139530.1;GTF2H5;POLB;TAF6;VPS37D;NELFCD;TK2;SMAD5;DDB2;SRSF6;BCAM;POLH;UPF3B;CANT1;NELFE;BCAP31;NT5C3A;GTF2H1;VPS37B;POLD1;TAF1C;POLR2H;POLE4;ERCC4;RAE1;HPRT1;ERCC3;NCBP2;SF3A3;POLR2D;NUDT21;RFC5;EIF1B;TAF10;TMED2;POLR2C;DUT;TAF9;GMPR2;TSG101;POLR1C;RNMT;NME4;DAD1;ALYREF;PRIM1;POLR3C;TARBP2;ITPA;USP11;UMPS;RRM2B;TYMS;PNP;SEC61A1;AAAS;IMPDH2;POLR2K,HPRT1;ERCC3;NCBP2;SF3A3;POLR2D;NUDT21;RFC5;EIF1B;TAF10;TMED2;POLR2C;DUT;TAF9;GMPR2;TSG101;POLR1C;RNMT;NME4;DAD1;ALYREF;PRIM1;POLR3C;TARBP2;ITPA;USP11;UMPS;RRM2B;TYMS;PNP;SEC61A1;AAAS;IMPDH2;POLR2K
HALLMARK_MITOTIC_SPINDLE,0.33455814650205074,2.0515805966044396,0.0,0.014202810018326207,199,117,FARP1;DOCK4;DST;TUBA4A;ARHGEF7;AKAP13;HOOK3;CENPE;ARHGAP29;MAP3K11;SMC4;DYNLL2;MYO1E;SPTBN1;PCNT;PLEKHG2;BRCA2;PCM1;TUBGCP3;HDAC6;ECT2;PIF1;CEP131;CEP250;WASF2;ARHGEF12;CDC27;DLG1;TOP2A;WASL;SAC3D1;KIF1B;CD2AP;PALLD;SMC1A;CNTRL;NUMA1;TLK1;DYNC1H1;ARHGAP5;VCL;TBCD;RFC1;EPB41;ACTN4;MYH9;SHROOM2;ITSN1;CENPJ;CLIP1;SPTAN1;CTTN;CSNK1D;TAOK2;KIF11;CYTH2;SMC3;NF1;APC;NIN;MID1;TUBD1;UXT;NUSAP1;ARHGDIA;CEP57;ROCK1;STAU1;FGD6;CCDC88A;FLNA;CCNB2;KIF22;CNTROB;FBXO5;CKAP5;CDK5RAP2;KNTC1;ALS2;KLC1;STK38L;ABR;CLASP1;KIF4A;FLNB;PKD2;DLGAP5;RASAL2;EPB41L2;ARHGEF11;SEPT9;LRPPRC;LATS1;TPX2;ARFGEF1;KATNA1;TIAM1;BCL2L11;MAPRE1;CEP192;CDK1;ATG4B;KPTN;ESPL1;TUBGCP5;RALBP1;NCK1;CAPZB;MARCKS;NEK2;CDC42EP1;ARFIP2;BCR;RHOT2;ABI1;RACGAP1;MID1IP1,FARP1;DOCK4;DST;TUBA4A;ARHGEF7;AKAP13;HOOK3;CENPE;ARHGAP29;MAP3K11;SMC4;DYNLL2;MYO1E;SPTBN1;PCNT;PLEKHG2;BRCA2;PCM1;TUBGCP3;HDAC6;ECT2;PIF1;CEP131;CEP250;WASF2;ARHGEF12;CDC27;DLG1;TOP2A;WASL;SAC3D1;KIF1B;CD2AP;PALLD;SMC1A;CNTRL;NUMA1;TLK1;DYNC1H1;ARHGAP5;VCL;TBCD;RFC1;EPB41;ACTN4;MYH9;SHROOM2;ITSN1;CENPJ;CLIP1;SPTAN1;CTTN;CSNK1D;TAOK2;KIF11;CYTH2;SMC3;NF1;APC;NIN;MID1;TUBD1;UXT
HALLMARK_MTORC1_SIGNALING,-0.24332029849841816,-1.723795068896652,0.0,0.01887104783976163,200,122,CXCR4;TES;DDIT4;TUBA4A;PDK1;TM7SF2;P4HA1;ATP5MC1;FKBP2;CORO1A;STC1;UFM1;BTG2;HSPE1;NFIL3;RIT1;PPP1R15A;SQLE;STIP1;PFKL;NMT1;GPI;INSIG1;ACSL3;SLC37A4;HK2;HMGCS1;ATP6V1D;TMEM97;TCEA1;SKAP2;IFRD1;NAMPT;ALDOA;HSPA5;ATP2A2;SEC11A;PDAP1;TUBG1;SLC2A1;ERO1A;PSMA4;CALR;ACACA;ACTR2;NUP205;FADS2;ASNS;SC5D;PLOD2;FDXR;RRM2;QDPR;ACLY;SSR1;DHFR;PSME3;ETF1;GSK3B;GTF2H1;G6PD;POLR3G;RRP9;SLC9A3R1;SDF2L1;ARPC5L;SLC7A5;WARS;SORD;CCT6A;EPRS;PSMG1;MTHFD2;RPA1;PSMD12;CACYBP;CANX;PSMA3;HPRT1;FAM129A;UBE2D3;IMMT;PSMC4;YKT6;GOT1;HSPA4;PPA1;BCAT1;ME1;PSMD13;PSPH;PHGDH;DHCR24;PRDX1;COPS5;CCNG1;CTSC;PPIA;AK4;SHMT2;DDX39A;LTA4H;PITPNB;ELOVL5;CD9;PSAT1;XBP1;NUFIP1;NFYC;EEF1E1;TPI1;SERP1;PGM1;SLC1A5;ELOVL6;MCM2;SQSTM1;PNP;GAPDH;PSMB5;RPN1;M6PR,PSMD13;PSPH;PHGDH;DHCR24;PRDX1;COPS5;CCNG1;CTSC;PPIA;AK4;SHMT2;DDX39A;LTA4H;PITPNB;ELOVL5;CD9;PSAT1;XBP1;NUFIP1;NFYC;EEF1E1;TPI1;SERP1;PGM1;SLC1A5;ELOVL6;MCM2;SQSTM1;PNP;GAPDH;PSMB5;RPN1;M6PR
HALLMARK_HYPOXIA,0.36523343738186037,1.9580017591857848,0.0,0.018937080024434942,200,81,CXCR4;AKAP12;TES;IER3;DDIT4;PDK1;ANXA2;MAFF;P4HA1;ZFP36;KDM3A;VEGFA;IRS2;BNIP3L;STC1;RORA;TIPARP;EXT1;ZNF292;NFIL3;PDK3;CDKN1C;PIM1;PLIN2;IDS;NR3C1;KLF6;SAP30;VHL;PPP1R15A;DPYSL4;P4HA2;PLAUR;PFKL;TMEM45A;GPI;MYH9;ANKZF1;ERRFI1;GPC3;SLC37A4;HK2;ATF3;FOS;GAA;RBPJ;KLF7;KDELR3;WSB1;HEXA;NEDD4L;PFKFB3;ALDOA;HSPA5;SLC2A1;BCL2;PRKCA;ERO1A;LDHC;PRDX5;CDKN1B;CCNG2;SCARB1;DTNA;FOXO3;SDC2;FAM162A;XPNPEP1;HDLBP;CA12;PFKP;JUN;AK4;CITED2;SIAH2;TPI1;PGM1;DUSP1;RRAGD;MIF;GAPDH,CXCR4;AKAP12;TES;IER3;DDIT4;PDK1;ANXA2;MAFF;P4HA1;ZFP36;KDM3A;VEGFA;IRS2;BNIP3L;STC1;RORA;TIPARP;EXT1;ZNF292;NFIL3;PDK3;CDKN1C;PIM1;PLIN2;IDS;NR3C1;KLF6;SAP30;VHL;PPP1R15A;DPYSL4;P4HA2;PLAUR;PFKL;TMEM45A;GPI;MYH9;ANKZF1
HALLMARK_HEDGEHOG_SIGNALING,0.5370855893240127,1.8662573599863266,0.0,0.020830788026878436,36,14,DPYSL2;NRP2;VEGFA;CRMP1;ETS2;THY1;MYH9;PTCH1;CDK5R1;NF1;TLE3;PML;TLE1;RTN1,DPYSL2;NRP2;VEGFA;CRMP1;ETS2;THY1;MYH9;PTCH1;CDK5R1;NF1;TLE3
