gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ODAM,-5.08876181194207,7.15093656282004,980.125061468738,2.30207015454353e-138,2.24566943575721e-134,ENSG00000109205
KLK5,-2.63030227959685,7.02972206642146,397.366608668686,2.6637821242624e-71,1.29925973110898e-67,ENSG00000167754
CD99,-1.73988258701219,7.62993244658034,314.449682288269,4.83677180178591e-59,1.57275696421405e-55,ENSG00000002586
CLDN16,-2.11916960483802,6.14459236668502,245.672116150137,2.34787760378986e-44,5.72588650624253e-41,ENSG00000113946
SEC61G,-0.944183809735221,8.85871677671607,219.597065168866,8.92035621358958e-44,1.74036149727133e-40,ENSG00000132432
RBP7,-2.01742392623409,6.5073506934374,215.697467279436,4.07384718909304e-43,6.62339655493376e-40,ENSG00000162444
HERPUD1,-1.80269520857004,7.30225551536055,210.976733570316,2.58323278872166e-42,3.5999194077114e-39,ENSG00000051108
SIX3,-1.91594037597376,6.34104024302121,197.063819189236,6.30767846074943e-40,7.69142542307634e-37,ENSG00000138083
CREG1,-1.39593880016437,7.29052875040474,195.249162168339,1.299975597191e-39,1.40902910562203e-36,ENSG00000143162
FAU,-0.619093938220636,10.3748156265562,190.671803210563,8.10762198270881e-39,7.90898524413245e-36,ENSG00000149806
SAA2,2.72718326451112,9.30928145058583,183.723513429627,1.32805216532606e-37,1.17774080661416e-34,ENSG00000134339
C4orf3,-1.24684458592496,7.91356078347855,182.105259397048,2.55481554091026e-37,2.07685213346497e-34,ENSG00000164096
PNPLA4,-1.89580646272192,6.44379018397306,179.634837048739,6.95201854374669e-37,5.21668776109607e-34,ENSG00000006757
GOLGA7,-1.16488135864277,7.5032644614016,178.113419765446,1.28956781314859e-36,8.98552429804609e-34,ENSG00000147533
KLK11,-1.88624934230873,6.27929367380444,159.727959325007,2.45097114553047e-33,1.59394823497665e-30,ENSG00000167757
CTSC,2.47300856323088,7.93481184815359,159.563471720044,2.62410050373897e-33,1.59988127587335e-30,ENSG00000109861
MMP7,2.57240608506273,10.2483368299754,157.442555153412,6.3341315772423e-33,3.46428037941e-30,ENSG00000137673
CXCL10,-2.71037634109532,6.8518825433991,157.420574108233,6.39231643561046e-33,3.46428037941e-30,ENSG00000169245
UCHL1,1.81491122694548,7.52851521189257,156.392794096165,9.80510604032804e-33,5.03414786438947e-30,ENSG00000154277
PIGR,3.11818862758009,8.07471062026492,155.862282101435,1.22303634247574e-32,5.96535976042541e-30,ENSG00000162896
IFITM3,2.17863617082894,7.67931382734756,149.373341748093,1.84600696820762e-31,8.575141892793e-29,ENSG00000142089
VIM,-1.46040654567858,9.77469136547585,145.59029434883,9.0687006070642e-31,3.86229460409481e-28,ENSG00000026025
MUC15,-1.54798898687328,6.71127434665426,145.580460962751,9.10638399735323e-31,3.86229460409481e-28,ENSG00000169550
EEF1A1,-0.68306836478502,12.4612895406136,144.291147461562,1.56909832508298e-30,6.37773090049354e-28,ENSG00000156508
ALDH1A3,1.55040899985431,8.85348119345814,139.86218018911,1.02351747262373e-29,3.99376517817778e-27,ENSG00000184254
TMEM14C,-0.818948633676027,8.0396107013245,137.982087086151,2.27564200953628e-29,8.53803377039477e-27,ENSG00000111843
SAA1,2.28698260326724,9.96605076005608,136.98476610895,3.47928978526584e-29,1.25705451315808e-26,ENSG00000173432
TMSB4X,-0.79675798909645,11.3897143190301,132.571796482357,2.29074244382951e-28,7.98078304984176e-26,ENSG00000205542
ARSD,-1.60393967925851,6.55283723180657,128.352059430258,1.40164486939582e-27,4.71484334515731e-25,ENSG00000006756
NLRP2,0.973515189515156,8.52875509579611,126.61067055895,2.96777764559679e-27,9.65022364426557e-25,ENSG00000022556
PERP,-0.811157624245407,9.23778795771124,124.886057194404,6.2482315817546e-27,1.96617738967794e-24,ENSG00000112378
SOSTDC1,2.64529985076151,6.90058968222479,122.722071162282,1.59369484546186e-26,4.85827913046265e-24,ENSG00000171243
PI3,3.09949858983847,8.1173483671795,121.583479119403,2.61090918313538e-26,7.71800578226837e-24,ENSG00000124102
ANG,-1.75473102767574,6.11317913552443,143.761249390957,3.67248429217421e-26,1.05367894912234e-23,ENSG00000214274
EEF1A2,2.17263606021521,6.7454051485387,119.869509769971,5.49635074681648e-26,1.53191147243414e-23,ENSG00000101210
ERO1A,-1.24807019788097,7.21995919304685,119.614978121065,6.13960764549332e-26,1.66366312727187e-23,ENSG00000197930
IKBKE,1.86886631813098,6.68481820151788,118.043477022376,1.21684471069935e-25,3.20819463591139e-23,ENSG00000263528
PLPP5,-1.05221166581163,7.3279643502632,114.424582224966,5.90966740455681e-25,1.51707382977505e-22,ENSG00000147535
TMEM59,-0.789489082303271,8.19867952474998,111.434647164306,2.19236070542346e-24,5.48371248241175e-22,ENSG00000116209
MESP1,-1.27236054551054,7.19366664376677,111.355183355451,2.27024280708186e-24,5.53655464577089e-22,ENSG00000166823
RCAN1,1.33129196614941,8.77716999754259,109.628301561851,4.85176183792595e-24,1.15436431046263e-21,ENSG00000159200
GAL,1.27200201178771,8.2237122460829,106.111775805611,2.28945718882268e-23,5.19750209845624e-21,ENSG00000069482
PLA2G2A,3.17154024718286,8.26045719799394,106.110196297363,2.29105679378389e-23,5.19750209845624e-21,ENSG00000188257
PLIN2,-1.48184877379856,6.85418122622039,104.013106225294,5.7981596011201e-23,1.28547833883924e-20,ENSG00000147872
C12orf57,-0.850458987256778,7.59577392048842,103.520944626248,7.21245223981946e-23,1.56349936887642e-20,ENSG00000111678
NLRP7,1.13877397873102,7.72564125479245,103.348915238151,7.78449627702237e-23,1.65082089526855e-20,ENSG00000167634
HIST3H2A,-1.71644624226796,6.38586759240433,101.563043383284,1.72094519717753e-22,3.57187668052486e-20,ENSG00000181218
CUTA,-0.694262342920979,8.0583768598261,99.9580481951164,3.51619207227181e-22,7.1459278468774e-20,ENSG00000112514
ZFP36,-1.22781644446475,8.94994976607856,98.6211504518485,6.3830445945867e-22,1.27074693918762e-19,ENSG00000128016
NUPR2,-0.83489426613351,7.89346581784567,98.4643654101301,6.84582515657362e-22,1.33562048804751e-19,ENSG00000185290
LSM1,-0.825612580585981,7.57521573970406,98.134257765838,7.93319014361516e-22,1.51741705590129e-19,ENSG00000175324
POLR2C,-1.18798782211849,6.65683063692316,97.925078557327,8.71025072951964e-22,1.63400953589354e-19,ENSG00000102978
FNTA,-0.803761443401603,7.6413993253758,97.5812740918456,1.01567695167102e-21,1.86942050255676e-19,ENSG00000168522
CSTB,-0.776042013770827,10.6124297812087,96.8428042606181,1.41310882993486e-21,2.55275493259529e-19,ENSG00000160213
EIF1,-0.555794573347139,10.826645153752,95.907976793292,2.14746092125936e-21,3.80881477943364e-19,ENSG00000173812
HMGB1,0.817881354844842,10.0970548766365,95.7409676559312,2.31429234593022e-21,4.03141461331237e-19,ENSG00000189403
PDK4,-1.634116204138,6.33713351032806,93.6777237518549,5.84002646189259e-21,9.9946417782039e-19,ENSG00000004799
KLF2,-1.52261429605358,6.28136930278999,92.2970496802371,1.08647500463004e-20,1.82733856382173e-18,ENSG00000127528
MT-ATP8,1.01293387559313,7.7909690832316,92.0447990358701,1.21710751463915e-20,2.01235318733981e-18,ENSG00000228253
EIF5B,0.642347151349765,8.89624515468246,90.9940212248356,1.95391502151879e-20,3.17674017248597e-18,ENSG00000158417
PARP1,0.884328918055342,8.21254904119871,90.8174484208198,2.11581832088597e-20,3.38357503610535e-18,ENSG00000143799
LAPTM4B,1.11225596154446,7.2538560853558,89.4744493322341,3.87878966424733e-20,6.10283760882786e-18,ENSG00000104341
SPIRE1,1.46594699941265,6.64641702454752,88.2977013425811,6.60252659393415e-20,1.02234360196552e-17,ENSG00000134278
C19orf33,1.98048676460248,6.68664601042229,87.2553355711299,1.05837800587726e-19,1.61319960114573e-17,ENSG00000167644
HEBP2,-0.641191499702458,9.8828744252782,86.3484417716273,1.59649034084037e-19,2.39596358075351e-17,ENSG00000051620
CFTR,-1.55732376041524,6.0900530911421,114.841734636956,2.66239247194546e-19,3.93509675209515e-17,ENSG00000001626
KAT6A,-0.913453909831987,7.23954253804563,84.3287696222995,3.99499434278949e-19,5.81659250953903e-17,ENSG00000083168
PCAT6,-1.38609432819288,6.24769424115918,83.1008312747156,6.98604166044365e-19,1.00218877055335e-16,ENSG00000228288
ASCL2,-1.37138887788716,6.17526857826781,82.6989172786286,8.38996358530216e-19,1.18614630108149e-16,ENSG00000183734
CYC1,0.824298465678021,8.27218467530882,82.356026289805,9.80942497835181e-19,1.35785748067758e-16,ENSG00000179091
BNIP3,-1.13981553203779,6.99771549078321,82.3396557729813,9.88291964409108e-19,1.35785748067758e-16,ENSG00000176171
PLK2,1.29424776750077,7.56667509652682,81.6607358850699,1.34706514172194e-18,1.82508617465243e-16,ENSG00000145632
DCAF13,1.00874038005386,7.14814627047604,81.4708210326102,1.46904550424292e-18,1.96308751971092e-16,ENSG00000164934
CMSS1,0.985436023032497,7.42255750703872,80.870541254202,1.93237460862325e-18,2.5473397712324e-16,ENSG00000184220
COL9A3,1.73951738787781,6.58025480932935,80.7139551466953,2.0756949227111e-18,2.69163356610781e-16,ENSG00000092758
ANKRD37,-1.38572773183095,6.56770094526678,80.6915891756684,2.09701846257502e-18,2.69163356610781e-16,ENSG00000186352
TOMM7,-0.513730830669503,9.47157325334251,80.5313418074748,2.25636168483579e-18,2.85854652410041e-16,ENSG00000196683
COX7A2,-0.573653992958864,8.57945038158628,80.0115290155852,2.86174065498557e-18,3.57901026786977e-16,ENSG00000112695
PA2G4,0.894731106618063,7.6269530362044,79.9309154155359,2.96923492101425e-18,3.66644134867013e-16,ENSG00000170515
PUF60,0.723386336139238,8.36423514346097,79.8703541815195,3.05264633234545e-18,3.72232062150373e-16,ENSG00000179950
RUVBL1,0.921393771806492,7.58528937306228,78.6632315337066,5.30524935845946e-18,6.38922314713234e-16,ENSG00000175792
LCN2,1.29081926485073,9.54977091586308,77.4366493497788,9.31123745171738e-18,1.10769660172565e-15,ENSG00000148346
PALLD,1.12711320346555,7.15931114817382,77.3324593436225,9.76737799566092e-18,1.14796111262256e-15,ENSG00000129116
TOMM40,0.882320852518096,8.03788133139864,76.1826361767992,1.65651375111e-17,1.92372519548549e-15,ENSG00000130204
NARS,0.917320443852265,7.35312493720842,76.0161706473923,1.78829344643295e-17,2.05232971411216e-15,ENSG00000134440
OST4,-0.501253057895249,9.37700705877475,75.8717078780452,1.91114942971003e-17,2.16782124265365e-15,ENSG00000228474
PYGL,1.50167414984054,6.59971371945192,75.8386160150614,1.94046322727985e-17,2.17577227380632e-15,ENSG00000100504
OSTC,-0.695609663391226,7.73237086191198,75.2304819528752,2.56711917451468e-17,2.84570994856713e-15,ENSG00000198856
EFEMP1,1.69709079996941,6.4229726651509,74.5412206444799,3.52633475677313e-17,3.86510062385639e-15,ENSG00000115380
ATP6V1G1,-0.588093326836264,8.29785608143054,73.9308022464941,4.67238945603735e-17,5.06435101596048e-15,ENSG00000136888
HNRNPD,0.72557498475392,8.05217313609917,73.8727013602713,4.79929153254288e-17,5.14473504395118e-15,ENSG00000138668
NAP1L1,0.680528983874276,8.4215186813147,73.786016875785,4.99508062566441e-17,5.29641429384308e-15,ENSG00000187109
PRDX5,-0.595093511252829,8.64572278839486,73.7487924094616,5.0815974950324e-17,5.33021328645603e-15,ENSG00000126432
SH3GLB1,-0.679190856112111,7.7924429186875,73.6463141534197,5.32762096719963e-17,5.52882367393961e-15,ENSG00000097033
KLK10,-1.31404398911192,6.3698490921944,73.4136383510158,5.93149581176599e-17,6.0907096467134e-15,ENSG00000129451
MRPS25,0.849435167402464,7.53460184587534,73.3573544376445,6.08760450901841e-17,6.18589395682027e-15,ENSG00000131368
TRPV6,-1.26080036023795,6.45237564902957,72.575865925805,8.73349661354371e-17,8.78301643970297e-15,ENSG00000165125
PPP1CB,-0.661637636092259,8.30861002880793,72.1163291809288,1.08003080589135e-16,1.07507148076226e-14,ENSG00000213639
SLC25A6,-0.721215182025204,8.11011901872971,71.8588125689703,1.2166234487054e-16,1.19880421637587e-14,ENSG00000169100
LAMTOR5,-0.618747444084613,8.03560486657552,71.8081746675933,1.24545650144739e-16,1.20517837724397e-14,ENSG00000134248
C8orf82,0.968219250012784,7.17980330849365,71.8041084752666,1.24780129268725e-16,1.20517837724397e-14,ENSG00000213563
ADAM9,-0.846829760578712,7.38232056948593,71.6001837442597,1.37125526909164e-16,1.30259121693449e-14,ENSG00000168615
WDR43,0.777048231090717,7.6960398961119,71.5774179058486,1.38577646597931e-16,1.30259121693449e-14,ENSG00000163811
NPW,1.81430227655916,6.43327599551076,71.5728346944216,1.38871846807983e-16,1.30259121693449e-14,ENSG00000183971
ATP5ME,0.668314049620298,8.13625827086424,70.9724753073099,1.83363045714511e-16,1.70353001042386e-14,ENSG00000169020
CD320,1.04028896991347,7.14809752051729,70.7549396706624,2.0280129219553e-16,1.86634585412018e-14,ENSG00000167775
RSPRY1,-1.24039853023534,6.16314158233419,79.3801413224959,2.35139457508655e-16,2.14372468037096e-14,ENSG00000159579
FABP5,1.19210862228669,7.39968657215845,70.3574210823614,2.43819834533596e-16,2.20228007951411e-14,ENSG00000164687
PFDN5,-0.49831400996515,8.67342322957987,69.9253437946058,2.97901564254882e-16,2.6660823479875e-14,ENSG00000123349
MYADM,-0.945537921811832,6.98532618672947,69.3811762270262,3.83462199626589e-16,3.40061250668853e-14,ENSG00000179820
ISG15,-1.38711749507711,6.9996070444869,68.093339053665,6.97522170023873e-16,6.13002591764223e-14,ENSG00000187608
PSMA7,0.586689196908932,9.33580007183553,68.0408959219313,7.14741595997674e-16,6.22527166871189e-14,ENSG00000101182
HIST1H2AC,-1.27423976693948,6.60623330891778,67.6465049981698,8.58663007185639e-16,7.40884078234539e-14,ENSG00000180573
PABPC1,0.58417424313031,9.61715224201215,67.6286647772124,8.65820450217709e-16,7.40884078234539e-14,ENSG00000070756
GUCY1A1,1.59926620159561,6.40443117224267,67.3590592882683,9.81566853908746e-16,8.28815282618395e-14,ENSG00000164116
YIPF3,-0.7939605996708,7.22960886821195,67.3503107692914,9.85572247911162e-16,8.28815282618395e-14,ENSG00000137207
SOCS3,-1.35801576270711,6.8414653754539,67.0297533027792,1.14421303970569e-15,9.53999846352905e-14,ENSG00000184557
HNRNPA3,0.593017547408593,9.10420294416375,66.9317556315437,1.19764599567133e-15,9.90087854896088e-14,ENSG00000170144
OLFM2,1.29223775058196,6.46461197331155,66.4901693636593,1.47123051539858e-15,1.20603812417757e-13,ENSG00000105088
