gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
HLA-A,2.00028507745641,9.87373190653444,397.477359796869,2.24088600588336e-72,1.65041254333309e-68,ENSG00000206503
HLA-B,1.65505671136604,10.8079772455988,317.445671466809,3.01998283944141e-60,1.1121086806243e-56,ENSG00000234745
CD74,2.42008924580387,8.15802428616581,286.353118780881,2.67395458097047e-55,6.56455849628249e-52,ENSG00000019582
IFI6,2.5093033661845,8.06640010244953,282.832120238533,9.91411909721698e-55,1.82543717877508e-51,ENSG00000126709
GAPDH,-1.10046932847981,11.721296777526,274.51159162068,2.23086322201842e-53,3.28606152603314e-50,ENSG00000111640
IGFBP3,-3.62364594036121,9.3048849111063,263.546276835841,1.40140039739479e-51,1.7202189878021e-48,ENSG00000146674
TXNIP,2.12420335690984,8.3053371546374,262.791131807195,1.86668577164095e-51,1.96402010116222e-48,ENSG00000265972
TMEM213,2.33899202051438,8.21248977703468,242.179021973576,5.06064540059037e-48,4.65895667191851e-45,ENSG00000214128
HLA-C,1.196883255277,9.94545359561524,226.18734744256,2.59960763057097e-45,2.12734557768391e-42,ENSG00000204525
CST3,1.69571152548375,8.77000104972516,223.980220698085,6.19944282864905e-45,4.56588964330003e-42,ENSG00000101439
SCGB1D2,-3.05652610653035,8.81298832850591,204.668299698045,1.34957063235593e-41,9.03598882481945e-39,ENSG00000124935
SEMA3C,1.98563633878295,7.76773954494653,204.165586157143,1.65174403228106e-41,1.0137578998125e-38,ENSG00000075223
B2M,1.20326506651151,10.251182757018,201.736827941132,4.39034793529142e-41,2.4366522514761e-38,ENSG00000166710
MX1,2.04082293211442,7.99380965994203,201.603993200103,4.63178975161784e-41,2.4366522514761e-38,ENSG00000157601
KRT16,2.11694886696563,9.36805429556312,194.093023754952,9.67081866717032e-40,4.74837196558062e-37,ENSG00000186832
PGK1,-1.21036030205987,9.27007518373716,193.410790932016,1.27594643780775e-39,5.8733409465338e-37,ENSG00000102144
SCGB2A2,-3.16615117918832,12.0831235398272,189.928234449934,5.26716316718789e-39,2.28192098390228e-36,ENSG00000110484
FRZB,-1.8795465756145,8.6516699107129,179.847094485125,3.28408481841193e-37,1.34373803820021e-34,ENSG00000162998
C5orf46,-2.31179259361715,8.37212785522554,175.029444860452,2.40298585565656e-36,9.31473201416347e-34,ENSG00000178776
MT-ND4L,-0.729424128883903,11.0755637354229,169.674268454151,2.2213646500317e-35,8.18017532374174e-33,ENSG00000212907
HLA-F,1.68310025122809,7.96090967473023,168.537080080163,3.56797344178161e-35,1.25133925708198e-32,ENSG00000204642
KRT14,2.09068723768351,8.0544009093936,166.9580335607,6.89597309696228e-35,2.30858372086942e-32,ENSG00000186847
