,file_header,labels_detailed,passage,series
1,scrande_SA609_1_SA609_UT_R_UU_H_logfc_results.csv,X4 Rx:A / UnRx:H,X4,Pt4
2,scrande_SA609_11_SA609_UT_B_UU_H_logfc_results.csv,X4 Rx:B / UnRx:H,X4,Pt4
3,scrande_SA609_2_SA609_UTT_R_UUU_H_logfc_results.csv,X5 Rx:A / UnRx:H,X5,Pt4
4,scrande_SA609_31_SA609_UTU_R_UUU_H_logfc_results.csv,X5 RxH:A / UnRx:H,X5,Pt4
5,scrande_SA609_22_SA609_UTU_B_UUU_H_logfc_results.csv,X5 RxH:B / UnRx:H,X5,Pt4
6,scrande_SA609_3_SA609_UTTT_R_UUUU_H_logfc_results.csv,X6 Rx:A / UnRx:H,X6,Pt4
7,scrande_SA609_23_SA609_UTTU_R_UUUU_H_logfc_results.csv,X6 RxH:A / UnRx:H,X6,Pt4
8,scrande_SA609_4_SA609_UTTTT_R_UUUUU_H_logfc_results.csv,X7 Rx:A / UnRx:H,X7,Pt4
9,scrande_SA609_24_SA609_UTTTU_R_UUUUU_H_logfc_results.csv,X7 RxH:A / UnRx:H,X7,Pt4
10,scrande_SA535_1_SA535_UUTTT_A_UUUUU_G_logfc_results.csv,X8 Rx:A / UnRx:G,X8,Pt5
11,scrande_SA535_16_SA535_UUTTU_D_UUUUU_G_logfc_results.csv,X8 RxH:D / UnRx:G,X8,Pt5
12,scrande_SA535_3_SA535_UUTTTTT_A_UUUUUU_G_logfc_results.csv,X10 Rx:A / UnRx:G,X10,Pt5
13,scrande_SA535_78_SA535_UUTTTTU_A_UUUUUU_G_logfc_results.csv,X10 RxH:A / UnRx:G,X10,Pt5
14,scrande_SA535_36_SA535_UUTTTTU_E_UUUUUU_G_logfc_results.csv,X10 RxH:E / UnRx:G,X10,Pt5
15,scrande_SA1035_41_SA1035_UT_D_UU_A_logfc_results.csv,X5 Rx:D / UnRx:A,X5,Pt6
16,scrande_SA1035_3_SA1035_UTT_G_UUU_G_logfc_results.csv,X6 Rx:G / UnRx:G,X6,Pt6
17,scrande_SA1035_32_SA1035_UTU_B_UUU_G_logfc_results.csv,X6 RxH:B / UnRx:G,X6,Pt6
18,scrande_SA1035_1_SA1035_UTTT_H_UUUU_E_logfc_results.csv,X7 Rx:H / UnRx:E,X7,Pt6
19,scrande_SA1035_36_SA1035_UTTU_H_UUUU_E_logfc_results.csv,X7 RxH:H / UnRx:E,X7,Pt6
20,scrande_SA1035_51_SA1035_UTTT_G_UUUU_E_logfc_results.csv,X7 Rx:G / UnRx:E,X7,Pt6
21,scrande_SA1035_12_SA1035_UTTU_G_UUUU_E_logfc_results.csv,X7 RxH:G / UnRx:E,X7,Pt6
22,scrande_SA1035_2_SA1035_UTTTT_H_UUUUU_E_logfc_results.csv,X8 Rx:H / UnRx:E,X8,Pt6
23,scrande_SA1035_34_SA1035_UTTTU_H_UUUUU_E_logfc_results.csv,X8 RxH:H / UnRx:E,X8,Pt6
24,scrande_SA1035_52_SA1035_UTTTT_G_UUUUU_E_logfc_results.csv,X8 Rx:G / UnRx:E,X8,Pt6
25,scrande_SA1035_22_SA1035_UTTTU_G_UUUUU_E_logfc_results.csv,X8 RxH:G / UnRx:E,X8,Pt6
