filename,series,passage,comp,clone1,clone2,group
scrande_SA609_2_SA609_UTT_R_UUU_H_logfc_results.csv,Pt4,X5,TvsU,R,H,1
scrande_SA609_20_SA609_UTT_R_UTU_B_logfc_results.csv,Pt4,X5,TvsH,R,B,1
scrande_SA609_22_SA609_UTU_B_UUU_H_logfc_results.csv,Pt4,X5,HvsU,B,H,1
scrande_SA609_2_SA609_UTT_R_UUU_H_logfc_results.csv,Pt4,X5,TvsU,R,H,2
scrande_SA609_33_SA609_UTT_R_UTU_R_logfc_results.csv,Pt4,X5,TvsH,R,R,2
scrande_SA609_31_SA609_UTU_R_UUU_H_logfc_results.csv,Pt4,X5,HvsU,R,H,2
scrande_SA609_3_SA609_UTTT_R_UUUU_H_logfc_results.csv,Pt4,X6,TvsU,R,H,1
scrande_SA609_25_SA609_UTTT_R_UTTU_R_logfc_results.csv,Pt4,X6,TvsH,R,R,1
scrande_SA609_23_SA609_UTTU_R_UUUU_H_logfc_results.csv,Pt4,X6,HvsU,R,H,1
scrande_SA609_4_SA609_UTTTT_R_UUUUU_H_logfc_results.csv,Pt4,X7,TvsU,R,H,1
scrande_SA609_26_SA609_UTTTT_R_UTTTU_R_logfc_results.csv,Pt4,X7,TvsH,R,R,1
scrande_SA609_24_SA609_UTTTU_R_UUUUU_H_logfc_results.csv,Pt4,X7,HvsU,R,H,1
scrande_SA535_1_SA535_UUTTT_A_UUUUU_G_logfc_results.csv,Pt5,X8,TvsU,A,G,1
scrande_SA535_15_SA535_UUTTT_A_UUTTU_D_logfc_results.csv,Pt5,X8,TvsH,A,D,1
scrande_SA535_16_SA535_UUTTU_D_UUUUU_G_logfc_results.csv,Pt5,X8,HvsU,D,G,1
scrande_SA535_1_SA535_UUTTT_A_UUUUU_G_logfc_results.csv,Pt5,X8,TvsU,A,G,2
scrande_SA535_75_SA535_UUTTT_A_UUTTU_A_logfc_results.csv,Pt5,X8,TvsH,A,A,2
scrande_SA535_76_SA535_UUTTU_A_UUUUU_G_logfc_results.csv,Pt5,X8,HvsU,A,G,2
scrande_SA535_3_SA535_UUTTTTT_A_UUUUUU_G_logfc_results.csv,Pt5,X10,TvsU,A,G,1
scrande_SA535_35_SA535_UUTTTTT_A_UUTTTTU_E_logfc_results.csv,Pt5,X10,TvsH,A,E,1
scrande_SA535_36_SA535_UUTTTTU_E_UUUUUU_G_logfc_results.csv,Pt5,X10,HvsU,E,G,1
scrande_SA535_3_SA535_UUTTTTT_A_UUUUUU_G_logfc_results.csv,Pt5,X10,TvsU,A,G,2
scrande_SA535_77_SA535_UUTTTTT_A_UUTTTTU_A_logfc_results.csv,Pt5,X10,TvsH,A,A,2
scrande_SA535_78_SA535_UUTTTTU_A_UUUUUU_G_logfc_results.csv,Pt5,X10,HvsU,A,G,2
scrande_SA1035_3_SA1035_UTT_G_UUU_G_logfc_results.csv,Pt6,X6,TvsU,G,G,1
scrande_SA1035_31_SA1035_UTT_G_UTU_B_logfc_results.csv,Pt6,X6,TvsH,G,B,1
scrande_SA1035_32_SA1035_UTU_B_UUU_G_logfc_results.csv,Pt6,X6,HvsU,B,G,1
scrande_SA1035_1_SA1035_UTTT_H_UUUU_E_logfc_results.csv,Pt6,X7,TvsU,H,E,1
scrande_SA1035_11_SA1035_UTTT_H_UTTU_G_logfc_results.csv,Pt6,X7,TvsH,H,G,1
scrande_SA1035_12_SA1035_UTTU_G_UUUU_E_logfc_results.csv,Pt6,X7,HvsU,G,E,1
scrande_SA1035_1_SA1035_UTTT_H_UUUU_E_logfc_results.csv,Pt6,X7,TvsU,H,E,2
scrande_SA1035_35_SA1035_UTTT_H_UTTU_H_logfc_results.csv,Pt6,X7,TvsH,H,H,2
scrande_SA1035_36_SA1035_UTTU_H_UUUU_E_logfc_results.csv,Pt6,X7,HvsU,H,E,2
scrande_SA1035_2_SA1035_UTTTT_H_UUUUU_E_logfc_results.csv,Pt6,X8,TvsU,H,E,1
scrande_SA1035_21_SA1035_UTTTT_H_UTTTU_G_logfc_results.csv,Pt6,X8,TvsH,H,G,1
scrande_SA1035_22_SA1035_UTTTU_G_UUUUU_E_logfc_results.csv,Pt6,X8,HvsU,G,E,1
scrande_SA1035_2_SA1035_UTTTT_H_UUUUU_E_logfc_results.csv,Pt6,X8,TvsU,H,E,2
scrande_SA1035_33_SA1035_UTTTT_H_UTTTU_H_logfc_results.csv,Pt6,X8,TvsH,H,H,2
scrande_SA1035_34_SA1035_UTTTU_H_UUUUU_E_logfc_results.csv,Pt6,X8,HvsU,H,E,2



