result_fn,labels_detailed,passage,series,file_header,datatag,clone1,clone2,comp_type,labels_short,order
scrande_SA1035_10_SA1035_UUUU_E_UUUU_B_logfc_results.csv,X7 UnRx:E vs. UnRx:B,"",Pt6,scrande_SA1035_10,SA1035,E,B,untreated,"",6
scrande_SA501_1_extra-tnbc_U_D_U_A_logfc_results.csv,X6 UnRx:D vs. UnRx:A,"",Pt1,scrande_SA501_1,SA501,D,A,untreated,"",1
scrande_SA530_1_extra-tnbc_U_D_U_B_logfc_results.csv,X3 UnRx:D vs. UnRx:B,"",Pt2,scrande_SA530_1,SA530,D,B,untreated,"",2
scrande_SA609_10_SA609_UUUU_H_UUUU_C_logfc_results.csv,X6 UnRx:H vs. UnRx:C,"",Pt4,scrande_SA609_10,SA609,H,C,untreated,"",4
scrande_SA604_3_extra-tnbc_U_G_U_E_logfc_results.csv,X9 UnRx:G vs. UnRx:E,"",Pt3,scrande_SA604_3,SA604,G,E,untreated,"",3
scrande_SA535_10_SA535_UUUUU_G_UUUUU_B-C_logfc_results.csv,X8 UnRx:G vs. UnRx:B-C,"",Pt5,scrande_SA535_10,SA535,G,B,untreated,"",5
scrande_SA609_31_SA609_UTU_R_UUU_H_logfc_results.csv,X5 RxH:A vs. UnRx:H,X5,Pt4,scrande_SA609_31,SA609,R,H,drugHoliday_vs_untreated,RxH,7
scrande_SA609_22_SA609_UTU_B_UUU_H_logfc_results.csv,X5 RxH:B vs. UnRx:H,X5,Pt4,scrande_SA609_22,SA609,B,H,drugHoliday_vs_untreated,RxH,8
scrande_SA609_23_SA609_UTTU_R_UUUU_H_logfc_results.csv,X6 RxH:A vs. UnRx:H,X6,Pt4,scrande_SA609_23,SA609,R,H,drugHoliday_vs_untreated,RxH,9
scrande_SA609_24_SA609_UTTTU_R_UUUUU_H_logfc_results.csv,X7 RxH:A vs. UnRx:H,X7,Pt4,scrande_SA609_24,SA609,R,H,drugHoliday_vs_untreated,RxH,10
scrande_SA535_16_SA535_UUTTU_D_UUUUU_G_logfc_results.csv,X8 RxH:D vs. UnRx:G,X8,Pt5,scrande_SA535_16,SA535,D,G,drugHoliday_vs_untreated,RxH,11
scrande_SA535_78_SA535_UUTTTTU_A_UUUUUU_G_logfc_results.csv,X10 RxH:A vs. UnRx:G,X10,Pt5,scrande_SA535_78,SA535,A,G,drugHoliday_vs_untreated,RxH,12
scrande_SA535_36_SA535_UUTTTTU_E_UUUUUU_G_logfc_results.csv,X10 RxH:E vs. UnRx:G,X10,Pt5,scrande_SA535_36,SA535,E,G,drugHoliday_vs_untreated,RxH,13
scrande_SA1035_32_SA1035_UTU_B_UUU_G_logfc_results.csv,X6 RxH:B vs. UnRx:G,X6,Pt6,scrande_SA1035_32,SA1035,B,G,drugHoliday_vs_untreated,RxH,14
scrande_SA1035_12_SA1035_UTTU_G_UUUU_E_logfc_results.csv,X7 RxH:G vs. UnRx:E,X7,Pt6,scrande_SA1035_12,SA1035,G,E,drugHoliday_vs_untreated,RxH,15
scrande_SA1035_36_SA1035_UTTU_H_UUUU_E_logfc_results.csv,X7 RxH:H vs. UnRx:E,X7,Pt6,scrande_SA1035_36,SA1035,H,E,drugHoliday_vs_untreated,RxH,16
scrande_SA1035_22_SA1035_UTTTU_G_UUUUU_E_logfc_results.csv,X8 RxH:G vs. UnRx:E,X8,Pt6,scrande_SA1035_22,SA1035,G,E,drugHoliday_vs_untreated,RxH,17
scrande_SA1035_34_SA1035_UTTTU_H_UUUUU_E_logfc_results.csv,X8 RxH:H vs. UnRx:E,X8,Pt6,scrande_SA1035_34,SA1035,H,E,drugHoliday_vs_untreated,RxH,18
