result_fn,labels_detailed,passage,series,file_header,datatag,clone1,clone2,comp_type,labels_short,order
scrande_SA1035_10_SA1035_UUUU_E_UUUU_B_logfc_results.csv,X7 UnRx:E vs. UnRx:B,"",Pt6,scrande_SA1035_10,SA1035,E,B,untreated,"",6
scrande_SA501_1_extra-tnbc_U_D_U_A_logfc_results.csv,X6 UnRx:D vs. UnRx:A,"",Pt1,scrande_SA501_1,SA501,D,A,untreated,"",1
scrande_SA530_1_extra-tnbc_U_D_U_B_logfc_results.csv,X3 UnRx:D vs. UnRx:B,"",Pt2,scrande_SA530_1,SA530,D,B,untreated,"",2
scrande_SA609_10_SA609_UUUU_H_UUUU_C_logfc_results.csv,X6 UnRx:H vs. UnRx:C,"",Pt4,scrande_SA609_10,SA609,H,C,untreated,"",4
scrande_SA604_3_extra-tnbc_U_G_U_E_logfc_results.csv,X9 UnRx:G vs. UnRx:E,"",Pt3,scrande_SA604_3,SA604,G,E,untreated,"",3
scrande_SA535_10_SA535_UUUUU_G_UUUUU_B-C_logfc_results.csv,X8 UnRx:G vs. UnRx:B-C,"",Pt5,scrande_SA535_10,SA535,G,B,untreated,"",5
scrande_SA609_1_SA609_UT_R_UU_H_logfc_results.csv,X4 Rx:A vs. UnRx:H,X4,Pt4,scrande_SA609_1,SA609,R,H,treated_vs_untreated,Rx,0
scrande_SA609_11_SA609_UT_B_UU_H_logfc_results.csv,X4 Rx:B vs. UnRx:H,X4,Pt4,scrande_SA609_11,SA609,B,H,treated_vs_untreated,Rx,0
scrande_SA609_2_SA609_UTT_R_UUU_H_logfc_results.csv,X5 Rx:A vs. UnRx:H,X5,Pt4,scrande_SA609_2,SA609,R,H,treated_vs_untreated,Rx,0
scrande_SA609_31_SA609_UTU_R_UUU_H_logfc_results.csv,X5 RxH:A vs. UnRx:H,X5,Pt4,scrande_SA609_31,SA609,R,H,treated_vs_untreated,RxH,0
scrande_SA609_22_SA609_UTU_B_UUU_H_logfc_results.csv,X5 RxH:B vs. UnRx:H,X5,Pt4,scrande_SA609_22,SA609,B,H,treated_vs_untreated,RxH,0
scrande_SA609_3_SA609_UTTT_R_UUUU_H_logfc_results.csv,X6 Rx:A vs. UnRx:H,X6,Pt4,scrande_SA609_3,SA609,R,H,treated_vs_untreated,Rx,0
scrande_SA609_23_SA609_UTTU_R_UUUU_H_logfc_results.csv,X6 RxH:A vs. UnRx:H,X6,Pt4,scrande_SA609_23,SA609,R,H,treated_vs_untreated,RxH,0
scrande_SA609_4_SA609_UTTTT_R_UUUUU_H_logfc_results.csv,X7 Rx:A vs. UnRx:H,X7,Pt4,scrande_SA609_4,SA609,R,H,treated_vs_untreated,Rx,0
scrande_SA609_24_SA609_UTTTU_R_UUUUU_H_logfc_results.csv,X7 RxH:A vs. UnRx:H,X7,Pt4,scrande_SA609_24,SA609,R,H,treated_vs_untreated,RxH,0
scrande_SA535_1_SA535_UUTTT_A_UUUUU_G_logfc_results.csv,X8 Rx:A vs. UnRx:G,X8,Pt5,scrande_SA535_1,SA535,A,G,treated_vs_untreated,Rx,0
scrande_SA535_16_SA535_UUTTU_D_UUUUU_G_logfc_results.csv,X8 RxH:D vs. UnRx:G,X8,Pt5,scrande_SA535_16,SA535,D,G,treated_vs_untreated,RxH,0
scrande_SA535_3_SA535_UUTTTTT_A_UUUUUU_G_logfc_results.csv,X10 Rx:A vs. UnRx:G,X10,Pt5,scrande_SA535_3,SA535,A,G,treated_vs_untreated,Rx,0
scrande_SA535_78_SA535_UUTTTTU_A_UUUUUU_G_logfc_results.csv,X10 RxH:A vs. UnRx:G,X10,Pt5,scrande_SA535_78,SA535,A,G,treated_vs_untreated,RxH,0
scrande_SA535_36_SA535_UUTTTTU_E_UUUUUU_G_logfc_results.csv,X10 RxH:E vs. UnRx:G,X10,Pt5,scrande_SA535_36,SA535,E,G,treated_vs_untreated,RxH,0
