gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
S100A7,-3.66198097699423,8.9128593538274,167.678666649983,1.06335699665466e-32,8.08470324556541e-29,ENSG00000143556
FKBP10,-2.10312975940678,6.67968728744204,139.916134705541,3.30045646138067e-28,1.25466852379386e-24,ENSG00000141756
SBSN,-2.32795204385627,7.84607107221572,110.203873048378,3.79149482142175e-23,9.60891170908986e-20,ENSG00000189001
TRPM4,2.40275614634703,7.12442647106841,103.136513984687,6.67386927391757e-22,1.26853570223988e-18,ENSG00000130529
LBH,3.0553245070984,8.06423532700084,96.9124748111509,8.62014036866909e-21,1.139865524211e-17,ENSG00000213626
S100A1,-1.70226172918557,7.92046735826805,96.809455552604,8.99538753816385e-21,1.139865524211e-17,ENSG00000160678
HOXB2,-1.71103606907285,6.59340701083265,92.7641961118089,4.82687392462617e-20,5.24267463556183e-17,ENSG00000173917
MLLT11,-1.79188407197804,6.78186534243946,85.1654722552079,1.17576031201865e-18,1.11741320653472e-15,ENSG00000213190
ATP5MG,0.970439909271855,8.59992733637285,83.9560457060201,1.96334996957486e-18,1.65859442429752e-15,ENSG00000167283
DMKN,-1.20908609495411,7.9913846473013,71.2456540405128,4.64899830708833e-16,3.53463341287926e-13,ENSG00000161249
PTN,-2.04023928902994,9.43316413833588,69.7646766683652,8.875431275174e-16,5.9549813420065e-13,ENSG00000105894
UQCRFS1,0.999428405855954,8.67351954788733,69.6336600674344,9.39889202999843e-16,5.9549813420065e-13,ENSG00000169021
CAMP,-1.77836970162805,6.85185145149049,68.8048949862244,1.35103893826069e-15,7.90149926738154e-13,ENSG00000164047
REXO2,1.07341046855632,8.12704641765419,68.519569456053,1.53104716492668e-15,8.31467971066965e-13,ENSG00000076043
DICER1,1.44461902470112,8.04265425675226,68.0669294108919,1.86737678849965e-15,9.46511048197524e-13,ENSG00000100697
C12orf75,-1.52458208087992,6.60677911251734,67.2363868040859,2.68967553118355e-15,1.27810019147428e-12,ENSG00000235162
TFG,1.11237518759263,7.76260427335679,67.0375590276825,2.93547880825974e-15,1.31284972818817e-12,ENSG00000114354
RGS16,-2.08395903664262,7.15401598593479,66.6169533905925,3.53244412817537e-15,1.49206515036207e-12,ENSG00000143333
PRAME,-1.3384925722654,6.78159327989168,60.2684089309063,5.89776121066286e-14,2.36003570971946e-11,ENSG00000185686
ARID5B,-1.35176511134066,7.1443959313965,60.0065009556988,6.62978755856924e-14,2.52031374039009e-11,ENSG00000150347
UBE2V2,-1.09632407059362,7.18222321975555,58.7369795643569,1.17010778369881e-13,4.23634737117239e-11,ENSG00000169139
TNFRSF18,-1.36100158105932,6.75834734399096,56.5582192928945,3.11407667843814e-13,1.07619659028023e-10,ENSG00000186891
GEM,-1.52205062166699,6.70175011732136,55.0555267360642,6.13437004222025e-13,2.02780936656524e-10,ENSG00000164949
S100P,-1.64834774042015,7.33254390932187,54.9345238611308,6.47924292618844e-13,2.05257016532545e-10,ENSG00000163993
GCNT2,1.2677098238419,8.0929556075801,54.3945345100718,8.27203442902833e-13,2.51569111055609e-10,ENSG00000111846
COL1A1,3.57766059777061,8.04863152722008,53.759943391047,1.10270060912848e-12,3.224551050463e-10,ENSG00000108821
CA2,-1.47540586107922,6.83887243960346,52.7422965628585,1.7500562101819e-12,4.92802865407889e-10,ENSG00000104267
PCMTD1,-1.11525198162896,7.1512642256388,51.1095986404803,3.68039590122805e-12,9.99358929894174e-10,ENSG00000168300
SYNM,-1.32485838061311,7.57791455768123,49.5621796853004,7.46518032301527e-12,1.93882422660937e-09,ENSG00000182253
ZNF750,-1.39066556517222,6.68035148760186,49.5087061951962,7.65023369699869e-12,1.93882422660937e-09,ENSG00000141579
GADD45A,-1.44543835086958,7.90863271526138,49.0257476939733,9.54518301706297e-12,2.33384427842289e-09,ENSG00000116717
HOPX,-1.52981507898238,6.65352750240552,48.9632137396318,9.82283531626102e-12,2.33384427842289e-09,ENSG00000171476
RAB2A,-0.734986088429171,8.05144232954532,48.0315492527673,1.50656314357621e-11,3.47103017594241e-09,ENSG00000104388
SOCS3,-1.43021278048767,6.8874979336446,47.6378914753695,1.80551079991186e-11,3.99164294146084e-09,ENSG00000184557
HLA-A,-1.09264587888472,9.64377527404343,47.5996807970036,1.83753127648467e-11,3.99164294146084e-09,ENSG00000206503
SDCBP,-0.951969933392458,7.47880478314884,46.9720415892887,2.45325364496908e-11,5.18113540630554e-09,ENSG00000137575
ASPH,-1.08245932622474,6.95383664178366,45.6433178047461,4.52990348723798e-11,9.30833951715416e-09,ENSG00000198363
ALDH1A1,1.81974361680139,6.80402282644425,44.7734823567283,6.7753079386238e-11,1.35559648045676e-08,ENSG00000165092
KRT16,-1.5042686425232,9.25669742854144,44.3852243466707,8.11136418097225e-11,1.58130004789569e-08,ENSG00000186832
ID1,-1.45167344187087,6.94307129884601,43.6635150742117,1.13395051671334e-10,2.15535644464289e-08,ENSG00000125968
PNLDC1,1.48316184891354,6.63689398896651,53.4856472981139,1.46199766434664e-10,2.71111420537256e-08,ENSG00000146453
UQCRB,-0.759813033688116,7.86426324252061,42.7362066088613,1.74557023314969e-10,3.15989773396122e-08,ENSG00000156467
RNF214,1.48791452265313,6.62297426625347,49.9545276255246,2.32497034831064e-10,4.11087199028042e-08,ENSG00000167257
TRAPPC4,1.09889424057728,7.08988130110262,41.7502439576964,2.76452706693457e-10,4.77697711134172e-08,ENSG00000196655
PKP1,-1.24292576075727,6.69496977940925,41.6636808199399,2.87856816306235e-10,4.86350083194735e-08,ENSG00000081277
TCEA1,-0.880796418836768,7.57104566830642,41.063141703646,3.81135574114983e-10,6.29950819564394e-08,ENSG00000187735
PCSK7,1.31629964531058,6.82618978229676,40.9878371875161,3.94801671711009e-10,6.33326139411894e-08,ENSG00000160613
CLU,-1.27473289657013,7.15515119509917,40.9607466557898,3.99837625828895e-10,6.33326139411894e-08,ENSG00000120885
C3,1.38051348953716,6.98223977170027,40.6416342543409,4.64253658368215e-10,7.20351135627252e-08,ENSG00000125730
HIST1H3H,-1.33662665890787,6.63886252630339,40.4080263520325,5.17940031292136e-10,7.87579611582823e-08,ENSG00000278828
OCIAD2,0.833754001430384,8.08554194763526,40.0110071739536,6.2389925175465e-10,9.30099217860903e-08,ENSG00000145247
AKR1C2,-1.51088138450542,7.79861914449001,39.5424513068943,7.77363345285274e-10,1.13659490657768e-07,ENSG00000151632
CMYA5,-1.24298826269712,6.61660155140007,39.4882871220153,7.97393076451025e-10,1.14388293589757e-07,ENSG00000164309
CYP27A1,-1.16728267564471,6.69372046196132,38.7004379171575,1.1549380766408e-09,1.62611003642593e-07,ENSG00000135929
CPNE3,-0.887304070169458,7.1561229173158,38.3465061336143,1.36441270498515e-09,1.88611450836401e-07,ENSG00000085719
SCRG1,-1.13092259958135,7.38967212848775,38.3060408607925,1.39067683990524e-09,1.88809214532135e-07,ENSG00000164106
MDK,-0.880268851780071,8.9828277048439,38.0663248811887,1.55703452501285e-09,2.07686552520573e-07,ENSG00000110492
CALML5,1.3070207998619,11.0140748122282,37.9848923048245,1.61798867577431e-09,2.12095998308829e-07,ENSG00000178372
GGH,-0.999918539693848,7.05091804602187,37.9145079052394,1.67260363811279e-09,2.15539075602908e-07,ENSG00000137563
CPQ,-1.1657921872333,6.61331605083891,41.5178312362538,2.40209982477639e-09,3.04386082796248e-07,ENSG00000104324
PLEKHF2,-1.19761219270026,6.5548396440154,45.6489647754192,3.41949782601589e-09,4.26203966740964e-07,ENSG00000175895
APLP1,-1.04054622548127,6.79093315016134,36.2330850895116,3.7037594368949e-09,4.49982623202197e-07,ENSG00000105290
LTF,1.73915121038131,6.85226874822795,36.2189531317087,3.72864727893442e-09,4.49982623202197e-07,ENSG00000012223
PHLDA3,-1.35710741806007,6.6205806493382,36.1094155126638,3.92734786626973e-09,4.66556653550762e-07,ENSG00000174307
PIP4P2,-1.22494734499211,6.55237048857621,49.0570714047911,4.1537534785533e-09,4.85861349191396e-07,ENSG00000155099
KYNU,-1.28215955310762,6.63905802786274,35.3585463868154,5.60854091793894e-09,6.46086918168027e-07,ENSG00000115919
DES,-1.21377023949897,6.6000832137424,35.103875798473,6.33009773495467e-09,7.18324374311348e-07,ENSG00000175084
S100A8,-1.45180005915707,9.66274099828895,35.0252970146709,6.57106299000571e-09,7.34702822250197e-07,ENSG00000143546
DSP,0.876168961659686,9.17104940192573,34.8847575126239,7.02528105345975e-09,7.74104519557311e-07,ENSG00000096696
SPDEF,1.37452214633297,6.70204821618062,34.7520296625225,7.48322700861763e-09,8.11449172036846e-07,ENSG00000124664
YWHAZ,-0.49017303942915,9.4037301143714,34.7097026883216,7.63549168229097e-09,8.11449172036846e-07,ENSG00000164924
ARC,-1.31876429694075,6.90558315858526,34.6700619324381,7.78091850846341e-09,8.11449172036846e-07,ENSG00000198576
P3H4,-1.13905047317377,6.55025334101562,41.9756626455237,7.88866830794246e-09,8.11449172036846e-07,ENSG00000141696
TBCB,-0.755779834059237,7.62423197020498,34.6387293739367,7.89783489816212e-09,8.11449172036846e-07,ENSG00000105254
MRPL15,-0.730406702212428,7.41190111530561,34.4408324769174,8.67823478816348e-09,8.79741587925426e-07,ENSG00000137547
TCN1,-1.39458052906494,6.75744341305219,34.293876765613,9.30755275564682e-09,9.31122678962931e-07,ENSG00000134827
PRDM1,-1.11644904328609,6.56565512734191,34.1246576474827,1.00893131503494e-08,9.96221401066314e-07,ENSG00000057657
CEBPD,-1.03428778157575,8.93670394767395,33.7261492282324,1.22015444288502e-08,1.18933772169933e-06,ENSG00000221869
UBE2L6,-1.1778274593783,6.99016753412555,33.6927960250697,1.23973369421785e-08,1.19312598444789e-06,ENSG00000156587
GPX3,-1.06762142186619,7.28232516260562,33.3135769057177,1.48587259794321e-08,1.38955715861165e-06,ENSG00000211445
ZG16B,1.5123388481442,9.79078183326258,33.3067604515552,1.49072026126529e-08,1.38955715861165e-06,ENSG00000162078
RB1CC1,-0.847488610243262,7.30586515228766,33.2956337444213,1.49866746029404e-08,1.38955715861165e-06,ENSG00000023287
PMP22,-1.2368711686427,6.56527186818705,33.2008186925869,1.56814154857313e-08,1.43645544503633e-06,ENSG00000109099
TFAP2A,1.1802021631776,6.82743575034863,33.0819894685122,1.65980606748215e-08,1.50232208703176e-06,ENSG00000137203
ACSL4,-1.11134362771146,6.70412878216205,33.0057605817135,1.72142847867328e-08,1.53976714392388e-06,ENSG00000068366
GSDMD,-0.990550716311567,6.86128121190433,32.624687136631,2.06578643703346e-08,1.82629933497272e-06,ENSG00000104518
TMEM14B,0.824448441760199,7.52234518225756,32.5894671620284,2.10091979648727e-08,1.83601071410261e-06,ENSG00000137210
NR4A3,-1.03210293648462,6.65083977965041,32.0117469106593,2.77112522213209e-08,2.3852315132871e-06,ENSG00000119508
PLPPR3,1.29753549509173,6.80471602334628,31.9960050020378,2.79212948418456e-08,2.3852315132871e-06,ENSG00000129951
LY6E,-0.663916463316224,9.87413664639452,31.8731748751177,2.9616190091979e-08,2.50190992521462e-06,ENSG00000160932
LY6K,-0.693620757603337,7.89600967570208,31.3037847210762,3.89308300813052e-08,3.25264946272707e-06,ENSG00000160886
GSDMC,-1.0379925033477,6.5507299761074,34.6123982639966,6.58317287012112e-08,5.44041992734032e-06,ENSG00000147697
CD74,-1.14093851600086,7.24857730549065,30.0255528260022,7.20537725065181e-08,5.8905895953447e-06,ENSG00000019582
LRP3,0.920326766040371,7.0936383187978,29.9125322361036,7.60934558772028e-08,6.15466537270609e-06,ENSG00000130881
APOE,-0.829998995873018,7.96225224714718,29.7619743090752,8.1831234419687e-08,6.53106548986978e-06,ENSG00000130203
TFCP2L1,1.08360425758235,7.46619092420663,29.7459975152033,8.24651173257266e-08,6.53106548986978e-06,ENSG00000115112
LINC00960,-0.973517221502286,7.13685385457852,29.6642866890752,8.57851209518931e-08,6.72396159378601e-06,ENSG00000242516
ARID4B,-0.608628037779185,8.44817313979527,29.3563514368531,9.95523187556057e-08,7.72343142345785e-06,ENSG00000054267
HLA-B,-0.800682008454337,10.6590596700875,29.2292969311834,1.05861943456802e-07,8.12325440367506e-06,ENSG00000234745
PTDSS1,-1.00180157382305,6.65867979994929,33.2221297637414,1.0684275159378e-07,8.12325440367506e-06,ENSG00000156471
PAFAH1B2,0.95398658287064,6.98223456212162,29.0046511210039,1.18019574958418e-07,8.88418641988959e-06,ENSG00000168092
CCDC71L,-1.07770395778206,7.63808074987504,28.9458692027966,1.21426609055121e-07,9.05104420241262e-06,ENSG00000253276
IFI44,-1.11480075436593,6.60718829098164,28.8594561318121,1.26615754497004e-07,9.34620952855066e-06,ENSG00000137965
ELOVL4,-1.12163425046052,6.55231140380713,37.1418815358254,1.29694226283679e-07,9.4813961772578e-06,ENSG00000118402
