gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
BST2,3.28654559395608,7.64102025939437,621.311875041825,2.6621143024139e-108,2.64454434801797e-104,ENSG00000130303
FGF2,2.62894179361019,6.82204209014565,446.071545115698,6.42107429685538e-83,3.18934760324807e-79,ENSG00000138685
TPM2,2.23071715476866,7.75579142885422,386.157145302337,1.49166155850738e-73,4.93938864073743e-70,ENSG00000198467
CCDC107,1.8793580354302,7.04498157988248,351.878016386869,5.1298695832612e-68,1.27400311100292e-64,ENSG00000159884
SIVA1,1.46382558429602,7.58203810052511,345.000841558095,6.87376209310594e-67,1.36567905265829e-63,ENSG00000184990
ABCD1,1.92311089871325,6.60786881556878,339.253250430577,6.07361025180212e-66,1.00558740402337e-62,ENSG00000101986
PABPC1,-0.969974623383831,10.3699492731986,324.3831938133,1.77806836957059e-63,2.52333302618774e-60,ENSG00000070756
GPR27,2.02726208975477,6.38049742704048,354.346463430877,4.67465732939523e-63,5.80475573877653e-60,ENSG00000170837
CKB,2.17782652772643,6.49555253236829,312.03387524418,2.08362449304979e-61,2.29985841266184e-58,ENSG00000166165
EIF5,1.3408281930812,8.0785624945269,297.915705072681,5.09663404848175e-59,5.06299626376177e-56,ENSG00000100664
MLF2,0.972711313381568,8.87365731472633,297.303507159609,6.47772085362894e-59,5.84997081454089e-56,ENSG00000089693
UQCRH,-0.983860718081924,9.78619270463578,288.928919137594,1.74101061305313e-57,1.44126661917248e-54,ENSG00000173660
IFI6,2.45510855122236,7.46084919634459,287.563017622382,2.98393169053894e-57,2.28018287798568e-54,ENSG00000126709
LSM14A,-2.27364175094035,7.28302789091413,281.9112597861,2.78958082037752e-56,1.97940684783074e-53,ENSG00000257103
GNG5,-1.21278873203827,8.54917433915006,268.884330039479,5.00014825402612e-54,3.31143151703303e-51,ENSG00000174021
AKT1,1.34137665443054,7.32095278412089,259.336333916195,2.31716100791968e-52,1.43866734079213e-49,ENSG00000142208
