gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MTRNR2L12,6.91778366811733,10.6296834802746,4086.48662986441,0,0,ENSG00000269028
SNHG9,-3.69364561474979,6.92291723385503,2010.29062012218,3.75217782110778e-256,1.8083621008829e-252,ENSG00000255198
LBH,-3.99728865503372,7.15070265020217,1129.46053763833,8.71691239493497e-174,2.80074395249261e-170,ENSG00000213626
CEBPB,2.49409197900009,10.1933868513116,869.57849910568,2.61124625633731e-143,6.29245066620883e-140,ENSG00000172216
NDUFA13,-2.21112498913391,7.12912193346462,817.416159018739,1.00473418035818e-136,1.9369265528945e-133,ENSG00000186010
DICER1,-2.52761579235629,7.26742638307946,765.684687204267,5.08770978515991e-130,8.1734057698594e-127,ENSG00000100697
CDK2AP1,-2.45409875730659,6.49497273081375,700.179715990491,2.87798852488661e-121,3.96299019876887e-118,ENSG00000111328
ARPC1B,-1.56700297530731,7.8984987363965,488.368829326521,1.07535279925891e-90,1.27924761108124e-87,ENSG00000130429
PSMA2,-1.52986602543495,7.55146667882683,488.071567570808,1.19444221389472e-90,1.27924761108124e-87,ENSG00000106588
CSKMT,-2.18020526094345,6.46232243056688,453.238462797742,3.02095113164931e-85,2.91189479579677e-82,ENSG00000214756
NDUFA7,-2.11951392804516,6.42443287812948,513.462154831393,2.59637987252602e-80,2.19934603375104e-77,ENSG00000267855
HSPA1B,2.35015914409347,9.24759870226096,421.92846345398,2.73805917678312e-80,2.19934603375104e-77,ENSG00000204388
MT-ATP8,-1.52364727155303,7.83152980971771,378.373119062498,3.16148061511031e-73,2.34411628069602e-70,ENSG00000228253
MT-ND4L,-1.11508741201211,9.41835891679159,373.259936110171,2.19853930286942e-72,1.5136943100256e-69,ENSG00000212907
PLEKHF1,-1.64018165204361,7.26349499850154,314.775467197869,1.52049406797194e-62,9.77069488078768e-60,ENSG00000166289
LYPLA1,1.49724553092948,7.53422772036555,300.754700426575,3.97558399745502e-60,2.39504088446681e-57,ENSG00000120992
COX6C,0.882406567608426,9.57186972944924,292.761761417668,9.72816335039611e-59,5.51586861967459e-56,ENSG00000164919
ETS1,-1.90316598196816,6.64963768718011,287.320281001014,8.66597230666918e-58,4.64062817022135e-55,ENSG00000134954
SEM1,0.908199754560003,9.03961216745626,287.034842176311,9.72162908313728e-58,4.93193593328212e-55,ENSG00000127922
COMMD6,1.02449569805445,8.26525941851231,276.609487957612,6.57569202524376e-56,3.16915477156623e-53,ENSG00000188243
HNRNPA1,-0.992088394778282,8.17888792801339,271.05970818249,6.27647262857301e-55,2.88090093651501e-52,ENSG00000135486
PTGES,-1.73549486997649,6.50886802779123,263.4732471458,1.39091521728407e-53,6.09410535427326e-51,ENSG00000148344
UQCRB,1.12738994541494,8.29837426354166,263.095072394828,1.62392670423511e-53,6.8056650009227e-51,ENSG00000156467
NDUFB2,0.867361029041648,9.36954100739051,255.82349547675,3.21735061075211e-52,1.29216843904332e-49,ENSG00000090266
PTPMT1,-1.38697301227369,6.81229962376415,240.912448527198,1.54268839920198e-49,5.94798939196315e-47,ENSG00000110536
DBI,1.0249847671815,10.379890305615,240.118370563908,2.14710975007519e-49,7.95999649268261e-47,ENSG00000155368
HSPA5,-1.48386091625198,9.916185751302,235.083986561114,1.75407209274254e-48,6.26203737109086e-46,ENSG00000044574
FXYD3,1.25704369220206,9.89788496330038,228.44562359846,2.83146617747733e-47,9.74732231596572e-45,ENSG00000089356
SDCBP,1.46087320756658,8.00481801827626,227.852751297937,3.63229437132171e-47,1.20729949810931e-44,ENSG00000137575
PGF,-2.15057408400004,6.77283654010293,227.125949116224,4.93004154428551e-47,1.58402234817894e-44,ENSG00000119630
ATP5ME,-1.30105181039677,6.96346659557747,226.543274529817,6.29886786451901e-47,1.95854152729351e-44,ENSG00000169020
SEC61G,0.970699350970114,8.48730937124024,226.017335952627,7.85872529545203e-47,2.36719541008944e-44,ENSG00000132432
NR1D1,-1.69628253297789,6.58969439400308,224.327553056291,1.60077237802502e-46,4.67571059144944e-44,ENSG00000126368
