gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MTRNR2L12,6.81968493361555,9.70873603302831,4246.6521443838,1.89738201598842e-250,1.6222616236701e-246,ENSG00000269028
SNHG9,-3.92348263056974,7.46682359518876,812.036751309578,8.14222076005022e-108,3.48079937492147e-104,ENSG00000255198
NDUFA13,-2.62470599080192,7.53075743016697,462.736983710208,1.17817002916e-73,3.35778458310601e-70,ENSG00000186010
CEBPB,1.91841362517446,9.21133141162389,438.262355273379,8.1005239805328e-71,1.73148700083889e-67,ENSG00000172216
MT-ND4L,-1.81897384597127,9.6555797201923,414.062809514538,6.12284962430047e-68,1.04700728575538e-64,ENSG00000212907
MT-ATP8,-2.19438928164814,8.1468237444565,389.063915232086,6.9320966946381e-65,9.8782377898593e-62,ENSG00000228253
ARPC1B,-2.27624239189299,8.22778285131485,381.089586727466,6.80682884444406e-64,8.3140552314281e-61,ENSG00000130429
HIBADH,2.45285412310681,6.97968206377031,365.955942029022,5.50072480813585e-62,5.87889963869519e-59,ENSG00000106049
PSMA2,-1.94079570516323,7.87609948850581,339.911914595841,1.26403581425807e-58,1.20083402354517e-55,ENSG00000106588
SIVA1,1.80462105973139,7.7902429877697,333.547003879958,8.68854287501662e-58,7.42870415813921e-55,ENSG00000184990
CLDN23,2.7483005912267,6.77400923381034,320.927764530622,4.14651715804891e-56,3.22297470011983e-53,ENSG00000253958
LSM14A,-2.4047749516565,7.21106650115562,307.438215738395,2.75889195129953e-54,1.96571051530091e-51,ENSG00000257103
UQCRB,1.44113103852109,8.18745238720571,304.735664131361,6.450637168786e-54,4.24253444562464e-51,ENSG00000156467
CEBPG,-2.17675799993772,7.59115201804875,295.817427954236,1.08547652101952e-52,6.62916018194066e-50,ENSG00000153879
YBX1,-1.24321008555059,10.855142868425,288.349293033998,1.1825571622134e-51,6.74057582461637e-49,ENSG00000065978
AKT1,1.73712617972379,7.48430726468567,275.648991480036,7.2324714155237e-50,3.86485191267048e-47,ENSG00000142208
RDH14,1.89500352275038,7.08769687107135,272.354975344151,2.12508692570669e-49,1.06879371851719e-46,ENSG00000240857
OAT,1.67791773836575,7.6532296563128,267.462065664786,1.06254354903648e-48,5.04708185792328e-46,ENSG00000065154
ZFAS1,1.39421140998333,9.03991550298529,265.632961315397,1.94436628506797e-48,8.74964828280587e-46,ENSG00000177410
SERPINH1,1.9049215501232,7.67841477750239,265.374206714705,2.11813312968188e-48,9.05501912939004e-46,ENSG00000149257
MDK,1.700724767016,9.51496341449716,260.893723319412,9.36806509962324e-48,3.81414079056089e-45,ENSG00000110492
NCSTN,1.91308960710429,7.10519066461402,259.037967786243,1.73858399540621e-47,6.75676961851049e-45,ENSG00000162736
CERS2,1.83774959920859,7.19782388931157,255.249102082015,6.17323499143265e-47,2.29483300768475e-44,ENSG00000143418
DICER1,-2.21265046032775,7.81656491733475,254.372520324444,8.28368279980008e-47,2.95106199742878e-44,ENSG00000100697
BCAP31,1.20787797081108,8.97474237721507,249.988329395564,3.62397557969686e-46,1.23939964825633e-43,ENSG00000185825
LYPLA1,1.61892963588661,7.33633585580326,242.492744453735,4.61004581332105e-45,1.51599583476519e-42,ENSG00000120992
PLEKHF1,-2.22198194475469,7.5641120966557,238.42600117514,1.85188326145861e-44,5.81004448735582e-42,ENSG00000166289
LBH,-3.77051871238678,7.81919528416554,238.34704416198,1.90270462743816e-44,5.81004448735582e-42,ENSG00000213626
TRPM4,-2.73892568494298,6.9365312608995,230.889151554687,2.48673806842755e-43,7.33158982243295e-41,ENSG00000130529
CNN3,-2.35687841213958,7.70627797544201,221.360065684428,6.89456537120761e-42,1.96495113079417e-39,ENSG00000117519
DBI,1.23542198537934,10.1871451484541,220.850833310753,8.24417568365899e-42,2.27379684178337e-39,ENSG00000155368
PCBP2,1.53355996835142,7.5574804831622,220.520736494964,9.25773591227342e-42,2.47355131406056e-39,ENSG00000197111
PCMTD1,1.75954801501981,7.37774340186532,215.525649070362,5.38694818968499e-41,1.39570930369111e-38,ENSG00000168300
FGF2,2.4855060757983,7.19614599297317,214.599556852154,7.47702190544054e-41,1.88025109680931e-38,ENSG00000138685
TFB2M,1.94252881257812,6.74825575455578,211.419547554498,2.31236348723902e-40,5.64877366168389e-38,ENSG00000162851
SERBP1,-1.21043977841941,9.05442358003254,209.855710091234,4.0363337953787e-40,9.5862927640244e-38,ENSG00000142864
SPDEF,2.1560499972691,7.21127091166583,208.942455696583,5.59134809087344e-40,1.29205476153967e-37,ENSG00000124664
SLC2A4RG,1.4363400224221,8.08176423909436,208.159598387675,7.39575969935404e-40,1.66404593235466e-37,ENSG00000125520
RARRES1,-3.25655906556499,9.17760503872231,207.500477665742,9.36169002578624e-40,2.05237050565314e-37,ENSG00000118849
CDK2AP1,-2.24577470397135,6.75757480391514,206.192549102111,1.49546887877544e-39,3.19656472838251e-37,ENSG00000111328
ROCR,2.29824389200445,6.61673308771072,203.927927400862,3.37198779012813e-39,7.03182819648672e-37,ENSG00000228639
FKBP4,1.21889386896901,8.29255905136823,201.273558240411,8.77427282077783e-39,1.7861912528012e-36,ENSG00000004478
ATP5ME,-1.84629794363963,7.15083540378979,199.57827404944,1.61916621866164e-38,3.21950492315279e-36,ENSG00000169020
PLEKHF2,2.12197403703534,6.64330507963598,191.060773183683,3.59715508540293e-37,6.98992635913524e-35,ENSG00000175895
CBWD5,-2.01641662197241,6.77495477410029,187.125547865839,1.52669427020817e-36,2.90071911339552e-34,ENSG00000147996
ETS1,-2.5635439590158,6.86867713004974,187.008706546226,1.59384783165248e-36,2.96247803491928e-34,ENSG00000134954
SLC34A2,-2.70471459000071,7.04864915604317,185.717567863182,2.56591838446355e-36,4.66778769939646e-34,ENSG00000157765
