gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
FKBP10,-2.38920456740312,6.92712280966577,254.911348898528,5.25812882913934e-48,4.62294686657931e-44,ENSG00000141756
TRPM4,3.04921733145807,7.61464852339597,206.481165224006,2.13371381644911e-40,9.3798059371103e-37,ENSG00000130529
HOXB2,-1.88992091791808,6.99013008725567,150.749135316451,4.87730841217929e-31,1.42937651866268e-27,ENSG00000173917
UQCRFS1,1.00090712496505,9.23253925622347,147.800541270792,1.59656770077775e-30,3.5092558063095e-27,ENSG00000169021
DICER1,1.8764556651679,8.44779738329475,137.543590304221,1.02641589461285e-28,1.80484970908723e-25,ENSG00000100697
LBH,3.37404412848093,8.47275765750944,135.006284554441,2.90177856709025e-28,4.25207286030958e-25,ENSG00000213626
ZG16B,3.03638815285913,10.4360033216365,133.466713028928,5.46163150069122e-28,6.85980916486817e-25,ENSG00000162078
PEG10,-1.92896632225451,7.06621832889329,122.127360001601,6.01307795206859e-26,6.60837266932338e-23,ENSG00000242265
S100B,-2.0384687466215,6.89625901129595,115.847792569594,8.40222161095292e-25,8.20803693372201e-22,ENSG00000160307
ASPH,-1.35279809801843,7.23320592155292,106.327974340988,4.79900360707927e-23,4.2192839713441e-20,ENSG00000198363
GEM,-1.84942650086808,6.91192950331466,96.8358282090146,2.87197385380663e-21,2.29549037478799e-18,ENSG00000164949
TPM2,-1.46562001895676,8.10025286669633,95.4796487863017,5.17841720938439e-21,3.79405367540896e-18,ENSG00000198467
TBCB,-1.09597613150572,7.61113281652289,91.5499492288581,2.87806489878788e-20,1.946457430011e-17,ENSG00000105254
TF,-1.84238781436165,7.62453079101751,89.3531246923962,7.542783732841e-20,4.73686818422415e-17,ENSG00000091513
LY6K,-1.15731103590983,7.46683115438305,86.7299782549329,2.39372747966537e-19,1.40304346674786e-16,ENSG00000160886
RB1CC1,-1.15499267520602,7.29901136693358,85.2083790453127,4.68775738130638e-19,2.57592268102786e-16,ENSG00000023287
ARL13B,-1.49002815408414,6.89775081438884,84.3196600789057,6.94670217873922e-19,3.59267091502795e-16,ENSG00000169379
C1R,-1.50380309624935,6.80899401902653,82.7126176993185,1.41669444704278e-18,6.91976532133341e-16,ENSG00000159403
NTRK2,-1.62348755370301,6.74066416085855,82.3716025321222,1.64837117076533e-18,7.62762070177305e-16,ENSG00000148053
RAB2A,-0.902339570478233,7.74444293627143,81.7652891505624,2.15822742115552e-18,9.48756774339964e-16,ENSG00000104388
DSP,1.06895107506783,9.15307490457813,81.5308053525422,2.39548026282718e-18,1.00290773670365e-15,ENSG00000096696
OCIAD1,0.992643494642617,7.95862671277572,80.8543430251822,3.23714337511598e-18,1.2936802070009e-15,ENSG00000109180
SDCBP,-1.03392178446973,8.12013840493278,79.5479149197374,5.7958893429192e-18,2.21554170012807e-15,ENSG00000137575
NFASC,-1.4464295323231,6.74420486956998,87.0694703111735,8.79426548575601e-18,3.22163258961528e-15,ENSG00000163531
CLU,-1.69980143466546,7.48852979927156,76.9740384233969,1.8326264000133e-17,6.44498052356679e-15,ENSG00000120885
SYNM,-1.38580334724652,7.67800811291428,75.791317532754,3.11543706226355e-17,1.05349702505466e-14,ENSG00000182253
APLP1,-1.29992938940125,7.07731652106234,73.2695163525213,9.69142878484264e-17,3.15581636579024e-14,ENSG00000105290
ORM1,-1.75743085098097,6.95317792324372,72.6708828384919,1.26967236223327e-16,3.93238425913468e-14,ENSG00000229314
CALML5,1.86011338682618,11.143557913148,72.6235776406211,1.29707852041522e-16,3.93238425913468e-14,ENSG00000178372
