gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MTRNR2L12,6.86534972983198,9.29593591937598,3504.12674250603,1.09766656863475e-210,8.15127193868167e-207,ENSG00000269028
CEBPB,2.13707976082757,9.10443607267213,379.020549788704,3.17314280593126e-61,1.17818792384228e-57,ENSG00000172216
NDUFA13,-2.82283133573003,7.75745729448428,280.184884096545,6.08688677454481e-49,1.50670737292566e-45,ENSG00000186010
DICER1,-2.76626837707187,8.0092347334528,201.192593292035,7.93717265482328e-38,1.47353610336794e-34,ENSG00000100697
ZFP36,2.23142811657114,8.37850010423745,198.011590013686,2.37694122520225e-37,3.53023310767038e-34,ENSG00000128016
CXXC5,2.41686542635586,6.77578408375124,196.666431704015,3.78603720448986e-37,4.68585204675696e-34,ENSG00000171604
HSPA1B,2.13566685917551,8.37419298033606,184.920850246664,2.30263627202471e-35,2.44276813657935e-32,ENSG00000204388
DBI,1.28930565249089,10.0614851363936,162.167964543227,8.27967338799552e-32,7.68560682240684e-29,ENSG00000155368
PSMA2,-1.72003019118666,8.09131210559571,149.836376584932,8.00391023452553e-30,6.60411526684296e-27,ENSG00000106588
MT-ATP8,-1.80393908248114,8.39138092936908,146.177378952279,3.16670061997182e-29,2.35159188039107e-26,ENSG00000228253
CEBPG,-2.02407228646068,7.81474751665275,144.714709561811,5.50116338183047e-29,3.4871144755287e-26,ENSG00000153879
CERS2,1.75642632601429,7.13165098881943,144.651141072184,5.63498164642396e-29,3.4871144755287e-26,ENSG00000143418
LY6D,2.16376354256874,6.71973863939117,141.561645465806,1.81805449617409e-28,1.03852866835298e-25,ENSG00000167656
ARPC1B,-1.741009259947,8.47410376764728,139.634897748768,3.78687003626271e-28,1.937563697181e-25,ENSG00000130429
SOCS3,2.4219127993747,7.13268471307479,139.548520931226,3.9137429918819e-28,1.937563697181e-25,ENSG00000184557
ASPH,1.84584946256503,7.13705210147057,138.498782583409,5.84388445508429e-28,2.712292872716e-25,ENSG00000198363
MT-ND4L,-1.30906107752665,9.88935179997928,134.352369455363,2.86838382406492e-27,1.25297754573565e-24,ENSG00000212907
S100A7,3.01241479012989,8.49662008964941,133.280972514228,4.3352028443888e-27,1.78851201791285e-24,ENSG00000143556
PPDPF,-1.25516998574876,9.35026984865125,127.408978361884,4.22972530055223e-26,1.65315474115268e-23,ENSG00000125534
LYPLA1,1.55533968815465,7.26761190780204,127.252383358199,4.49614573626343e-26,1.66941891187461e-23,ENSG00000120992
UQCRB,1.24120189002311,8.00938801929592,126.071133937011,7.13177244179546e-26,2.52193057870348e-23,ENSG00000156467
TRPS1,1.53223335776621,7.88691622645865,124.311855452923,1.42037981692995e-25,4.79442750932808e-23,ENSG00000104447
ATP5ME,-2.04500677126573,7.35069256424466,121.663338191779,4.02424540215075e-25,1.2993063633205e-22,ENSG00000169020
RAB5IF,-1.38913041623373,8.37849287524415,121.10920004604,5.00719189943899e-25,1.54930862688475e-22,ENSG00000101084
C5orf46,-3.2702001467624,7.4797107844762,117.129692443862,2.42141610717313e-24,7.19257440474707e-22,ENSG00000178776
SELENOP,1.56971535867357,8.77874523482202,115.423834142761,4.77575888190353e-24,1.36403020988522e-21,ENSG00000250722
PRKDC,1.59612544284673,7.41410871856761,114.099213701115,8.10488731791477e-24,2.22914419343834e-21,ENSG00000253729
GPI,-1.64744568819906,7.63845936780036,113.638623948069,9.74435969018616e-24,2.5843433949758e-21,ENSG00000105220
MT-CO3,0.981028618498895,14.7492525951259,111.880334352316,1.97159552499201e-23,5.04864426503127e-21,ENSG00000198938
UBE2V2,1.43357850230272,7.27911384271674,109.808707074255,4.536693699473e-23,1.12298291374288e-20,ENSG00000169139
GPX4,-1.12535855607906,9.45452396842879,109.33276249247,5.49656104618208e-23,1.31669233319187e-20,ENSG00000167468
CRYAB,-2.56825641032805,10.7713363650287,108.719818554913,7.03958376641054e-23,1.63362340779265e-20,ENSG00000109846
ORM1,2.10506047515051,6.87631376265268,108.497793789418,7.70019134940131e-23,1.73277639274709e-20,ENSG00000229314
OAT,1.4035669839085,7.48624300708309,107.049801411603,1.38344179024951e-22,3.02159962776261e-20,ENSG00000065154
SNHG19,-2.16084608116118,7.41402116429764,106.726197173877,1.57734070510493e-22,3.34666630745978e-20,ENSG00000260260
HMCES,1.77987361492736,6.70203151501424,117.990432531128,2.06577935835452e-22,4.26124375420573e-20,ENSG00000183624
HIBADH,1.75947367569444,6.81616787062209,105.411518944769,2.68977572204195e-22,5.39845257077933e-20,ENSG00000106049
CLDN23,1.93116587360138,6.6616888685823,112.558597189033,6.04147577456594e-22,1.18063155531386e-19,ENSG00000253958
TRPM4,-2.6280849524461,7.16833396150575,102.574283355085,8.54989122859261e-22,1.60891860543113e-19,ENSG00000130529
POLR2K,1.0670239575501,8.26358851287548,102.541167188476,8.66640778578579e-22,1.60891860543113e-19,ENSG00000147669
PCBP2,1.3767239270917,7.44921813467725,98.768953006426,4.073305291812e-21,7.37765002365755e-19,ENSG00000197111
UPP1,-3.55484177666043,7.88976176401142,97.6139935761471,6.55731241455111e-21,1.15939528548706e-18,ENSG00000183696
PNP,1.41786983357933,7.94606626352993,96.8475676617506,8.99919135845283e-21,1.55413941925281e-18,ENSG00000198805
PLEKHF1,-1.88719689140615,7.79904865157827,96.1125104012413,1.21969170839375e-20,2.05850696057546e-18,ENSG00000166289
CLPSL1,1.73246850453805,6.6760000183333,107.394386006636,3.28202511476083e-20,5.41607077826976e-18,ENSG00000204140
ZFP36L2,1.52290355185527,8.41145120232772,93.6650726925308,3.36744758062603e-20,5.43623168124541e-18,ENSG00000152518
APEX1,1.42033023122995,7.67266570004787,93.3916174194373,3.77323217728821e-20,5.96170684011537e-18,ENSG00000100823
FXYD5,-1.41930424827917,8.14534700152459,92.0389748432262,6.63025215283054e-20,1.01802635300246e-17,ENSG00000089327
FTL,-1.42893170625486,11.0211362116616,92.0076900938478,6.71738369204424e-20,1.01802635300246e-17,ENSG00000087086
DNAJB6,1.09662659588561,7.98601752234,91.6837473093426,7.69011965703142e-20,1.14213657146231e-17,ENSG00000105993
SLC35B2,1.58662750868157,6.86701059540516,91.6035510429333,7.95204989551766e-20,1.15788083380616e-17,ENSG00000157593
RDH14,1.46483177545923,6.97440296233162,90.6057168696536,1.20687497594619e-19,1.72351030218777e-17,ENSG00000240857
SGCE,1.56470417937414,6.8944563137576,89.9939958296308,1.55925212857359e-19,2.18471817109197e-17,ENSG00000127990
MT-ND3,-0.871695076245809,11.4146468242386,89.3995697550769,2.00058252003483e-19,2.75117144329234e-17,ENSG00000198840
SDCBP,1.28203923228333,7.57954587498544,88.9769755518992,2.38883671724918e-19,3.22536390223499e-17,ENSG00000137575
SAA1,-2.73199363822579,8.55642614207611,88.3583201837435,3.09794055945308e-19,4.10809046330332e-17,ENSG00000173432
CBWD5,-1.95013293426087,6.98812856450077,87.7023206086283,4.08252259989398e-19,5.31873909242327e-17,ENSG00000147996
MGP,-3.07720897427508,11.2895891396027,86.9099520683614,5.70049640927907e-19,7.2986010922942e-17,ENSG00000111341
CDK2AP1,-1.98019679501493,6.97997488706493,86.0893450440724,8.0595423021673e-19,1.01440951077787e-16,ENSG00000111328
