gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MT-ND3,2.58573434824691,10.4832928483261,797.66077590256,2.13082652602976e-106,1.74131143707152e-102,ENSG00000198840
COX6C,2.7191568822909,8.27311365678901,580.594698239609,2.99041309406215e-86,1.22188279023379e-82,ENSG00000164919
TMSB10,2.11864195161596,9.89854383243275,525.661258144502,1.63579671719937e-80,4.45591025765109e-77,ENSG00000034510
S100A4,4.31694319864792,7.77078365294066,513.174630314154,3.63542492770993e-79,7.42717312731139e-76,ENSG00000196154
NDUFB2,2.84318514213239,7.89897903012842,496.833917726017,2.22953276290497e-77,3.64394834769189e-74,ENSG00000090266
FAU,2.19799337910506,8.68026395025363,411.443597926413,1.55158548844045e-67,2.11325943525589e-64,ENSG00000149806
SEM1,2.66460220554148,7.69838542879406,370.112546906071,1.9453122036203e-62,2.27101304685502e-59,ENSG00000127922
S100A6,3.19572374475954,10.3655744892018,360.243517510578,3.48283096824991e-61,3.55771183406729e-58,ENSG00000197956
ORM2,3.56195147412878,6.98678395876975,329.854024501742,3.10348336491567e-57,2.81796289534343e-54,ENSG00000228278
OST4,2.58891028985059,7.61250580610487,328.273166396813,5.02621907365247e-57,4.1074262269888e-54,ENSG00000228474
COX7A2,2.32213926070998,7.86215348950062,327.799742393065,5.80799163848285e-57,4.3148097881529e-54,ENSG00000112695
SERF2,2.23783088949883,8.14921323000255,315.072571546759,2.92014756037738e-55,1.988620488617e-52,ENSG00000140264
ATP5F1E,2.32666523117266,7.98716097734869,314.73150917808,3.24609431477372e-55,2.04054482617929e-52,ENSG00000124172
S100P,3.77247208593877,7.07424034164182,304.237137467294,8.60716188312325e-54,5.02412335063451e-51,ENSG00000163993
ORM1,3.84164665752106,7.12427297952174,303.074803540506,1.24067913864011e-53,6.7592199473113e-51,ENSG00000229314
UQCRB,2.58564932127635,7.36656745757887,280.486327254549,1.68274735184583e-50,8.59463209955257e-48,ENSG00000156467
NDUFB4,2.32627692654169,7.54325495055915,257.427629026145,3.2972502334728e-47,1.58500758281998e-44,ENSG00000065518
UBL5,2.33758346102967,7.43901466197994,256.40606056141,4.63772342431135e-47,2.10552643463736e-44,ENSG00000198258
COX7C,2.36618644636803,7.47467311081667,254.230028944569,9.60616720127669e-47,4.13166307204385e-44,ENSG00000127184
UBA52,1.81446870934811,8.5340779615082,253.931809658201,1.06160168113028e-46,4.33770446909831e-44,ENSG00000221983
ATP5MF,2.13966260515111,7.80786387588121,245.513760587674,1.81337144272924e-45,7.05660544284923e-43,ENSG00000241468
S100A8,4.20297081428282,9.83177512813497,240.420366358654,1.02564134324387e-44,3.8097913895404e-42,ENSG00000143546
NDUFA13,2.74761865318922,6.89019164580618,237.239575339927,3.0447936495436e-44,1.0818284219161e-41,ENSG00000186010
UQCRH,1.62053119105327,8.5935918188128,227.922745474876,7.57781057804334e-43,2.58024450182376e-40,ENSG00000173660
ZFAS1,2.37299797405785,7.69589445816904,221.054734412483,8.31934952121361e-42,2.7194289714943e-39,ENSG00000177410
NDUFS5,1.76913167702906,8.64385356383768,217.127036758664,3.30843045108234e-41,1.03986514024019e-38,ENSG00000168653
TOMM7,2.26912989996434,7.3910928085804,208.902638642578,6.10554439430368e-40,1.84794477000925e-37,ENSG00000196683
COX7B,2.3377133535882,7.38813102622343,204.224304638405,3.25465546795087e-39,9.49894445860519e-37,ENSG00000131174
C8orf59,2.28623153901676,7.35962753640938,204.099956856952,3.40320710119781e-39,9.59000290723743e-37,ENSG00000176731
TXN,1.41482112555809,9.16495058254312,201.459121503874,8.79739188501144e-39,2.39640954947712e-36,ENSG00000136810
ENY2,1.7367363156818,8.11384067180372,194.517703594987,1.08637857317257e-37,2.86383409676329e-35,ENSG00000120533
FMC1,2.56743363787403,6.75136203401823,193.702634080883,1.46176721923451e-37,3.73298803612014e-35,ENSG00000164898
COX8A,2.12852318951549,7.50139069197842,191.532553807878,3.22702072583376e-37,7.99127677924651e-35,ENSG00000176340
COMMD6,2.21939008110739,7.35046704544534,189.475341745158,6.85233369182501e-37,1.64697855675276e-34,ENSG00000188243
