gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MTRNR2L12,6.82090694545028,9.06219335660082,3183.56005870183,1.66776032306788e-195,1.2359771754256e-191,ENSG00000269028
CEBPB,2.33944685952628,9.11241472362345,416.73604449204,1.91560049065475e-64,7.09825761812119e-61,ENSG00000172216
HLA-DRA,3.84172665386778,7.14465456185958,343.837008533795,3.36414328401435e-56,8.31055529261012e-53,ENSG00000204287
SOCS3,3.59740918545991,7.45385447682385,339.308952219164,1.16174493339465e-55,2.15242292534694e-52,ENSG00000184557
SNHG9,-3.5052579726581,7.75543224559525,276.174191444362,8.52888629384962e-48,1.26415152647439e-44,ENSG00000255198
MUCL1,4.55698911088969,7.75568321524415,255.232227245638,5.03489125141623e-45,6.21892984404094e-42,ENSG00000172551
LY6D,2.75735111371077,6.75646227904288,216.202503248344,1.28810270199683e-39,1.36373273207122e-36,ENSG00000167656
NDUFA13,-2.60170882325685,7.77705061785256,213.407515469476,3.23750829798266e-39,2.99914674954369e-36,ENSG00000186010
ZFP36,2.29783583260821,8.32749967273851,204.89804501244,5.49676126712587e-38,4.52627752785221e-35,ENSG00000128016
SDCBP,2.02928817959401,7.73621399514561,186.486899568882,2.8923577401461e-35,2.14352632122228e-32,ENSG00000137575
HOXB2,2.48013040103904,6.67286342107176,175.08397049176,1.54776102926693e-33,1.04276881708157e-30,ENSG00000173917
TCN1,3.1795220846472,7.08976058386931,166.842743339765,2.88655380581842e-32,1.78268752124336e-29,ENSG00000134827
ZFP36L2,2.00817914960129,8.53576114437069,164.21444403955,7.40487091016299e-32,4.22134602424753e-29,ENSG00000152518
MT-ATP8,-2.04345469425702,8.40005775495858,162.286336377786,1.48209184866241e-31,7.84555906459793e-29,ENSG00000228253
MT-ND4L,-1.64370764311864,9.8947764658442,161.204115639072,2.1901668953905e-31,1.08208845744927e-28,ENSG00000212907
HSPA1B,2.05271348877654,8.25285574791044,150.504448864468,1.08435882856493e-29,4.97047308705094e-27,ENSG00000204388
PSMA2,-1.91026417497783,8.09590353989945,150.368174456835,1.14017059074168e-29,4.97047308705094e-27,ENSG00000106588
CA2,2.67928078576064,7.0562788638857,141.567517181944,2.99386423714033e-28,1.23264043674705e-25,ENSG00000104267
CD74,2.33697009648562,7.52838204617376,140.901731800838,3.84188494447998e-28,1.49853733281796e-25,ENSG00000019582
ATP5ME,-2.40881047696861,7.33586028396869,136.636392063163,1.91270287582679e-27,7.08752050637616e-25,ENSG00000169020
RABGGTB,1.94611757114848,6.81240990764425,127.487972136391,6.24973362188663e-26,2.20556075580009e-23,ENSG00000137955
DICER1,-2.40956163225798,8.0450729310535,125.950914435302,1.1294627089983e-25,3.80474915290293e-23,ENSG00000100697
UQCRB,1.24831305210314,7.96182430932379,118.370257690752,2.14616091029525e-24,6.91530369834699e-22,ENSG00000156467
KYNU,2.37349421835734,6.76871891970156,114.865215681133,8.49890082202107e-24,2.62438974966659e-21,ENSG00000115919
CXXC5,1.97645829903362,6.65250068238136,114.348672399754,1.04182890651063e-23,3.08839761046011e-21,ENSG00000171604
ORM1,2.35156345123885,6.86365406811807,113.397281096911,1.51675004313189e-23,4.32332098832708e-21,ENSG00000229314
ARPC1B,-1.66050055602995,8.49765560200742,112.013731356289,2.6222612322751e-23,7.19762147866326e-21,ENSG00000130429
RAB5IF,-1.49058700355985,8.38794394168323,111.881841107293,2.76296476901259e-23,7.31297567969725e-21,ENSG00000101084
IFI27,2.82177634442661,7.63488323260478,111.065636983135,3.81929737306337e-23,9.76028028681815e-21,ENSG00000165949
HIBADH,1.86630455545698,6.7741575022146,110.319523550441,5.13709309329379e-23,1.26903323048001e-20,ENSG00000106049
CLDN23,2.02570465846113,6.61433603450559,112.849744299376,5.54998701929581e-23,1.32680496129036e-20,ENSG00000253958
PLEKHF2,1.97136463669233,6.6225670710827,113.121054830734,9.01166735742866e-23,2.08704583705949e-20,ENSG00000175895
TXNIP,2.23922360470426,7.29821113144226,107.482157620408,1.59233581573635e-22,3.57600022134002e-20,ENSG00000265972
HLA-C,1.35849936589489,10.2367059947167,104.9203359996,4.44687948805961e-22,9.69288937823817e-20,ENSG00000204525
ASPH,1.63109272852272,7.03321011656452,103.463094435346,7.99465207354752e-22,1.69281047191602e-19,ENSG00000198363
PPDPF,-1.10698975146071,9.39216553001895,99.8724772129882,3.41761885237354e-21,7.03554814303898e-19,ENSG00000125534
BTG2,2.05235664052488,7.5222398989851,98.7957664271984,5.29449199396555e-21,1.06047243695348e-18,ENSG00000159388
LBH,-4.01915339434901,8.11104887627361,97.7812422180495,8.00445646861574e-21,1.56107965497135e-18,ENSG00000213626
