gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MT-ND3,2.74922666961256,10.3300519469164,604.05577208037,1.47126669321518e-87,1.1876064747633e-83,ENSG00000198840
TMSB10,2.54616172309067,9.84516363851969,520.424395623264,4.49188480663382e-79,1.81292470795741e-75,ENSG00000034510
NDUFB2,2.99008269258479,7.77576189552662,373.865166176855,2.39350018985005e-62,6.44011117748987e-59,ENSG00000090266
COX6C,2.56836561973588,8.09031492204504,329.039837849426,1.17230820085542e-56,2.36571794932623e-53,ENSG00000164919
OST4,2.92225616653952,7.5461276068686,292.397629538615,9.0810465607154e-52,1.46604415676189e-48,ENSG00000228474
S100P,4.17999063771001,6.99381397592822,283.693681838529,1.42358627375241e-50,1.91519806695491e-47,ENSG00000163993
DEFB1,3.74230104234905,7.95789633202721,274.722976286707,2.50919656433014e-49,2.8934620953247e-46,ENSG00000164825
UBL5,2.75726953121251,7.39947021949067,261.550425596346,1.80452684703948e-47,1.82076758866284e-44,ENSG00000198258
COX7A2,2.47186742664656,7.77235834335549,246.498507771901,2.62279170717853e-45,2.35235274003835e-42,ENSG00000112695
ATP5F1E,2.47481341564571,7.89513053407977,236.892149495495,6.64219380974437e-44,5.36157884322566e-41,ENSG00000124172
FAU,2.08812586127632,8.54262030815005,234.191354060722,1.66070798381481e-43,1.21865771321392e-40,ENSG00000149806
ATOX1,2.66197307364986,7.32593357244378,209.886032560407,7.42983997035165e-40,4.99780568672321e-37,ENSG00000177556
TOMM7,2.70505887764925,7.35240133880203,208.771721376959,1.10005906006074e-39,6.83052056370024e-37,ENSG00000196683
SERF2,2.21894533704033,8.03567089211625,208.092711079606,1.39767906938902e-39,8.05861817722012e-37,ENSG00000140264
COX5B,2.42982268896305,7.73934015245387,207.69023665661,1.61099975207281e-39,8.66932666582115e-37,ENSG00000135940
COX7C,2.55007436885442,7.40101484300175,200.877199321963,1.8065805045524e-38,9.11419864546685e-36,ENSG00000127184
ZFAS1,2.49821413212769,7.60881451200309,187.515165852695,2.22116608414354e-36,1.05466191948274e-33,ENSG00000177410
SEM1,2.40668256279055,7.54133885987814,186.592189897541,3.10793022191133e-36,1.39373404173712e-33,ENSG00000127922
UQCRQ,2.44410939066027,7.51062556682079,184.88153411032,5.79965826181006e-36,2.46393902575425e-33,ENSG00000164405
UBA52,1.84611340453649,8.45113820969693,183.91551324909,8.25483359839333e-36,3.33165084031155e-33,ENSG00000221983
ATP5MPL,2.55756182525779,7.17234648777497,177.424999356887,8.96564075324648e-35,3.44622153143836e-32,ENSG00000156411
NDUFA13,2.79097868103729,6.82030286242587,172.959119309017,4.69143740589669e-34,1.72133103365446e-31,ENSG00000186010
UQCRB,2.58767844416653,7.26350735072176,171.166473686445,9.14531150105308e-34,3.20960671463045e-31,ENSG00000156467
COX6B1,2.27353433394683,7.49131012201116,163.169878351722,1.83736134399305e-32,6.17965865362994e-30,ENSG00000126267
COX7B,2.45178053474295,7.31341987194057,162.247611377814,2.60327195927738e-32,8.40544450211479e-30,ENSG00000131174
COPS9,2.66601527044368,6.84928003014043,161.315968565303,3.70343896957306e-32,1.14977536009207e-29,ENSG00000172428
NDUFB4,2.31166907758396,7.44115217795667,160.966436162703,4.2276344204007e-32,1.2639061126472e-29,ENSG00000065518
