gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SCGB2A2,-3.58860713782397,9.92745364113746,152.244230121618,6.40699058566681e-30,4.50283298360664e-26,ENSG00000110484
GPI,2.00314717242158,7.92101694481785,135.123231572359,3.72272922451014e-27,1.30816704949286e-23,ENSG00000105220
FXYD3,1.40110246738492,10.2775287545271,111.216044750602,3.84917921927061e-23,9.01734385101127e-20,ENSG00000089356
CEBPG,1.80109720459064,7.77575077482042,104.525092117707,5.53932053332884e-22,9.73258617705876e-19,ENSG00000153879
SYNM,-1.91499439802188,7.56198582946759,102.302882701347,1.35391637597205e-21,1.69211478691927e-18,ENSG00000182253
FXYD5,1.56109552480469,8.28918508205886,102.142065685629,1.44460568035225e-21,1.69211478691927e-18,ENSG00000089327
LRP3,1.90089511523175,7.44160157713852,101.353821475377,1.98562961429619e-21,1.99357213275338e-18,ENSG00000130881
S100A1,-1.87357878211677,7.6384824705557,100.540655272745,2.75835970053802e-21,2.42321899692265e-18,ENSG00000160678
DSG1,2.2889889727766,7.65172959947985,95.7671828023834,1.92097741138623e-20,1.50006991635805e-17,ENSG00000134760
COX6B1,1.0622476765524,8.55614641847821,93.8317180374495,4.24307810718654e-20,2.9820352937307e-17,ENSG00000126267
LSM14A,1.46706524000507,7.76867454113176,92.0637684801417,8.77572767898385e-20,5.60689219344532e-17,ENSG00000257103
CLPSL1,-1.7107967768351,6.87805924535416,101.366844607186,1.30559597774377e-19,7.64644044298601e-17,ENSG00000204140
DZANK1,-1.7106579621734,6.86457163672431,85.2216520852472,1.49956060174134e-18,8.10685531464473e-16,ENSG00000089091
GPX4,0.990606887709003,9.37215004721821,82.8355651227096,4.07511306729919e-18,2.04570675978419e-15,ENSG00000167468
PEG10,-1.8242984012312,6.93150723093274,82.5210390222448,4.65093081112258e-18,2.16264582114906e-15,ENSG00000242265
PI3,2.91774411042665,8.83459044018123,82.3855763881443,4.92349646249075e-18,2.16264582114906e-15,ENSG00000124102
LSR,1.21712016692523,8.11651540024759,79.4724070015886,1.68253759350096e-17,6.9558083571322e-15,ENSG00000105699
PEPD,1.71876024180306,7.2783558458071,75.2261164561451,1.0234683250739e-16,3.99607521589966e-14,ENSG00000124299
CALML5,1.56347965335726,11.9745573483357,73.17338898327,2.46494669703164e-16,9.11770809828334e-14,ENSG00000178372
GRAMD1A,1.35651199317338,7.6117192372074,71.8393694156095,4.37359476400146e-16,1.53688120007011e-13,ENSG00000089351
IGFBP2,-1.7794861065485,7.27628691944029,66.3081931496872,4.80323580534758e-15,1.60748291618966e-12,ENSG00000115457
CEP89,1.70293321150741,7.13105482252267,65.079999231032,8.21171158009831e-15,2.62326859022413e-12,ENSG00000121289
ARID5A,-1.64173149505872,7.12857123999116,64.4938504940633,1.06125588884576e-14,3.24282886382956e-12,ENSG00000196843
USF2,1.28902621745118,7.50503071811937,62.7644700421272,2.26648708474813e-14,6.63702967983744e-12,ENSG00000105698
HAPLN3,-1.40875671423736,7.08281490450355,62.5055031156816,2.53989311836886e-14,7.14014753435855e-12,ENSG00000140511
EEF2,0.71900188989484,9.58652791454851,61.9939323135751,3.18136801922791e-14,8.5994824765899e-12,ENSG00000167658
SCCPDH,1.76165092002464,7.50401782774418,59.3597784188561,1.01879883979382e-13,2.65189564669296e-11,ENSG00000143653
AC008556.1,1.63442407383817,7.03544891964204,58.6640628046566,1.38715918579653e-13,3.4817695563493e-11,ENSG00000277013
ATP5F1D,0.910111114257459,8.44135589269385,58.2798169837018,1.64532848151261e-13,3.98736847174848e-11,ENSG00000099624
CAV2,1.33285895463123,8.14057662813799,55.037399348858,6.99093149215241e-13,1.63774221756157e-10,ENSG00000105971
SGCE,-1.31649524690751,7.11895427096058,54.5637098604086,8.64454137711508e-13,1.95980118704403e-10,ENSG00000127990
TMEM147,0.955852139384404,8.27780665782355,54.2932814780205,9.7595835179431e-13,2.14344853012825e-10,ENSG00000105677
LTF,-1.7109452141173,7.04903220175171,53.312596000652,1.51636023079626e-12,3.2293877884958e-10,ENSG00000012223
MIR503HG,-1.65702018706052,7.09665556168415,52.8889492359591,1.83492353613914e-12,3.79289488587819e-10,ENSG00000223749
FLNA,-1.35759633643646,7.05545265036442,51.9568902958433,2.79337773004273e-12,5.60910248192581e-10,ENSG00000196924
FRZB,-1.55845831128061,7.95300736824383,51.7891430672365,3.01316364907232e-12,5.63673254837873e-10,ENSG00000162998
UBA2,1.18276935275532,7.65599543177329,51.7682475302736,3.04173264616843e-12,5.63673254837873e-10,ENSG00000126261
PDCD5,0.799875169012109,9.02739206039989,51.763871911939,3.04774952815014e-12,5.63673254837873e-10,ENSG00000105185
TMEM176B,-1.44789073857281,6.86864040234152,51.5892013046522,3.29797164543409e-12,5.94311403182328e-10,ENSG00000106565
S100A11,0.695268444345583,11.365340117994,48.4477842905464,1.37136932903295e-11,2.36492446333531e-09,ENSG00000163191
TRPM4,1.87619409398084,7.08937068073821,48.4345651213095,1.37965143706243e-11,2.36492446333531e-09,ENSG00000130529
GPNMB,-1.31984117744445,7.56437554644623,48.271810395994,1.48583979792575e-11,2.45721733242284e-09,ENSG00000136235
ZNF599,1.42237318094095,7.11629050035213,48.2459989902801,1.50341982490299e-11,2.45721733242284e-09,ENSG00000153896
TRPS1,-0.912827423274523,8.21128567188095,46.5028900370587,3.33312495223156e-11,5.32390958279168e-09,ENSG00000104447
UQCRB,-0.727596233085847,8.30272895862691,45.5328718941575,5.19942206606163e-11,8.12034184006248e-09,ENSG00000156467
ANXA3,1.68864223496859,7.36427510783447,44.7134038980749,7.57662084491876e-11,1.15757589778454e-08,ENSG00000138772
NDUFS7,0.956884468773788,7.82677721324626,44.4842119421023,8.41925307650354e-11,1.25894703450355e-08,ENSG00000115286
C19orf24,0.99576920599477,7.87290565598,44.4067034406813,8.72505078683081e-11,1.27749285270514e-08,ENSG00000228300
DMKN,1.30422208931197,8.39088679940939,43.1806066028137,1.53568364807645e-10,2.20260911809823e-08,ENSG00000161249
PDCD2L,1.37470399303199,7.11779165731066,43.0028544573637,1.66711399033164e-10,2.34329542481016e-08,ENSG00000126249
MRPL54,1.09025605307015,7.36562700800671,42.2858693884419,2.32270285164772e-10,3.2007756159569e-08,ENSG00000183617
MCRIP2,0.813096962372705,8.46118949807767,41.6757470761193,3.08161083659693e-10,4.16491556915447e-08,ENSG00000172366
PIM1,1.62359325947048,7.35931692577964,41.2666689552566,3.7257882095766e-10,4.94053576168006e-08,ENSG00000137193
RNF223,1.63850867255037,7.25341550423932,40.45655731924,5.42941799581322e-10,7.06628697677321e-08,ENSG00000237330
DSG3,1.29590809654677,7.66226489942429,40.1039493460496,6.39806329682645e-10,8.17556160910841e-08,ENSG00000134757
CTSC,1.22933777269619,8.06977667042828,39.7924279751325,7.39766822008822e-10,9.28407361621072e-08,ENSG00000109861
PLIN3,0.963214419534387,7.85739775187884,39.4620684636619,8.63006247757348e-10,1.06407156302432e-07,ENSG00000105355
PDZK1IP1,1.13438085933334,9.06060504898239,39.1410442218288,1.00254008257142e-09,1.21480201729516e-07,ENSG00000162366
CYP1B1,-1.56452308974348,7.36139103112237,38.5346233521415,1.33111449913951e-09,1.58560554236483e-07,ENSG00000138061
PUS10,1.49925321305375,6.93973044323853,37.6042510290288,2.05831216520371e-09,2.41096964950861e-07,ENSG00000162927
CDC34,1.03925892874283,7.62639291696082,37.4799464715057,2.18193034088736e-09,2.51386990750104e-07,ENSG00000099804
CHCHD7,1.36907253886628,7.01055944282909,37.0527271177441,2.66664459479519e-09,3.00627184763636e-07,ENSG00000170791
KLK7,1.80640952377482,7.76581963004685,37.0303230680435,2.69486520206447e-09,3.00627184763636e-07,ENSG00000169035
DSC3,1.21260862790372,7.63591814330011,36.9204117477961,2.83772653180179e-09,3.11617844773484e-07,ENSG00000134762
CSTB,0.995675900020961,11.2963184927635,36.6541454965238,3.21622685023658e-09,3.47748343130196e-07,ENSG00000160213
ZFR2,1.30834330297119,6.96864516089859,36.5371605700993,3.3982110951968e-09,3.61857993591562e-07,ENSG00000105278
POLR2E,0.881944192201303,7.71064180299893,36.4540855670177,3.53370375566444e-09,3.7066970141507e-07,ENSG00000099817
RNF126,1.03271417615599,7.44634398565769,36.3005617151701,3.79856796461646e-09,3.9259317140183e-07,ENSG00000070423
RCSD1,1.39655719869444,7.51628705290753,35.7493520467084,4.92535958065663e-09,5.01672856997896e-07,ENSG00000198771
LAMP2,-0.880740240009659,7.90415719184776,35.630492319252,5.20942063389244e-09,5.23025831642801e-07,ENSG00000005893
ACTG1,-0.614748366148344,11.476407855465,35.2764849481383,6.15698081190074e-09,6.03851576858864e-07,ENSG00000184009
SBSN,1.80275720277057,8.23223988750017,35.2664271998878,6.1862995921796e-09,6.03851576858864e-07,ENSG00000189001
IGFBP5,-1.76470243710079,7.82243257023377,35.0696549482552,6.7890235760735e-09,6.53606269762254e-07,ENSG00000115461
KLK5,1.47037432739868,7.88970744916758,34.6572545304174,8.25099223578033e-09,7.83621262608975e-07,ENSG00000167754
SLC52A2,-0.730017179552464,7.87577651920916,34.13305277301,1.0575924633194e-08,9.91034644294499e-07,ENSG00000185803
CXCL3,2.00390297310551,8.16966550950099,33.6065629850726,1.35760475282316e-08,1.25542713195278e-06,ENSG00000163734
NUDT19,1.22807710290086,6.99673109847573,33.5106428252813,1.42085997613101e-08,1.29685765094139e-06,ENSG00000213965
LURAP1L,1.34643601628535,6.93113335208608,33.2962445266322,1.57318350717549e-08,1.41747867800376e-06,ENSG00000153714
RARRES1,1.82353038799818,9.03704991155477,33.2287531599202,1.6244567507333e-08,1.44514962584224e-06,ENSG00000118849
SLPI,1.15836151519101,10.2873294406874,33.0523962616448,1.76651797261415e-08,1.54676720517371e-06,ENSG00000124107
ENO1,0.620697877767565,9.53488118158126,33.0332203873733,1.78269982383424e-08,1.54676720517371e-06,ENSG00000074800
BSG,0.603915261668333,8.45195164602764,32.5510488301899,2.24249959154188e-08,1.92198623528736e-06,ENSG00000172270
KLF5,1.33457538879541,6.99851242262867,32.2722677672918,2.56105103382867e-08,2.16856224888529e-06,ENSG00000102554
LCN2,1.85653074816952,10.5339839065087,32.1204691351328,2.753276008241e-08,2.30357426022831e-06,ENSG00000148346
MIDN,1.00681463053537,7.67329442960679,32.0710319066296,2.81896362893822e-08,2.33078545696209e-06,ENSG00000167470
SQLE,-0.911462864028684,8.14561690605294,31.9510242657272,2.98505775135004e-08,2.43941696238234e-06,ENSG00000104549
MMP7,1.94132050872865,8.7912254435212,31.8497779005305,3.13282623933915e-08,2.53074744943397e-06,ENSG00000137673
MYDGF,0.647905569235338,8.39348621898462,31.7579956295102,3.27313703852239e-08,2.61404626212902e-06,ENSG00000074842
PCGF2,-1.03150105195762,6.94559678037459,31.544033808312,3.625293211186e-08,2.86275962788935e-06,ENSG00000277258
SAA1,1.72353873509551,7.96475854897798,30.6749512971392,5.49432159412181e-08,4.26406705665153e-06,ENSG00000173432
MFGE8,-0.82714871401337,8.14368693554253,30.6647640866483,5.52120236419023e-08,4.26406705665153e-06,ENSG00000140545
DEFB1,1.09068820981015,8.87424887850661,30.6188793358944,5.64392818059114e-08,4.3114703536081e-06,ENSG00000164825
MGLL,1.37115707866005,7.3793576076014,30.4621811997863,6.08412660724241e-08,4.59776793502147e-06,ENSG00000074416
UPP1,1.42442282219423,7.05805733186331,30.4069774369118,6.24730696381875e-08,4.67085886614023e-06,ENSG00000183696
ARID4B,-0.607465971498402,8.29335389749343,30.2831362643275,6.62959011584858e-08,4.87845256015602e-06,ENSG00000054267
NDUFAF6,-0.965132176374916,6.99474476415174,30.265143115023,6.68705936722993e-08,4.87845256015602e-06,ENSG00000156170
OTUD6B-AS1,-0.99948252083321,7.07646445100515,30.2508065229026,6.73320857050561e-08,4.87845256015602e-06,ENSG00000253738
TNFRSF18,-1.00097421073148,7.04619610850144,30.0450888146544,7.4318447352973e-08,5.32969436731321e-06,ENSG00000186891
FABP7,-1.20105864898782,6.9080366674626,29.916160378299,7.90645490764258e-08,5.61278435261738e-06,ENSG00000164434
MBOAT2,0.857384033662925,8.44578103250798,29.8853353380306,8.02437747718453e-08,5.63953249096529e-06,ENSG00000143797
STAP2,0.86235976580577,7.64554899128126,29.7040743474072,8.75451799022885e-08,6.09175766686419e-06,ENSG00000178078
HPN,1.22288683671475,7.10765022703813,29.6293209739419,9.07478584912905e-08,6.25270538702735e-06,ENSG00000105707
PCSK1N,-0.712520287206779,8.30011520167221,29.6080069125891,9.16824517711411e-08,6.25576962182116e-06,ENSG00000102109
URI1,0.63389123358375,8.25035431998218,29.5869522971191,9.26151835732633e-08,6.25864913608552e-06,ENSG00000105176
ALDH1A1,1.39089388196816,7.24146743309357,29.469996673487,9.79730838319242e-08,6.55766507781679e-06,ENSG00000165092
PERP,0.667799142096925,9.32475504485829,29.3180099393628,1.05404991449146e-07,6.9885498104207e-06,ENSG00000112378
LAPTM4B,-0.652345607650967,8.82482557288496,29.2571491033822,1.08537850962468e-07,7.12900950060024e-06,ENSG00000104341
KRT10,0.718916683308472,8.32945633363237,29.075997910051,1.18428804083432e-07,7.70664476942925e-06,ENSG00000186395
CPEB4,1.08547797313036,7.42936813507546,28.9962612864223,1.23065505418263e-07,7.9349024961427e-06,ENSG00000113742
GLIPR1,1.25562010465406,7.15475942700218,28.7021682233411,1.41805098646681e-07,9.06005666626248e-06,ENSG00000139278
