gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SCGB2A2,-4.65747543045105,10.6093771412924,208.922352345699,4.91296768582024e-38,3.41205605780216e-34,ENSG00000110484
SCGB2A1,-3.5506930480496,8.04888674804549,171.060664928477,1.5875300730541e-32,5.51269817868035e-29,ENSG00000124939
OASL,-2.36427175838448,7.11356200856864,103.166608136669,1.33733603210581e-21,3.09593291432496e-18,ENSG00000135114
CA2,-2.23793300776435,7.29558987806314,100.239576744348,4.28867761837602e-21,7.44621651490536e-18,ENSG00000104267
CD74,-2.2126838638806,7.70574060716442,86.4796763348724,1.13661510690762e-18,1.57875838349468e-15,ENSG00000019582
MUCL1,-2.81324705749155,8.24901696808528,79.6080507078142,1.96902762035604e-17,2.27914947056211e-14,ENSG00000172551
RAD51B,-1.86703604369731,7.84785408227553,76.6987902301669,6.67767351104316e-17,6.62520607631353e-14,ENSG00000182185
RGS16,-2.16222893547645,7.04776300462621,75.3993294107062,1.15530305359879e-16,1.00294746340545e-13,ENSG00000143333
HLA-DRA,-2.17748155635864,7.55375816978606,74.8677372834457,1.44643242724438e-16,1.11616368969024e-13,ENSG00000204287
CALML5,1.80994403983186,12.003086063376,71.7979060042009,5.32534197815626e-16,3.69845000382952e-13,ENSG00000178372
HLA-DQB1,-1.51445123273371,7.26715453672027,66.3470553919557,5.518117160731e-15,3.48393851647971e-12,ENSG00000179344
C1S,-1.72958922209453,7.03505887535103,65.5644106083122,7.7392868951114e-15,4.47911229054572e-12,ENSG00000182326
LRP3,1.59856872063007,7.45116224955828,65.1731995121976,9.16729496307575e-15,4.89745103988931e-12,ENSG00000130881
TPM2,-1.75848458435124,7.32353332506177,64.8872207856677,1.03763518682711e-14,5.14741169465308e-12,ENSG00000198467
PTN,-2.20448396696429,9.07706443048713,61.698415963593,4.15503001559702e-14,1.92377889722142e-11,ENSG00000105894
S100A1,-1.62926524223063,7.51088924488288,60.2711539458595,7.75922928416329e-14,3.36799046115713e-11,ENSG00000160678
LAMP2,-1.18738695865104,7.93896457233459,58.4948601633978,1.69342241222961e-13,6.91812861937334e-11,ENSG00000005893
BST2,-1.8462400966239,7.80962985148904,56.3750496464833,4.31795510013953e-13,1.6660110094705e-10,ENSG00000130303
IFI6,-1.92316083412806,8.1686255422816,55.3813907043252,6.7080520896054e-13,2.45196956643734e-10,ENSG00000126709
HLA-DMA,-1.47768784335676,6.8487571747997,54.9053763558963,8.28748569414349e-13,2.87782940729133e-10,ENSG00000204257
MX1,-1.64150515514875,7.42290340320389,54.3375283573073,1.06687511326914e-12,3.52830841031151e-10,ENSG00000157601
HLA-DRB1,-1.51148069268878,7.93281765445241,51.6354413337717,3.56714832137473e-12,1.12608386781579e-09,ENSG00000196126
