gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
PRDX1,-1.02309911884036,10.1294809867659,181.507673094064,4.0450405968018e-33,2.85782118164048e-29,ENSG00000117450
CALD1,-1.90723011995227,8.58115661720167,177.058727913298,1.7019840252541e-32,6.01225856921009e-29,ENSG00000122786
PABPC1,-1.02719821707147,10.0183568442522,154.926684218965,2.64108412703573e-29,6.21975311916914e-26,ENSG00000070756
TPM2,2.77776713654125,8.53392414515283,153.390366033852,4.4549258856935e-29,7.86851284560614e-26,ENSG00000198467
SELENOP,-2.35067937635861,8.6584287759817,142.264896082304,2.06917124978178e-27,2.92373897594165e-24,ENSG00000250722
FGF2,3.56464865161245,7.47769388447459,134.794747471941,2.87162403947914e-26,3.38133730648669e-23,ENSG00000138685
CCDC107,2.3961870878466,7.59221257061898,129.346485827834,2.01094016267873e-25,2.02961317847504e-22,ENSG00000159884
MLF2,0.950752711306596,9.31136079609203,126.397937212204,5.82406517633731e-25,5.14337755885289e-22,ENSG00000089693
SERBP1,-1.03628517263683,8.73564939880903,122.788115297959,2.16217941279961e-24,1.69731083904769e-21,ENSG00000142864
MALAT1,-1.21874503718755,14.7549294168809,122.33203336732,2.55389942951119e-24,1.80432994694965e-21,ENSG00000251562
H2AFJ,1.53858708719107,9.46518265894135,120.79870355366,4.47584478847555e-24,2.87471303914361e-21,ENSG00000246705
CSNK1G2,-2.05999659883281,6.64388229718038,116.084287092973,2.54418923330786e-23,1.49789141111e-20,ENSG00000133275
EIF5,1.26198693459078,8.63526654230243,112.77904656271,8.70269525733619e-23,4.72958015331386e-20,ENSG00000100664
CCL28,2.54701334330306,7.87834918203241,109.801587761749,2.65700158614408e-22,1.34083687186485e-19,ENSG00000151882
EEF2,0.897900633605041,9.63289997782675,104.140756892267,2.26777566222882e-21,1.06812233690977e-18,ENSG00000167658
ZFAS1,1.0699751028341,9.37981777521861,102.068280915545,5.00878972901827e-21,2.21169371471963e-18,ENSG00000177410
BST2,2.87300428173959,8.72710113923862,99.2606354500453,1.47481021401958e-20,6.12913774238136e-18,ENSG00000130303
ATP5F1D,1.0668967752315,8.4238861208016,97.7953438518274,2.59895398076291e-20,1.02008943744944e-17,ENSG00000099624
MAP2K2,1.22338284524653,8.16718671714441,96.6779495237045,4.00904912844451e-20,1.49073326802424e-17,ENSG00000126934
FKBP4,1.11096873574838,8.55776469836703,96.1986905913404,4.82992759335269e-20,1.65541932843851e-17,ENSG00000004478
AKT1,1.3930674236169,7.79897876425496,96.1508872940173,4.92056700597435e-20,1.65541932843851e-17,ENSG00000142208
