gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
HLA-DRA,-3.80165990025276,7.23444344533719,222.59370295731,6.69264377734139e-38,4.68886623040538e-34,ENSG00000204287
PABPC1,-1.24879730958849,10.0704187653221,192.288692114792,5.13240027830648e-34,1.79787981749076e-30,ENSG00000070756
MUCL1,-4.6754273983188,7.88276180987669,167.235209441721,1.29181040526389e-30,3.01680789975961e-27,ENSG00000172551
CAV1,-3.06210607491282,7.26380235140646,148.607201757611,5.80014113356939e-28,1.01589471954468e-24,ENSG00000105974
PRDX1,-0.945290948289968,10.041282387305,138.976049968499,1.51195788655684e-26,2.11855539064344e-23,ENSG00000117450
CD74,-2.84242243271549,7.53762722755386,131.66661588026,1.88734568878295e-25,2.20379064926889e-22,ENSG00000019582
BCAP29,-2.46052120047009,6.66809089945565,128.485243603111,5.74148836465527e-25,5.74640964039641e-22,ENSG00000075790
PTN,-3.24016501547437,8.93488256221521,119.196464367455,1.55360219374116e-23,1.36056712116882e-20,ENSG00000105894
GBP1,-2.55593666346453,6.94904504926668,116.262255682306,4.47353310718599e-23,3.26061007599999e-20,ENSG00000117228
CALD1,-1.65442271919253,8.37513590420401,116.152932654169,4.65402522980302e-23,3.26061007599999e-20,ENSG00000122786
TMEM59,-1.14423535823496,8.45578711744778,109.676482969012,4.94267068777745e-22,3.14803189441535e-19,ENSG00000116209
HLA-DPA1,-2.52110552234816,6.73353695001194,108.620902114825,7.29140499584642e-22,4.25696528340833e-19,ENSG00000231389
PDE4B,-2.11384484438802,7.29294106250237,108.264149767921,8.3172539461395e-22,4.4823600882041e-19,ENSG00000184588
MLF2,1.02071983104769,9.32353686783675,108.044490235186,9.01998599735493e-22,4.51385870696205e-19,ENSG00000089693
GNG5,-1.10354257692485,8.07918780992132,104.255046276911,3.68166915924373e-21,1.71958494197744e-18,ENSG00000174021
FRZB,2.58237541833677,9.28012959936921,102.925931494038,6.04939557976443e-21,2.64887908948935e-18,ENSG00000162998
LMO4,-2.14583948226717,7.31059342551057,101.316719290889,1.10618793223299e-20,4.55879567836724e-18,ENSG00000143013
BCAP31,0.992620849293636,9.29585850888857,99.2020149607631,2.45450930896528e-20,9.35018245722675e-18,ENSG00000185825
GSTM3,-2.23621528210084,6.84665344068181,99.1158831463514,2.53573318137751e-20,9.35018245722675e-18,ENSG00000134202
GBP3,-2.12894962563616,6.8501493870396,94.3170979808778,1.57381644224272e-19,5.51307899717626e-17,ENSG00000117226
MALAT1,-1.13269868252227,14.6411536278486,93.5444951708583,2.11617608461238e-19,7.05996649942588e-17,ENSG00000251562
SPDEF,2.45514758791098,7.49681201491225,88.5107821254084,1.47904690385175e-18,4.71009209472061e-16,ENSG00000124664
EDN2,-2.23566729124024,7.06775731657993,85.5480502797975,4.70355361025791e-18,1.43274333015074e-15,ENSG00000127129
LSM14A,-1.78565651717191,6.7630863127939,85.3662000757841,5.05125229046064e-18,1.47454473112364e-15,ENSG00000257103
IGFBP3,-2.83579808009924,8.15521338925816,83.9970177319098,8.65166741792933e-18,2.34445357511183e-15,ENSG00000146674
MGP,-3.18846725831003,10.5551105592226,83.982720369091,8.70051283941015e-18,2.34445357511183e-15,ENSG00000111341
CAV2,-1.69107937154107,7.61619524225044,83.3270064129904,1.1266388352726e-17,2.92341914071106e-15,ENSG00000105971
PON2,-1.09538096997857,8.0805389699064,82.3312216963914,1.66965453259362e-17,4.17771416262533e-15,ENSG00000105854
PIK3R3,-1.83187980722225,6.80028994135035,81.4382050334145,2.37815857281341e-17,5.74530309004508e-15,ENSG00000117461
HLA-DQB1,-1.75079283694799,7.0355810725986,81.0985387393167,2.72125935435858e-17,6.35504767887873e-15,ENSG00000179344
HMGA1,1.26790743079406,8.77229058353136,80.3555665839139,3.65585051091115e-17,8.2622221546592e-15,ENSG00000137309
CNN3,-1.88687315983535,7.15814067047527,79.6572641345422,4.82772007654353e-17,1.05696896425825e-14,ENSG00000117519
ERO1A,-2.25658622631133,6.95421510967004,79.4691462763876,5.20370727994468e-17,1.1047628243422e-14,ENSG00000197930
CHPF,1.2835061411339,7.97680833508731,77.6178741491548,1.09085481453872e-16,2.24780259725244e-14,ENSG00000123989
HLA-DRB1,-1.71481217565247,7.80151359939056,77.4443756583247,1.16944442209134e-16,2.34089360604911e-14,ENSG00000196126
PPP1R1B,1.44353661043763,8.34654491439752,76.9210890126853,1.44275889336778e-16,2.80776911303741e-14,ENSG00000131771
MDK,1.15471009675738,9.98775963290789,76.3161114808279,1.83999600618943e-16,3.45839052950101e-14,ENSG00000110492
CSNK1G2,-1.81634248007264,6.53496042413673,76.8110286981842,1.87580416958376e-16,3.45839052950101e-14,ENSG00000133275
TIMP1,-2.01996130415946,7.2207502668755,75.8609805825419,2.21003130275891e-16,3.97012289926383e-14,ENSG00000102265
LRG1,-2.20263422047257,6.63495805313994,75.3465781417226,2.71937130412468e-16,4.76297883917438e-14,ENSG00000171236
ARF1,0.688363650279773,10.4196918030164,75.2215483349572,2.86009744758688e-16,4.887278711657e-14,ENSG00000143761
GADD45A,-2.08206010089478,7.11068317325378,75.1343167795321,2.9626025929298e-16,4.94190327763481e-14,ENSG00000116717
GLIPR1,-1.88361736625839,6.96852738708964,74.2803350126423,4.18395719548065e-16,6.81693118872963e-14,ENSG00000139278
NAMPT,-1.20391437647811,8.57002130368683,74.1069298875125,4.48820726772372e-16,7.14645002674372e-14,ENSG00000105835
FAM173A,1.1778893513642,8.42905215935032,73.5454428782057,5.63495177481583e-16,8.58730965015289e-14,ENSG00000103254
TCN1,-2.55940993104071,7.18308023734196,73.5439972902591,5.6382564074655e-16,8.58730965015289e-14,ENSG00000134827
JUN,-1.29414471933457,10.7241165815336,69.8424446738993,2.55052298542134e-15,3.80190724167274e-13,ENSG00000177606
PPP2R5A,1.65814554781943,7.63834327322826,69.7116089979586,2.69108703210046e-15,3.9278657806033e-13,ENSG00000066027
MMP7,-2.63531443579377,8.97842517584234,69.1937596956879,3.32836758959853e-15,4.75888639443414e-13,ENSG00000137673
SELENOP,-1.70940618968219,8.24360729556791,68.166236166062,5.0792290963576e-15,7.06241189042497e-13,ENSG00000250722
LAMTOR5,-0.861610107345739,8.11278109559497,68.136865193352,5.14106489311552e-15,7.06241189042497e-13,ENSG00000134248
ZC3H12A,-1.379352651258,7.49116555470954,67.4891150701755,6.7153646908644e-15,9.04766250465307e-13,ENSG00000163874
SERPINH1,1.30552797496316,8.05616734773768,67.2740203635394,7.33911588731507e-15,9.70148035972252e-13,ENSG00000149257
SERBP1,-0.870151319745078,8.62126847461246,66.8490739581485,8.74830873524492e-15,1.13501205553937e-12,ENSG00000142864
SIVA1,1.15203652860019,8.18220150079378,65.926068566601,1.28215672786735e-14,1.63323455189794e-12,ENSG00000184990
PITX1,1.39420686063328,8.1300529124208,65.203099541616,1.7310030218551e-14,2.16560842341372e-12,ENSG00000069011
SOD2_ENSG00000112096,-1.69206135694636,8.18351069930553,64.975931687229,1.90246244407874e-14,2.33835997951151e-12,ENSG00000112096
DNPEP,1.08739361913123,7.87250307115681,64.9141554990692,1.9519804109207e-14,2.35785771705352e-12,ENSG00000123992
NCALD,-1.74930644181738,7.28743801233095,63.4045413429247,3.66285127979771e-14,4.34948068919708e-12,ENSG00000104490
DEFB1,-1.69722822723732,7.97491845127031,63.0454744316981,4.25616292209056e-14,4.96977957202775e-12,ENSG00000164825
SELENOF,-1.11648716787134,7.34532050337593,62.7653801037133,4.78549211883708e-14,5.49625537452009e-12,ENSG00000183291
AHCY,1.10367077392258,8.07145352629465,62.3849834714186,5.61221780953811e-14,6.34180612477807e-12,ENSG00000101444
FKBP4,0.995259984178237,8.58961189019977,61.9948522915498,6.60992434894882e-14,7.35065555376753e-12,ENSG00000004478
CLDN3,1.79175934137932,8.77717868355238,61.9526043184592,6.72817014757482e-14,7.36524375842331e-12,ENSG00000165215
TMEM123,-1.08418682165702,8.79291352517253,61.4207762769361,8.41234713904294e-14,8.9364859598496e-12,ENSG00000152558
FN1,-2.48127440604755,7.02269862043497,61.4190049920247,8.41861366471701e-14,8.9364859598496e-12,ENSG00000115414
HAGH,1.01167575795174,8.21408208029651,60.8768950341539,1.05754543694886e-13,1.10584527332295e-11,ENSG00000063854
SCP2,-1.07875888577093,7.3365628970042,60.4270300856533,1.27828139773576e-13,1.31700580478481e-11,ENSG00000116171
YBX1,-0.693645229206084,10.2692030710794,59.2199540369925,2.12857705823524e-13,2.16127693768059e-11,ENSG00000065978
TRIB1,-1.56946349925439,7.3363232006463,58.3100106800238,3.13027572612515e-13,3.13295881960469e-11,ENSG00000173334
RARRES1,-2.2481901362471,7.92104552408354,58.2571589284361,3.20129360763146e-13,3.15891028381212e-11,ENSG00000118849
ANKRD35,-1.82824616774258,6.73019260630078,57.3383326769088,4.73109311346677e-13,4.60361643790947e-11,ENSG00000198483
ABCD1,1.71941959198135,7.06560254530155,57.225661897823,4.96359620826574e-13,4.76369247056298e-11,ENSG00000101986
PDZK1IP1,-1.35621062318502,8.50491517553307,57.0485125984849,5.35265789171527e-13,5.06766502558881e-11,ENSG00000162366
FGF2,2.28310943835188,7.52246640997778,56.5520214993937,6.61482210721478e-13,6.17912582441957e-11,ENSG00000138685
KRT5,-1.9489799162215,7.32411482247707,56.4315586789558,6.9638443036844e-13,6.41956489363328e-11,ENSG00000186081
CKB,2.29522415897567,6.90940992888998,55.8137205041446,9.0680489390764e-13,8.25074686586613e-11,ENSG00000166165
ATP5MPL,1.03566572727034,8.01091982810308,55.0588587189426,1.25288575800215e-12,1.1253484128927e-10,ENSG00000156411
AAMP,0.968979200934383,8.24196395014371,54.4738716338883,1.61043834867948e-12,1.42819380643651e-10,ENSG00000127837
TSPAN33,1.44738100783701,7.47233510877468,54.2821566605476,1.74872200920121e-12,1.53144329955796e-10,ENSG00000158457
