gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SYNM,-2.12445367827228,7.84121618762961,49.6970204445422,3.73008303771039e-11,1.6949497323356e-07,ENSG00000182253
C19orf24,1.45023661748228,7.73019721906628,45.5691217514363,1.96907991840683e-10,4.47374957462031e-07,ENSG00000228300
TRPS1,-1.33294558202664,8.22380343626841,39.9019921336158,2.04331296010637e-09,3.09493803024111e-06,ENSG00000104447
CASP14,-2.1780638624221,7.00736144194819,37.5021933826934,5.61658690348622e-09,5.1257197961784e-06,ENSG00000105141
GPI,1.82151068009483,7.9051692104022,37.4923416875305,5.64009660671039e-09,5.1257197961784e-06,ENSG00000105220
BGN,-2.1546436691657,7.07134722349054,35.2328284598892,1.47858714669577e-08,9.97909927016432e-06,ENSG00000182492
CALML5,1.8754277114018,12.0119743387777,35.1421431020949,1.53727321503412e-08,9.97909927016432e-06,ENSG00000178372
POLR2E,1.52055995867631,7.25303547697225,34.4247547722217,2.09298611597431e-08,1.12006462418396e-05,ENSG00000099817
CD74,-2.19837311757736,7.86292633774595,34.2897361281484,2.21843785599817e-08,1.12006462418396e-05,ENSG00000019582
NPW,3.16095020936584,7.73020510028751,33.7119635365872,2.84733842380911e-08,1.29383057977886e-05,ENSG00000183971
SGCE,-1.55227552357996,6.90246824826424,31.7090378028901,6.80559280915264e-08,2.81132852043542e-05,ENSG00000127990
SELENOM,-1.38333867970099,7.58725595530974,31.0675693613027,9.01482233950314e-08,3.41361272589185e-05,ENSG00000198832
PLPP2,1.01358884714907,8.47157066974471,30.6464512524878,1.08479906552435e-07,3.79178996441742e-05,ENSG00000141934
DSG1,1.99946778694003,7.76861633347099,29.3103885054335,1.95743282304956e-07,6.35326767709799e-05,ENSG00000134760
BPIFB1,-2.50153655189728,7.89938937526788,28.9167151288158,2.33127854028329e-07,7.06221979136486e-05,ENSG00000125999
LSM14A,1.31206051159462,7.53469621621657,26.0637699777703,8.37512203602654e-07,0.000237853465823154,ENSG00000257103
GPX4,0.918265577500299,9.02220253013056,24.8967773716382,1.42216815617376e-06,0.000361514863934556,ENSG00000167468
PEPD,1.72957031530027,7.01884381492698,24.8815612116173,1.43205711945907e-06,0.000361514863934556,ENSG00000124299
APOD,-2.04715474256044,7.00297550692877,24.7399118198778,1.52752709148604e-06,0.000365320163353293,ENSG00000189058
GSTM3,-1.66127125627438,7.41451571770699,24.5716875541245,1.64933269897288e-06,0.000366310363364236,ENSG00000134202
HSPA6,2.79512158627116,7.25963337711207,24.5145654027844,1.69289560533648e-06,0.000366310363364236,ENSG00000173110
ATOX1,0.846088555943088,8.70080657547952,23.9745605472178,2.16702491546515e-06,0.000447589146176075,ENSG00000177556
MRPL54,1.35510751750077,7.15961736186783,23.8681818919451,2.27526419591003e-06,0.000449513065487616,ENSG00000183617
LAMP2,-1.01076484845868,8.10638134000848,23.2179270864351,3.06716898930703e-06,0.000580717328642131,ENSG00000005893
COX6B1,0.799602035581639,8.87155438884983,22.9297708148656,3.50259777776962e-06,0.000636632172087407,ENSG00000126267
CEBPG,1.49380010038981,7.71464163518513,22.2241898585752,4.85308349584365e-06,0.000848169669427445,ENSG00000153879
PLEKHF2,-1.31791042657866,6.86729528934668,21.98011774149,5.43453943264034e-06,0.00090028428800674,ENSG00000175895
