gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
IFITM3,-2.7827499933215,6.92744676207534,55.1793346330178,6.33858569420919e-12,2.59799643262172e-08,ENSG00000142089
SCGB2A2,-3.812394438711,9.87678314549316,53.483385568619,1.20584656886597e-11,2.59799643262172e-08,ENSG00000110484
SCGB1D2,-2.54408302366093,6.84728051541788,34.0805355970647,2.88605491203837e-08,4.14533687199111e-05,ENSG00000124935
CCL5,-2.21707382818913,7.3159481739929,30.5285826005662,1.31810855969892e-07,0.000141993244593567,ENSG00000271503
AARD,-1.8599001373526,7.89575268093497,23.6526975095388,2.75231541527236e-06,0.00232002206597292,ENSG00000205002
TCN1,4.77657183242357,8.24703548953319,23.0680978761462,3.58701131348119e-06,0.00232002206597292,ENSG00000134827
SRP9,0.896734443911737,9.06479279244522,22.9591983463467,3.76889172935959e-06,0.00232002206597292,ENSG00000143742
SCD,-1.82891492581183,7.33971118456778,22.439217927752,4.77541238801106e-06,0.00257215649749246,ENSG00000099194
CASP14,-1.85887515669016,6.8056856628811,20.0643583669301,1.4238652808485e-05,0.00677146557319844,ENSG00000105141
SERPINB4,5.54092585967666,8.84605492638917,19.851992994849,1.57147031171929e-05,0.00677146557319844,ENSG00000206073
ILF2,1.17690072189643,8.31079999742018,19.5769568273851,1.78602906890877e-05,0.00699636296175261,ENSG00000143621
HDGF,1.14790550287715,8.31385452720585,18.6655244147633,2.734826739819e-05,0.00927720646873822,ENSG00000143321
CACYBP,1.48806750903564,7.76143706978547,18.585741140991,2.83916557336343e-05,0.00927720646873822,ENSG00000116161
C1orf43,0.972079885612358,7.99720906159475,18.458386032308,3.01417708429647e-05,0.00927720646873822,ENSG00000143612
CNIH4,1.08612327773714,8.44888279159214,18.1822389641227,3.43232488652946e-05,0.00971808711797782,ENSG00000143771
MPC2,1.13204039799406,7.96689733963473,18.0708784086162,3.61722810524183e-05,0.00971808711797782,ENSG00000143158
CALML5,1.69735936364458,12.140448039087,17.8991656401895,3.92241356978111e-05,0.00971808711797782,ENSG00000178372
GLUL,1.81581381337889,7.64794232631944,17.8263918031617,4.05953975687168e-05,0.00971808711797782,ENSG00000135821
MFGE8,-1.36529172098203,7.34273848423387,17.2155775946207,5.42107446511263e-05,0.0122944262474581,ENSG00000140545
H3F3A,0.711808396775375,11.6967690388918,16.9429198386161,6.17107407894228e-05,0.0132955791030812,ENSG00000163041
UTP25,1.7460193009052,6.79536528011219,16.7980474611731,6.61171716894789e-05,0.0135666139433316,ENSG00000117597
PLIN2,-1.52935433429972,7.43913801743873,16.5738566601837,7.35766462774161e-05,0.0144109894913357,ENSG00000147872
LAMTOR2,1.23017734863479,7.62203785608299,16.4462129201621,7.82009962619151e-05,0.014650786647504,ENSG00000116586
PRRC2C,0.892239615591002,8.50354992520786,15.9611331953202,9.86461462762552e-05,0.0177110935126826,ENSG00000117523
OASL,-1.52687998534216,6.85073854722087,15.6026568277665,0.000117191804531169,0.0199815054908437,ENSG00000135114
SMURF2,-1.2085745160585,6.82063821737636,15.47101213005,0.000124862597819302,0.0199815054908437,ENSG00000108854
HSPE1,0.859226353270765,9.42143664057555,15.4653591767587,0.00012520321379735,0.0199815054908437,ENSG00000115541
JTB,0.986608411761143,8.16473042100203,15.2978359484814,0.000135738727718699,0.0208892206335669,ENSG00000143543
MGST3,0.928440504529784,9.02642885804365,15.1863240197433,0.000143248372579714,0.0212847323257237,ENSG00000143198
LAMC1,1.72901531333944,6.81554871061512,14.7044022925006,0.000180896708602837,0.0259827972456541,ENSG00000135862
KAZN,-1.2654411423792,6.78850677710585,14.3582898184846,0.000214038780693606,0.0292894336939934,ENSG00000189337
TIPRL,1.29899367076754,7.17177169458851,14.3252258836195,0.000217512619681547,0.0292894336939934,ENSG00000143155
CLMN,-1.15695779977324,6.94429579731911,14.1665239008057,0.000235004132707497,0.0306858426617153,ENSG00000165959
CCDC80,2.78000894107579,6.82906934868863,13.9359344492898,0.000263010537105242,0.0333327177760732,ENSG00000091986
RIT1,1.68788528867118,6.84241162330161,13.6317632262476,0.000305239831362519,0.0374332605041145,ENSG00000143622
ATP1B1,1.4857007223341,8.02304181059286,13.5822615931484,0.000312740166662363,0.0374332605041145,ENSG00000143153
FZD7,1.90984240618794,7.40084808190037,13.44731889137,0.000334155671702501,0.0383149227043155,ENSG00000155760
LAMC2,1.97678251755904,6.81560397620695,13.4246958738902,0.000337889780172659,0.0383149227043155,ENSG00000058085
TMEM40,-1.30490772531164,7.15428582571844,13.3609224954689,0.000348646912738118,0.0385210140253475,ENSG00000088726
STARD3NL,-1.04337337804637,6.81843813067959,13.1911653054459,0.000379016755153913,0.0408295799489553,ENSG00000010270
ID1,1.87427747847048,7.50069583914574,12.923505406464,0.000432490613847955,0.0454537086602644,ENSG00000125968
CRIP2,-1.17433165733304,6.78350440276837,12.6554494156371,0.000493784642209949,0.0506599529353017,ENSG00000182809
MFSD12,-1.143923233727,7.00644654562043,12.578498323139,0.000512969156063475,0.0514042812436631,ENSG00000161091
TNFRSF18,-1.19138071696976,6.80884477045834,12.5082978958637,0.000531134326921554,0.0514392982400498,ENSG00000186891
ATP5MPL,-0.727068093105374,8.06070457083962,12.4854246431805,0.000537193878116092,0.0514392982400498,ENSG00000156411
ZC3H15,0.769254595254641,8.07533083678975,12.3893036732953,0.000563439929429246,0.0527796229545787,ENSG00000065548
TPM3,0.751463318174617,8.17397041595802,12.0897620041455,0.000653947558058886,0.059954468673952,ENSG00000143549
QSOX1,1.45780667327319,7.17238277670885,11.7240336610561,0.000784908152068778,0.0699289940860573,ENSG00000116260
TF,-1.55896992928118,7.02918182134727,11.697987449392,0.000795200907453425,0.0699289940860573,ENSG00000091513
ME1,-1.10408051355317,7.01857219356438,11.6307684486149,0.00082240637569478,0.0704482663599372,ENSG00000065833
S100A2,2.33486287935808,6.93466439713073,11.6032803327108,0.000833804034429519,0.0704482663599372,ENSG00000196754
SRD5A3,1.61177596502137,7.87452736484388,11.561509220305,0.000851434032683385,0.0705544085929366,ENSG00000128039
BST2,-1.49776348729219,8.26015881787009,11.3784137188672,0.000933324727349687,0.0748718024790334,ENSG00000130303
CCL20,2.16777904845277,7.86290670479554,11.3678533671144,0.000938286686903644,0.0748718024790334,ENSG00000115009
FXYD3,1.0369906463341,10.3592965331836,11.3126272497183,0.000964678612598048,0.0755781843942725,ENSG00000089356
HAT1,1.47318969061429,6.87148113942646,11.2421279840886,0.000999476413392089,0.0767983285185539,ENSG00000128708
PRSS8,-1.02578539152376,7.37327974899324,11.2097256667331,0.00101589805652299,0.0767983285185539,ENSG00000052344
ST3GAL1,-1.11809747026782,6.98004904046096,11.165303236024,0.00103886126718796,0.0771802275916017,ENSG00000008513
KIFAP3,1.44828406109476,6.82659563550952,11.1126068008146,0.0010667915146018,0.0776289904724582,ENSG00000075945
CST6,-1.32242972671211,6.8565631489942,11.0864620261949,0.00108093279840972,0.0776289904724582,ENSG00000175315
MLF2,-0.710792436291325,8.47156968153749,10.7468354057037,0.00128307480840023,0.0897421379324779,ENSG00000089693
PON2,0.851583745030742,8.73970430222344,10.7284429943336,0.00129506803097562,0.0897421379324779,ENSG00000105854
