gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SPARCL1,-3.97809662814676,6.61825581295285,107.253053896394,4.27852291590823e-20,2.54743254413176e-16,ENSG00000152583
CSDE1,-2.92462523991242,6.58119543798422,101.194276893643,3.01398425413563e-19,8.97263112456177e-16,ENSG00000009307
S100A4,-2.72372815197879,8.69794000563445,78.7112996820581,6.25063528350379e-16,9.94438898436785e-13,ENSG00000196154
ATP5MPL,1.52429415854772,8.57423648608879,78.5236335105212,6.68081221657229e-16,9.94438898436785e-13,ENSG00000156411
ACTA2,-4.29545322233471,6.77951670142108,77.7432297089599,8.81578696488083e-16,1.04978391177801e-12,ENSG00000107796
GSTM3,-2.93845468235172,6.85493107452053,73.6831366214322,3.78362105608629e-15,3.7546132946563e-12,ENSG00000134202
PLPP2,1.37819616352058,8.65145107277814,70.7715019607855,1.09153862225009e-14,9.28431565268145e-12,ENSG00000141934
CCDC107,2.43928727049628,7.7697614685041,68.7452889037502,2.29882169726858e-14,1.71089804819214e-11,ENSG00000159884
CTSV,-2.5459599763202,6.90148328567518,64.8690232320724,9.72688114447649e-14,6.434872259357e-11,ENSG00000136943
S100A7,-3.39803703882339,9.52258324434399,64.3248936680499,1.1932608239925e-13,7.10467494605134e-11,ENSG00000143556
TGFBI,-2.67835668935415,6.60168611224297,63.1933021784761,1.82804433366908e-13,9.8947054206052e-11,ENSG00000120708
CNN3,-2.2555983805496,6.79767094881275,62.373589305278,2.49310945238979e-13,1.2369978066274e-10,ENSG00000117519
FAM173A,1.7390353422939,8.0880358454548,58.9046654191526,9.38238921623147e-13,4.29713426103402e-10,ENSG00000103254
AREG,-2.55321089031477,7.16287957533543,58.4534808406718,1.11639035739111e-12,4.74784870564761e-10,ENSG00000109321
HLA-DRA,-2.83432455687403,7.14174186991708,55.2655997464188,3.85117911666685e-12,1.52866136404229e-09,ENSG00000204287
PON2,-1.33872478910092,8.05481839956845,53.8769445549779,6.64131203002004e-12,2.47139823917121e-09,ENSG00000105854
TMEM59,-1.12082987593255,8.31267859001263,52.3919986170689,1.19391199682875e-11,4.01738415090076e-09,ENSG00000116209
BGN,-2.56079202890246,6.65316562770502,52.3488062206213,1.21452661599284e-11,4.01738415090076e-09,ENSG00000182492
MAP2K2,1.42379432442308,7.91287200989736,51.2786908856836,1.85812901811238e-11,5.82278956517955e-09,ENSG00000126934
IGFBP5,-3.23533410346223,8.46170253055888,49.6513869794583,3.56160888876603e-11,1.06029096618565e-08,ENSG00000115461
YIF1A,1.27714175539372,7.84180371632002,47.9398367886425,7.09839126800762e-11,2.01256293379607e-08,ENSG00000174851
PPP2R5C,1.77568824333814,7.10225575989351,47.6069591626611,8.12253638843786e-11,2.19825371167086e-08,ENSG00000078304
MMP7,-2.62766610164234,8.90574196123483,47.2476480220373,9.39668180589448e-11,2.43251493357807e-08,ENSG00000137673
LTF,-2.33101054203447,7.01084662826182,45.6692909711941,1.78747294919325e-10,4.43442247479026e-08,ENSG00000012223
PSCA,-2.50156223521806,6.44130928788865,45.2881121899865,2.0892896655399e-10,4.97585226744984e-08,ENSG00000167653
CLDN3,2.37701759256781,8.22766805743576,44.8544838941006,2.49592889156106e-10,5.71567716167483e-08,ENSG00000165215
EEF2,0.913904091963427,9.39035113204269,44.2470114994151,3.20406084394041e-10,7.06554750548934e-08,ENSG00000167658
C19orf24,1.43392572456626,7.55236575726113,43.9615617814761,3.60395975129107e-10,7.52888446906825e-08,ENSG00000228300
NNMT,-2.32396447403614,6.52609836347842,43.9194595718752,3.66707506891131e-10,7.52888446906825e-08,ENSG00000166741
CCL28,3.06811646748974,7.66158433363961,42.1100051585985,7.75947152432775e-10,1.53999644852825e-07,ENSG00000151882
HSP90AA1,1.11205138843097,11.6574530657774,41.9005443714256,8.46642266592621e-10,1.62117092424997e-07,ENSG00000080824
CDC34,1.88077622890145,7.08544002237932,41.8316154764388,8.71304494054401e-10,1.62117092424997e-07,ENSG00000099804
LMO4,-1.82563633008461,8.00449039282919,41.0950577384376,1.18491507291098e-09,2.13787404367029e-07,ENSG00000143013
SCGB1D2,4.43121743254448,8.00076865901663,39.3881943603407,2.42651828682011e-09,4.24926172933146e-07,ENSG00000124935
STUB1,1.18063997436776,8.34724655409035,39.31422743302,2.5034215953308e-09,4.25867776531416e-07,ENSG00000103266
FKBP4,1.38241256665384,8.5020945791337,39.080900470574,2.76255982997493e-09,4.56896700768632e-07,ENSG00000004478
CD74,-2.2891717053686,7.60931163396893,38.9221862315331,2.95419333939414e-09,4.75385598452776e-07,ENSG00000019582
GLRX5,1.19283853477099,7.76818964853605,38.6880890212717,3.26169396835627e-09,4.91525700130181e-07,ENSG00000182512
CALD1,-1.51713869195071,8.9945106153774,38.6772918427429,3.27663385908676e-09,4.91525700130181e-07,ENSG00000122786
IGFBP3,-2.36383038534383,8.3917058855387,38.6589625872268,3.30215451884569e-09,4.91525700130181e-07,ENSG00000146674
BCAP29,-1.80849715701644,6.46642398056608,37.1987621435014,6.1410469353844e-09,8.91799840323871e-07,ENSG00000075790
NCALD,-1.90369635641409,6.96963969049484,36.8450941575897,7.14180433032679e-09,1.01243578530395e-06,ENSG00000104490
TIMP1,-2.12137569013756,7.11019843175864,36.3192811051996,8.94353432954874e-09,1.21442018711466e-06,ENSG00000102265
RCOR1,1.81445109238369,6.82107471479613,36.2664158731333,9.14843546575133e-09,1.21442018711466e-06,ENSG00000089902
SPARC,-3.06119352118863,6.79215579062316,36.2296868401434,9.29358553663308e-09,1.21442018711466e-06,ENSG00000113140
FLNA,-1.83788015724345,6.50764507943298,36.2074766335035,9.38248716951197e-09,1.21442018711466e-06,ENSG00000196924
TF,-2.12731656914291,6.75407935223358,36.0026390475108,1.02440894835074e-08,1.29772997414475e-06,ENSG00000091513
SIVA1,1.43326337168398,7.77158610326156,35.8463811779373,1.09548687339897e-08,1.35886017587864e-06,ENSG00000184990
MLF2,1.06653535141085,9.03368015218867,35.7965511775773,1.11918746860273e-08,1.35992697715523e-06,ENSG00000089693
SCGB2A2,4.08799588763852,12.1847804539052,34.3429988236432,2.09475933986678e-08,2.49443942191337e-06,ENSG00000110484
NDUFS7,1.36042366708598,7.34175774655064,34.1193441228479,2.30785215859065e-08,2.69430426514681e-06,ENSG00000115286
NUPR2,2.16429302399671,6.66800016684384,33.6935274980007,2.77620423493307e-08,3.17875384899836e-06,ENSG00000185290
SERBP1,-0.785096487889949,8.84018268765119,33.5664990068324,2.93376186907947e-08,3.29577701292438e-06,ENSG00000142864
CHKA,1.73302847587768,6.86134225585219,32.9919645425148,3.76754627050408e-08,4.15406861010765e-06,ENSG00000110721
GNG12,-1.44851981471256,6.57984721929498,32.6114981755809,4.44819087338174e-08,4.77418303411099e-06,ENSG00000172380
POLD2,1.44116503657387,7.81650123397045,32.5899209345951,4.4903300287238e-08,4.77418303411099e-06,ENSG00000106628
ZNF704,-1.64847974768347,6.64624082399246,32.1984569445091,5.32908131007646e-08,5.56655265266583e-06,ENSG00000164684
MVD,1.84439624258502,7.18579472607775,31.5714938440677,7.01618083475088e-08,7.20247253277703e-06,ENSG00000167508
