gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
INHBA,-2.93858903941698,6.75934019697335,49.9858068599711,4.24651363942527e-11,2.44896441585655e-07,ENSG00000122641
TGFBI,-2.50615569775555,6.37911226975121,43.5559622495918,5.45048886532232e-10,1.57164846431569e-06,ENSG00000120708
AREG,-2.45326981648704,6.90442403586037,41.6858685358433,1.16377212522189e-09,2.23715794871821e-06,ENSG00000109321
CNN3,-2.11776649847885,6.58718919933986,34.6539795802715,2.1635430845816e-08,3.11928824219552e-05,ENSG00000117519
S100A7,-2.74286747704671,8.77659404037954,33.9952688354601,2.86196602679881e-08,3.30099161530975e-05,ENSG00000143556
PPP2R5A,1.95755590828444,7.45915484251742,31.2526240345079,9.28137803865418e-08,8.47768533301458e-05,ENSG00000066027
LAMTOR2,1.4758100096689,7.58345090001768,30.5957570055001,1.23375444077907e-07,8.47768533301458e-05,ENSG00000116586
CAV1,-2.16989596169315,6.69698875579589,30.5340967092025,1.26723698548162e-07,8.47768533301458e-05,ENSG00000105974
TNFRSF18,-1.83037717583856,6.32836802099598,30.4349295889832,1.32303048373732e-07,8.47768533301458e-05,ENSG00000186891
KRT5,-2.59520379862783,7.16807671706643,29.9618373805971,1.62552624363799e-07,9.37440984706032e-05,ENSG00000186081
DEFB1,-1.97429531230005,9.10172116604257,29.4678098022233,2.01674900521199e-07,0.000105732650118705,ENSG00000164825
CA2,-2.56613914361442,6.3695698709997,29.2305955258753,2.23729991366191e-07,0.000107520905017402,ENSG00000104267
CNIH4,1.25243187231896,8.49481467592783,28.5831858717036,2.97217184331608e-07,0.000130409207018949,ENSG00000143771
LSM14A,-1.91395086306689,6.42541599882399,28.4396633856285,3.16582087439793e-07,0.000130409207018949,ENSG00000257103
PERP,-0.972366132327086,8.45121195522795,27.7447998741999,4.30083595517278e-07,0.00016169222915041,ENSG00000112378
C5orf46,-2.24231260601865,6.42036336393077,27.649443360608,4.48599907474695e-07,0.00016169222915041,ENSG00000178776
ALDH1A1,-2.0361947565467,6.36419509884608,27.064782312321,5.8122394694638e-07,0.000192741582688866,ENSG00000165092
