gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
COX6C,2.46827475070177,9.24375457308242,778.029079537117,1.30726635422114e-93,1.0126085179797e-89,ENSG00000164919
MT-ND3,2.35372116774519,11.6661203874382,629.11920976027,2.60906203340309e-82,1.01048972553702e-78,ENSG00000198840
ZFAS1,2.55149931671125,8.83832761959821,575.819252909821,7.48287663587166e-78,1.93207874738206e-74,ENSG00000177410
UQCRB,2.45022511218684,8.13804178478754,512.077271866678,3.51438160786277e-72,6.80559998362625e-69,ENSG00000156467
COX7A2,2.16818505144942,8.75273282247921,497.823919813202,7.41183942374162e-71,1.14824216352605e-67,ENSG00000112695
COX5B,2.12539157160732,8.56909416841369,495.406306487599,1.24927939190197e-70,1.61281969494544e-67,ENSG00000135940
NDUFB2,1.87672663755399,8.98619861515887,488.339700825379,5.79469826437744e-70,6.41224753655252e-67,ENSG00000090266
OST4,2.2435198110274,8.57835337946011,482.391355909411,2.12913154384088e-69,2.06153161732393e-66,ENSG00000228474
TOMM7,2.28076103678594,8.29340497098932,470.821655736799,2.7467671331933e-68,2.36405091263504e-65,ENSG00000196683
TXN,1.68045198071464,9.81169355262804,468.80342161657,4.30644073246604e-68,3.3357689913682e-65,ENSG00000136810
ATP5MPL,2.50343276929149,8.07300896680236,462.884026518978,1.62041897057636e-67,1.14106957691677e-64,ENSG00000156411
COX8A,2.24870540079347,8.16779594927181,458.247687971936,4.60516628008341e-67,2.97263483379384e-64,ENSG00000176340
ATP5F1E,1.90313380407409,8.94369182560445,451.608817233985,2.07594301497032e-66,1.23694266107385e-63,ENSG00000124172
COX7C,2.05710550631479,8.1951784012415,427.272643022285,5.75910809813954e-64,3.18643223772778e-61,ENSG00000127184
FAU,1.53975223521813,9.48673707612546,422.494846744582,1.77305573206502e-63,9.15605980038375e-61,ENSG00000149806
SERF2,1.90732720409305,8.92208731012474,412.076811169206,2.10797933416335e-62,1.02052549515183e-59,ENSG00000140264
UBL5,2.01405922360103,8.38554880054383,409.504335203931,3.90430629628382e-62,1.77898568064791e-59,ENSG00000198258
NDUFB4,2.0282567818728,8.16867639023628,380.9625224711,4.18765118325713e-59,1.80208589252832e-56,ENSG00000065518
NDUFA4,1.80068703190018,9.40009379808399,379.133217672208,6.60836095766663e-59,2.69412441989925e-56,ENSG00000189043
TMSB10,1.58627717528594,10.9863270238362,369.872044604301,6.76997811308692e-58,2.62201252319857e-55,ENSG00000034510
NDUFS6,2.21082046813168,7.91707793634071,369.583854059884,7.28171851160334e-58,2.68591388527997e-55,ENSG00000145494
ELOB,1.97143862277979,8.46620855651729,366.671438815224,1.52314808390517e-57,5.36286593542249e-55,ENSG00000103363
NDUFB7,2.12047188755115,7.98537172646374,356.923955790632,1.83953473243329e-56,6.19523305975141e-54,ENSG00000099795
CSDE1,-3.29028982506241,7.42438213254705,355.338371980309,2.76741258850787e-56,8.93182412940915e-54,ENSG00000009307
DPM3,2.52923372539384,7.34984619924235,341.884767469132,9.17830178067672e-55,2.84380502372487e-52,ENSG00000179085
LSM14A,-2.98413961830422,7.59478177451627,323.857528523037,1.11168206869264e-52,3.31195742465121e-50,ENSG00000257103
COX6B1,1.78506209019245,8.2577051609631,322.605044417112,1.55853528082446e-52,4.47126455009863e-50,ENSG00000126267
SEC61G,2.39938602546175,7.74764968298596,320.355372799212,2.86381654566632e-52,7.92254391526117e-50,ENSG00000132432
SLPI,2.64312503611917,10.2375201422298,319.657965514081,3.45964520790712e-52,9.24083164843054e-50,ENSG00000124107
DBI,1.87377174237727,9.74131679363716,319.062983299945,4.06562921516976e-52,1.04974546335683e-49,ENSG00000155368
UQCRQ,1.83655860506724,8.25318134016623,300.921582233973,5.96918950898427e-50,1.49152715924491e-47,ENSG00000164405
RBX1,2.03784061560149,7.73259916487994,292.792823186067,5.8323473391138e-49,1.41179257777424e-46,ENSG00000100387
TSTD1,1.7117137626739,8.14173667021701,278.775469098914,3.17475160012184e-47,7.45200784683144e-45,ENSG00000215845
SEM1,1.79368691219896,8.27045675071662,277.899392429595,4.08733784421521e-47,9.31191733567383e-45,ENSG00000127922
BST2,3.30599422359912,8.1872996198117,277.143877881534,5.08381429772975e-47,1.12512073000613e-44,ENSG00000130303
S100A6,2.25849129843748,11.4410341850784,275.382997499342,8.46157737592644e-47,1.78275905935035e-44,ENSG00000197956
MRPL33,2.12868393216458,7.542915654292,275.36101853153,8.51563196436391e-47,1.78275905935035e-44,ENSG00000243147
