gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
DICER1,-3.01650054966209,8.29373331318009,524.910109221604,5.62422040872324e-87,5.03423968784817e-83,ENSG00000100697
ASPH,1.99587377026674,7.50220889475054,328.302893084584,2.17616267154773e-60,9.73941603651187e-57,ENSG00000198363
MRPL15,1.45051981205626,8.06589048279858,325.058053230406,6.58394566347794e-60,1.96442992112637e-56,ENSG00000137547
MT-ATP8,1.99262548033497,7.31603377723736,317.014240488046,1.04002624637223e-58,2.32731873281946e-55,ENSG00000228253
LBH,-4.04252347987826,8.33729611847165,290.91616233985,9.39922367596254e-55,1.68264902247081e-51,ENSG00000213626
DNAJB6,1.29444298723937,8.3860415032677,255.469629885716,3.30602505615407e-49,4.93203837960585e-46,ENSG00000105993
RAB2A,1.20256614644711,7.90735419492615,221.763643320169,9.80176262250296e-44,1.25336538905749e-40,ENSG00000104388
ZG16B,-3.16716487144129,10.270123719989,221.30596287764,1.16682552485232e-43,1.30553190911913e-40,ENSG00000162078
RAD51B,-2.29868258418911,8.82781213446705,215.650798550271,1.01292586622385e-42,1.00741104761886e-39,ENSG00000182185
PPDPF,0.862934024055233,8.81705235665205,187.369160377277,6.17236952490883e-38,5.52488796174589e-35,ENSG00000125534
SNHG25,1.73474452616319,6.92789798033149,186.370084970385,9.16931545328163e-38,7.01019846405897e-35,ENSG00000266402
PDK3,-1.93723835927261,7.80986343521877,186.307911992183,9.39809871173139e-38,7.01019846405897e-35,ENSG00000067992
RB1CC1,1.39954415668838,7.4369905862962,177.601833684054,3.01639133773579e-36,2.07690145108254e-33,ENSG00000023287
ARHGDIB,-1.67879897538705,8.14281271033229,166.767268487329,2.37651036584833e-34,1.51943887747917e-31,ENSG00000111348
NPW,1.9424367987352,6.79271318474923,165.395821634021,4.14707100366321e-34,2.47469550358596e-31,ENSG00000183971
NDUFB2,1.09714178522541,7.79985271042952,164.052075824826,7.1621709282598e-34,4.00678699867834e-31,ENSG00000090266
TMSB10,0.753073167297274,9.82117515222777,159.178192597841,5.23585471169144e-33,2.75683150143236e-30,ENSG00000034510
NDUFA13,1.52459977370278,6.94666647389643,158.864034308657,5.95455862857368e-33,2.96106968246461e-30,ENSG00000186010
PCMTD1,1.38809517296871,7.44539040632488,156.323085948524,1.6882994887677e-32,7.95366774945248e-30,ENSG00000168300
MFGE8,-1.29318621958368,8.7903515641392,148.488309778213,4.28396004148622e-31,1.91728631656716e-28,ENSG00000140545
FABP5,1.48607725672972,8.39815625856683,140.445038977119,1.22392627753064e-29,5.21684005246511e-27,ENSG00000164687
MT-ND4L,1.09189803586632,8.47385208943203,131.140475878585,6.16998976979882e-28,2.51034447406678e-25,ENSG00000212907
S100P,1.84771161459969,7.03805218677452,123.628594701611,1.5117734178275e-26,5.88342776651043e-24,ENSG00000163993
UBA52,0.752991479842274,8.54625968423553,122.656533913455,2.29208618498929e-26,8.54852643409964e-24,ENSG00000221983
PMAIP1,1.371793550124,7.81275828449728,122.250486794126,2.7277085576121e-26,9.76628771967436e-24,ENSG00000141682
