gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MT-ND3,2.81342939959459,11.1336086815036,1891.90331322727,2.63143029209017e-186,2.41354786390511e-182,ENSG00000198840
COX6C,2.84896733967302,8.77765657931488,1455.87032363192,1.61263787466594e-161,7.39555729321802e-158,ENSG00000164919
TMSB10,2.3407626341538,10.398211794865,1355.72125347235,4.43920692126027e-155,1.35721352939331e-151,ENSG00000034510
NDUFB2,2.98289053498538,8.38102592187079,1263.07252365905,8.07784035881359e-149,1.85224879427596e-145,ENSG00000090266
ZFAS1,3.1359578534975,8.34861170296704,1143.64275986312,2.85631860243275e-140,5.23963084430264e-137,ENSG00000177410
COX7A2,2.64225764995258,8.31201890265341,1109.06654754947,1.09890678615802e-137,1.67986217377356e-134,ENSG00000112695
OST4,2.96155094550207,8.09220173614996,1088.87731934931,3.75758722034849e-136,4.9235128550052e-133,ENSG00000228474
UBL5,2.89637366833299,7.89948392385435,1037.79748717406,3.46643995956211e-132,3.97427341363796e-129,ENSG00000198258
ATP5MPL,3.01283456398361,7.67049287481727,1012.19195065884,3.75479065120346e-130,3.82654887253757e-127,ENSG00000156411
ATP5F1E,2.61361055607839,8.43863927653033,1007.82833818881,8.40576066346895e-130,7.70976368053372e-127,ENSG00000124172
TOMM7,2.9145318303906,7.85638120462841,987.22036580449,3.89505552186546e-128,3.24776811332273e-125,ENSG00000196683
FAU,2.14129837773865,9.00557219323049,953.258365202259,2.42171886317842e-125,1.85100045108938e-122,ENSG00000149806
UQCRB,2.89148143519048,7.74129544992775,894.705241960869,2.22996548667717e-120,1.57332641875408e-117,ENSG00000156467
SERF2,2.32090131093517,8.50307613451413,864.077176902328,1.05594051066764e-117,6.91791883131683e-115,ENSG00000140264
COX5B,2.4472124263156,8.18772007321397,834.051625319025,5.03159648676493e-115,3.07665353177386e-112,ENSG00000135940
COX7C,2.59634794249456,7.80139858836142,827.464060222413,1.9807604929811e-114,1.13547095260142e-111,ENSG00000127184
TXN,1.76770947701617,9.51412347340724,757.889209446359,5.71533765300997e-108,3.08359276196514e-105,ENSG00000136810
UBA52,1.90157132593509,8.82865491725257,744.038689247119,1.21034066073879e-106,6.16735807794232e-104,ENSG00000221983
NDUFA13,3.00223410567424,7.06955389933938,735.901924209072,7.3834640209152e-106,3.56427010525443e-103,ENSG00000186010
COX8A,2.46690740805507,7.83353781673732,731.101480558861,2.15706004886649e-105,9.89227738410172e-103,ENSG00000176340
COX6B1,2.34292798950956,7.8563495309322,727.502401395435,4.83120479434063e-105,2.11008620827106e-102,ENSG00000126267
NDUFB4,2.40531798459838,7.81471839836483,712.242768099624,1.51201292445136e-103,6.30371933775813e-101,ENSG00000065518
DPM3,3.01962756516,7.06421994108857,700.8519784181,2.0294848841238e-102,8.09323276399282e-100,ENSG00000179085
COX7B,2.5829147432454,7.68902413228328,682.337914660767,1.4519850544109e-100,5.54900288294034e-98,ENSG00000131174
UQCRQ,2.38375782384735,7.86490156802454,666.897682658871,5.36328143903255e-99,1.96768069435226e-96,ENSG00000164405
NDUFS6,2.4475773836932,7.60178454516574,643.437472529802,1.40736020645056e-96,4.96473377444789e-94,ENSG00000145494
SEM1,2.30972480998604,7.88135789861717,635.501667171328,9.48668851214281e-96,3.22266322345829e-93,ENSG00000127922
S100A6,2.93409749775347,10.8445294625893,621.456099206648,2.86497073789203e-94,9.38482557426632e-92,ENSG00000197956
NDUFB7,2.38726102699977,7.66262179194862,617.901260945477,6.83010886132336e-94,2.16019856813993e-91,ENSG00000099795
C4orf48,2.97749515301935,6.77321063339507,615.291295668362,1.29466226872246e-93,3.95821410957412e-91,ENSG00000243449
SMIM37,2.81514138528546,6.71548131724017,613.287442360554,2.11737561068516e-93,6.26469971006589e-91,ENSG00000175701
ELOB,2.16535969960236,8.14343267447413,593.434756919211,2.89655452400833e-91,8.30224940443887e-89,ENSG00000103363
FMC1,2.89059438674003,6.83699280057244,593.213352970204,3.06130151241521e-91,8.50856287026433e-89,ENSG00000164898
ATOX1,2.40280611469644,7.61170431477179,583.236749961171,3.74253135744723e-90,1.00960287089724e-87,ENSG00000177556
SLIRP,2.56219316613693,7.34525109073278,573.660659079296,4.22214466525595e-89,1.1064431677065e-86,ENSG00000119705
NDUFA4,1.65816103593685,9.18491778086534,566.656635274846,2.516267804504e-88,6.41089119525297e-86,ENSG00000189043
S100P,3.78251645428295,7.40193121153924,551.996724836857,1.09322713723259e-86,2.71002143316143e-84,ENSG00000163993
SEC61G,2.48688232345788,7.47023268151784,550.016629393144,1.82625724801515e-86,4.4080082838934e-84,ENSG00000132432
NDUFA1,2.41629950451908,7.31014045594151,516.985858714609,1.08999332907417e-82,2.56344072160725e-80,ENSG00000125356
SNRPE,2.35015852444938,7.64978960436724,514.841448096557,1.93398306975632e-82,4.43462317895124e-80,ENSG00000182004
TMA7,2.26463802679111,7.62732338249276,506.196591590654,1.97386323102941e-81,4.41567647682969e-79,ENSG00000232112
CSDE1,-3.27910207065849,7.61388859348691,481.855327042627,1.51167137524058e-78,3.30120234612061e-76,ENSG00000009307
ATP5MF,1.94769964367858,7.98278638896788,477.120284701511,5.5993138348726e-78,1.19434666263841e-75,ENSG00000241468
DBI,1.89253866691253,9.4456135919089,474.028843582792,1.32064095402822e-77,2.7529360978061e-75,ENSG00000155368
UQCR10,2.2616124830439,7.34623794845973,473.712563966102,1.44201961618229e-77,2.9391564265831e-75,ENSG00000184076
COPS9,2.46052594520226,6.97554514554528,472.691825487341,1.91553059929186e-77,3.81940144710978e-75,ENSG00000172428
TMEM258,2.2614297531566,7.337158755614,470.959755524712,3.10325251112246e-77,6.0559642621309e-75,ENSG00000134825
SNHG8,2.29514423780009,7.7295449101504,464.207022883322,2.05109760823775e-76,3.91930567974097e-74,ENSG00000269893
ATP5IF1,2.25077062685166,7.47669756963782,454.83637022784,2.87676538187416e-75,5.38483511888772e-73,ENSG00000130770
C19orf53,1.99259341323368,7.72698259031247,447.401593948259,2.37824036036358e-74,4.29345345434184e-72,ENSG00000104979
MRPL33,2.37012188109537,7.28650659953599,447.388211636313,2.38733238302915e-74,4.29345345434184e-72,ENSG00000243147
SNHG19,2.58862565850605,7.216364511571,443.678155241914,6.88910432014502e-74,1.21513201585327e-71,ENSG00000260260
