gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
IGFBP2,-2.8757201177266,6.70799520574837,172.646477004405,4.34301377910614e-33,4.15018396731383e-29,ENSG00000115457
CEBPB,1.37924982762809,10.1726383200939,169.260806507651,1.43722169200307e-32,6.86704524439069e-29,ENSG00000172216
TNC,-2.48689031958647,5.98313129281391,155.906565500655,1.73177564341023e-30,5.51628268280939e-27,ENSG00000041982
CHCHD7,2.42804893608553,6.21696639211231,154.148373754028,3.28272526527994e-30,7.84243065875378e-27,ENSG00000170791
LCN2,2.83223800609713,10.7820593278334,141.171699819065,3.92893200408266e-28,7.50897484620278e-25,ENSG00000148346
TPM2,-1.91511425258433,7.21585992441049,107.286264057746,1.86215586118563e-22,2.96579356824831e-19,ENSG00000198467
SCGB2A2,-3.55167390598786,12.0355233915461,103.43608579818,8.69835189669591e-22,1.18744929606895e-18,ENSG00000110484
ALDH1A1,2.33538509940262,6.65325491578989,100.293596483704,3.08856160650463e-21,3.68928683896978e-18,ENSG00000165092
TF,2.98388700873296,7.50986014755808,98.9343202424593,5.35683324621507e-21,5.68776650009236e-18,ENSG00000091513
COL1A1,-3.17541901466983,6.58104279554,94.8618423938831,2.81514475102892e-20,2.69015232408323e-17,ENSG00000108821
HIBADH,1.31457744903509,6.69662647405708,94.5196791930147,3.23835876115355e-20,2.81325057468939e-17,ENSG00000106049
FSTL1,-2.01907754356096,5.92478999966468,93.575685846705,4.76826990100132e-20,3.79713226449738e-17,ENSG00000163430
BEST1,1.69876918308921,6.00747020998702,92.4227954076001,7.65662563375397e-20,5.62820881201177e-17,ENSG00000167995
CREG1,1.53030621609978,7.59369374641694,91.2358018323398,1.24831663450754e-19,8.52065268525288e-17,ENSG00000143162
ZNF90,-3.21044065541923,6.25862440659927,90.1719081957916,1.93665902494649e-19,1.23378090949258e-16,ENSG00000213988
PI3,2.38236187324807,9.09589268835351,88.5186991706586,3.8396636077947e-19,2.29323908975538e-16,ENSG00000124102
MUCL1,2.84146467555455,8.53721868420046,87.9971067012331,4.76751872435086e-19,2.67990640764099e-16,ENSG00000172551
PGF,-2.13181503185095,5.87708887332984,86.7332450524934,8.0630401787944e-19,4.28057844158662e-16,ENSG00000119630
HSPA6,2.60122645461192,7.7210873056856,84.9415699723813,1.70246978253553e-18,8.13678259410414e-16,ENSG00000173110
ORM1,2.22775675902458,7.89195192000589,84.9408694458957,1.70296831186776e-18,8.13678259410414e-16,ENSG00000229314
SPARC,-2.73385967127158,6.60329834514174,82.7176841198145,4.3223787306925e-18,1.96688815002369e-15,ENSG00000113140
KRT14,-2.10936193897558,6.38046998716162,81.8604810589602,6.19754890131849e-18,2.69198987731816e-15,ENSG00000186847
DGKI,-2.13117369440609,6.05511387436534,81.7027542823302,6.62289365597482e-18,2.7516683381085e-15,ENSG00000157680
CEBPG,1.24049383928209,6.95603077012936,81.3773361649208,7.59549781780745e-18,3.02427404779033e-15,ENSG00000153879
ALDH2,1.57137325348938,7.06862463556762,79.7217290490314,1.52747826453235e-17,5.83863291834846e-15,ENSG00000111275
PTN,-2.60802685521882,10.4808814004959,78.172241723127,2.94411198190363e-17,1.08207438842581e-14,ENSG00000105894
FKBP10,-1.68744403818379,6.111024964503,77.5506583910231,3.83310853082954e-17,1.35663648594841e-14,ENSG00000141756
IRX1,-1.74653975542212,6.11098448167574,76.2895923143361,6.55441296391531e-17,2.23692751011338e-14,ENSG00000170549
CRISP3,2.72891406250833,6.64789379469035,75.9744659543728,7.49646217071592e-17,2.47021353459867e-14,ENSG00000096006
STC1,-2.25191248629613,6.4159759255383,75.2275810361751,1.03098478496328e-16,3.28403020170303e-14,ENSG00000159167
