gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
TMEM45A,-2.19650184010764,8.59656446287039,142.292422204923,5.24945628141388e-28,4.21793812211605e-24,ENSG00000181458
HOXB2,2.17441078100411,6.76378023100202,130.117785161602,4.68172955459013e-26,1.88088484855658e-22,ENSG00000173917
NDUFA13,1.16208190364155,7.96360053096154,122.669849294247,7.71951087210024e-25,2.06754232857751e-21,ENSG00000186010
CSTB,-1.69498074876635,11.4018535125617,114.20230412385,1.97036748771129e-23,3.95797569094005e-20,ENSG00000160213
MIF,-1.25009116372271,7.90693583105867,108.540089446506,1.77654509882996e-22,2.85490797381975e-19,ENSG00000240972
ERO1A,-2.30242395028664,7.62032911806341,95.4789053939415,3.14710864226522e-20,4.21450299010018e-17,ENSG00000197930
IFI6,2.42775570902444,7.44328862745491,92.5664462001164,1.01906351012413e-19,1.16973932912106e-16,ENSG00000126709
TFG,-1.29299829865648,7.32419021363047,91.7153162336407,1.43866865660121e-19,1.44496283197384e-16,ENSG00000114354
SNHG25,1.58765949356165,7.03747523827931,91.1117810447382,1.83793491190666e-19,1.64086744635223e-16,ENSG00000266402
SNHG9,1.37292595684846,7.48099923218243,90.2584434682008,2.60000693076308e-19,2.08910556886814e-16,ENSG00000255198
BTG2,2.05398512497839,7.73314680946898,89.7381977512409,3.21336403571173e-19,2.3472163660858e-16,ENSG00000159388
NIT2,-1.0945201105245,7.44967115311966,80.6516159466408,1.35348833896984e-17,8.64026521441441e-15,ENSG00000114021
CEBPG,-1.35702580542827,7.13416563402458,80.5739696154352,1.39792716599113e-17,8.64026521441441e-15,ENSG00000153879
UPP1,-2.34637773092261,7.65946609078388,79.6569092702263,2.04825263631469e-17,1.1755507094849e-14,ENSG00000183696
MX1,2.05481717682568,7.24403489123129,77.7118021747181,4.61796264778514e-17,2.43416273206663e-14,ENSG00000157601
TMEM14B,-1.07679262575606,7.46307414589378,77.5962085457599,4.84711931712085e-17,2.43416273206663e-14,ENSG00000137210
