gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
COX7A2,2.20897947537213,8.79743182131137,513.145589199283,2.91080163372558e-70,2.21337356228493e-66,ENSG00000112695
MT-ND3,2.24505245712592,11.7646760764841,497.337394388917,7.24696972865541e-69,2.75529789083479e-65,ENSG00000198840
OST4,2.35022436000875,8.61550157177403,488.845209778933,4.17886621545198e-68,1.05920329007656e-64,ENSG00000228474
NDUFB2,2.20837286063123,8.96166493548961,480.287298436848,2.48745401896802e-67,4.7286500900582e-64,ENSG00000090266
TOMM7,2.30357686091261,8.33531402725308,448.256250268047,2.33700306663211e-64,3.55411426373412e-61,ENSG00000196683
COX6C,2.00131094131049,9.40353335825786,438.791993440686,1.86275346194464e-63,2.36072955410451e-60,ENSG00000164919
ATP5F1E,1.88952963880248,8.99846630229069,410.911926107897,9.78889337876107e-61,1.06335350360142e-57,ENSG00000124172
NDUFA4,1.84291187643035,9.43794427226951,388.880136576818,1.63257988134306e-58,1.55176717721657e-55,ENSG00000189043
COX8A,2.14038733999896,8.23418290694407,383.935003570858,5.25832518493024e-58,4.44270052291217e-55,ENSG00000176340
TMSB10,1.85569121447453,10.957689893716,378.967178663957,1.71652112127545e-57,1.30524266061785e-54,ENSG00000034510
SERF2,1.84537258531468,8.98424425716799,365.289018083913,4.65416775128549e-56,3.21729923461589e-53,ENSG00000140264
TXN,1.70956708744762,9.85610250657944,364.157125424289,6.13311594746738e-56,3.88635113871183e-53,ENSG00000136810
COX5B,1.95517045494976,8.65286272901399,350.309618971425,1.86015968915875e-54,1.08805032895101e-51,ENSG00000135940
NDUFB4,2.05548937950809,8.21083211793175,343.820389703196,9.42374976103475e-54,5.11844237020773e-51,ENSG00000065518
FAU,1.61863888653344,9.51586328525193,343.282399629872,1.07880772986453e-53,5.46883598525992e-51,ENSG00000149806
COX6B1,1.95849445050878,8.26334225522874,342.646535476842,1.26592099934531e-53,6.01628954938858e-51,ENSG00000126267
ELOB,1.98353485881637,8.51488392517401,342.229487702077,1.40604906459903e-53,6.28917475718295e-51,ENSG00000103363
ATOX1,2.3216749655929,7.93929189131678,322.556606019112,2.14275414454462e-51,9.05194584173184e-49,ENSG00000177556
UBL5,1.96246574844416,8.45566593469277,317.921312565968,7.15712155096146e-51,2.86435538281637e-48,ENSG00000198258
DBI,1.96162316845454,9.77758483664283,315.499150754387,1.34864844201978e-50,5.1275613765592e-48,ENSG00000155368
NDUFB7,2.01244525092173,8.04413602696235,307.309639487629,1.1690016058098e-49,4.23289914789415e-47,ENSG00000099795
SEC61G,2.38102870948645,7.80024603435336,306.257960619735,1.54567432820649e-49,5.3424125416737e-47,ENSG00000132432
SEM1,2.00862044107997,8.27028617976889,304.69237138016,2.34456402219217e-49,7.75133253249968e-47,ENSG00000127922
COX7C,1.87203012476566,8.28122581725306,294.769837383565,3.36646241388215e-48,1.06660750813166e-45,ENSG00000127184
COMMD6,2.19722326178469,7.67973652481418,294.178544564634,3.95090348865392e-48,1.20170680510898e-45,ENSG00000188243
COX7B,2.00805850885022,8.12795241703993,292.391528954523,6.41509790813274e-48,1.8761694035939e-45,ENSG00000131174
NDUFS6,1.97766107798151,7.9909023587263,280.826572732,1.52782019674195e-46,4.30279436149102e-44,ENSG00000145494
COX6A1,2.0384938762926,7.7953279772464,279.048596879969,2.50046082885095e-46,6.79053719377951e-44,ENSG00000111775
UQCRQ,1.78753922944546,8.30875597562741,275.817332200397,6.14359209458433e-46,1.61089221680066e-43,ENSG00000164405
TMEM258,2.13702930856257,7.61598068511578,271.154860006853,2.2665613896276e-45,5.74497760224275e-43,ENSG00000134825
ZFAS1,1.91368875296903,9.02134343454265,263.105380804123,2.21013067718166e-44,5.4212366675127e-42,ENSG00000177410
ATP5MF,1.84352557314891,8.29608432643608,259.270670317496,6.61066708160048e-44,1.57085976526532e-41,ENSG00000241468
UBA52,1.36222740757267,9.30836944800631,254.451802866452,2.64561936253349e-43,6.09614837354686e-41,ENSG00000221983
HINT1,1.28200990678943,9.56994075803592,250.952054146683,7.2947387388998e-43,1.631446863841e-40,ENSG00000169567
ATP5MPL,1.92707528349669,8.22062471256095,249.621549868732,1.0743691586576e-42,2.33414373783783e-40,ENSG00000156411
UQCR11,2.06031534377761,7.52050533938213,241.554133066267,1.14520409998177e-41,2.41892554896149e-39,ENSG00000127540
S100A6,2.15322237711011,11.535667404947,240.39386538528,1.6138561777829e-41,3.31669253401653e-39,ENSG00000197956
NDUFA1,1.92185142057385,7.6480736473969,239.083256233932,2.37963326789679e-41,4.76177141291767e-39,ENSG00000125356
FMC1,2.38261262655521,7.08099271600294,237.33784853838,3.99666699227845e-41,7.79247584853471e-39,ENSG00000164898
SLIRP,2.06181742021374,7.70731112126566,237.235068005599,4.1207823569247e-41,7.83360726051385e-39,ENSG00000119705
MINOS1,2.13881778523988,7.29428417139046,237.08220875732,4.3125797904464e-41,7.99825773818401e-39,ENSG00000173436
UQCRB,1.65664199535006,8.33276367173438,231.610978518448,2.21503200621724e-40,4.01026270839901e-38,ENSG00000156467
NOP10,2.20824642147648,7.1471485943898,229.774122266757,3.85027829951972e-40,6.80872469524372e-38,ENSG00000182117
SNRPE,1.98861331835328,8.02432762953921,229.455783915214,4.23822306843679e-40,7.32442004827122e-38,ENSG00000182004
MRPL33,1.98982696021961,7.59874101052104,226.076303208211,1.17822356402645e-39,1.99093599574603e-37,ENSG00000243147
TSTD1,1.60204828356437,8.19500405642558,223.349520534801,2.7005413317085e-39,4.46411223615466e-37,ENSG00000215845
NDUFC1,2.21442385655039,7.24562526399518,217.513725845742,1.61546617272127e-38,2.61361803773883e-36,ENSG00000109390
DPM3,2.02338909454909,7.4345030352165,214.460249996256,4.14976008801954e-38,6.57391160610428e-36,ENSG00000179085
ROMO1,2.05393279784993,7.29071086239983,214.208755538666,4.48611154723015e-38,6.96171269492613e-36,ENSG00000125995
TMA7,1.78594674332719,8.01734225016009,212.018299223711,8.85773639522704e-38,1.34708455098613e-35,ENSG00000232112
UQCR10,1.86448492425016,7.6697009098047,211.910883544319,9.15885930115274e-38,1.36556796325422e-35,ENSG00000184076
SEC61B,1.39907294495778,8.50583837071812,204.22826726223,1.01780643339053e-36,1.48834617682723e-34,ENSG00000106803
COX14,2.06414529057906,7.04638155221056,203.828399891731,1.15479062004633e-36,1.6567977122325e-34,ENSG00000178449
ATP5MG,1.54815427443223,8.03596912885609,200.845620800402,2.97060101076804e-36,4.18304631220004e-34,ENSG00000167283
SAA1,3.08503223577477,8.67142193515446,197.978983216065,7.40207447055465e-36,1.02337044134723e-33,ENSG00000173432
SLPI,2.1662258172675,10.4049261228188,196.871423375415,1.05467274862803e-35,1.43209492510135e-33,ENSG00000124107
NDUFB3,2.07301325089695,7.2514979099686,194.695963473243,2.11869998464935e-35,2.82642011987257e-33,ENSG00000119013
ATP5IF1,1.76250868225427,7.83481966658778,193.854346860389,2.77717992770184e-35,3.64097865004221e-33,ENSG00000130770
C4orf48,2.32504753095579,7.00874436885502,192.320320366803,4.55318551058936e-35,5.86820722415619e-33,ENSG00000243449
NDUFA11,1.63019921288261,7.74168656135203,185.082348305118,4.78455489366497e-34,6.06362590190474e-32,ENSG00000174886
ATP5MD,1.72473258963387,7.66135528486279,183.542958446413,7.92366936657681e-34,9.87730850220493e-32,ENSG00000173915
COX17,2.13811840086439,7.11787157222715,183.150302538772,9.01389477966707e-34,1.10551057910626e-31,ENSG00000138495
C19orf53,1.45791942115931,8.10906623362216,179.413450322631,3.08922081063696e-33,3.70232788357723e-31,ENSG00000104979
RBX1,1.60165044699963,7.84824211482408,179.387253290516,3.11610973893928e-33,3.70232788357723e-31,ENSG00000100387
COPS9,1.90606104136762,7.24875848969789,175.871731414619,1.00100538638311e-32,1.17102230123957e-30,ENSG00000172428
S100A11,1.41437164058022,10.4424426387452,174.35094230757,1.66250233219616e-32,1.91540420212418e-30,ENSG00000163191
ATP5MC1,1.8737660224961,7.52336522668407,172.966890764595,2.64148819215436e-32,2.99789197211071e-30,ENSG00000159199
NDUFS5,1.4072824974985,9.02948725182707,169.362100691852,8.87476615579918e-32,9.92407674245544e-30,ENSG00000168653
POLR2F,1.60853793459089,8.11176339262366,168.321470802863,1.2612152472677e-31,1.3898957594527e-29,ENSG00000100142
SNRPF,2.07344273804378,7.2271162406373,166.353141571349,2.45670236294904e-31,2.6686806811235e-29,ENSG00000139343
SNRPG,1.71056164862099,7.54026950832362,162.674291056169,8.60213940370376e-31,9.21277014447372e-29,ENSG00000143977
ATP5PF,1.39551736529174,8.34362545338811,162.528928734574,9.04053084590461e-31,9.54780507670259e-29,ENSG00000154723
CCDC167,1.96486642457202,7.06470819083156,161.990161084759,1.08707657568682e-30,1.1323466139072e-28,ENSG00000198937
ATP5ME,1.78384326460866,7.40997913485484,157.451355446889,5.17883402615597e-30,5.32160188309324e-28,ENSG00000169020
C19orf70,1.76595163549551,7.3704038745205,152.921265909594,2.4954813000983e-29,2.53008530745967e-27,ENSG00000174917
SSR4,1.22608552613301,8.10237449119952,148.026040632473,1.38766280212502e-28,1.38839315096824e-26,ENSG00000180879
UQCRH,1.31120923281952,8.7845021375522,146.900982089046,2.06349198610275e-28,2.03776533276952e-26,ENSG00000173660
SMIM26,1.78243395268048,7.34145222790506,145.880149711626,2.96010171704114e-28,2.88571967389498e-26,ENSG00000232388
TBCA,1.42582524234098,7.76574741138657,144.379365294193,5.03838851224625e-28,4.84960838571146e-26,ENSG00000171530
