gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SNHG25,2.32786431097998,7.01405688918731,340.823046552376,9.11188200283868e-62,8.13873300493551e-58,ENSG00000266402
DICER1,-2.47620142178452,8.35590533042817,332.184804963666,1.61937967538998e-60,7.23214963029166e-57,ENSG00000100697
PCMTD1,1.86572720158741,7.55304385708014,265.436624072775,1.78362726536731e-50,5.31045291142026e-47,ENSG00000168300
FGF2,2.41339967726048,6.99231077457169,218.70856923974,5.30914467687971e-43,1.18553200634724e-39,ENSG00000138685
TRPM4,-2.51558609086909,7.59233670098131,209.793021737595,1.57215796545321e-41,2.80850298948561e-38,ENSG00000130529
NDUFA13,1.76639564045048,6.966927411067,198.387273228332,1.26297297759075e-39,1.8801457726401e-36,ENSG00000186010
MT-ATP8,1.74156572996123,7.21936200799458,195.705606372147,3.57265332776042e-39,4.5587056462223e-36,ENSG00000228253
RAB2A,1.22029935202397,7.88375920502023,195.281173830909,4.21305941713605e-39,4.7038808392324e-36,ENSG00000104388
CYP1B1,2.48949435824251,7.3856393531688,192.120135601781,1.44224499967518e-38,1.43134803745541e-35,ENSG00000138061
LBH,-3.27827538974156,8.40625817232728,176.862725158794,5.85191217491076e-36,5.22692795463029e-33,ENSG00000213626
SF3B6,0.931606622543436,9.05203178414826,156.524329466632,2.09204315613225e-32,1.69873904277939e-29,ENSG00000115128
S100P,2.11450189318393,7.06826721807954,155.056883265162,3.80572211859725e-32,2.83272583027588e-29,ENSG00000163993
PITX1,1.2780830688452,8.05079236591106,153.868602821393,6.18327511850277e-32,4.24838564295898e-29,ENSG00000069011
PPDPF,0.857107225606252,8.7892263962453,149.749819198431,3.34407628529351e-31,2.13352067001726e-28,ENSG00000125534
SNHG8,1.36624720698924,7.57684951539589,145.264517452858,2.12294090344752e-30,1.26414054330622e-27,ENSG00000269893
NGRN,1.63635307650918,6.78597461406659,156.777978018764,8.01255505696657e-30,4.47300886055159e-27,ENSG00000182768
TNNT1,1.62276862294072,6.84919155867108,141.567477320412,9.81759735362368e-30,5.15828115073922e-27,ENSG00000105048
HSP90AA1,0.864829453869808,11.3016185783426,140.731836995263,1.38921094045851e-29,6.89357340009744e-27,ENSG00000080824
ORM1,2.26423702034859,7.11221690810412,140.466651504727,1.55112164332027e-29,7.29190448322983e-27,ENSG00000229314
NR4A3,1.81948251201547,6.91731829200136,139.028368187712,2.82231077396306e-29,1.2604439916519e-26,ENSG00000119508
TPM2,1.64795646508348,8.26055414749604,138.495627027234,3.5238421696868e-29,1.49880753617345e-26,ENSG00000198467
FKBP4,1.04766635355959,8.37985783160879,135.22339867507,1.38249086292323e-28,5.61291290346832e-26,ENSG00000004478
ZFAS1,1.21270081185797,7.71631829817691,130.140559640139,1.16901389777621e-27,4.53984005866832e-25,ENSG00000177410
EIF5,1.0708485331287,8.42801139692588,127.364788417944,3.7736444421602e-27,1.40442467322395e-24,ENSG00000100664
GPI,-1.2755434422497,7.77887330783449,122.292694427519,3.24768080841957e-26,1.16033139923214e-23,ENSG00000105220
CSDE1,-1.40047676169085,7.760270456328,121.348321626832,4.85649635674028e-26,1.6683932868617e-23,ENSG00000009307
UQCRB,1.22580030475547,7.35834380901123,120.919247252157,5.8316729587032e-26,1.92920380989396e-23,ENSG00000156467
RBM3,-0.879869596597857,8.75650512168197,119.440571908189,1.09650979700772e-25,3.40093165041929e-23,ENSG00000102317
GADD45B,1.51938794922174,8.61655989809223,119.424224396468,1.10419858779847e-25,3.40093165041929e-23,ENSG00000099860
UQCRFS1,-0.824417501386356,9.21441366745955,117.607483950497,2.40277498401555e-25,7.15386205240898e-23,ENSG00000169021
ZG16B,-2.23708533405161,10.3726928793601,117.30233697105,2.73848106934949e-25,7.89035900368698e-23,ENSG00000162078
CCDC107,1.32175443480341,7.53184518917352,115.530887090795,5.85719112706739e-25,1.63488847334269e-22,ENSG00000159884
LSM14A,-1.38652937655645,7.70776063200721,113.701253068631,1.28690009043103e-24,3.48320957809999e-22,ENSG00000257103
MT-CO2,-0.671043312982695,14.2640326314663,110.022789405585,6.3011403190933e-24,1.6553466273571e-21,ENSG00000198712
KLF10,1.31219011540586,8.01886869242409,109.343050793578,8.45823375221081e-24,2.12873259797095e-21,ENSG00000155090
MRPL15,0.95004437206166,7.87161487770342,109.31013154766,8.57975520901859e-24,2.12873259797095e-21,ENSG00000137547
PTN,-2.66038536037955,8.8338100445696,108.284525968989,1.3385300265566e-23,3.23128383708205e-21,ENSG00000105894
TMPRSS13,-1.24101464734571,7.6540635539309,106.601150755077,2.78131520675469e-23,6.53755458598235e-21,ENSG00000137747
DEGS1,-1.04272655914298,8.80730067593372,105.652338150773,4.20337992155296e-23,9.62681781007975e-21,ENSG00000143753
LRP3,-1.44671808562724,7.3591909457766,104.065296263485,8.39680438900101e-23,1.87500642006393e-20,ENSG00000130881
RB1CC1,1.15142476085544,7.35237512980695,102.586497022687,1.60224493871062e-22,3.49054921769835e-20,ENSG00000023287
CFB,1.55157265964167,6.73397703688696,104.218968730224,5.06111498766888e-22,1.07633045404425e-19,ENSG00000243649
COX6C,0.839252406777339,8.08330180064421,98.0889960754812,1.15275045330137e-21,2.39450396485765e-19,ENSG00000164919
NFKBIA,1.26457759791913,10.7993200529727,95.1671174978078,4.182297776673e-21,8.4900644866462e-19,ENSG00000100906
VWA5A,-1.65503250337148,7.16076774555868,94.1684647780628,6.50483761014372e-21,1.29113798964008e-18,ENSG00000110002
TAF1D,0.893750558631156,8.07068568375835,93.3172536453601,9.48314945412713e-21,1.84138023748399e-18,ENSG00000166012
WARS,1.46967363010158,6.85580193777212,92.4110487930665,1.41730852117565e-20,2.69348930024275e-18,ENSG00000140105
MT-CO1,-0.535176174420892,14.996995620197,90.905261129483,2.76656706388846e-20,5.14812021138577e-18,ENSG00000198804
SOX8,1.36225920007377,6.73662503261754,88.7486299307933,7.22880302760693e-20,1.29883744315309e-17,ENSG00000005513
NR1D1,1.4813050959107,6.93931990679416,88.7356745000207,7.27069773372757e-20,1.29883744315309e-17,ENSG00000126368
CD74,-1.90438606094213,7.41842985859181,86.1827724602588,2.27530388505918e-19,3.98490476497032e-17,ENSG00000019582
C18orf32,1.38310201596847,6.7302566045723,111.507606583511,3.63499550865321e-19,6.24380382370971e-17,ENSG00000177576
SBSN,1.7000398892819,7.4065678430255,84.407636983623,5.04245248431426e-19,8.49795954526321e-17,ENSG00000189001
ST14,-0.894789062466741,8.3484476662198,84.188038207524,5.56490896116534e-19,9.20477163724609e-17,ENSG00000149418
CAPS,1.33989907985937,6.77734690525978,86.4368027955678,6.19123862513178e-19,1.0054571527214e-16,ENSG00000105519
MFGE8,-0.995018315834024,8.85270586659707,83.5918197719026,7.27403311674114e-19,1.16020828212021e-16,ENSG00000140545
PSMA2,0.730051109009229,8.20808300127519,82.8555405480827,1.01287968765119e-18,1.5872002403685e-16,ENSG00000106588
ATP5MPL,1.07715169792278,7.23806571294883,82.6770479617975,1.09758420045991e-18,1.69027966870826e-16,ENSG00000156411
UBE2V2,0.941108851922278,7.52241000913765,82.248890796905,1.33089335028696e-18,2.01483718724798e-16,ENSG00000169139
SYNM,1.34758034467366,7.73859605597056,81.4607436642188,1.89830373004285e-18,2.8259414861238e-16,ENSG00000182253
CTSH,-1.2640407059829,7.44685460727174,81.3582021645479,1.98812622712613e-18,2.91113827224436e-16,ENSG00000103811
KRT16,1.5212364102714,8.98044931705478,80.9174571342367,2.42537701813589e-18,3.49410766548222e-16,ENSG00000186832
FOSL1,1.4128612269033,6.89873346376952,79.3788093367768,4.85982254292585e-18,6.89014840530376e-16,ENSG00000175592
ZNF599,-1.261409385258,7.06095688805574,78.4348336496692,7.44981916881677e-18,1.03971538774799e-15,ENSG00000153896
REXO2,-0.783064388498071,8.09032694205996,77.4907558554676,1.14275565255994e-17,1.57032207517929e-15,ENSG00000076043
IL17RC,-1.01276211228036,7.79563252798931,77.4173734454884,1.18142751404815e-17,1.5988652356785e-15,ENSG00000163702
SCD,1.1994114542701,7.41651343054696,76.1155598175861,2.13345296679544e-17,2.84417938797266e-15,ENSG00000099194
CELF2,-1.55223235586338,7.02165574882695,75.1162781197891,3.36087066401207e-17,4.41460246631703e-15,ENSG00000048740
SELENOF,-0.850557023988656,7.92060601378547,74.6556211602573,4.14511961290785e-17,5.36582730181057e-15,ENSG00000183291
