gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MT-ND3,-0.865732657458125,11.1989715792058,139.551431626484,4.87613666351552e-28,3.21800534735585e-24,ENSG00000198840
DEFB1,-2.37345061549855,8.66239790244585,138.458899038472,7.37989989073695e-28,3.21800534735585e-24,ENSG00000164825
APOD,2.71285451546349,6.7681797539251,117.390090427361,2.57627282463745e-24,7.48922510122106e-21,ENSG00000189058
RARRES1,-2.8782211959641,8.69672127255945,111.320441752713,2.87187631320343e-23,6.26140833186179e-20,ENSG00000118849
ARF5,0.743637310298592,8.49205505351135,108.561294726386,8.67519619505651e-23,1.51312772034176e-19,ENSG00000004059
IFI27,2.67614029986632,7.17802416724513,102.438074449662,1.03062771023813e-21,1.49801737683112e-18,ENSG00000165949
IGFBP3,-2.832246780133,8.59193529260589,92.7508536900521,5.50264293937457e-20,6.85550701061223e-17,ENSG00000146674
ATP5F1E,-0.616697037937334,8.98165608434228,88.1874390978742,3.68305065228335e-19,4.01498559232039e-16,ENSG00000124172
ARF1,0.488155929417262,10.3449185258544,74.4892435631752,1.2372526153614e-16,1.1988977842852e-13,ENSG00000143761
MDK,0.878844780262215,9.83806816088553,73.8962952815289,1.59768493676323e-16,1.39334103335121e-13,ENSG00000110492
UQCR11,-0.995232050830448,7.11219565281448,73.1224741858976,2.23156315364352e-16,1.76922384208411e-13,ENSG00000127540
OST4,-0.538486152632328,9.03267324242161,69.968943045571,8.76105040410546e-16,6.36709338118364e-13,ENSG00000228474
TMEM258,-0.717326114344447,7.80822314800571,67.6744886147914,2.38402626785184e-15,1.59931485245661e-12,ENSG00000134825
CALD1,-1.29417973026987,8.41765551790082,66.2891366479248,4.37409848334235e-15,2.72475091951633e-12,ENSG00000122786
GBP3,-1.6260415579304,6.71683282501596,62.453783135208,2.37093357258844e-14,1.37846077910292e-11,ENSG00000117226
ERO1A,-1.95492445856937,6.91886766741445,61.8510107311974,3.09646174653561e-14,1.68776518072106e-11,ENSG00000197930
FRZB,1.2790908635216,9.12787542986587,61.2781972664513,3.99207058284878e-14,2.04793220900143e-11,ENSG00000162998
UQCRH,-0.531546244540013,9.27579419383442,60.4450237454882,5.78016607670628e-14,2.80049046416419e-11,ENSG00000173660
ATP5MF,-0.600998523344864,8.39929437903887,59.804186271892,7.68752477221265e-14,3.52857387044561e-11,ENSG00000241468
NDUFA11,-0.705326139561734,7.54528281013415,58.8007997590858,1.20245470279867e-13,5.24330373155361e-11,ENSG00000174886
SEC61G,-0.631630557882656,8.41410663937914,58.5249799914479,1.36004869196938e-13,5.64808792507855e-11,ENSG00000132432
SMIM22,-1.0945911991601,6.91431391466515,56.4924982995278,3.37873107904029e-13,1.33935971546865e-10,ENSG00000267795
PDZK1IP1,-1.07873429631241,8.55215892855606,56.067592075533,4.08896033450772e-13,1.49535905982122e-10,ENSG00000162366
