gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MTRNR2L12,6.80139891792884,9.74926935428978,4054.16811851967,1.47669937321006e-252,1.32548535739335e-248,ENSG00000269028
SNHG9,-3.54892030510415,7.35673989826666,782.428762970933,6.07886343738604e-107,2.72819391069886e-103,ENSG00000255198
CEBPB,2.18028243519445,9.42889646837969,564.276824783445,7.99694679162604e-86,2.39268648005451e-82,ENSG00000172216
NDUFA13,-2.06025702821731,7.46639395904615,372.522346802017,1.86477998905898e-63,4.18456629544834e-60,ENSG00000186010
UQCRB,1.44944031269552,8.19812061577798,334.589859368273,1.79624840500147e-58,3.22462513665864e-55,ENSG00000156467
MT-ATP8,-1.85207443282716,8.10346327847386,306.558090710877,1.20143810779605e-54,1.58562715656718e-51,ENSG00000228253
COX6C,1.11290609553682,9.45605127343162,306.467889697689,1.23656306773287e-54,1.58562715656718e-51,ENSG00000164919
DICER1,-2.12364961026982,7.72167977548175,284.498405069716,1.51797859138901e-51,1.70317197953847e-48,ENSG00000100697
ARPC1B,-1.73245934906471,8.21491071025901,271.299890631962,1.19509546570265e-49,1.19190854446077e-46,ENSG00000130429
HSPA1B,2.197319504393,8.65309344777355,268.174555318277,3.39605836239536e-49,3.04830198608607e-46,ENSG00000204388
PSMA2,-1.51535761011275,7.84054199603732,258.845120878662,7.8630335486748e-48,6.41623537571864e-45,ENSG00000106588
CLDN23,2.49102148572456,6.62204491047064,254.413677458271,3.54365167421503e-47,2.65065145231284e-44,ENSG00000253958
LBH,-3.60264136110005,7.7168130329477,252.002191752611,8.06907342390374e-47,5.57138485022769e-44,ENSG00000213626
MT-ND4L,-1.31993465497397,9.69077008619395,242.069810361925,2.45756007868047e-45,1.57564709044542e-42,ENSG00000212907
SIVA1,1.58863560080996,7.67961255492539,229.18267099533,2.20984166995809e-43,1.32236925530292e-40,ENSG00000184990
CSKMT,-2.34278875515149,6.53011991632938,228.54463437591,2.76667925227492e-43,1.55210706052623e-40,ENSG00000214756
PLEKHF1,-1.98341879155421,7.48337290706342,225.360689850647,8.51585714094564e-43,4.4963725704193e-40,ENSG00000166289
CDK2AP1,-2.10359620615976,6.63287983063388,218.538100376961,9.62713943520724e-42,4.80073353169001e-39,ENSG00000111328
HNRNPA1,-1.26814550388045,8.34364030269693,218.027361473276,1.15540090464693e-41,5.4583571158478e-39,ENSG00000135486
HIBADH,1.94444397898293,6.75048162076458,213.979494745932,4.92770449946881e-41,2.2115537793616e-38,ENSG00000106049
RDH14,1.71214097205833,6.97267300686238,210.53226304461,1.705343363944e-40,7.28912477845778e-38,ENSG00000240857
