gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
IGFBP2,-3.42752367978766,6.89318324818503,207.788301759684,4.94299024788642e-37,4.4956496304527e-33,ENSG00000115457
GAPDH,-1.5316830499274,11.7437640851335,152.735664127171,3.41711514549438e-29,1.55393311241357e-25,ENSG00000111640
MIF,-1.36953181876994,7.70938868506902,150.052486547914,8.67643885467947e-29,2.63040704611033e-25,ENSG00000240972
CEBPB,1.35618568360841,10.2726292247956,139.821125657618,3.18147552048218e-27,7.23387996469635e-24,ENSG00000172216
PGF,-2.87719560354023,5.98329979688733,119.044222337871,6.1359742564737e-24,1.11613371725257e-20,ENSG00000119630
SCGB1D2,-3.35178910878601,8.31758173407683,115.123961163314,2.66068379135437e-23,4.03315318039467e-20,ENSG00000124935
SCGB2A2,-4.10754289864754,12.3174261600111,108.593383553087,3.15573077457924e-22,4.1001959135426e-19,ENSG00000110484
C4orf3,-1.17802619280693,8.68678507955268,107.822951074094,4.2353421270417e-22,4.81505458068053e-19,ENSG00000164096
NDUFA13,0.935051583378077,7.71939551935342,105.949644484465,8.68092068710667e-22,8.7725526276928e-19,ENSG00000186010
STC1,-2.76342979041407,6.52277987799631,105.194172706917,1.1605043471173e-21,1.05547870370318e-18,ENSG00000159167
IFI6,2.82992537747663,7.53771789436706,100.541178667538,7.01702577665999e-21,5.80180449442932e-18,ENSG00000126709
MX1,2.72411700825568,7.47976529332099,99.6052341001434,1.01017372523474e-20,7.65627502584163e-18,ENSG00000157601
CHCHD7,2.25098366370717,6.25235122841736,97.2909197168413,2.49578159948925e-20,1.74608720364267e-17,ENSG00000170791
ZNF117,2.04620545706401,7.38459733055618,92.4324477594919,1.6943239945069e-19,1.10070548071716e-16,ENSG00000152926
SCGB2A1,-2.67173636620279,8.17647908289849,88.9124577170714,6.88352638725429e-19,4.17371149947185e-16,ENSG00000124939
UPP1,-2.44896907469158,7.43211512526815,80.5333174739922,2.03529314465267e-17,1.1569369469135e-14,ENSG00000183696
SF3B6,-0.737374439236649,9.64879600240583,80.0219752779879,2.5083730534301e-17,1.3419795835851e-14,ENSG00000115128
TNFAIP2,1.93599464955591,7.23733154288463,78.624700757212,4.44648858330534e-17,2.24671187028678e-14,ENSG00000185215
HLA-F,1.84279857523386,6.99285026210889,78.0602204905322,5.6067386336291e-17,2.68385725646614e-14,ENSG00000204642
PGK1,-1.09093946222548,9.05293484352295,77.001215550956,8.66984573023363e-17,3.94261234582374e-14,ENSG00000102144
HLA-DRA,3.05872401256708,7.08585910925714,75.8113147358477,1.41685976815412e-16,6.13635218636274e-14,ENSG00000204287
MUCL1,3.16629975633509,8.63069771672114,75.3590249866355,1.70836891671963e-16,7.06255240798409e-14,ENSG00000172551
ERV3-1,1.60586383165078,7.13218683949822,73.8829308174322,3.15085841243775e-16,1.2459590113531e-13,ENSG00000213462
AC020916.1,1.96863723805707,6.93442547402232,73.561951469907,3.60058472987579e-16,1.36447158825918e-13,ENSG00000267519
PSORS1C2,-2.50245807869288,6.10681350277683,72.9245294528143,4.69446708180841e-16,1.7078471243619e-13,ENSG00000204538
PI3,2.57328306096465,9.21343953113014,71.8446007481915,7.36581971355967e-16,2.57662039595482e-13,ENSG00000124102
LDHA,-1.07268996687694,10.2921679514746,71.4327437824248,8.74937975805944e-16,2.94724477405743e-13,ENSG00000134333
HLA-A,1.56806366024554,9.83422082644178,71.1090627329643,1.0018102851584e-15,3.25409447982703e-13,ENSG00000206503
HLA-B,1.41498843936438,10.8270957746956,70.8698566669868,1.10733246409637e-15,3.47282371067465e-13,ENSG00000234745
CT83,-1.73635367574634,5.90657814726953,70.3986421755496,1.3490708321076e-15,4.08993307267286e-13,ENSG00000204019
TYMP,1.50901789575567,8.09268630810514,70.2846673699805,1.4151196222736e-15,4.15177837567045e-13,ENSG00000025708
HLA-C,1.10194363423128,10.1922866808649,70.1289245517036,1.51066767571608e-15,4.29360078457428e-13,ENSG00000204525
VIM,-2.00052324087892,8.50808020576172,69.4613284539885,1.99956335907549e-15,5.51091780327018e-13,ENSG00000026025
TRIM14,1.69697037487866,6.13619914783283,69.0670443478973,2.36021706067568e-15,6.22256545525236e-13,ENSG00000106785
TF,3.01369099170113,7.61052326717013,69.0326658844648,2.39461012571559e-15,6.22256545525236e-13,ENSG00000091513
ROMO1,0.914542622495064,7.35855496995903,68.8598185022439,2.57532714475327e-15,6.5062778837586e-13,ENSG00000125995
RBP1,2.1904114658014,6.64180867974578,68.1170350182387,3.52195238694369e-15,8.65733971871699e-13,ENSG00000114115
SUB1,-0.621046094483103,9.1895973325748,67.4001098709365,4.76713525750851e-15,1.12295853902485e-12,ENSG00000113387
LINC00284,-2.08419130904195,5.94324091822985,67.3763139984501,4.81532523606039e-15,1.12295853902485e-12,ENSG00000233725
IGFBP5,-2.68737108000408,7.43676370927312,66.9895116919037,5.67112279851127e-15,1.2894715463115e-12,ENSG00000115461
ERO1A,-1.93023145548623,7.48595647414515,66.3326951824251,7.48987534722332e-15,1.66147356787795e-12,ENSG00000197930
HILPDA,-1.82142767598043,8.44553543575034,65.7799547715748,9.46898228197551e-15,2.05048556796589e-12,ENSG00000135245
TRIM56,1.39743483052758,6.79190887777107,64.7363405562327,1.47563149039911e-14,3.12113218725115e-12,ENSG00000169871
CXCL10,2.63039754744708,7.31387387068466,64.2643408885917,1.8042577174182e-14,3.72948271361785e-12,ENSG00000169245
PARP14,1.88267888538874,6.5283440981324,63.3060909977308,2.71594619794211e-14,5.48922903784077e-12,ENSG00000173193
HLA-E,0.971754171923962,7.94892487766213,62.2695170671283,4.23238944726386e-14,8.36817000497062e-12,ENSG00000204592
PDCD6,-0.697523413496755,8.48068824080872,62.2145521216492,4.33328288637802e-14,8.38536337268257e-12,ENSG00000249915
HOXB2,1.71534434992349,6.28289803043066,61.0955406163359,7.00569318756988e-14,1.32743290710308e-11,ENSG00000173917
CRYAB,-2.10048477769567,9.4051451194246,60.2456852391093,1.01002703840925e-13,1.87473386006779e-11,ENSG00000109846
TFAP2B,2.40990942933482,6.16435828962657,59.9001202404537,1.17231391005376e-13,2.13243900238779e-11,ENSG00000008196
