gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
HLA-A,3.1434733799559,10.2261483981384,434.631821470091,2.00920803868823e-65,8.08907156375883e-62,ENSG00000206503
IFI6,4.11470887113965,8.47707324191045,398.360683833496,1.33158986963528e-61,2.68049040757581e-58,ENSG00000126709
HLA-B,2.59389690599941,11.0341309882698,349.915760957505,3.26095608757236e-56,4.37620306952211e-53,ENSG00000234745
CD74,3.63831751443615,8.5423293698278,344.374280738857,1.41986138665898e-55,1.42909048567226e-52,ENSG00000019582
B2M,2.15255438261257,10.45492049085,292.701757943065,2.26192589052592e-49,1.82130272705147e-46,ENSG00000166710
KRT14,3.76356920610196,8.35807047013932,273.621505902291,5.82003747235589e-47,3.9052451439508e-44,ENSG00000186847
HLA-C,2.00099793474718,10.1185683293188,272.710594019964,7.61627983315962e-47,4.38044894404295e-44,ENSG00000204525
SOSTDC1,3.88428576216842,8.38709129808677,240.8771076259,1.17273916602051e-42,5.90180985299823e-40,ENSG00000171243
ISG15,3.09485984159482,9.19029806955006,215.821088890067,3.29619457189446e-39,1.47449770516079e-36,ENSG00000187608
CST3,2.47228425431964,9.13398144138749,213.187448063172,7.74215770305505e-39,3.11699269124996e-36,ENSG00000101439
TMEM213,2.91433986319206,8.35342901362631,206.676583101574,6.49758521552216e-38,2.37811618888111e-35,ENSG00000214128
MX1,2.85999295345612,8.24674887470825,201.526685106973,3.55451694521898e-37,1.19254043512097e-34,ENSG00000157601
HLA-F,2.67314215347312,8.19996932069413,197.378635539316,1.41248509772434e-36,4.37435769495245e-34,ENSG00000204642
S100A4,3.15722725690384,9.3449797507418,183.124682349993,1.74678678660579e-34,5.02325971633923e-32,ENSG00000196154
BST2,2.68315743238708,8.1987319972486,171.933623112267,8.36141808732263e-33,2.24420461463739e-30,ENSG00000130303
HLA-DRB1,2.43842755531906,8.50812922170359,171.13118563855,1.10674799592349e-32,2.78485464474249e-30,ENSG00000196126
INHBA,2.85605692735382,8.18263348743583,160.717516817574,4.37107292609191e-31,1.0351729176733e-28,ENSG00000122641
GAPDH,-1.39009567275375,11.9499377294266,155.85045407229,2.49659331030444e-30,5.58404703738092e-28,ENSG00000111640
SAA1,2.62937943354407,9.2190659087556,145.153968182285,1.21618677452538e-28,2.57703576538904e-26,ENSG00000173432
LCN2,2.99023199715768,10.3472147113489,144.982907804801,1.29499741053647e-28,2.60682978740992e-26,ENSG00000148346
TXNIP,2.26201767542386,8.43149166973242,131.096885372711,2.27072783057071e-26,4.35330964089412e-24,ENSG00000265972
ATP1B3,1.80950636260648,8.58910174224645,129.733039186055,3.80063649903998e-26,6.95516479324317e-24,ENSG00000069849
HLA-E,1.63882909880507,8.85963354011011,127.095575563429,1.03313734462719e-25,1.80843954324742e-23,ENSG00000204592
PPP1R12B,2.23171644165145,7.93513744774482,123.384009826274,4.25801856723226e-25,7.14282614653212e-23,ENSG00000077157
CALML5,2.09063055121421,10.7951876366285,119.557953278176,1.85373564697098e-24,2.98525588588207e-22,ENSG00000178372
KRT16,2.30177617615001,9.27970925577763,114.599753812351,1.26863144673864e-23,1.9644270017576e-21,ENSG00000186832
IGFBP3,-3.98244540841827,9.67553074936988,107.814097325632,1.8212639652007e-22,2.71570693477704e-20,ENSG00000146674
MT-ND4L,-1.01574965547134,11.1271535862044,103.930464206145,8.51091713136229e-22,1.22374829895945e-19,ENSG00000212907
TMEM45A,-2.67610373361565,8.94126452125877,101.830652479794,1.96928062017873e-21,2.73390475063434e-19,ENSG00000181458
TNFSF10,2.10632967081929,8.17991954711887,94.617887973268,3.61635476970603e-20,4.85314810094549e-18,ENSG00000121858
ZNF117,1.85787262183816,8.0893293538125,92.1042063004246,1.00788094598648e-19,1.30894473823922e-17,ENSG00000152926
TCN1,2.41526147176785,8.53389718827381,90.4575798364935,1.97847181068692e-19,2.48916484682048e-17,ENSG00000134827
PGK1,-1.50247453693955,9.50680619354866,89.6318008280789,2.77732971318212e-19,3.38834225008218e-17,ENSG00000102144
SCGB2A2,-3.33928936131823,12.6384177766137,86.7906703355594,8.96323635929686e-19,1.06135263478027e-16,ENSG00000110484
FXYD3,1.257916899561,10.0657383422663,86.7029558631563,9.29448235974355e-19,1.06913102800936e-16,ENSG00000089356
C5orf46,-3.09457309427338,8.66742994727617,85.6836700286912,1.41773128928142e-18,1.58549615851306e-16,ENSG00000178776
CTSS,1.84397495143857,7.95902492052168,83.4867971435107,3.53370502484436e-18,3.84505308919551e-16,ENSG00000163131
LMO7,1.79051781705542,7.95780420190172,82.5730565696736,5.87199229094855e-18,6.22122130614706e-16,ENSG00000136153
DSG1,1.73327461372722,8.0302180246089,80.2918618632249,1.34452301215808e-17,1.38796144793549e-15,ENSG00000134760
FRZB,-2.0912578865242,8.81417831697999,79.8860807685124,1.5943225544499e-17,1.60468565105382e-15,ENSG00000162998
LMO4,1.55941021143794,8.92949840392325,76.0519203357962,8.04005248738122e-17,7.89493934492605e-15,ENSG00000143013
IFIH1,1.72028260670664,7.94760095017083,75.819461164347,8.87279667961581e-17,8.50520938860315e-15,ENSG00000115267
SLPI,1.56794499529677,10.9049346361313,75.6962778815476,9.34869539400025e-17,8.75298782703372e-15,ENSG00000124107
SCGB1D2,-3.21464717245404,9.23583300812425,75.6409233341838,9.57082711585007e-17,8.75730681100281e-15,ENSG00000124935
KRT5,1.83562776819961,8.20971888292618,73.0136514456442,2.92753434979501e-16,2.61916739828327e-14,ENSG00000186081
NCALD,1.58762116445696,8.50664546065501,71.6648633457534,5.21111938073341e-16,4.56086231018102e-14,ENSG00000104490
