gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
HLA-A,2.2236571808602,9.64537184892084,207.963206012843,9.28856823484106e-37,2.18381196317041e-33,ENSG00000206503
HLA-B,1.99825169511821,10.6294769721963,207.574650666051,1.04613746738702e-36,2.18381196317041e-33,ENSG00000234745
HLA-C,1.38082227779418,9.84628403075724,136.877770925628,1.30771361147269e-26,1.81990144263283e-23,ENSG00000204525
IGFBP3,-4.4193134401038,9.29540494871859,122.747138672071,2.10662611460426e-24,2.19879100711819e-21,ENSG00000146674
CD74,2.49326213971568,8.04539046435857,117.291167319588,1.56682754261819e-23,1.21398905841423e-20,ENSG00000019582
TMEM213,2.53954691513555,8.16053413313705,117.000800420159,1.744654934248e-23,1.21398905841423e-20,ENSG00000214128
IFI6,2.54345881961601,7.83436556371331,114.545586920697,4.34267884107654e-23,2.59009773735637e-20,ENSG00000126709
B2M,1.36101817676386,10.0428171767557,113.018132885901,7.67902972686848e-23,4.00749363870949e-20,ENSG00000166710
HLA-F,2.21995801642293,7.85070560838445,111.226679124241,1.50238718391062e-22,6.96940721425205e-20,ENSG00000204642
GAPDH,-1.09268195609064,11.7816427258204,110.428662015328,2.02778288321853e-22,8.46599353743737e-20,ENSG00000111640
SCGB2A2,-3.58315106495884,11.8687133304253,101.873152056774,5.23710089827753e-21,1.98771784093715e-18,ENSG00000110484
TXNIP,2.1739688134297,8.23052054471187,100.117130381976,1.02934112495448e-20,3.58124933057078e-18,ENSG00000265972
CALML5,1.86511962895224,10.7354323121645,92.2917672215487,2.16731621444305e-19,6.9604193809998e-17,ENSG00000178372
KRT14,2.37902504230778,7.85914402360783,90.5158613236773,4.36383378815312e-19,1.30135757610995e-16,ENSG00000186847
LMO4,1.67842777250496,8.8379668432062,86.3675050323347,2.26575761023779e-18,6.30635868182852e-16,ENSG00000143013
CST3,1.67535115413659,8.69881887777621,85.320589010055,3.44306948502807e-18,8.98425943749513e-16,ENSG00000101439
SAA1,2.07890341508359,8.91261416225092,83.6381694299874,6.76117895976173e-18,1.6604660092356e-15,ENSG00000173432
LCN2,2.40330720603979,10.0422015118112,82.9388782125402,8.95806471326896e-18,2.07777334321655e-15,ENSG00000148346
INHBA,2.39175635614325,7.83577767762832,82.7104079002931,9.82164820627705e-18,2.15817796111614e-15,ENSG00000122641
MX1,2.13132834969201,7.8930867505952,81.9149985105823,1.35370518618793e-17,2.82585957616731e-15,ENSG00000157601
FXYD3,1.22584196003505,9.90933383194144,80.00492091177,2.93301414722756e-17,5.83111145936907e-15,ENSG00000089356
PGK1,-1.27597365047924,9.32596590157027,79.3777189034682,3.78392545353074e-17,7.1808585311322e-15,ENSG00000102144
C5orf46,-2.79280563536086,8.32751802853075,78.2713249836661,5.93660706872884e-17,1.07762323964969e-14,ENSG00000178776
SCGB1D2,-3.01211840706699,8.67576662638089,76.5956226962942,1.17725618090109e-16,2.04793523135918e-14,ENSG00000124935
SAA2,1.95102177953251,8.12025182692262,71.2057292141944,1.08720679507457e-15,1.81563534777453e-13,ENSG00000134339
FRZB,-1.91127577472637,8.72232233947519,71.0421233163837,1.16368995404698e-15,1.8686175223639e-13,ENSG00000162998
KRT16,1.90752334936437,9.09888544087335,68.9760468223411,2.7531273741552e-15,4.25715066188814e-13,ENSG00000186832
MT-ND4L,-0.755532183450882,11.1010895032584,67.2777020220395,5.60841359351342e-15,8.36254526889948e-13,ENSG00000212907
ZNF117,1.65868408583699,7.85241904122419,59.3406094760812,1.63139572966814e-13,2.34864730047052e-11,ENSG00000152926
HLA-E,1.17780834949642,8.61534465407104,57.1754321943685,4.14590283796631e-13,5.76971478283645e-11,ENSG00000204592
ATP1B3,1.33412421690606,8.39151625747249,55.2016162929302,9.75226207486906e-13,1.31340948911543e-10,ENSG00000069849
KRT17,2.01026287196626,7.92480449328465,54.4938693429899,1.32688356346056e-12,1.73116839920245e-10,ENSG00000128422
DSG1,1.48240016697891,7.77856606070949,53.0404644030646,2.50224362946546e-12,3.16571731909646e-10,ENSG00000134760
NDRG1,-1.71584452223177,8.42178246273505,47.1983648398823,3.29565964323803e-11,4.01115912045021e-09,ENSG00000104419
ACTB,-0.534648273564332,12.3039761394599,47.1531725319312,3.36264836444928e-11,4.01115912045021e-09,ENSG00000075624
ISG15,1.53646557847672,8.58830314124757,42.5736106153074,2.62252043615987e-10,3.04139522804652e-08,ENSG00000187608
KRT5,1.49921080300787,7.92946358073397,41.0984544947287,5.11504660399156e-10,5.75094774981366e-08,ENSG00000186081
TYMP,1.09985934087237,8.33154053587786,41.0220556530038,5.29557991771682e-10,5.75094774981366e-08,ENSG00000025708
BTG2,1.34833976407387,8.46661919071021,40.9904445168874,5.37214280820917e-10,5.75094774981366e-08,ENSG00000159388
SQLE,-1.2403088991096,8.28558600490992,40.5341194407908,6.61014900529143e-10,6.89934302427293e-08,ENSG00000104549
NFIX,1.02402560497526,8.34188465326736,40.4003117818711,7.02499655049279e-10,7.15350258495302e-08,ENSG00000008441
TCN1,1.73080803649286,8.07427012040174,39.5597117513198,1.0303413865229e-09,1.02420840207931e-07,ENSG00000134827
EIF4EBP1,-1.29010709861814,8.08528403292465,38.3939256026271,1.7556316013507e-09,1.70459579898585e-07,ENSG00000187840
ELF3,0.860705545699782,10.1142754445584,37.6598920824007,2.45828310944515e-09,2.28486032229692e-07,ENSG00000163435
TMEM45A,-1.48734031472222,8.73019618980664,37.6559617196405,2.46272370067931e-09,2.28486032229692e-07,ENSG00000181458
SCD,-1.50515647935765,7.86345166727673,37.5856522076505,2.54354001735551e-09,2.30853903749114e-07,ENSG00000099194
SEPHS2,1.10937564063651,8.29615176229271,37.2136137712431,3.01783555433252e-09,2.64563978734062e-07,ENSG00000179918
MT-CO3,0.45080267805497,14.5546766141185,37.1645671380927,3.08668312336189e-09,2.64563978734062e-07,ENSG00000198938
PDK3,-1.44263970838776,7.95524930789969,37.1516602613263,3.1050622653818e-09,2.64563978734062e-07,ENSG00000067992
MT-ATP6,0.485246269391321,13.9118513389664,36.8432999005777,3.57850716435246e-09,2.98805348223431e-07,ENSG00000198899
CSTB,-0.867995741536418,10.6715554924841,35.4844508549605,6.69996853868762e-09,5.48477816647467e-07,ENSG00000160213
LEMD1,1.31969132802686,7.69712306188797,35.0888415020902,8.04657513418967e-09,6.46047138177729e-07,ENSG00000186007
TNFSF10,1.27413465689647,7.84665299699121,34.5956865769458,1.01138270117346e-08,7.96702410830039e-07,ENSG00000121858
PSMB8,1.02678289259664,8.10527583311938,34.371629757352,1.12225049770317e-08,8.67665894057545e-07,ENSG00000204264
ACSL3,-0.741114872099532,9.40491257775982,34.0920433476062,1.27793904015506e-08,9.70071907754071e-07,ENSG00000123983
CYR61,-1.31192998723722,8.47702940771117,33.3657540435547,1.79199588958342e-08,1.33599693553764e-06,ENSG00000142871
RBM3,0.840000148227103,8.39731984328996,33.3054989133481,1.84304238933e-08,1.34994771499171e-06,ENSG00000102317
TPI1,-0.5852120044517,9.74763660706811,33.0586633699369,2.067918185857e-08,1.48854455619879e-06,ENSG00000111669
S100P,1.50896797749789,8.65335712459463,32.894508638418,2.23258743178046e-08,1.57983941147177e-06,ENSG00000163993
PDCD6,-0.814478715491935,8.79096672641675,32.4657378505274,2.72782162966806e-08,1.8819796308242e-06,ENSG00000249915
ATP5ME,-0.713517071653151,8.96148184818688,32.4486402334087,2.74971874204254e-08,1.8819796308242e-06,ENSG00000169020
C4orf3,-0.866286951185395,8.74179999200481,32.3525595532867,2.87610695080539e-08,1.93673330961492e-06,ENSG00000164096
ARF5,-1.06348549051122,8.05185397886534,31.9771057052485,3.42875204829687e-08,2.27222853994277e-06,ENSG00000004059
ALDH2,1.15109411125835,7.89593142539957,31.8764423683208,3.59433943901685e-08,2.34474486842115e-06,ENSG00000111275
FN1,1.42935042468057,7.80163478456416,31.7755077286523,3.76846850660881e-08,2.42051631001412e-06,ENSG00000115414
GADD45G,1.23388729549392,7.99299453345095,31.7102677527376,3.88551774830989e-08,2.45788433321118e-06,ENSG00000130222
FDPS,-1.0938399905555,8.61762847389773,31.5885301076922,4.11382055307605e-08,2.56346280732724e-06,ENSG00000160752
GLYATL2,1.28874507834846,7.7541441256412,30.9154862212339,5.64335544568938e-08,3.46485426261076e-06,ENSG00000156689
PCMTD1,0.951369590024699,8.10944805732476,30.7047161269546,6.23163956444546e-08,3.77059350457388e-06,ENSG00000168300
CTSS,1.19582249717758,7.64071972120778,29.9375342907492,8.94626840079322e-08,5.33581008190167e-06,ENSG00000163131
ATP6V1C2,1.22838948789958,7.80722261918357,29.6900295438848,1.00554718595481e-07,5.9129007061427e-06,ENSG00000143882
ANGPTL4,-1.50691079297295,8.09530554299323,29.4598322153018,1.12113093450061e-07,6.50100229380561e-06,ENSG00000167772
HLA-DRB1,1.15549545541458,8.00509522777366,29.2957502756127,1.21161240406007e-07,6.92942710541204e-06,ENSG00000196126
BST2,1.33137097835583,7.70303358484483,28.9685209925564,1.4146527441797e-07,7.98131784723008e-06,ENSG00000130303
KLF10,0.920302444459763,8.79396886650964,28.1032992646235,2.13290271261082e-07,1.18731584335336e-05,ENSG00000155090
PRDX4,-0.655867796503522,8.99289450107412,27.7651208019799,2.50514763354611e-07,1.37618307500724e-05,ENSG00000123131
MVD,-1.17879372398115,7.86591472149744,27.5649709268718,2.75565622165171e-07,1.49413827602544e-05,ENSG00000167508
PFKP,-1.23816082329702,7.83457643119156,27.4595419382349,2.89761938252469e-07,1.55096934897956e-05,ENSG00000067057
MAP3K2,0.981104953029614,7.97268075755072,27.2737348824439,3.1660112892626e-07,1.67317685223688e-05,ENSG00000169967
TOMM5,-1.15839123344278,7.71195924546383,28.4887972102679,4.68769437452506e-07,2.44639050170526e-05,ENSG00000175768
P4HA1,-1.26626984340516,7.65457922335954,25.5784592741563,7.12611747480685e-07,3.67302968608872e-05,ENSG00000122884
COTL1,-1.00612161685018,8.23008350008687,25.4798470815499,7.47177259444147e-07,3.80422568070648e-05,ENSG00000103187
SOCS3,1.12194304248411,8.45080607451841,25.430713071444,7.65026063169458e-07,3.84817326955721e-05,ENSG00000184557
KRT6B,1.15339203455224,8.9839194730469,25.2461972333456,8.35982391647954e-07,4.15277634113248e-05,ENSG00000185479
UGP2,-0.756726210552857,8.79450689315184,25.2227178675418,8.45475422745536e-07,4.15277634113248e-05,ENSG00000169764
ARC,-1.42712353578817,7.91027572455613,25.0320846644522,9.2668934090097e-07,4.49875348635064e-05,ENSG00000198576
GPRC5A,1.07929103414952,7.96851989209117,25.0012217940394,9.40558961941213e-07,4.51360191506272e-05,ENSG00000013588
SLC12A2,1.08153459980592,8.11136992262511,24.6543499045222,1.11162208270552e-06,5.27388885829041e-05,ENSG00000064651
CCND1,1.09195467902967,8.16862019041922,24.5926415999465,1.14519306621879e-06,5.37211354097018e-05,ENSG00000110092
SCGB2A1,-1.45309013880403,8.34994629618569,24.4031488709958,1.25481352062578e-06,5.8209404984585e-05,ENSG00000124939
LMCD1,1.05851088756371,7.71602318286746,24.3681812993589,1.27617058953026e-06,5.85495847394378e-05,ENSG00000071282
ZKSCAN1,0.883302389993326,8.00646462884471,24.0152649919689,1.51336972339914e-06,6.86773760346892e-05,ENSG00000106261
KLF5,1.0556992602153,7.64046716270934,24.0238436643814,1.63298464524041e-06,7.33087192890185e-05,ENSG00000102554
MSMO1,-1.13635704255494,7.98368197266813,23.7172169845526,1.74807002951735e-06,7.72635085070362e-05,ENSG00000052802
SBSN,1.17979606938215,7.86873925460037,23.7054069211565,1.75809181033975e-06,7.72635085070362e-05,ENSG00000189001
CEBPB,0.544680453508328,9.93664783692204,23.6619912146527,1.79543441535096e-06,7.7769915008869e-05,ENSG00000172216
RGS16,1.16253699664549,7.73744887844284,23.6353653177466,1.81873070782218e-06,7.7769915008869e-05,ENSG00000143333
TOB1,0.879185890844238,8.13985375251425,23.6276959662086,1.82549740619621e-06,7.7769915008869e-05,ENSG00000141232
C3,1.02461304615107,7.88476529024992,23.5799338620665,1.86821361925602e-06,7.87857763676148e-05,ENSG00000125730
MELTF,1.00078619187598,7.72625255119752,23.5494421694036,1.89601005721987e-06,7.91584198889295e-05,ENSG00000163975
CD44,0.60201727546023,9.30392845607295,23.1468048797272,2.30472111520584e-06,9.52694124354887e-05,ENSG00000026508
LAPTM4B,-0.661796647377206,8.79011416166501,23.0621444459236,2.40139359885288e-06,9.82923360314781e-05,ENSG00000104341
PLA2G16,-0.726729177101318,9.2634503178271,22.9063790818192,2.59008233582848e-06,0.000104986347107611,ENSG00000176485
