gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MTRNR2L12,6.85106266325067,10.0547409588374,3798.53752254079,4.89697233772886e-261,4.18887013769327e-257,ENSG00000269028
SNHG9,-3.75247935165756,7.490232242351,954.777153297159,5.90362689215772e-126,2.52498122177586e-122,ENSG00000255198
CEBPB,2.6540919211708,9.89756269352602,850.714223263404,6.04548865314613e-117,1.7237703313004e-113,ENSG00000172216
NDUFA13,-2.4934507504356,7.56401393848067,495.07939630443,2.44444996755673e-80,5.22745625562007e-77,ENSG00000186010
DICER1,-2.58506121550213,7.78155981218287,414.061300436127,2.53627222364275e-70,4.33905452020801e-67,ENSG00000100697
PSMA2,-2.01155613173534,7.86656180494724,410.762604297048,6.7439348266064e-70,9.61460308446519e-67,ENSG00000106588
ARPC1B,-2.02090676537993,8.2261375131465,360.371426787623,3.13877789720925e-63,3.8355865903897e-60,ENSG00000130429
CXXC5,2.67752736947424,7.03345945116528,351.680278366395,4.81307602990678e-62,5.14638154497782e-59,ENSG00000171604
ASPH,2.33925150597102,7.55459439566793,346.11096520784,2.805205151035e-61,2.66619165132815e-58,ENSG00000198363
LBH,-3.98780622591879,7.79602821100141,338.548565894182,3.12459984166244e-60,2.67278270455805e-57,ENSG00000213626
FXYD3,1.6778438520672,9.92185886279383,331.265666832646,3.2435961916567e-59,2.52233834758467e-56,ENSG00000089356
SCGB2A2,-4.6443634988993,11.5477594055541,319.323271451033,1.5665938531153e-57,1.11672031829569e-54,ENSG00000110484
MT-ATP8,-1.82871937979157,8.17077790705199,293.968632657953,6.99359473289556e-54,4.60178533424528e-51,ENSG00000228253
ATP5ME,-2.05572288550003,7.20756094761848,279.781125339026,8.57035237068759e-52,5.23648529849012e-49,ENSG00000169020
LYPLA1,1.70075834506533,7.52193943224148,277.195048056283,2.0764785007175e-51,1.18414647300917e-48,ENSG00000120992
