gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
NDUFB2,3.14689570990622,8.45270621547735,1334.14778874066,1.99958846413729e-153,1.75223937112351e-149,ENSG00000090266
MT-ND3,2.56172184065704,10.9620874878359,1210.16581619126,6.70545211980903e-145,2.93799384629433e-141,ENSG00000198840
TMSB10,2.32932433226458,10.3792984596746,1190.80062087364,1.62542761661436e-143,4.74787406813054e-140,ENSG00000034510
OST4,2.8926126301377,8.05738763614649,943.818898726995,2.12239049524993e-124,4.64962697746878e-121,ENSG00000228474
COX6C,2.43707358225711,8.55369896345494,935.942086811098,9.68624280617432e-124,1.69761091421011e-120,ENSG00000164919
FAU,2.23656519052564,9.04763597126774,929.200269238239,3.57434569536129e-123,5.22033188807516e-120,ENSG00000149806
S100P,4.84977332070231,7.95183831658287,893.202652190497,4.20965995358954e-120,5.26989288190073e-117,ENSG00000163993
COX7A2,2.46577045984965,8.2260791450618,851.623143037975,1.84471963745687e-116,2.02065977287932e-113,ENSG00000112695
SEM1,2.72497352315087,8.06707218631986,849.717139927901,2.72508703730429e-116,2.65332641198861e-113,ENSG00000127922
ATP5F1E,2.38742559302531,8.32430545692822,725.072252059325,1.08490000240902e-104,9.50697872111025e-102,ENSG00000124172
TOMM7,2.70699503899376,7.77197572846151,711.253263610144,2.44809641621428e-103,1.95024262684416e-100,ENSG00000196683
UBL5,2.57327243852695,7.76757446209278,702.903210678833,1.63548493933602e-102,1.19431287695013e-99,ENSG00000198258
S100A11,2.16445050489531,10.3431387743906,699.287151056615,3.73681190333524e-102,2.51889866991744e-99,ENSG00000163191
SERF2,2.23357118508238,8.46258190780139,697.939960723701,5.08690489369715e-102,3.18403911310487e-99,ENSG00000140264
UQCR10,2.82293343625021,7.57111764736307,692.215627554,1.89322472898695e-101,1.10602188667417e-98,ENSG00000184076
COX6B1,2.43859532866244,7.90748005345817,690.758571366769,2.64781308401333e-101,1.45017412845055e-98,ENSG00000126267
ATOX1,2.65976868891123,7.72315535277067,672.579801555639,1.79732661462253e-99,9.26469007290425e-97,ENSG00000177556
UBA52,1.86209576351137,8.8161412397091,669.817337900043,3.43000836154491e-99,1.66984240401211e-96,ENSG00000221983
COX5B,2.31408037483552,8.13149505288342,639.898911653466,4.12321955687327e-96,1.90167226194108e-93,ENSG00000135940
COX7B,2.63092698135743,7.72715577061713,624.020918918473,1.907613963841e-94,8.35821058256932e-92,ENSG00000131174
ATP5MF,2.29652981752798,8.12807213541538,619.33171792166,5.97682288282363e-94,2.49404280581826e-91,ENSG00000241468
NDUFB4,2.38826847637125,7.82098109539999,616.933825722713,1.07360348849945e-93,4.27635789532757e-91,ENSG00000065518
UQCRH,1.77815719748595,8.87967337908821,608.074304140719,9.44285451950905e-93,3.59772757193295e-90,ENSG00000173660
S100A6,3.14293967106671,10.9631337441639,607.231630131698,1.1622018933184e-92,4.2434896629788e-90,ENSG00000197956
NDUFS5,1.96143863995058,8.97763281681924,585.769484468579,2.41985810847761e-90,8.48208664183572e-88,ENSG00000168653
TXN,1.60692579212685,9.44217577612426,580.579310457394,8.93010231447167e-90,3.00978794545059e-87,ENSG00000136810
COX7C,2.28211290685988,7.69876306106454,526.731477833535,9.72434643318358e-84,3.15609065903658e-81,ENSG00000127184
NPW,3.81137681663327,7.03224520255585,525.948221195859,1.19623379367413e-83,3.74378454784515e-81,ENSG00000183971
UQCRQ,2.29381814212705,7.84479809632143,524.764620756982,1.63633036183181e-83,4.9445389519766e-81,ENSG00000164405
COX8A,2.29625487319676,7.78042024540712,522.536024413837,2.95422004148539e-83,8.62927674117883e-81,ENSG00000176340
NDUFA13,2.72069639264892,7.0493534402594,516.078660778301,1.64735959643963e-82,4.65671359470983e-80,ENSG00000186010
FXYD3,2.5364302385594,9.12101040365841,507.553937743648,1.61740178588465e-81,4.42915370303349e-79,ENSG00000089356
TMEM258,2.45053955994319,7.43526825843453,491.909811310545,1.1211470865785e-79,2.977155127178e-77,ENSG00000134825
DEFB1,3.25464637430873,8.55978469756764,474.075738976034,1.51753619848764e-77,3.91122638451388e-75,ENSG00000164825
MT1X,3.34806170578789,7.67550207294585,473.923105419589,1.58320102364154e-77,3.9638830200488e-75,ENSG00000187193
NDUFA1,2.45464609635986,7.3637935427112,468.239268937699,7.70032559308387e-77,1.8743875881165e-74,ENSG00000125356
SEC61G,2.45889114730616,7.49312112178886,456.758587331714,1.92978666285429e-75,4.57046500718706e-73,ENSG00000132432
ZFAS1,2.27918231182644,7.94404243032923,451.375606747742,8.84684467179897e-75,2.04012894365722e-72,ENSG00000177410
SLIRP,2.46467660177218,7.35076918546823,447.788244499281,2.45129457657203e-74,5.50787035243607e-72,ENSG00000119705
NDUFA4,1.51813004350567,9.1297995510829,435.441033741979,8.40714347310752e-73,1.84179495637103e-70,ENSG00000189043
SNRPE,2.25962944552796,7.64390768471035,418.976960414958,1.00231096454772e-70,2.14225633715407e-68,ENSG00000182004
C8orf59,2.27136266642603,7.57315468117724,418.001182108107,1.33392309461299e-70,2.78313525668896e-68,ENSG00000176731
ATP5MD,2.2989940182706,7.41641473119818,412.183600346095,7.37400885203853e-70,1.50275440861427e-67,ENSG00000173915
COMMD6,2.13994665204838,7.53693856124808,407.83977299915,2.66071926065571e-69,5.29906429116499e-67,ENSG00000188243
ISG15,3.76823329578915,8.85522668052313,395.513936014673,1.04655530919156e-67,2.03799203876569e-65,ENSG00000187608
NDUFB7,2.0906394900274,7.58401884440528,394.658059918209,1.35283159596452e-67,2.5771441903124e-65,ENSG00000099795
FMC1,2.56509846336777,6.85417483931479,385.457971640163,2.16670397564853e-66,4.0397504124698e-64,ENSG00000164898
S100A4,3.42406071995719,7.85852724132516,384.160845023016,3.2103405606759e-66,5.86087798608394e-64,ENSG00000196154
UQCRB,2.20311089916876,7.50607573511146,383.931853874473,3.44127125573565e-66,6.15425714571663e-64,ENSG00000156467
ELOB,1.86776270360653,8.04000030199223,372.813347999186,1.02367897110542e-64,1.79409976475935e-62,ENSG00000103363
TMA7,2.07887187727515,7.59324027449706,355.836604715901,1.96510276158244e-62,3.37650892151901e-60,ENSG00000232112
SNRPF,2.47147288548693,7.02161474491083,351.277289041025,8.19627963275213e-62,1.3812307388809e-59,ENSG00000139343
NDUFS6,2.03702728111979,7.49294563177419,350.617567443622,1.00835551032782e-61,1.66721119566089e-59,ENSG00000145494
PI3,3.40860255529936,8.27958106576251,350.476202919104,1.05415971434959e-61,1.71066695867508e-59,ENSG00000124102
MRPL33,2.27239854309169,7.3038187913112,346.319202303448,3.90432241178147e-61,6.2206504171711e-59,ENSG00000243147
GNG5,1.69443498734945,7.9080122331609,343.065223869963,1.09254782394873e-60,1.70964224665405e-58,ENSG00000174021
DICER1,-3.15660561976629,8.39638382469247,339.708021583937,3.17076124325124e-60,4.87462820607203e-58,ENSG00000100697
HSPE1,1.70615793374246,8.58359531259249,339.359456084929,3.54244349052901e-60,5.35214350129409e-58,ENSG00000115541
DPM3,2.38346817783871,6.96739673090779,339.284128078676,3.62834573315055e-60,5.38901587450819e-58,ENSG00000179085
COX17,2.38293242403724,6.99843369052418,329.746957628048,7.65755937684439e-59,1.11838654698812e-56,ENSG00000138495
