gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
KRT14,2.02479042658447,6.82675973694573,258.364976989298,1.46576057049034e-52,1.41563155897957e-48,ENSG00000186847
MT-ND3,-0.901391282296283,11.2726905259313,230.707918794113,1.35522221489799e-47,6.54436807574239e-44,ENSG00000198840
SCGB2A2,-4.35949356219457,11.7391710787349,218.34785656878,2.42419135178825e-45,7.8042800251903e-42,ENSG00000110484
DSG1,1.58277801473001,7.10762204912254,195.509773068264,4.00568941244191e-41,9.67173708634099e-38,ENSG00000134760
ATP5F1E,-0.660236300671687,9.0025669137239,178.68800038594,5.72164127157139e-38,1.10519222801673e-34,ENSG00000124172
ARF5,0.661445263033817,8.25773796389629,149.937933078397,1.76908352697002e-32,2.84763478391275e-29,ENSG00000004059
ELOB,-0.673803297424927,8.92374312090491,123.857005110462,2.19338182735476e-27,3.02624024122746e-24,ENSG00000103363
ARRDC4,1.49058256505349,6.5554065875396,122.864895160222,3.44411910638889e-27,4.15791279118798e-24,ENSG00000140450
COX6C,-0.555139787120659,9.63620301974667,121.613900297619,6.08715976386931e-27,6.53219877771665e-24,ENSG00000164919
DSC3,1.13288357993584,7.16115152264399,118.536009598941,2.47788656324737e-26,2.39314284278431e-23,ENSG00000134762
TXNIP,1.44463890364621,7.51089871007259,114.289686159811,1.72923044596633e-25,1.51826433155844e-22,ENSG00000265972
ATP5MF,-0.581230059961787,8.84711040057744,109.832116660823,1.33955519635864e-24,1.07811867386931e-21,ENSG00000241468
KRT5,1.35195233419722,7.18778064745893,100.501015943149,9.98856445071084e-23,7.42073503576656e-20,ENSG00000186081
S100A1,-1.52489538854355,7.75545718641237,99.8621512419563,1.34363226080921e-22,9.26914312492522e-20,ENSG00000160678
NDUFA11,-0.782422648216515,7.67386952550147,98.4444885881968,2.59601345002681e-22,1.6714865266906e-19,ENSG00000174886
UQCR11,-0.901870754799365,7.33911078748161,98.0081335979757,3.17994342303178e-22,1.91949334872756e-19,ENSG00000127540
RHOB,0.941552567740799,9.36957639636276,93.4631670868106,2.64398929158395e-21,1.5020969751834e-18,ENSG00000143878
UBL5,-0.55601403359977,8.582766129631,93.2844114055606,2.87419114902815e-21,1.54216322873966e-18,ENSG00000198258
TMEM258,-0.622398710456288,8.13652004787694,92.710598145528,3.75784680292861e-21,1.91017286435181e-18,ENSG00000134825
COX7A2,-0.474927164618033,9.14240642577489,90.7656723922879,9.33280123596104e-21,4.50680971684558e-18,ENSG00000112695
DPM3,-0.813998238738152,7.55920147176448,87.8247586573316,3.70472440462616e-20,1.70382039523235e-17,ENSG00000179085
SCGB2A1,-2.14865093084062,7.92841181373545,85.1037678883293,1.3310537329571e-19,5.84332588768166e-17,ENSG00000124939
UQCRQ,-0.526061345422173,8.64941316339931,84.6991671502613,1.61030861611618e-19,6.7618959193261e-17,ENSG00000164405
CLIC3,1.34252106078978,6.65192551414039,82.2518161113696,5.10393906416546e-19,2.05391014507125e-16,ENSG00000169583
ORM1,1.46584399173087,7.50412845464855,81.760817159624,6.43515031988421e-19,2.48602727157767e-16,ENSG00000229314
UQCRB,-0.613673956269983,8.38083970380327,80.9464263941666,9.45389458704556e-19,3.51175822775715e-16,ENSG00000156467
TOMM7,-0.545331781356822,8.58369941354516,80.8565401902112,9.86408244529341e-19,3.52841882432014e-16,ENSG00000196683
CWH43,1.11532750506476,6.43614632452291,80.596714638939,1.18030021558216e-18,4.0711926721759e-16,ENSG00000109182
PERP,0.643055015972565,9.00661732140399,78.6328402908782,2.82424141535103e-18,9.40569778946904e-16,ENSG00000112378
SLIRP,-0.739361144284833,7.6646047407137,74.5579578252824,1.95269873657667e-17,6.117023220698e-15,ENSG00000119705
CXXC5,1.00674937905544,6.97021485542393,74.5464348826938,1.96342638063407e-17,6.117023220698e-15,ENSG00000171604
COX7C,-0.510333334295853,8.40311565487244,74.1205569723618,2.40421547959316e-17,7.25622284434709e-15,ENSG00000127184
HLA-DRA,1.34688763732923,6.62600112581244,73.1726781519553,3.77465683203426e-17,1.10471623284203e-14,ENSG00000204287
NDUFC2,-0.559073387052139,8.40011268047552,72.8082799835746,4.48992660266741e-17,1.27540326848711e-14,ENSG00000151366
TMSB10,-0.443582959771965,11.744387664376,72.6361884017727,4.87348153872421e-17,1.34480242002853e-14,ENSG00000034510
SPON2,1.24393240735054,6.62384270860723,72.2809489699848,5.77226261979366e-17,1.54856978838798e-14,ENSG00000159674
HLA-C,0.638640824401641,9.85809153163613,72.055074287872,6.42832883405758e-17,1.67796756430616e-14,ENSG00000204525
SCGB3A1,-2.08535351001047,7.18269616814541,69.5987077908395,2.07591820294006e-16,5.27611000105135e-14,ENSG00000161055
