gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
NDUFB2,2.03943650218287,9.0933149589412,550.741771443179,1.7587554969616e-75,1.24238488305367e-71,ENSG00000090266
COX6C,2.05337468113216,8.99208847275578,478.193356137398,7.71924443407988e-69,2.72643713411701e-65,ENSG00000164919
OST4,2.17060624320072,8.56245790917546,414.960628543614,1.43806321799877e-62,3.38615952398111e-59,ENSG00000228474
FAU,1.63576580667933,9.54924512324871,395.842816792625,1.42325271125146e-60,2.51346428807008e-57,ENSG00000149806
SEM1,2.20604744666237,8.52301025713232,390.349140591966,5.44415797267032e-60,7.69150638378863e-57,ENSG00000127922
MT-ND3,2.10339852959808,11.4780047606054,381.141292661578,5.27239134471757e-59,6.20736207651415e-56,ENSG00000198840
COX7A2,1.98844468189362,8.66866816829394,371.865854212734,5.3410516755225e-58,5.38988414798442e-55,ENSG00000112695
COX5B,1.98942894284993,8.51766273733894,370.401304973155,7.71895664025229e-58,6.81583871334277e-55,ENSG00000135940
TXN,1.51959987040838,9.72135950284205,352.576240694538,7.24226362140802e-56,5.68437224684736e-53,ENSG00000136810
NDUFB4,2.01073983189713,8.19835890940115,332.680095158616,1.31737369917711e-53,9.30592781098711e-51,ENSG00000065518
TOMM7,2.07484413289673,8.21759949169437,328.714485396195,3.78250310313784e-53,2.42905472005143e-50,ENSG00000196683
ATOX1,2.13817498905806,8.13684331150908,325.407758253637,9.15665005737604e-53,5.39021466710869e-50,ENSG00000177556
COX8A,2.07650876646783,8.11754245864417,321.981136713128,2.29905481724172e-52,1.24927101761504e-49,ENSG00000176340
SERF2,1.81455923065428,8.89042484373201,319.463359466921,4.53508421560003e-52,2.28827392135704e-49,ENSG00000140264
TMSB10,1.57149947140322,10.9764130551758,311.204435788058,4.2855667527834e-51,2.0182162361108e-48,ENSG00000034510
COX6B1,1.8760062153506,8.34471176352941,304.811688551593,2.48424904580026e-50,1.09679595372081e-47,ENSG00000126267
ATP5F1E,1.67321091739384,8.83595194382024,300.016065074138,9.38605388151518e-50,3.90018144817784e-47,ENSG00000124172
NDUFA4,1.65283337070378,9.32757671223445,289.90319201097,1.5978903227407e-48,6.27083179991127e-46,ENSG00000189043
ATP5MF,1.76922490815265,8.56895940335056,282.260320642303,1.40134459379925e-47,5.21005168978838e-45,ENSG00000241468
S100A11,1.72758432710275,10.8173531901201,280.348273877853,2.42209400524096e-47,8.55483602651108e-45,ENSG00000163191
COMMD6,1.95910209868467,7.83177635070292,272.733357340571,2.17592386062456e-46,7.3193934054533e-44,ENSG00000188243
SEC61G,2.36074432071672,7.79618488319165,265.176380534211,1.9729254560338e-45,6.3348842824649e-43,ENSG00000132432
TMEM258,2.06434769927703,7.77585989327515,261.278427641628,6.21524313801503e-45,1.90889032725818e-42,ENSG00000134825
UBL5,1.69533073242776,8.25658109737854,260.536219310113,7.73923869663591e-45,2.27791592304317e-42,ENSG00000198258
COX7C,1.74418843515849,8.08557415755698,258.527280469099,1.40297733593885e-44,3.96425276042881e-42,ENSG00000127184
SAA1,3.64958160854717,8.78112220387248,254.077847315813,5.2749390211265e-44,1.43316035558606e-41,ENSG00000173432
S100A6,2.46217030169193,11.5787605188611,252.03889529812,9.70877383582632e-44,2.54010290282508e-41,ENSG00000197956
MT1X,3.06305356319677,8.09008471191351,245.892292136749,6.18272016549286e-43,1.55981197318005e-40,ENSG00000187193
COX7B,1.92306590876454,8.18844358719959,240.061050822539,3.64273791620855e-42,8.87320711727491e-40,ENSG00000131174
S100A4,3.64029780961005,8.25676530847511,236.095539743297,1.22876596813384e-41,2.89333426629914e-39,ENSG00000196154
UQCRQ,1.74737263728558,8.248870893974,230.877735250616,6.15996793195043e-41,1.40367785391283e-38,ENSG00000164405
ELOB,1.6739770912794,8.34314038851533,230.155401478508,7.7086842876508e-41,1.70169205649891e-38,ENSG00000103363
NDUFA1,2.04039380519627,7.70541876636344,228.28971101679,1.37753395587891e-40,2.94875753464504e-38,ENSG00000125356
NDUFB7,1.81686316923944,7.89957913603283,226.97260977451,2.07762249992068e-40,4.31656627630579e-38,ENSG00000099795
NDUFS5,1.44737263689648,9.43160838209237,223.730537007761,5.73525523355184e-40,1.15753837056601e-37,ENSG00000168653
NDUFB3,2.07939336466658,7.46406511024632,217.799369061303,3.72918697520418e-39,7.31749355356732e-37,ENSG00000119013
ISG15,3.83263286619965,9.37401577736116,216.345900358416,5.9172374181229e-39,1.1297125708546e-36,ENSG00000187608
COX17,2.30405860591222,7.22901846740857,215.706893828615,7.25149853681664e-39,1.34801541221244e-36,ENSG00000138495
RBX1,1.92820892915433,7.75183881247622,213.029450758082,1.70411794959529e-38,3.08663825536952e-36,ENSG00000100387
MRPL33,2.0267419306715,7.58400950146298,212.869663348812,1.79349055452311e-38,3.16730431928781e-36,ENSG00000243147
UQCR10,1.68970736726529,8.09943988013169,205.192444433231,2.12611706318441e-37,3.66314413032553e-35,ENSG00000184076
ATP5MD,1.75781118034306,7.77546567749935,204.983646446182,2.27507143837911e-37,3.82645348588334e-35,ENSG00000173915
UQCR11,1.77929005013954,7.55590268326642,202.153065977318,5.71122399111415e-37,9.3823456449373e-35,ENSG00000127540
UQCRB,1.75873790740217,7.85407626278564,197.485510125062,2.63180250920272e-36,4.22523930113819e-34,ENSG00000156467
NDUFS6,1.79487733997312,7.78669577787617,195.570082255273,4.94467189656664e-36,7.7620360616326e-34,ENSG00000145494
ZFAS1,1.69783545049435,8.3766224215411,195.042031143599,5.88582278710656e-36,9.03857655828711e-34,ENSG00000177410
IFI6,3.26712985344749,7.9163296403543,193.129717570381,1.10774457822129e-35,1.66491653203301e-33,ENSG00000126709
C8orf59,1.73162851855471,7.95188938311652,186.834493611638,9.0199845345909e-35,1.32744105734063e-32,ENSG00000176731
S100P,2.98001262075805,8.61477888846114,183.917672734509,2.40285450799948e-34,3.46403351928741e-32,ENSG00000163993
TMA7,1.6832978647058,7.93188842448939,182.990969672568,3.28392786521487e-34,4.63953328797556e-32,ENSG00000232112
SLIRP,1.8049115000646,7.73150945356757,181.42773235541,5.56887273112237e-34,7.7134347005193e-32,ENSG00000119705
FMC1,2.14627642816863,7.09269875255209,177.501484648468,2.11239132227965e-33,2.86960236549682e-31,ENSG00000164898
TMEM256,2.16436015251358,6.91029303107906,176.190928844924,3.30352419479762e-33,4.40303677585857e-31,ENSG00000205544
UQCRH,1.27201351045258,9.31189959770456,174.568188195939,5.75565873816231e-33,7.52925431969973e-31,ENSG00000173660
FXYD3,1.76173671656239,9.69931237047911,174.116117066483,6.72041552189486e-33,8.63145731757551e-31,ENSG00000089356
LMO4,2.14537274876779,8.27572237250938,173.087972558121,9.56466163831042e-33,1.20651374666116e-30,ENSG00000143013
SLPI,2.22802416420572,9.93699702762328,172.729170447117,1.08200209487229e-32,1.34092329792594e-30,ENSG00000124107
NOP10,1.93781605280388,7.26622736410322,172.490963282033,1.17437049662102e-32,1.43030227381567e-30,ENSG00000182117
GNG5,1.52770987558412,8.19262757352715,172.122734657376,1.33300690210328e-32,1.59599334855212e-30,ENSG00000174021
UBA52,1.10428343815661,9.34519720050287,171.655076785474,1.56593115844073e-32,1.84362295053755e-30,ENSG00000221983
LAMTOR4,1.46162285550276,7.90248033567821,168.782136981019,4.2245278411644e-32,4.89214174917792e-30,ENSG00000188186
TSTD1,1.56035662859575,8.12304607917668,167.969542514963,5.59896217588854e-32,6.37920464685107e-30,ENSG00000215845
SEC61B,1.25950404211661,8.48552980250365,165.150836314669,1.49243244331469e-31,1.67341948882143e-29,ENSG00000106803
COX6A1,1.66822006707938,7.84330995363339,164.543788504407,1.84455249115889e-31,2.03592481211662e-29,ENSG00000111775
SNRPE,1.63086128665477,8.04825852015321,161.49427186544,5.36590758103519e-31,5.83150325422039e-29,ENSG00000182004
DPM3,1.88921903124217,7.23728360102939,161.310227472538,5.72423879461655e-31,6.12667012805626e-29,ENSG00000179085
MINOS1,1.82180020816029,7.3914089146201,160.5679261823,7.43105023755182e-31,7.83476699672628e-29,ENSG00000173436
PI3,3.05023073696183,8.77653416266897,159.812875288512,9.69380309150993e-31,1.0070150740945e-28,ENSG00000124102
SNRPG,1.73536588784642,7.68804115985426,153.098294825278,1.04839189964415e-29,1.07331019986758e-27,ENSG00000143977
ATP5MG,1.43642702829916,8.0050574356847,152.695072178955,1.21072888800788e-29,1.22179840926966e-27,ENSG00000167283
ATP5PF,1.27471825288066,8.29091528622865,152.052100110172,1.5235151490651e-29,1.51579028352054e-27,ENSG00000154723
NDUFA11,1.50062381710969,7.73398454484449,150.486656610772,2.66902207598517e-29,2.61860721454989e-27,ENSG00000174886
DBI,1.42403720920411,9.49029803124081,140.833962547812,8.79985925282046e-28,8.51537065231832e-26,ENSG00000155368
UQCC2,1.87687723331414,7.27733530072909,140.603209710755,9.57466122762329e-28,9.13991985296364e-26,ENSG00000137288
IGFBP5,3.18138725475405,8.37052310306951,138.079216269457,2.41592588629907e-27,2.27548006144222e-25,ENSG00000115461
AAMDC,1.99758486561665,7.01133547850902,135.578737857235,6.07169671168753e-27,5.64348231202115e-25,ENSG00000087884
ENY2,1.08799247023257,8.58410234688039,134.433618527863,9.27410486526907e-27,8.50808789198191e-25,ENSG00000120533
SMIM26,1.68471852161633,7.35694536905837,134.157397952695,1.02733063715908e-26,9.30392771909196e-25,ENSG00000232388
SMIM22,2.06388403024945,7.28260093847102,133.596729923579,1.26469753753924e-26,1.13086372217433e-24,ENSG00000267795
LSM7,1.74088584514916,7.24726313842805,132.584514034056,1.84174484542021e-26,1.62626069850604e-24,ENSG00000130332
SNRPF,1.82746416728425,7.33314723006679,128.424842021377,8.70189197284635e-26,7.58890924644279e-24,ENSG00000139343
ATP5IF1,1.42038812721552,7.6797114800435,126.978775203972,1.49762900250815e-25,1.2901525943558e-23,ENSG00000130770
ATP5PD,1.33549382958792,7.88421721173407,126.053928563385,2.12116567337475e-25,1.80529088153244e-23,ENSG00000167863
CSTB,1.70746595648316,10.5601700905676,125.939548664028,2.21457569426741e-25,1.86235270289345e-23,ENSG00000160213
DEFB1,2.09604515533271,9.1951431584521,124.366374445207,4.01012119878242e-25,3.33264660567048e-23,ENSG00000164825
S100A7,3.6993895524325,9.18673340513727,122.635712384976,7.72344868985783e-25,6.34400483083206e-23,ENSG00000143556
TCN1,3.09737332158089,7.69587175723395,122.510167375829,8.1002856450778e-25,6.57705951687696e-23,ENSG00000134827
