gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SLC25A6,-0.943534583522515,10.222331901281,432.650289488997,6.64913828112e-83,4.11249202687272e-79,ENSG00000169100
FBXO32,-1.86293451618567,8.60675696132721,336.885265138974,6.60279421860756e-67,2.04191411210439e-63,ENSG00000156804
CD44,-1.63630263855608,8.47442319293058,288.133266451522,2.18403060986254e-58,4.50274310733327e-55,ENSG00000026508
CCDC88A,2.01741021990886,8.23705086957353,272.898280273341,1.14133637501433e-55,1.76479136986591e-52,ENSG00000115355
HLA-A,-1.01887871785986,10.370075373482,244.877123427839,1.34672282939991e-50,1.66589613996769e-47,ENSG00000206503
B2M,-0.789822587445988,11.8813942488722,233.577910328903,1.59123057255787e-48,1.64029351521173e-45,ENSG00000166710
ATP5F1A,1.01458852555335,9.04201433106683,230.292631054302,6.41669905183676e-48,5.66961194794434e-45,ENSG00000152234
HSP90AA1,0.764541856475192,12.195073194891,229.969769442045,7.36035403643072e-48,5.6904737144155e-45,ENSG00000080824
FXYD5,-1.37887193066193,7.87367533037087,188.517708747773,4.26018787231956e-40,2.92769577669961e-37,ENSG00000089327
PSMA4,1.00555735737681,9.07585527495149,187.431140163258,6.8544309266138e-40,4.23946552811063e-37,ENSG00000041357
SGK1,-1.70810448274493,8.28866594099759,185.857558978917,1.36575756479075e-39,7.67928230748251e-37,ENSG00000118515
NDUFS5,-0.86327365495693,8.81895262937821,182.771537189701,5.29086267944194e-39,2.72699880602903e-36,ENSG00000168653
HLA-B,-0.935660985375104,10.1416696073166,176.447493306032,8.56822026936907e-38,4.07649556661905e-35,ENSG00000234745
MORF4L1,0.923572163664548,8.89395696007266,173.953545816914,2.57832251015314e-37,1.13906605180694e-34,ENSG00000185787
HLA-C,-0.90334747922856,9.81288506521248,165.027836859022,1.35147350882567e-35,5.57257576805783e-33,ENSG00000204525
ARHGDIB,-1.14985823000335,8.2039648460848,157.136771538839,4.57475119634425e-34,1.76842725933682e-31,ENSG00000111348
RNPS1,1.0621799318827,8.42884130516279,152.336350631215,3.93763567126502e-33,1.4326045074573e-30,ENSG00000205937
UBE2I,0.912894702108465,8.70000861384977,151.727251952481,5.17719918346477e-33,1.76550754723819e-30,ENSG00000103275
LGALS1,-1.0324173266155,9.76708502563077,151.623822306642,5.42354784115208e-33,1.76550754723819e-30,ENSG00000100097
CD24,0.848944673792148,10.9759667698744,143.179173430777,2.44288426585202e-31,7.55461959214738e-29,ENSG00000272398
SF3B1,0.826088994572061,8.82258957920867,141.781400125127,4.59864014675175e-31,1.35440901465046e-28,ENSG00000115524
ENY2,0.714745993164853,9.15379991515777,141.300891604309,5.71661025163092e-31,1.60714701846987e-28,ENSG00000120533
NTRK2,-1.23612962180984,7.83996227751495,135.62114848938,7.53153549596902e-30,2.02532813228558e-27,ENSG00000148053
SELENOM,-1.00899496502744,8.39528203742326,135.013660155692,9.92969029960195e-30,2.55896393762658e-27,ENSG00000198832
SEPT4,1.49360845900054,7.9325561736158,134.131193266921,1.48398280912689e-29,3.67137346977994e-27,ENSG00000108387
PABPC1,0.528996437686038,10.7428006277925,131.301306068709,5.39250431998894e-29,1.28279381612045e-26,ENSG00000070756
CRABP1,1.32114221300475,8.15083331522692,130.692075269695,7.12176236860453e-29,1.63141112036367e-26,ENSG00000166426
SNRNP25,1.22291049506552,7.98067280615536,122.641304416581,2.84608175256929e-27,6.28679129987181e-25,ENSG00000161981
SEC11A,0.899868150594943,8.54308046284904,121.712524868762,4.36185458734005e-27,9.30278297334422e-25,ENSG00000140612
ARC,-1.14015609655336,8.72053642489761,120.153233552354,8.93873686964049e-27,1.84286958462421e-24,ENSG00000198576
DUSP2,-1.19189933058483,7.93539046499987,115.500038528365,7.64612985734079e-26,1.52552623121461e-23,ENSG00000158050
EIF3H,0.585069309409235,9.44254767875757,112.795823215234,2.67150750807952e-25,5.16352310545995e-23,ENSG00000147677
IDI1,-1.01314004558081,9.18583009944404,112.47968023214,3.09279106901628e-25,5.79664023086839e-23,ENSG00000067064
EIF3E,0.520692919614459,10.2242799285019,106.841542275638,4.23854422666855e-24,7.71041060057205e-22,ENSG00000104408
FOXA3,-1.13973083527141,7.75919015029291,121.414247195714,1.50076421712625e-23,2.65206476655025e-21,ENSG00000170608
HMGA1,-0.993137500259809,8.02624868150811,102.953066137528,2.59606599251577e-23,4.46018560103057e-21,ENSG00000137309
LAMC2,-1.10998181923508,8.07073646643574,99.514328475037,1.29560487686172e-22,2.16576112524047e-20,ENSG00000058085
SNRPA1,0.898303095737138,8.45609204016253,99.3077847908099,1.42715008835419e-22,2.3228745517028e-20,ENSG00000131876
S100A11,-0.847773884960377,9.14254187638798,97.3313138570253,3.60342056142168e-22,5.71465542881874e-20,ENSG00000163191
DKK1,-1.27189038925523,7.89804425915,95.0708731088695,1.04127646323165e-21,1.61007373127194e-19,ENSG00000107984
CAMTA1,1.0318072920147,8.10021179603819,94.6738887136104,1.25485058562286e-21,1.89298801757985e-19,ENSG00000171735
RBP1,1.17194178656332,8.02532223011015,93.514234061918,2.16489463616092e-21,3.18806507729888e-19,ENSG00000114115
SPSB3,0.987735189728416,8.12081005586517,92.9947433419576,2.76446606437696e-21,3.97633083910965e-19,ENSG00000162032
APMAP,-0.938632426423341,7.91736728389004,92.353329665642,3.73911593860009e-21,5.25600729096399e-19,ENSG00000101474
WWTR1,-0.979857401263562,8.1669183058727,92.2642657426764,3.89929907733453e-21,5.35936995406979e-19,ENSG00000018408
AGO2,-0.874602765234982,8.24871707237488,91.2480479197537,6.29428882107536e-21,8.46308181703285e-19,ENSG00000123908
COX5A,0.937725074457034,8.14106321884425,90.2231541687145,1.02062048587744e-20,1.34309312875574e-18,ENSG00000178741
H1F0,0.980475709822828,8.49686632274247,89.9406430859207,1.1661653742815e-20,1.50265267498565e-18,ENSG00000189060
AKIRIN1,-1.06949615956634,7.7455157587873,125.841987467088,2.6102843541524e-20,3.29481810825155e-18,ENSG00000174574
OAZ1,-0.435548102978776,9.86564214807675,87.7635362404049,3.26130425160296e-20,4.03423335923286e-18,ENSG00000104904
WDR61,1.01020008848279,8.03480505134086,87.2431030179257,4.17139604982387e-20,5.01404174560961e-18,ENSG00000140395
REL,-0.734102171837683,9.22813269634564,87.2208567446256,4.21552418385933e-20,5.01404174560961e-18,ENSG00000162924
ATP5MPL,0.623940279149427,8.89842474844783,87.1714270267422,4.31525520716175e-20,5.03582140684819e-18,ENSG00000156411
SETX,-0.976672802462865,7.87531728958978,86.9413619324505,4.81146170855071e-20,5.51090567914558e-18,ENSG00000107290
IER3IP1,0.919998073689145,8.18721906801584,86.1181859185693,7.10376691169474e-20,7.98850879069672e-18,ENSG00000134049
DECR1,1.01131171376548,8.01429917344411,84.8964545000489,1.26721395145516e-19,1.3995925517411e-17,ENSG00000104325
SLC39A6,1.07005279727803,7.91196629621224,84.1463216232924,1.80848998911045e-19,1.96237027765757e-17,ENSG00000141424
HACD3,0.720583629933548,8.78431929411156,83.257244636006,2.75755736014452e-19,2.94060211594722e-17,ENSG00000074696
CD59,-0.67481785411642,8.99706622839387,82.4658007474686,4.01545088050142e-19,4.20941757557649e-17,ENSG00000085063
RTN4,-0.70330231068426,8.96103213115507,82.2771138096422,4.39199333846345e-19,4.52741313306607e-17,ENSG00000115310
C16orf72,-0.790587796474201,8.29758825657021,81.9377740816077,5.16043089378753e-19,5.23233853738948e-17,ENSG00000182831
PHLDA1,-0.998066584094396,7.80303731667176,92.7841247368213,5.44707433260823e-19,5.43389592696482e-17,ENSG00000139289
DDX24,0.653216280374026,8.83512998716711,81.3212113016769,6.91783418178375e-19,6.79155625624325e-17,ENSG00000089737
CTSV,-1.1163217167666,8.6198730834484,81.1133088770699,7.63669567908079e-19,7.38015043361167e-17,ENSG00000136943
RAD21,0.767601881917593,8.77599645423382,80.7758016731546,8.96650525850375e-19,8.53197461905318e-17,ENSG00000164754
GEM,-1.128361084639,8.14635687523109,80.206054341063,1.17587548196586e-18,1.10193785696346e-16,ENSG00000164949
HSPE1,0.541353936925337,9.81396761439162,79.1748866294397,1.92133722665523e-18,1.773652350278e-16,ENSG00000115541
NBN,0.987943707821221,7.94233205481111,77.7313257868236,3.82347027928614e-18,3.47767112902717e-16,ENSG00000104320
RHOT2,1.04626941169671,7.87189611088998,80.209126812838,4.05600751295798e-18,3.63571108226741e-16,ENSG00000140983
ZNF24,0.868121719581096,8.23300444970654,77.2956746037267,4.70678965607481e-18,4.15878486040324e-16,ENSG00000172466
SQLE,-0.875279375008422,8.76800794199327,76.9722909069101,5.49228311700034e-18,4.78447479980945e-16,ENSG00000104549
ABL2,-0.986025975418657,8.10893336403372,76.8010978274581,5.95997213768795e-18,5.11978162105555e-16,ENSG00000143322
HDAC2,0.449400814957091,9.8397315610575,76.4820441320539,6.94071611925131e-18,5.88059304076292e-16,ENSG00000196591
VIM,-0.754521332056916,9.23006704034463,76.1308279141271,8.20834786815066e-18,6.86062588709619e-16,ENSG00000026025
ELOB,0.714675441375704,8.56532261737101,75.8990594546535,9.16945077985384e-18,7.56174040978613e-16,ENSG00000103363
SRSF6,0.903429595154329,8.17238009440171,75.8237429746551,9.50544044886215e-18,7.73567752318584e-16,ENSG00000124193
FGFR1,-0.877821584080223,8.01531400841398,75.6538939845497,1.03091184721684e-17,8.2807659416054e-16,ENSG00000077782
TXNL1,0.728943266770061,8.47997614302428,75.4533053981112,1.13463795423788e-17,8.99709711148884e-16,ENSG00000091164
PNISR,0.397743177760684,10.4093843696608,75.2352145479538,1.25931569291251e-17,9.85932602615681e-16,ENSG00000132424
FLYWCH2,0.975455794906268,7.92507127556441,74.7427650440968,1.59369039613728e-17,1.23212188751363e-15,ENSG00000162076
MIR222HG,-1.00881858298037,7.91290247723208,74.2624942700585,2.00534170659791e-17,1.53123931547013e-15,ENSG00000270069
CLDN10,-0.937405207924819,7.79633403275832,73.1974801525679,3.33902721501554e-17,2.5185223566916e-15,ENSG00000134873
S100B,-0.77476180863547,9.08367995799242,72.0250506982275,5.85647161482092e-17,4.36412975152619e-15,ENSG00000160307
SQSTM1,-0.829860731629778,8.13164245152309,70.8420052219621,1.03307214479293e-16,7.60660858993363e-15,ENSG00000161011
SELENOT,-0.633245256955636,8.49667722700958,70.718236784629,1.09631220712849e-16,7.97728353069376e-15,ENSG00000198843
CHD6,0.949166027958275,7.99985146658364,70.0352601570231,1.52186775526809e-16,1.09450605422478e-14,ENSG00000124177
KRT18,-0.715774282502158,8.71915246881014,69.5867460956538,1.88785811509842e-16,1.34211522320503e-14,ENSG00000111057
ALDH9A1,0.656260889396552,9.24717553555322,69.5105142095639,1.95830690167513e-16,1.37637820305235e-14,ENSG00000143149
NDUFB10,0.725125513678468,8.36120002241463,69.2918980441549,2.17529153976712e-16,1.51170541274828e-14,ENSG00000140990
POLR2K,0.515009929506779,9.12928069889321,69.1712909586977,2.30514660634523e-16,1.58414797336059e-14,ENSG00000147669
STMN1,0.418800323694618,10.9998415335215,68.7463728896996,2.82773286166755e-16,1.92192612630921e-14,ENSG00000117632
