gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
S100A16,4.15232380691165,7.3386914662376,802.355389766877,3.36894128874041e-96,2.80767567003625e-92,ENSG00000188643
MUCL1,3.87628316668266,10.2718955032535,435.592539100808,2.96393911696527e-65,1.23507343003943e-61,ENSG00000172551
SCGB3A1,3.48405283151643,9.26216875160964,401.288697950503,1.12422153541997e-61,3.12308742539668e-58,ENSG00000161055
S100A14,2.71919796603158,7.21027085011254,318.533804748331,2.37137216416212e-52,4.94075390403179e-49,ENSG00000189334
C3,2.7723126241467,7.74041034457509,296.701937160595,1.04521830020079e-49,1.74216986277467e-46,ENSG00000125730
TMEM176B,3.03846237900528,6.71584586046832,278.109518136822,2.18381338665283e-47,3.03331679406078e-44,ENSG00000106565
HLA-B,2.5413086219097,8.87653567069378,272.185778722838,1.23648258838889e-46,1.47212084166186e-43,ENSG00000234745
HLA-A,2.0796757193063,9.11826211352322,233.498094814267,1.53086142237507e-41,1.59477488675923e-38,ENSG00000206503
DDR2,2.46137611247838,6.66205246683169,180.573645280087,5.01174503443659e-34,4.64087590188828e-31,ENSG00000162733
HLA-C,1.89042763339454,8.80770152107266,178.256664743631,1.10941878718306e-33,9.24589617238366e-31,ENSG00000204525
ISG15,3.25018218072611,7.22328045010409,169.818820562849,2.06161097451595e-32,1.56195144196508e-29,ENSG00000187608
HLA-DRB1,2.35757109252902,6.36262759598197,161.730370294845,3.54287452175639e-31,2.46052635535982e-28,ENSG00000196126
LINC01235,2.07396553908278,7.77001889741972,154.555582454209,4.57808291736087e-30,2.93490331025273e-27,ENSG00000270547
WFDC2,2.70817743574707,6.39319787449531,153.12394871915,7.66019274478919e-30,4.25868963802616e-27,ENSG00000101443
HSPA2,2.40041167331289,6.35661820783586,153.122196068943,7.6650281461954e-30,4.25868963802616e-27,ENSG00000126803
SLURP1,2.220244596305,6.26637293281204,148.504551818133,4.07143270674244e-29,2.12070751112447e-26,ENSG00000126233
KLK6,2.41862605168608,6.83392675081209,133.258973707197,1.12371556717306e-26,5.50885031577662e-24,ENSG00000167755
MFGE8,1.03676328386728,8.540143782587,129.877141678744,4.00030953258841e-26,1.85214331358843e-23,ENSG00000140545
B2M,1.20677992886416,9.86640424044385,127.027046376914,1.17416291496326e-25,5.1502493333178e-23,ENSG00000166710
HLA-F,2.11461192866605,6.42563195058696,123.307450336479,4.83146055936344e-25,2.01326961508674e-22,ENSG00000204642
SPARC,1.53571908654139,9.48214245991359,120.256515422852,1.55403564669664e-24,6.16730146646181e-22,ENSG00000113140
FRZB,1.76903070232018,8.03405641244187,117.668935405917,4.20990889994146e-24,1.59479003509601e-21,ENSG00000162998
CD5L,2.0029268054632,6.37218824813708,113.610336012662,2.03142165014836e-23,7.36081218797236e-21,ENSG00000073754
CCDC88A,1.10446615341257,8.31471879017066,105.348729395854,5.21422066567418e-22,1.81063812615536e-19,ENSG00000115355
PEG10,-1.23420708781253,9.68906427521501,103.512834931811,1.08078312524976e-21,3.60289862633261e-19,ENSG00000242265
CAPN2,-0.969969704510105,9.82268132007623,102.737893934628,1.47139136762901e-21,4.71637525300775e-19,ENSG00000162909
S100A1,1.18472526360217,10.3221502565998,102.144191752298,1.86436744632843e-21,5.75468085100042e-19,ENSG00000160678
NUCB2,1.62258728501049,6.65611254208737,95.0958555842456,3.17033802397146e-20,9.14686627634219e-18,ENSG00000070081
UBA52,0.564205541372866,9.58365211083615,95.0861287766174,3.18285483578022e-20,9.14686627634219e-18,ENSG00000221983
NDUFA11,0.801658367399975,8.29789801430214,93.1072486993298,7.10764936909607e-20,1.97450499473489e-17,ENSG00000174886
IL33,1.75922414764172,6.61780714582515,92.7754094615134,8.13548316159864e-20,2.18713279576655e-17,ENSG00000137033
IFI6,2.16762625317313,7.15895247952136,91.4028405709055,1.42383941518897e-19,3.70821177693278e-17,ENSG00000126709
PLPP2,-1.25355228742149,7.67385857622258,91.189261193029,1.55364417812268e-19,3.92365775165891e-17,ENSG00000141934
ATP5F1D,-1.02662896090451,7.78677662053704,90.7386663471136,1.86788093311434e-19,4.57850579311026e-17,ENSG00000099624
MX1,2.10791128635163,6.73631295436943,90.553508551953,2.01485992769994e-19,4.79766932498608e-17,ENSG00000157601
NRG1,1.82506008433041,6.29158254240811,88.4235342956579,4.82655447658542e-19,1.11734736132953e-16,ENSG00000157168
COL18A1,1.74424968294835,6.27231936637547,86.8687793461866,9.15612497727991e-19,2.06235528542299e-16,ENSG00000182871
CIRBP,-1.06733351502039,7.81934975335706,79.9696292208374,1.61248104031298e-17,3.53642552367589e-15,ENSG00000099622
ACTL8,1.56325049262498,6.74420995787075,79.2434871622229,2.18654372569656e-17,4.67247574614234e-15,ENSG00000117148
KLK8,1.75498136477952,6.27580759781434,78.0716094085741,3.57830860201273e-17,7.45540597229353e-15,ENSG00000129455
CDKN2A,1.27727451497727,7.22866936906648,77.3333387139161,4.88362985820402e-17,9.92687103372495e-15,ENSG00000147889
KLK5,1.82686618624743,7.62595539971822,77.0899826605814,5.41146490563618e-17,1.07378925056124e-14,ENSG00000167754
ZG16B,1.40739129170084,11.2787712496281,74.1336705760961,1.89148710964492e-16,3.66596594692576e-14,ENSG00000162078
IFIT1,2.13519858283873,6.41905379484704,73.5966630801996,2.37646291488269e-16,4.50123680287099e-14,ENSG00000185745
DMKN,1.66389404942617,6.34063713429727,71.4534807671802,5.92651055575938e-16,1.09758975492664e-13,ENSG00000161249
HERPUD1,0.981878342577706,7.99043098879775,71.2674525457806,6.41715079158331e-16,1.1626203195012e-13,ENSG00000051108
PPIC,1.09353198131812,7.19005062529858,70.4692803410565,9.03080780985575e-16,1.60133515504974e-13,ENSG00000168938
BST2,1.82972050547713,6.39751335852195,70.4152469284132,9.2423387647262e-16,1.60470106802559e-13,ENSG00000130303
LITAF,-0.941888795703044,8.61968365516694,70.2818434580826,9.78617521948779e-16,1.66444865875941e-13,ENSG00000189067
MGST3,-0.65705336845315,9.77419160419288,69.0806426910942,1.63891185008082e-15,2.73173827171471e-13,ENSG00000143198
