gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CD99,-2.52036044787483,9.03649590057151,2091.22671373828,5.52619910491199e-253,5.1741802219291e-249,ENSG00000002586
ODAM,-3.92806184014553,9.38790408548931,1685.58193189206,2.93525144765172e-221,1.37413796521815e-217,ENSG00000109205
CSN3,-4.41083754452755,9.18837929856638,1511.58909688792,3.48469772727274e-206,1.08757416068182e-202,ENSG00000171209
SFRP1,-3.89075026706561,8.02906400619243,1351.16526850252,2.37140734092678e-191,5.55087173327437e-188,ENSG00000104332
CFTR,-3.477030399745,7.1283342165192,1339.83058939593,2.88476868774561e-190,5.40201784467244e-187,ENSG00000001626
PNPLA4,-2.84715310452428,7.39289188454257,1253.38800271308,8.09875984799561e-182,1.26381147427971e-178,ENSG00000006757
ARHGDIB,-1.92758336079537,8.32285663127712,968.636003221969,1.45193193228143e-151,1.94206266885015e-148,ENSG00000111348
CENPW,-3.05397712864292,9.15508500547138,875.088597883757,1.09154229132645e-140,1.2775138092112e-137,ENSG00000203760
CLDN16,-2.75899113313476,6.97823530962691,791.770995861974,1.50743759073897e-130,1.56823757356545e-127,ENSG00000113946
CDK6,3.06472706922325,7.26625331993131,657.75841054603,3.091066193329e-113,2.78330065463915e-110,ENSG00000105810
YWHAE,1.34091829850232,8.55317214883546,657.57635025262,3.26992493869814e-113,2.78330065463915e-110,ENSG00000108953
PUDP,-2.34674968196683,6.79892881862738,629.385122761085,2.13334717216877e-109,1.66454413108468e-106,ENSG00000130021
ARSD,-2.09735561118438,7.15874364262539,613.912275825385,2.81802278417455e-107,2.02962671755587e-104,ENSG00000006756
PRDX4,-1.36832599590229,8.25232285197704,611.805146087186,5.4991321058198e-107,3.6777409933422e-104,ENSG00000123131
SLC25A6,-1.25406724744708,8.57099232753945,586.997746181286,1.53646473603442e-103,9.59061288232686e-101,ENSG00000169100
CTSH,-1.42839229024235,8.32451127237784,543.865241072791,2.01643739783492e-97,1.17999395974552e-94,ENSG00000103811
