gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
RFLNB,3.8894784099284,6.55151673427775,455.95273724422,1.30643492763552e-68,1.1770978697996e-64,ENSG00000183688
GSTM3,-2.56944095757268,8.47097039841247,338.412422220114,1.42223567497636e-55,6.40717171576849e-52,ENSG00000134202
TACC1,2.95935686990712,6.70816882262728,252.896298861244,1.00896316529476e-44,3.03025270643527e-41,ENSG00000147526
SERPINB5,2.74008288360289,6.07945341138994,214.282290163082,2.37060662405207e-39,5.33979142067728e-36,ENSG00000206075
COL9A2,-2.35675767454021,6.66966679118013,208.14889048692,1.81457352766538e-38,3.26986149685302e-35,ENSG00000049089
SULF2,2.48647111779286,6.24486039140896,203.899189073398,7.52387836042441e-38,1.1298357337904e-34,ENSG00000196562
MSLN,-1.54574501651245,8.09235451464783,202.767426148521,1.10069349258586e-37,1.41674976688551e-34,ENSG00000102854
CD47,-1.31370495404759,9.16634763232642,201.256388734295,1.83123148774657e-37,2.06242446307458e-34,ENSG00000196776
RAC1,-1.25854512684263,9.52092974061052,198.160122385835,5.21778702586724e-37,5.22358456700709e-34,ENSG00000136238
ELOB,-1.08620771218084,8.59306917892668,193.511279229064,2.53909108474251e-36,2.287721067353e-33,ENSG00000103363
AREG,2.69771833827592,7.12692445447706,189.949848425361,8.60536350040292e-36,7.04857501260276e-33,ENSG00000109321
FXYD5,-1.44575834285198,7.70039528095332,189.165092049542,1.12720546135589e-35,8.46343433901381e-33,ENSG00000089327
EEF1A2,2.5290446017252,6.15678458813958,186.312357327479,3.01638135006507e-35,2.09058430492971e-32,ENSG00000101210
TOMM7,-0.997384279770963,9.17062578214524,184.035135345801,6.6408076079058e-35,4.27383403908795e-32,ENSG00000196683
DST,2.4902979594096,6.43665731233231,173.725836916636,2.45872051564966e-33,1.47687145640023e-30,ENSG00000151914
KDELR2,-1.25211944219213,9.17504448321432,171.512823462488,5.38360750860231e-33,2.95353698992407e-30,ENSG00000136240
CSNK2B,-1.17948297766114,7.83949334120086,171.415535973758,5.57271130174352e-33,2.95353698992407e-30,ENSG00000204435
IER5,1.99564265685346,7.72387919313353,171.138659350798,6.14823535511545e-33,3.07753336386612e-30,ENSG00000162783
ORM2,-2.98815967262085,6.79482757566171,170.388520699484,8.02597186249956e-33,3.80600034111163e-30,ENSG00000228278
PDZK1IP1,-1.8202755501061,8.47734759609031,169.889273610637,9.58553496373735e-33,4.31828350116368e-30,ENSG00000162366
CEP85L,2.52754992496579,5.97396461960988,168.163989460021,1.77272861650242e-32,7.60584992127945e-30,ENSG00000111860
SSB,1.00515356101448,8.9213855864939,167.711565772288,2.08352666188807e-32,8.53298873800522e-30,ENSG00000138385
TMEM258,-1.06852539098066,8.20104721716079,165.898000363276,3.98647586607676e-32,1.56165858927616e-29,ENSG00000134825
HRASLS2,2.5458928325397,6.11388069893463,163.196634311111,1.05197378840788e-31,3.94928493064793e-29,ENSG00000133328
DDAH2,-1.36486637503731,7.74515659261872,162.66319700842,1.27485518367874e-31,4.59457808197819e-29,ENSG00000213722
TAF1D,1.21142225380278,8.55269563723688,158.813655407658,5.12954382509939e-31,1.77758422554406e-28,ENSG00000166012
CARS,1.60100021904536,7.17801296994077,156.536300704788,1.17417529720854e-30,3.91826645475886e-28,ENSG00000110619
MARCO,-2.09878105012048,7.93267498666487,156.132595706891,1.36032432165564e-30,4.3773293350419e-28,ENSG00000019169
ITPR2,2.07722751454481,6.71651265293037,153.50978554403,3.54804546652296e-30,1.10234102253006e-27,ENSG00000123104
CLDN3,-1.00012762773676,10.1770228184082,152.824409493488,4.56154885447199e-30,1.36998517262642e-27,ENSG00000165215
SEC61G,-1.03681819889016,8.75517260519785,150.106285779779,1.23943326330569e-29,3.60235280722074e-27,ENSG00000132432
SLC9A3R2,-1.77893120390428,7.00670443878546,148.598645263984,2.16240581824505e-29,6.08852388199623e-27,ENSG00000065054
MT-ND3,-1.01911331623577,12.7642881294158,147.663451852988,3.05638803383023e-29,8.34486551054861e-27,ENSG00000198840
KLK11,2.26935111086864,6.24533843063686,146.352926185701,4.96848702504725e-29,1.31664906163752e-26,ENSG00000167757
EIF3B,-1.1683377075403,8.09923475345997,142.105893453694,2.41867058759286e-28,6.22634914120333e-26,ENSG00000106263
COX17,-1.20777580218457,7.91561154753959,141.545193508,2.98350276203603e-28,7.46704441276241e-26,ENSG00000138495
NDUFA3,-1.21361797377217,7.36373891653877,138.443687954368,9.56404910874383e-28,2.328975201886e-25,ENSG00000170906
CCL28,1.53928752455911,8.85447023468319,136.518102389206,1.97797233583849e-27,4.68987651208021e-25,ENSG00000151882
FABP5,1.70467799226413,7.07422409042359,135.667462693797,2.72893058426565e-27,6.30452937544448e-25,ENSG00000164687
DNAJC3,-1.33580978520927,7.87676715361079,133.089582802253,7.26014600585179e-27,1.63534788781812e-24,ENSG00000102580
S100A10,1.15680446365381,11.0218065552559,132.323507428459,9.71916972440613e-27,2.13584681016827e-24,ENSG00000197747
CCZ1,-1.27754271850889,7.46542308622659,132.238865568299,1.00377746642838e-26,2.15334166012374e-24,ENSG00000122674
FNTA,-1.11560233423594,7.70229545409505,129.024940341552,3.42936732350449e-26,7.18572083366871e-24,ENSG00000168522
SPRR3,2.39919668073097,6.60826709159266,128.686686202474,3.90446263781471e-26,7.99527462879785e-24,ENSG00000163209
KLK7,2.08823730343595,7.11646172636515,127.536837440619,6.07265763906151e-26,1.2136699955855e-23,ENSG00000169035
GPAT3,2.09005874433584,6.27514604382611,127.484416840463,6.19631740254526e-26,1.2136699955855e-23,ENSG00000138678
SNX8,-1.72570297455265,6.4863092995677,126.907046268973,7.73783690350812e-26,1.46628237555601e-23,ENSG00000106266
PTPRG,1.98876980263396,6.08177755659877,126.88243941817,7.8114932327068e-26,1.46628237555601e-23,ENSG00000144724
SPCS2,1.04189398616633,7.8095159197717,126.688889069814,8.41597068813457e-26,1.54750807959372e-23,ENSG00000118363
TAGLN,2.77441259407532,6.58298660109204,125.987965832341,1.10263100609053e-25,1.98694107297514e-23,ENSG00000149591
SYNGR2,-1.14707935048764,7.63466698420049,125.897347407574,1.14185289154256e-25,2.01727344172518e-23,ENSG00000108639
CUTA,-0.905055369692613,8.21440545072691,122.284996382065,4.62273135935174e-25,8.00977106687676e-23,ENSG00000112514
CWC15,1.0721113104401,7.42831239945928,122.186451113699,4.80313787118517e-25,8.16533438101479e-23,ENSG00000150316
KLK10,2.17907764245791,6.71208663000043,121.849106270927,5.47602462082126e-25,9.13684848770363e-23,ENSG00000129451
SDHAF3,1.84276918794002,6.18853289753337,121.47276351528,6.33916695777996e-25,1.03847080526541e-22,ENSG00000196636
SLC25A6,1.0233482918299,8.13108956261795,120.302652874845,9.99928593933246e-25,1.6088136841676e-22,ENSG00000169100
SLC5A3,1.64530580204443,6.7448796900263,120.081889739796,1.08984321575199e-24,1.72271708314482e-22,ENSG00000198743
ATP5F1E,-0.709689235449834,9.73728226355529,119.816043486545,1.20897423604583e-24,1.87807894254705e-22,ENSG00000124172
TCTE3,2.09739403577693,5.99952762359166,119.56841322156,1.33169269250478e-24,2.0336527388929e-22,ENSG00000184786
DAXX,-1.50328806548891,6.90465429081907,118.673759045178,1.88915001619098e-24,2.83687360764679e-22,ENSG00000204209
OLA1,0.973520971097066,7.88449916454246,118.625075926025,1.92547439149298e-24,2.84402037169701e-22,ENSG00000138430
MUC5B,1.39540243146845,6.92505316248804,116.877949014361,3.8185509864173e-24,5.54921683671288e-22,ENSG00000117983
CTSC,1.76313468502293,7.09308321042782,116.824477712343,3.89955890367232e-24,5.57698820985517e-22,ENSG00000109861
CPTP,-1.29297593011631,7.13848466447654,116.502018205406,4.42604010367021e-24,6.19751202951446e-22,ENSG00000224051
KRT5,2.39377116485614,7.07476201853506,116.476285299985,4.47101311785172e-24,6.19751202951446e-22,ENSG00000186081
CHORDC1,1.37984668894101,7.25154058816695,115.958856371953,5.47946133472303e-24,7.48029494331128e-22,ENSG00000110172
ATP5MC3,0.784217260651174,9.72272282751043,115.842912928766,5.73513010776848e-24,7.71246601059612e-22,ENSG00000154518
GPBP1,1.36365436322378,6.93412205004942,115.361784999452,6.93070922002516e-24,9.18318971653333e-22,ENSG00000062194
CLDN4,-1.02451769569499,10.3210282605555,114.652894732483,9.16396586963952e-24,1.19662800703554e-21,ENSG00000189143
CYB5A,1.05569233154719,7.65533398503668,111.97545072808,2.6411129935541e-23,3.39948972456035e-21,ENSG00000166347
DNAJA4,1.81009761445254,6.36295209965991,111.850377764387,2.77537149647672e-23,3.52198551876834e-21,ENSG00000140403
DDX3X,1.13831841573392,7.60643683221398,111.552325679711,3.12362675517914e-23,3.90887181446722e-21,ENSG00000215301
RHBDD2,-1.62615786442302,6.41458608344355,111.071674796026,3.78018519355959e-23,4.66568062931122e-21,ENSG00000005486
SEZ6L2,-1.64517056897363,6.47990040396707,109.233035882684,7.85577983969709e-23,9.56494275076632e-21,ENSG00000174938
PFN1,-0.792298306053978,8.98493717377857,108.537565081171,1.03670720916345e-22,1.24543092727503e-20,ENSG00000108518
EEF1D,0.714370951341185,9.65159118758938,107.541638745291,1.5433328769205e-22,1.82966173961233e-20,ENSG00000104529
CXADR,1.35186863118149,7.65295698244054,107.132545044722,1.81778221576045e-22,2.12704126805216e-20,ENSG00000154639
PYCR1,-1.02184400413433,7.47281598226199,107.055170100436,1.87496319102934e-22,2.16582286553518e-20,ENSG00000183010
TFG,-0.998602486927143,8.27653761152325,106.817409300255,2.0622357339762e-22,2.35199290672475e-20,ENSG00000114354
ATP5MD,-0.852357298823011,8.56409488109341,106.328898124386,2.50813229115194e-22,2.82478399290988e-20,ENSG00000173915
ROCR,1.94758367555194,5.91432997867572,112.346577040967,2.6750790314838e-22,2.97561260168753e-20,ENSG00000228639
APOE,-1.16893438725254,9.16102335890617,105.921104317943,2.95379307796684e-22,3.24557019908308e-20,ENSG00000130203
NAP1L4,0.934236045644375,7.65605505592215,105.202484465297,3.94177581752355e-22,4.278963869384e-20,ENSG00000205531
COX19,-1.4253778592912,6.90329240016003,103.085799976736,9.24395407554882e-22,9.91524121674938e-20,ENSG00000240230
HSP90AA1,0.817358182003041,11.0909214680355,101.986956951016,1.44096145911731e-21,1.52741914666435e-19,ENSG00000080824
DCDC2,-1.88902549244166,6.43264457020115,101.492898611571,1.7598552624883e-21,1.84375533895577e-19,ENSG00000146038
PSMB4,0.768300594081535,8.52540350941118,101.027000686137,2.1253625631139e-21,2.20109387283405e-19,ENSG00000159377
RASD1,2.13926054947072,5.98765182243296,100.449128697824,2.68655078529498e-21,2.7506616563077e-19,ENSG00000108551
NELFE,-1.05402303757707,7.28446990391275,100.291979426957,2.86344960855795e-21,2.89884055877608e-19,ENSG00000204356
CBX3,-0.683823934384151,9.04919129390802,99.6605256680366,3.70050477061904e-21,3.70461644258639e-19,ENSG00000122565
PKP1,1.7435411924939,6.3774348359425,99.285878164338,4.30930234710926e-21,4.26668287334664e-19,ENSG00000081277
SIX3,1.70463929157423,6.24040323781403,99.1956344601411,4.47041232349293e-21,4.37808859072514e-19,ENSG00000138083
EIF4EBP1,-1.07031494686199,8.45747202456636,98.3499383704585,6.30775718899998e-21,6.11106368525697e-19,ENSG00000187840
CCDC71L,-1.62461250684488,6.72476108914539,97.6637314561291,8.34439304037219e-21,7.99818949933547e-19,ENSG00000253276
CLDN8,1.82527535099652,6.05615072115547,97.3833441429594,9.35616463987977e-21,8.87358351634912e-19,ENSG00000156284
CRIP2,-1.20062649971194,7.15172008699086,96.9863071143003,1.10034345471104e-20,1.03271817989026e-18,ENSG00000182809
MFGE8,1.56619428722162,6.95104963124093,96.2087326151689,1.51227234448082e-20,1.40469833234765e-18,ENSG00000140545
KLHDC3,-1.10603824205864,7.1260477328596,95.5439975888965,1.985488931602e-20,1.80991845492377e-18,ENSG00000124702
PMAIP1,1.64878002195992,6.54019929707654,95.5400539874955,1.9887006330461e-20,1.80991845492377e-18,ENSG00000141682
RHOC,-1.10993501324096,7.35265040134839,95.3571386173272,2.14355074052158e-20,1.93133921720994e-18,ENSG00000155366
MESP2,-1.75081346908429,6.24958701474491,95.3078759117262,2.18728868356741e-20,1.95123475633093e-18,ENSG00000188095
TACSTD2,-1.0097984477141,9.21366147158239,94.4865299814213,3.0640641306589e-20,2.70658998208203e-18,ENSG00000184292
TMEM238,-0.844448306267475,8.22676653809911,93.9009890409186,3.89775200836231e-20,3.40958695100432e-18,ENSG00000233493
DPM3,-1.13944218528364,7.1198161912726,93.7159266559447,4.20604150214625e-20,3.63957900738574e-18,ENSG00000179085
PET100,-0.868506400096369,7.71203239183356,93.6955429454029,4.24146277220314e-20,3.63957900738574e-18,ENSG00000229833
HNRNPA3,0.751345225264235,9.41640810042732,93.2712045904541,5.05092037216199e-20,4.25927356263694e-18,ENSG00000170144
IL32,-0.996388140586889,8.64912193631737,93.2677154468197,5.05818281023476e-20,4.25927356263694e-18,ENSG00000008517
SRI,-0.924438545444157,8.4956872110534,92.9572050329976,5.74836764003588e-20,4.79562892932623e-18,ENSG00000075142
BTG3,1.15949662734551,8.00668118878626,92.9196688663892,5.83797412940784e-20,4.82570155100593e-18,ENSG00000154640
TAGLN2,-0.803459820192108,9.15210259526907,92.799735896127,6.1337972100007e-20,5.02413753291876e-18,ENSG00000158710
CD180,1.72277644456898,5.97214517672303,92.7742064972464,6.19868705969752e-20,5.03154688359231e-18,ENSG00000134061
CDC42EP1,-1.17134262094943,7.31759252174744,92.5072257033434,6.92005462326677e-20,5.56693679961014e-18,ENSG00000128283
SH3GLB1,-0.874195985512778,7.7420235882982,91.6260114256958,9.95643533525979e-20,7.93871525404343e-18,ENSG00000097033
SMIM19,-1.05400107011188,7.59164011134215,90.7448274958231,1.43346034027592e-19,1.13293663735842e-17,ENSG00000176209
TPD52,1.36333681322695,6.49801115863032,90.6040251327049,1.51951291699235e-19,1.19050533757401e-17,ENSG00000076554
HMGN3,0.957573406605077,8.13332490946208,90.0060271583745,1.94678801162608e-19,1.51211724006474e-17,ENSG00000118418
ARGLU1,1.12624399350552,8.51315724253709,89.4291857326679,2.47317317868194e-19,1.90455472990806e-17,ENSG00000134884
GAPDH,-0.799015680436681,11.0926359451269,89.232163630827,2.68400445005742e-19,2.04939661822181e-17,ENSG00000111640
SH3BP5,1.371698126794,6.59236158397034,88.7247216819485,3.31404027394619e-19,2.50920192170212e-17,ENSG00000131370
MRPL52,-0.970509200414047,7.48437917168656,88.6844107972639,3.37005224229803e-19,2.5303475585921e-17,ENSG00000172590
ATP5MPL,-0.661204637077206,8.68074411760229,88.3648090895904,3.84918228176198e-19,2.86620928584095e-17,ENSG00000156411
CFD,1.50669697309909,6.4901115486817,87.9442408862946,4.58562265459954e-19,3.38659509163458e-17,ENSG00000197766
ECH1,-0.927248621924216,8.00770563502369,87.8501129548007,4.76896309814091e-19,3.49336239953249e-17,ENSG00000104823
ENO1,-0.745483951367268,9.45733066959756,87.490804838724,5.53918861650776e-19,4.02484592215604e-17,ENSG00000074800
LPGAT1,1.30711536250855,6.63618401490747,87.3401239698065,5.89832800245018e-19,4.25151482416609e-17,ENSG00000123684
HCFC1R1,-1.34708345207547,6.69484738735847,87.2864389448305,6.03186231708197e-19,4.31326027594512e-17,ENSG00000103145
JPX,1.26852266575254,6.62883811660664,87.2182099260756,6.20596726331475e-19,4.40281614507605e-17,ENSG00000225470
NDUFB4,-0.713672727374411,8.96678155152467,87.1967328587415,6.26181036247745e-19,4.40772745046264e-17,ENSG00000065518
SMCO4,1.18703066677418,6.72767547187879,84.8131486685969,1.69660899682013e-18,1.18499589622864e-16,ENSG00000166002
ARPC1B,-0.905556351263246,8.12964482742167,83.9527304981882,2.43436772946259e-18,1.68720409557369e-16,ENSG00000130429
THAP12,1.19024780981912,6.71164059607245,83.3507519430051,3.13519714037994e-18,2.15634551410865e-16,ENSG00000137492
ACTG1,0.839954410597232,11.1292016456272,83.1099912839352,3.46937038711582e-18,2.36810812029648e-16,ENSG00000184009
DRAM2,-1.08499607939382,7.23330394720568,82.8567397540244,3.85960793927581e-18,2.61466673179512e-16,ENSG00000156171
ASS1,-1.15422527119285,6.86261349894708,82.7136757562531,4.09925979924476e-18,2.75629334262651e-16,ENSG00000130707
LAMP2,1.00543951993436,7.29447237663686,82.3888515764033,4.70041739248332e-18,3.13709338564998e-16,ENSG00000005893
PLAU,1.86460303827653,5.9526014109324,81.4110896132167,7.10041704052612e-18,4.70402628934855e-16,ENSG00000122861
COX6B1,-0.564811760782157,9.15654071279086,81.0153740540689,8.39258565669911e-18,5.51950341363934e-16,ENSG00000126267
CREBZF,1.22934822650686,7.07386000949928,80.8378673700716,9.04664863032657e-18,5.90654377965525e-16,ENSG00000137504
DSC3,1.49141061678582,6.50181226192908,80.6386247660288,9.84205053857907e-18,6.37963132033075e-16,ENSG00000134762
TPT1,0.585074925074935,11.5897642990574,80.2726967359753,1.14905933817423e-17,7.39501759782128e-16,ENSG00000133112
FAM20C,-1.49154064903175,6.36239031038129,80.0539485502075,1.26058921588807e-17,8.01219102147677e-16,ENSG00000177706
PTOV1,-1.12096046781846,6.87189787767799,80.0499190822006,1.26274264711399e-17,8.01219102147677e-16,ENSG00000104960
C1GALT1,-1.52250743444078,6.33439177559341,80.0098285822203,1.28437028932e-17,8.09243098375748e-16,ENSG00000106392
MORN3,-1.40571446679703,6.58279981560066,79.957965968403,1.31290200854776e-17,8.21475492848289e-16,ENSG00000139714
KRT81,2.34459705756857,6.32601884566661,79.7363789566617,1.44216078634135e-17,8.9612887482314e-16,ENSG00000205426
NAA38,-0.905834620500163,7.60203721541699,79.7150002480305,1.4552892195413e-17,8.9809286767583e-16,ENSG00000183011
C12orf57,-0.871937553059625,7.80261373582244,79.5874840433194,1.53612914290652e-17,9.41532216162434e-16,ENSG00000111678
RGCC,1.55874629065054,6.71015776429002,79.5598748835118,1.55421829813259e-17,9.46182896363149e-16,ENSG00000102760
AC004982.2,-1.39794261833378,6.54935433666614,79.455672723562,1.62444064171067e-17,9.82295985356585e-16,ENSG00000272894
PPIG,0.644024902638103,8.71473587657143,79.2741569113234,1.75446884227382e-17,1.05385095125914e-15,ENSG00000138398
EGR3,1.78342767166594,5.94358684946067,78.5930545133202,2.34286940948852e-17,1.39796379996633e-15,ENSG00000179388
TAPBP,-1.02800895835836,7.1536058485936,78.274013837097,2.68316315018312e-17,1.59048026204934e-15,ENSG00000231925
WIPI2,-1.01954303766541,7.49958182423065,77.8467029847736,3.21809486240469e-17,1.89510030786054e-15,ENSG00000157954
ATP5ME,-0.758879143928996,8.31201331419582,77.6897067277813,3.44052547167963e-17,2.0129308116775e-15,ENSG00000169020
C7orf26,-1.32492535196924,6.39599533087777,77.4019196595022,3.88917750709394e-17,2.26074124767202e-15,ENSG00000146576
