gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CENPW,2.06038185982415,8.19229357313258,330.076295749934,1.99690738617519e-62,1.99111635475528e-58,ENSG00000203760
SIX3,-2.19206036053017,6.7610026474523,275.646880513294,1.01732655010354e-53,5.0718815155412e-50,ENSG00000138083
KLK11,-2.47926535242085,6.70932215124258,255.548640009981,2.14908514121963e-50,7.1428426477003e-47,ENSG00000167757
C1QL2,1.93568436232845,6.22814029842432,251.91774932843,8.70013678068884e-50,2.16872659600621e-46,ENSG00000144119
PIGR,2.2444366460972,8.02730606164254,243.25107800782,2.49695445331076e-48,4.97942657079233e-45,ENSG00000162896
COL6A2,1.850215107709,6.24050841159661,220.471915897522,1.93573234557829e-44,3.21686453629352e-41,ENSG00000142173
PLCB4,1.51828602371154,6.59319214633409,203.639331212952,1.64560989751009e-41,2.34405375543902e-38,ENSG00000101333
CFD,-1.78661923683659,6.94288580270015,193.827640795627,8.83896978638534e-40,9.82783073799598e-37,ENSG00000197766
IGF1,2.01313389512158,6.79217635717629,193.818837690052,8.87077290562268e-40,9.82783073799598e-37,ENSG00000017427
COL6A1,1.65996293843801,6.3012585343028,190.850217909086,2.98366367355649e-39,2.97501104890317e-36,ENSG00000142156
ATP5ME,0.827423547678301,8.14882946068787,189.068508940521,6.18970309606826e-39,5.61068450644515e-36,ENSG00000169020
NDUFA13,0.841133278859766,7.96906659289013,187.054280179376,1.41459272196224e-38,1.17540866922379e-35,ENSG00000186010
COL9A2,1.38192015932097,6.68357934231066,182.689544353493,8.53068536635236e-38,6.54303567599226e-35,ENSG00000049089
PET100,0.938985908135581,7.57031503420891,179.849314756709,2.75820701035817e-37,1.96443443573438e-34,ENSG00000229833
ODAM,-3.04122907308284,6.95029843683933,176.267335323093,1.21748770807127e-36,8.09304662478574e-34,ENSG00000109205
SPATS2L,1.19544665839851,7.09762497392374,175.796080983114,1.4807309151009e-36,9.2277299715444e-34,ENSG00000196141
FXYD3,-0.955972202611634,9.34007907416699,165.503556701075,1.0900737997866e-34,6.39360344568953e-32,ENSG00000089356
KLK5,-1.43724423817056,8.0010387222991,164.954481023914,1.37280989035933e-34,7.60460412042935e-32,ENSG00000167754
CDCA7L,-1.97417057003431,6.45410298876904,163.49892776679,2.53155314062717e-34,1.32853244027334e-31,ENSG00000164649
AREG,-1.98197560600757,7.14401348945531,160.349093810866,9.54786571084496e-34,4.76008845014175e-31,ENSG00000109321
RNASE1,-2.05204626688964,8.00326804963085,159.853339645688,1.17711009555257e-33,5.58903083940697e-31,ENSG00000129538
SDHAF3,-1.62518395702985,6.45115919999444,158.996924552787,1.69034786176779e-33,7.33911942142582e-31,ENSG00000196636
CLDN6,-2.02176879332468,6.47689929943498,158.993346009246,1.69290689692903e-33,7.33911942142582e-31,ENSG00000184697
TCIM,2.07424667066658,8.02426099136461,156.943485596345,4.03061357138912e-33,1.67455199668004e-30,ENSG00000176907
SNHG9,1.30300424198934,6.44623017819165,148.243192984213,1.63464769931856e-31,6.51962888396213e-29,ENSG00000255198
NEAT1,1.13903938765063,9.93273399516472,146.26018889765,3.8195304424009e-31,1.46478992466075e-28,ENSG00000245532
RAB2A,0.731362855769147,8.097619252657,143.468504371654,1.2653951540942e-30,4.6730574375827e-28,ENSG00000104388
FAM107B,1.24753094523622,7.20872017465358,141.238247857101,3.30322545174272e-30,1.1763021778331e-27,ENSG00000065809
KLK6,-1.64454546177295,6.76118356473859,137.463053671857,1.6849573934459e-29,5.79334833449968e-27,ENSG00000167755
KLK10,-1.56516162717342,6.80707741775187,136.70000880549,2.34406349020192e-29,7.79088568693446e-27,ENSG00000129451
