gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ARGLU1,1.78950654823863,8.10237379020366,486.319503283945,4.65072755057556e-86,4.4498161203907e-82,ENSG00000134884
TACC1,2.69445261901202,6.8562365848564,419.247333478384,1.94986953047248e-76,9.32817583378035e-73,ENSG00000147526
RAC1,-1.32426935845732,9.89125408303259,414.446227132463,9.95243339047988e-76,3.17416275600372e-72,ENSG00000136238
TOMM7,-1.17450589536746,9.58269065175607,412.750154032295,1.77276087289157e-75,4.24044400795664e-72,ENSG00000196683
NEAT1,1.78189061952251,10.2648178545424,401.875140028527,7.31456843895441e-74,1.39971581647831e-70,ENSG00000245532
RFLNB,2.39197984791434,6.82123285546824,368.832752794647,7.23190271596456e-69,1.15324741977248e-65,ENSG00000183688
BTG3,1.78944625388464,7.7287424707499,366.95304462906,1.4041692730543e-68,1.91929880065479e-65,ENSG00000154640
TACSTD2,-1.34482956206849,9.75874802924121,324.378849905759,6.23550215599691e-62,7.45766057857231e-59,ENSG00000184292
IER5,1.77551746181841,7.64367741741932,309.612793477266,1.43297892660044e-59,1.523415818857e-56,ENSG00000162783
PFN1,-1.04443596905474,9.41603317544073,296.671644914991,1.77987480451598e-57,1.70298421296089e-54,ENSG00000108518
SLC5A3,1.87546720788212,6.88540417659443,276.530130610135,3.60394896313279e-54,3.13478033447768e-51,ENSG00000198743
PDZK1IP1,-1.79972119675136,8.86120461993588,260.790218522335,1.51950955393387e-51,1.21155561766994e-48,ENSG00000162366
DNAJB1,1.45725996223543,8.60552533300408,254.52478950189,1.72534812175725e-50,1.26985621761334e-47,ENSG00000132002
PNISR,1.15307822644429,8.44781693799111,245.314491665716,6.29297686616956e-49,4.30080018967931e-46,ENSG00000132424
HSPH1,1.3220965126052,7.95578671378865,239.466932415739,6.27110950726255e-48,4.00013171769921e-45,ENSG00000120694
MSLN,-1.39512914225566,8.3653396550195,239.054976864047,7.37714104992114e-48,4.41153034785284e-45,ENSG00000102854
CD47,-1.17030334859162,9.38318214905116,238.854143195461,7.98525321191986e-48,4.49428839597936e-45,ENSG00000196776
