gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
MARCO,3.06336444405277,6.73245712516398,480.246982152182,2.18129035914287e-82,1.9633794522645e-78,ENSG00000019169
GSTM3,2.2542419387679,7.45326883172989,368.260297983127,6.76633821435358e-67,3.04519051336983e-63,ENSG00000134202
TSPAN8,-3.21555569544688,7.99926627071627,334.308363689693,6.92611344206215e-62,2.07806490306671e-58,ENSG00000127324
CD99,-1.49766849315052,9.63449916260354,324.037754023558,2.44143442932547e-60,5.49383782458963e-57,ENSG00000002586
NUPR1,1.65867603190046,8.24478932048933,303.136034974179,3.83242934307489e-57,6.89913930340342e-54,ENSG00000176046
MET,2.18323197456197,6.57536343357293,277.263543729254,4.26956145398973e-53,6.40505377456026e-50,ENSG00000105976
FAM107B,2.15197388137893,6.69294208244022,267.991338250439,1.27696435763119e-51,1.64199374043405e-48,ENSG00000065809
CFTR,-2.45279133983914,7.43305533249763,265.987186869323,2.67286729292877e-51,3.00730981295648e-48,ENSG00000001626
ODAM,-2.0902092821728,10.2873118052339,261.372482859999,1.47270071805451e-50,1.47286435146763e-47,ENSG00000109205
YWHAE,1.13201202291467,8.11729982538209,242.920907575934,1.46758644535179e-47,1.32097455946115e-44,ENSG00000108953
ZNF703,1.9532922873907,6.53658092612845,248.029590720638,1.78254314989779e-45,1.45860644474818e-42,ENSG00000183779
ARHGDIB,-1.40593453716124,8.60562108729701,229.71383372388,2.22958541728257e-45,1.6723748617467e-42,ENSG00000111348
PXDN,1.43359881207598,7.52469859121971,222.447555133507,3.64303881470219e-44,2.5223840285488e-41,ENSG00000130508
CLDN10,-2.62050956176025,7.19590815991742,216.772912655,3.27695093368646e-43,2.10684538243656e-40,ENSG00000134873
DEPP1,1.74064650216218,7.88779985029902,216.101737706004,4.25292900699364e-43,2.55204093279665e-40,ENSG00000165507
NENF,-1.05819918747872,8.7481177227357,211.744346012817,2.32114783713078e-42,1.30579073012588e-39,ENSG00000117691
CENPW,-2.67387297405692,9.82190272640087,209.011924882705,6.75507197862321e-42,3.57661193409338e-39,ENSG00000203760
SFRP1,-2.22256525255932,8.5079579132397,205.153188658768,3.06988918532345e-41,1.53511514206091e-38,ENSG00000104332
EZR,1.3765829971082,7.77138913635506,203.279815901447,6.41681318390762e-41,3.03988081412382e-38,ENSG00000092820
DNAJC3,1.3564471964524,7.58711983640815,199.817767379394,2.51634402610426e-40,1.13248062894822e-37,ENSG00000102580
PDK4,2.1234299914379,6.58471988671185,198.454292864622,4.31624833888402e-40,1.85002625229976e-37,ENSG00000004799
CTSH,-1.30265642136917,8.44283505708722,196.821340786534,8.24549738377688e-40,3.37353281597162e-37,ENSG00000103811
PNPLA4,-1.56775814891,7.9352171292664,191.556851930343,6.69769139360141e-39,2.62112696668723e-36,ENSG00000006757
TMEM98,-2.31873153646417,6.85212195598928,188.150075119591,2.6147834185651e-38,9.80652731271021e-36,ENSG00000006042
TFG,1.03913286470641,7.9846561805076,182.116869386507,2.95434832660209e-37,1.06368357150982e-34,ENSG00000114354
KRT18,1.05421084658307,9.8004854255359,176.802920805411,2.53418004036087e-36,8.77313636280316e-34,ENSG00000111057
ZFP36L2,1.38575964117506,7.84050725597057,173.101374183133,1.14103730889653e-35,3.80388030273246e-33,ENSG00000152518
MAGEA4,-1.87333782820939,7.12910615430985,168.833732710127,6.5177705554788e-35,2.0952304560666e-32,ENSG00000147381
TSTD1,-0.897065297589634,9.007857928084,168.680331298754,6.94017884350463e-35,2.15408792311673e-32,ENSG00000215845
MESP2,-1.89872947689506,7.14191588590203,167.701390942702,1.0363777237686e-34,3.10947863054707e-32,ENSG00000188095
ARPC1B,1.03659793854659,8.067335412746,166.18449887616,1.93084505367068e-34,5.60630204131928e-32,ENSG00000130429
TSPAN3,-1.8003519207738,7.07717660095344,164.570918866535,3.74727134705087e-34,1.05403716858765e-31,ENSG00000140391
KRT7,1.02108645948966,9.28995417832947,163.712917736899,5.33402212532143e-34,1.43843352598901e-31,ENSG00000135480
ADI1,1.14592375163556,7.6439656866978,163.668048019759,5.43347848945967e-34,1.43843352598901e-31,ENSG00000182551
CEBPD,1.40197223021305,8.3753460813342,162.726187803534,8.00915810702582e-34,2.05972663203827e-31,ENSG00000221869
SLC4A11,1.75618570614201,6.68335364866542,161.195060432253,1.50629742280648e-33,3.76616197296698e-31,ENSG00000088836
CLDN16,-1.67970153466425,7.38123133829985,160.505568058105,2.002631286278e-33,4.87180654264548e-31,ENSG00000113946
JUND,0.948676062554838,9.11039704270717,157.701773821629,6.39139172121506e-33,1.51391886533307e-30,ENSG00000130522
