gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
NEAT1,1.78961581638724,10.0846602749882,292.840265012375,3.91306080237264e-56,3.72132082305638e-52,ENSG00000245532
IFITM3,2.11050501424716,7.4121312176177,220.908541057142,2.81699708200906e-44,1.33948211249531e-40,ENSG00000142089
KLK5,-2.36589429385562,8.1448812903884,196.548628704787,4.57064357913031e-40,1.44889401458431e-36,ENSG00000167754
PLA2G2A,2.55284325082992,7.68606469319845,165.01127186138,1.86651282715801e-34,4.43763424656817e-31,ENSG00000188257
SLC5A3,1.71791549337967,6.768154042955,160.490636823757,1.23273697870952e-33,2.34466573350551e-30,ENSG00000198743
EEF1A2,1.80019417633961,6.593599907212,159.721475171219,1.70122295284983e-33,2.69643838026698e-30,ENSG00000101210
NPW,1.83897560158677,6.74391015683535,155.707929507366,9.17534191889139e-33,1.24653573783796e-29,ENSG00000183971
PFN1,-0.901881386799343,9.48189464900335,146.358195034387,4.78676452856156e-31,5.69026633332756e-28,ENSG00000108518
ALDH1A3,1.51480710977136,8.01561877131266,145.695596427915,6.344906501005e-31,6.70445120272862e-28,ENSG00000184254
HSPH1,1.22480771192637,7.83246952759905,140.504171849264,5.81318951022048e-30,5.52834322421967e-27,ENSG00000120694
FBXO2,1.72225150901579,6.67554530507732,137.377174014695,2.22102642191705e-29,1.92017829749374e-26,ENSG00000116661
DNAJB1,1.25085909064155,8.42330685210434,131.023158592,3.43384501576187e-28,2.72132217499129e-25,ENSG00000132002
HSPA1A,1.22320412398251,10.2346425688246,125.518943608999,3.7403547047594e-27,2.73621332632784e-24,ENSG00000204389
HSPB1,1.19860961769633,9.38933104879001,122.700128688175,1.27815728133647e-26,8.68233981822132e-24,ENSG00000106211
TOMM7,-0.748819192875636,9.68078683868959,121.297838988179,2.35894937301381e-26,1.49557390249075e-23,ENSG00000196683
EEF1A1,-0.734161757128264,12.6688344268404,118.844471553631,6.90831258187402e-26,4.10612829085137e-23,ENSG00000156508
SEC61G,-0.931434256558024,9.01852149622958,118.614840041216,7.64043416784791e-26,4.27414876095492e-23,ENSG00000132432
IER5,1.39597287057449,7.43414663484369,117.914147521165,1.03914463590355e-25,5.49014749302374e-23,ENSG00000162783
ANP32E,1.25758662152155,7.69442712392548,112.516707532333,1.11981088115606e-24,5.60494814726006e-22,ENSG00000143401
ARGLU1,1.10604851877609,7.80067945625774,108.541256094192,6.51335272379241e-24,3.09709922016329e-21,ENSG00000134884
LAMP2,1.12414499816487,7.45267605878795,106.598080900914,1.54482318206869e-23,6.99584212451106e-21,ENSG00000005893
CDKN2B,1.5715836509998,6.68360701896474,105.626788011122,2.38059113990402e-23,1.0290646245676e-20,ENSG00000147883
PSMA7,0.681760634673679,9.22530374390162,103.288499370059,6.75623858416844e-23,2.79355777980182e-20,ENSG00000101182
PIGR,1.81090387685167,7.80385700920012,102.682100127535,8.85924227845898e-23,3.51047475283937e-20,ENSG00000162896
MAL2,1.09283986655292,7.8908332852378,100.438610676045,2.41862061660035e-22,9.20043282554773e-20,ENSG00000147676
HNRNPU,0.734639194900701,9.24542957811324,99.6574037776778,3.43340575117997e-22,1.25583418052775e-19,ENSG00000153187
TMEM258,-0.855121691734058,8.32608607334926,97.8945357497791,7.57902800854442e-22,2.66950208745398e-19,ENSG00000134825
ATF3,1.31401553338071,8.94237319486304,97.1886001853426,1.0411894119958e-21,3.53632546717144e-19,ENSG00000162772
C19orf33,1.53002446173749,6.60579654248813,96.6531788722301,1.32498959824412e-21,4.34505209631088e-19,ENSG00000167644
FXYD5,-1.08388617728175,7.94416753324123,95.9224320112385,1.84159811432443e-21,5.83786602240843e-19,ENSG00000089327
DNAJA1,0.8693968682246,7.94215459544311,95.8217031335606,1.92714380553721e-21,5.91197986795447e-19,ENSG00000086061
