gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
FBXO2,2.82051507884005,6.48687599360329,653.176747643957,8.29442610087209e-105,8.63781534144819e-101,ENSG00000116661
ACAA2,1.95351554467133,6.83931273233424,455.921316980468,8.16065108247008e-80,4.24925101864217e-76,ENSG00000167315
XIST,2.99923739127774,6.65748605206682,406.899686574224,5.63766265957388e-73,1.95702063122675e-69,ENSG00000229807
IFITM3,2.41622700479051,7.15806745616257,326.667252784813,3.88530492232547e-61,1.01153913652744e-57,ENSG00000142089
EEF1A2,2.2150418120101,6.41647929452367,306.511084157938,5.02261457843139e-58,1.04611016439569e-54,ENSG00000101210
ARRB2,1.68832814811909,7.42959130629967,304.026358141391,1.22621798458367e-57,2.12830568190906e-54,ENSG00000141480
LAMP2,1.47490937084411,7.4793640253384,280.219840828122,7.06730907238086e-54,1.05141366685392e-50,ENSG00000005893
BCAP31,1.29523997877925,7.49995981909453,264.839219570466,2.1140148086292e-51,2.7134875424484e-48,ENSG00000185825
PSMA7,1.0131202509003,9.05688942940713,264.561515867763,2.34505357038944e-51,2.7134875424484e-48,ENSG00000101182
C1QL2,2.13425245574789,5.93861023481349,251.699704133063,2.95087971920675e-49,3.07304613958191e-46,ENSG00000144119
ATP5ME,-1.24567938417057,8.1154396767357,245.459885719613,3.15024506166042e-48,2.98242291564833e-45,ENSG00000169020
MT-ND3,-1.35201429272872,12.8940900665589,239.595301895928,2.956421318953e-47,2.56568096796471e-44,ENSG00000198840
KHDRBS3,2.13634316361187,5.90947753049561,248.000520704353,6.64492816924721e-46,5.32309861188773e-43,ENSG00000131773
HSBP1L1,1.07481508174504,8.03676067801139,228.11350921287,2.46231775589845e-45,1.83161265070903e-42,ENSG00000226742
TPGS2,1.40157946022237,6.70411511726638,221.856087746654,2.80238547239825e-44,1.94560282063703e-41,ENSG00000134779
NPW,1.90447286817512,6.55330803277035,214.744025340309,4.53154755657374e-43,2.94947101588494e-40,ENSG00000183971
NEURL3,2.07198733800656,6.04937967946455,209.702580254166,3.29963290554087e-42,2.02131629872368e-39,ENSG00000163121
NPC2,-2.16610211257237,6.85916575665965,202.000714117845,6.99003297126455e-41,4.04412240904161e-38,ENSG00000119655
KLK5,-2.12594277218208,7.66311202382311,186.769614449952,3.15318435519885e-38,1.72827694079162e-35,ENSG00000167754
ANPEP,-2.52329050056352,6.51637712299637,185.939794591048,4.41165259524356e-38,2.29714750634332e-35,ENSG00000166825
AGTRAP,1.27132074067254,6.92858293194261,181.258481196955,2.95018090209763e-37,1.4630087578307e-34,ENSG00000177674
COL9A3,1.77035978096568,6.63602506798664,180.223585565793,4.49623461144018e-37,2.12835396561537e-34,ENSG00000092758
DSC2,1.13440122998488,7.62299162649543,172.798284002521,9.37364031511357e-36,4.24422131485186e-33,ENSG00000134755
NDUFB1,-1.212868860087,7.44098351393033,171.875289422334,1.36968213014385e-35,5.74855288295531e-33,ENSG00000183648
