gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
RFLNB,2.87612870257158,7.24155162228478,153.277233334967,1.22125244261342e-29,8.55853711783485e-26,ENSG00000183688
PLA2G2A,-3.20661461595012,8.11953181019793,111.54723160736,6.19969960896525e-23,2.17237474298142e-19,ENSG00000188257
RAC1,-1.02168888724526,9.35400551181476,86.1451834491172,1.50814907830473e-18,3.52303624691984e-15,ENSG00000136238
CLDN4,-1.05731818127803,10.2878043342878,78.386400636625,3.71549848009717e-17,6.50955333713023e-14,ENSG00000189143
ORM2,-1.85032195961034,6.82346387641094,77.420441145755,5.56002127015033e-17,7.7929258122427e-14,ENSG00000228278
CXADR,1.47348969364932,8.01276681220651,74.6401717242438,1.78332245390249e-16,2.03138238234496e-13,ENSG00000154639
UCHL1,-1.47500636978189,7.57602702829124,74.3333592941969,2.02906345268475e-16,2.03138238234496e-13,ENSG00000154277
KDELR2,-0.985265634164084,9.01561313037214,73.5655955374588,2.80400163704313e-16,2.45630543404978e-13,ENSG00000136240
LINC01436,-1.68091461829883,7.1260020303832,70.5832352596411,9.90834347235096e-16,7.71529678380395e-13,ENSG00000231106
SRI,-0.927104034364532,8.54617630782515,67.1629764014452,4.26318769977412e-15,2.9876419400017e-12,ENSG00000075142
SEMA3C,-1.60369090114818,7.16594034588397,66.7100727467421,5.17678504815798e-15,3.29808269249919e-12,ENSG00000075223
GSTM3,-1.34788338734851,7.8150493539586,64.3750729481728,1.41366846912399e-14,8.25582385968409e-12,ENSG00000134202
FSCN1,-1.52474100144848,7.10642534252497,61.3740304646052,5.1869872572916e-14,2.79618513069997e-11,ENSG00000075618
EPRS,-0.832591662761673,8.71840389075135,57.998501630482,2.26567395978445e-13,1.13413165072639e-10,ENSG00000136628
BTG3,1.19409789338916,8.31369962230757,55.8706489307094,5.77757055713408e-13,2.69928096429304e-10,ENSG00000154640
MESP2,-1.43220954546105,6.74408283127937,54.2981044177812,1.15792431848029e-12,4.80778790010981e-10,ENSG00000188095
KLK10,1.965713521685,7.32840055736787,54.2818895953038,1.16627274974125e-12,4.80778790010981e-10,ENSG00000129451
GTF2I,-0.719001699037914,8.55023962857564,51.4805899214864,4.05387332758637e-12,1.57830801554029e-09,ENSG00000263001
SLC25A6,0.847122496539945,8.44858108759616,51.2440349179031,4.50557447452878e-12,1.66184557460514e-09,ENSG00000169100
PSMB2,-0.816279119094766,8.33538390819341,49.8697089207837,8.33476802861137e-12,2.8660190043727e-09,ENSG00000126067
PDZK1IP1,-1.14431618345508,8.14981553515674,49.7781490480626,8.68414632179155e-12,2.8660190043727e-09,ENSG00000162366
HMGN1,0.588929164444693,9.55769211233796,49.6992023227788,8.99720577856728e-12,2.8660190043727e-09,ENSG00000205581
EIF3B,-0.863642049996409,8.05420379590583,49.0540698310039,1.20204275062635e-11,3.6625719984302e-09,ENSG00000106263
CCL2,-2.05741873449175,7.44416206458116,48.5466446718725,1.51020506711143e-11,4.40979879596537e-09,ENSG00000108691
MARCO,-1.39062858544021,7.65601595637186,48.3165834937009,1.67502174023454e-11,4.69542094222547e-09,ENSG00000019169
CLDN3,-0.656248489283382,9.96558138154612,46.9510879809669,3.10184178340295e-11,8.3606566223415e-09,ENSG00000165215
NPW,-1.34505838948568,7.11887407790882,46.1281686845722,4.50183028443898e-11,1.16847506049438e-08,ENSG00000183971
HNRNPA1,0.640129931391099,8.83754283699837,45.7826077769554,5.26541557449729e-11,1.31785829807418e-08,ENSG00000135486
PGLYRP4,-1.28485485946341,7.28559465739203,45.6504854020642,5.59070162758069e-11,1.35102196572709e-08,ENSG00000163218
CBX3,-0.58794519093729,9.04405495522527,44.8106870756385,8.18790685015181e-11,1.91269504019546e-08,ENSG00000122565
CDC20,-1.48839860616262,7.04194028493563,44.589997880617,9.05284713878467e-11,2.04652750801945e-08,ENSG00000117399
TACC1,1.47398917862269,7.42865988869387,43.9298901678612,1.2229287874606e-10,2.67821404453871e-08,ENSG00000147526
NPB,-1.24588860735642,6.84513860946453,43.6168102406697,1.41071124586621e-10,2.99583770031223e-08,ENSG00000183979
SPRR3,1.71523965130967,7.25577104507825,43.0010570126571,1.86902657266651e-10,3.85239359448437e-08,ENSG00000163209
DENND2D,-1.12758913499375,6.99743899335789,42.2840384101564,2.5951605449904e-10,5.19625288551221e-08,ENSG00000162777
KLK11,1.48777294025651,6.96621786782062,42.1593246183693,2.74782485494183e-10,5.34909905095344e-08,ENSG00000167757
SNX10,-1.23480147402221,6.96184241099431,42.0138804779397,2.93732427475568e-10,5.56345095067238e-08,ENSG00000086300
ATP5MC3,0.563456692138352,9.91078067950622,41.9446870022435,3.0320407405466e-10,5.59172144993437e-08,ENSG00000154518
NPC2,1.20223856799853,7.24294356454988,41.7321770618879,3.34259736929267e-10,5.90348180628075e-08,ENSG00000119655
AIMP2,-1.00014550570675,7.24163685356418,41.7146697088741,3.36956724102783e-10,5.90348180628075e-08,ENSG00000106305
COX19,-1.10197431729969,7.1338399092724,41.3212247535202,4.03696163349851e-10,6.90025051891647e-08,ENSG00000240230
EIF2AK1,-0.821280486547071,7.93850426960136,41.2319279055257,4.20609886966388e-10,6.98951098600861e-08,ENSG00000086232
NFIB,-1.04049633387486,7.14320867989588,41.1896460899142,4.28865542805893e-10,6.98951098600861e-08,ENSG00000147862
ACTB,-0.642420321095429,11.6885665704248,40.6343194374541,5.53723193638723e-10,8.81930032050038e-08,ENSG00000075624
ARPC1B,-0.795657601620091,8.18091773023548,40.5279783449087,5.81519198566336e-10,8.94187384819106e-08,ENSG00000130429
SLC9A3R2,-1.11296380484107,7.09541414569199,40.5078440294746,5.8693806651939e-10,8.94187384819106e-08,ENSG00000065054
PRRX2,-1.19664629348572,6.87136680461133,40.4037947779505,6.15762200053162e-10,9.18140744249481e-08,ENSG00000167157
SUN1,-0.964740086121101,7.47118860853856,40.2769674434167,6.52830737110302e-10,9.53132876181041e-08,ENSG00000164828
SQSTM1,-0.871069861163561,7.96081318260601,40.0875190722938,7.12428626957835e-10,1.01891833014704e-07,ENSG00000161011
ATP5IF1,-0.712561532255848,8.21531922437982,39.8258353353492,8.03867368403038e-10,1.1267005035537e-07,ENSG00000130770
KIF5B,-0.762546295117756,8.07777192458814,39.1237075364134,1.11199022551788e-09,1.52800539224104e-07,ENSG00000170759
FOLR1,-1.23388194743039,6.72973803288627,38.9599041558321,1.19955334431394e-09,1.60375117503254e-07,ENSG00000110195
NFE2L3,-0.933729535093541,7.60286121118676,38.9360301265991,1.2128825952729e-09,1.60375117503254e-07,ENSG00000050344
LMTK3,1.29783489141287,6.73735182705068,38.7848556771562,1.50882175501059e-09,1.93502931638052e-07,ENSG00000142235
CREG1,0.9491879154056,7.79046702874941,38.4507031668409,1.51864458334658e-09,1.93502931638052e-07,ENSG00000143162
TPT1,0.445982818132222,11.6953736475113,37.512008425221,2.34809739451343e-09,2.93704355299818e-07,ENSG00000133112
CLDN6,-1.27978263234918,6.79816690771474,37.4031637623807,2.47000054453993e-09,2.93704355299818e-07,ENSG00000184697
CXCL5,-1.28599333731121,8.21548603505238,37.4027813094137,2.47043992666043e-09,2.93704355299818e-07,ENSG00000163735
HLA-B,-1.3497383174357,6.88600020668185,37.4008306120733,2.47268221499561e-09,2.93704355299818e-07,ENSG00000234745
KLHL35,-1.06091044424804,7.05773234973977,37.0983323456476,2.84640557146677e-09,3.27271688628815e-07,ENSG00000149243
SIX3,1.2575620535838,6.93405322295756,37.0966140381285,2.84868336277935e-09,3.27271688628815e-07,ENSG00000138083
CCNB2,-1.24834639122735,7.03202565885266,36.3741617706362,3.98907025503426e-09,4.50893618504518e-07,ENSG00000157456
WASF2,-0.70470718910075,7.95723572729673,36.1968244961061,4.33327620942641e-09,4.82025391677148e-07,ENSG00000158195
KIF2C,-1.28692401666941,6.81098760841042,36.0957755086477,4.54262738666495e-09,4.97417698839812e-07,ENSG00000142945
GOT2,1.13934534704755,6.91724559844856,36.0374212366978,4.6681327312855e-09,4.98973000797411e-07,ENSG00000125166
IGFL2-AS1,1.33217206501025,6.78308668989425,36.0232056808665,4.69923202805781e-09,4.98973000797411e-07,ENSG00000268621
CDCA7,1.26192112051996,7.29304661797197,35.4661111716307,6.09731676301095e-09,6.37761132465384e-07,ENSG00000144354
WIPI2,-0.877327835041763,7.64326991143703,35.4157994082281,6.24257672766568e-09,6.4335261334531e-07,ENSG00000157954
PRDX1,-0.52610866876341,10.0243112299616,35.1307108052403,7.1340322567812e-09,7.2456953703656e-07,ENSG00000117450
MYO5B,-1.00616891769981,6.99072994013557,35.0828994057839,7.29562387451312e-09,7.3039617303697e-07,ENSG00000167306
PSMA5,-0.77657123941696,7.55914777362235,34.7837978903266,8.39362241493625e-09,8.28485998364412e-07,ENSG00000143106
PPIG,0.543873851490139,8.92826149878957,34.5929305271681,9.17982212788339e-09,8.93502687113984e-07,ENSG00000138398
KRT19,-0.669758460534241,11.4837231143443,34.5172274441426,9.51182101371726e-09,9.13134817316857e-07,ENSG00000171345
BRAT1,-1.01995428613939,6.90178003214275,34.2252872649017,1.09093986166964e-08,1.03273408910627e-06,ENSG00000106009
CYB5B,1.07661586089477,7.04632560684411,34.1975729914127,1.10523768097846e-08,1.03273408910627e-06,ENSG00000103018
MAD1L1,-1.11942682564026,6.7041631127634,38.4521185891943,1.1426520781647e-08,1.05364549523398e-06,ENSG00000002822
CHST12,-1.0475583112303,6.8732003560958,33.7857873008503,1.34133530392815e-08,1.22078932596474e-06,ENSG00000136213
C21orf91,1.22360657560349,6.87687189716369,33.5943133914445,1.46781916676139e-08,1.31877906675177e-06,ENSG00000154642
MSLN,-0.76582223645652,7.84390762370999,33.5344047759897,1.50980991452129e-08,1.33933517480573e-06,ENSG00000102854
B2M,-0.773652474778548,8.70573670156545,33.3720862222042,1.62976209848752e-08,1.42767159827506e-06,ENSG00000166710
RGCC,1.26366940127896,7.29142787922845,33.3370868471582,1.65685914747852e-08,1.43348998833697e-06,ENSG00000102760
WNK1,-0.759506233195299,7.63444391489826,32.7352735826102,2.20066938499278e-08,1.8807672012231e-06,ENSG00000060237
SUB1,-0.48107588095882,10.0122070415074,32.0668920021303,3.01820384863464e-08,2.54838223749777e-06,ENSG00000113387
