gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CRABP1,4.56586422848569,7.81241862316574,578.558951512224,1.11621227180179e-85,1.0232317895607e-81,ENSG00000166426
FSCN1,-3.0544675429398,7.02850226639807,567.385672675662,1.52900462116274e-84,7.00819268109942e-81,ENSG00000075618
UCHL1,-2.96148659190312,7.1865767616531,459.009788667943,7.434398285371e-73,2.2717043027332e-69,ENSG00000154277
CXADR,2.50219284747104,8.33056562738751,443.507421607556,4.46918463736898e-71,1.02422538926904e-67,ENSG00000154639
KDELR2,-1.66701558176966,9.01344831054549,427.607984046013,3.20211243716373e-69,5.87075294229599e-66,ENSG00000136240
SLPI,-2.26392389286988,10.4937531964787,423.665919104321,9.33980845475812e-69,1.42696706841279e-65,ENSG00000124107
RAC1,-1.37193699107673,9.39086271711591,419.225483966871,3.13616919118955e-68,4.10703756794779e-65,ENSG00000136238
SAA2,-3.81380341726791,8.28810667186836,414.301125659693,1.20997428920996e-67,1.38647928864846e-64,ENSG00000134339
RFLNB,3.64250975626648,7.37789642697301,396.828563098694,1.54590911214661e-65,1.57459431456088e-62,ENSG00000183688
PRRX2,-2.61853554408706,6.48545751541339,344.833548685597,5.12554280606155e-59,4.69858509031663e-56,ENSG00000167157
SAA1,-3.47854518904967,9.12585241219531,333.829163273565,1.38451155287999e-57,1.15380158229554e-54,ENSG00000173432
RBP7,-2.49223096909841,6.85119260248742,313.781143579636,6.29148056751708e-55,4.80616686353575e-52,ENSG00000162444
NPW,-2.5604280191038,6.76872661330917,310.112813376298,1.95934857444278e-54,1.38164218322438e-51,ENSG00000183971
PI3,-3.54856621094493,7.38102629256538,290.565553828828,9.10906231076153e-52,5.96448387162507e-49,ENSG00000124102
ACAA2,-1.73633239593276,7.18786897570467,270.042925111719,6.7954678016938e-49,4.15293688920847e-46,ENSG00000167315
ARRB2,-1.75732321531395,7.68639060229888,268.145798754104,1.26373224269606e-48,7.24039591799676e-46,ENSG00000141480
NPC2,2.34021988385247,6.95497567279328,248.545694584786,8.41763383069993e-46,4.53908525447214e-43,ENSG00000119655
MSLN,-1.40313533967867,8.18716062633825,242.082223152126,7.45844206469872e-45,3.79841880039407e-42,ENSG00000102854
RPA3,-1.45600957701037,7.55872960099238,227.822975661834,9.83156908325598e-43,4.74347335716882e-40,ENSG00000106399
TACC1,2.89194104733346,6.95745840359049,226.110861529447,1.77820429420157e-42,8.15039938247287e-40,ENSG00000147526
BTG3,1.60121784326473,8.39243006959598,225.585002379477,2.13378102512221e-42,9.24614788101015e-40,ENSG00000154640
RHBDD2,-2.08338017878946,6.42415192400767,225.472090636177,2.21899480072241e-42,9.24614788101015e-40,ENSG00000005486
NEURL3,-2.46456769826951,6.30508901161422,225.200612532001,2.4381277447694e-42,9.71752914621788e-40,ENSG00000163121
PSMG3,-1.45082318968077,7.45225451950091,212.645462678699,1.97546690626287e-40,7.54546047071322e-38,ENSG00000157778
SEMA3C,-1.99243047728969,7.01577299046009,206.621753914368,1.67293221223056e-39,6.13430783580703e-37,ENSG00000075223
MESP2,-2.08642322553069,6.36414781527719,201.201678901206,1.16191387609853e-38,4.09664019315199e-36,ENSG00000188095
LINC01436,-2.22991885374069,6.9628400172578,200.851214116056,1.31772498280216e-38,4.47392033975828e-36,ENSG00000231106
MDH2,-1.04577177362275,8.43399477180743,199.114041291481,2.46107788975589e-38,8.05739321978295e-36,ENSG00000146701
EIF3B,-1.24637202235695,7.91410211653819,196.854717247992,5.55897828915403e-38,1.75721220609224e-35,ENSG00000106263
EIF2AK1,-1.18803208195531,7.6276537984564,193.461439135706,1.89959316315285e-37,5.80452350887405e-35,ENSG00000086232
ICA1,-1.66829921813349,6.78608819410581,190.404951453705,5.77601642314283e-37,1.70802395325646e-34,ENSG00000003147
AIMP2,-1.49206667729103,6.93145282541557,190.098682016043,6.45866370636622e-37,1.8502053186331e-34,ENSG00000106305
