gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
TOMM7,-2.8155092045701,9.33679795585696,1797.3979690429,3.17975755059743e-216,3.36450146428714e-212,ENSG00000196683
ATP5F1E,-1.89077860076386,9.43595068268263,1433.09257701841,5.84823893243114e-188,3.0940108072027e-184,ENSG00000124172
BTG3,2.76824363175293,8.0669290150905,1423.26227259347,3.88818940123361e-187,1.3713644018151e-183,ENSG00000154640
ELOB,-2.4180814287657,8.35797166790239,1276.81568463,1.89621570858907e-174,5.01596460314523e-171,ENSG00000103363
MT-ND3,-2.84236387428088,12.6271898605621,1232.22722468839,2.04957917345777e-170,4.33731944687133e-167,ENSG00000198840
CXADR,2.59905209798344,7.96642602587417,1226.80565766955,6.42541040543497e-170,1.13312112499846e-166,ENSG00000154639
COX7C,-1.88576445921461,8.93769414669273,1172.74638844305,6.70790465919692e-165,1.01394770284232e-161,ENSG00000127184
SEC61G,-2.40391841553098,8.67783115692107,1170.99437111012,9.80457886103283e-165,1.29677811160735e-161,ENSG00000132432
ATP5MF,-2.40200111171626,8.90887250194583,1113.72277153485,2.8740353519279e-159,3.37890756208324e-156,ENSG00000241468
CRABP1,3.81022924906591,6.91970861174729,1099.01054051437,7.72882805454599e-158,8.17787296451511e-155,ENSG00000166426
TMSB10,-1.66835793625958,12.2750302194181,1059.43044603011,6.12773179674694e-154,5.89432092194358e-151,ENSG00000034510
SEM1,-1.82374332286134,9.06994232621803,1017.8067120514,9.42114440476119e-150,8.30709407889818e-147,ENSG00000127922
TACC1,3.38589469507358,6.70042319448922,953.623823032681,4.09669107944626e-143,3.33439140858622e-140,ENSG00000147526
COX6B1,-1.72388729906018,8.81932513508549,939.561268150368,1.25235914760423e-141,9.46515152914314e-139,ENSG00000126267
FAU,-1.29918610507349,10.0813802149356,907.542460275641,3.33114160960758e-138,2.34978729141719e-135,ENSG00000149806
NDUFB4,-1.86225964552536,8.57474069090312,887.702349128966,4.73706411802331e-136,3.13267971455029e-133,ENSG00000065518
SERF2,-1.38880659780219,9.85991961188556,851.891181287837,4.19775211339532e-132,2.61273030069623e-129,ENSG00000140264
KRTCAP2,-2.21050362317381,7.80697843474576,846.912969210568,1.50724742950357e-131,8.86010280643185e-129,ENSG00000163463
TMEM258,-1.9199573954687,7.99062273473426,821.107975128329,1.20693263790107e-128,6.59486604440533e-126,ENSG00000134825
