gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CRABP1,3.3251793391673,7.74521098733064,501.357379341471,1.42790303351267e-80,1.32466564418971e-76,ENSG00000166426
UCHL1,-2.96732032464499,7.35998997975851,489.370858100576,3.66240955681186e-79,1.69880867292718e-75,ENSG00000154277
CXADR,2.19945674473171,8.25684724010152,475.005905250052,1.87687857098527e-77,5.80393416767679e-74,ENSG00000154639
SAA1,-3.29763310377962,9.22412279993122,438.957749295645,4.66355438606005e-73,1.08159485098698e-69,ENSG00000173432
SPRR1B,-3.72350201579863,7.23316186779337,407.433540007801,4.38718767999794e-69,7.53729602560504e-66,ENSG00000169469
SAA2,-3.07419891310155,7.9916759381763,407.076152372311,4.87482765480546e-69,7.53729602560504e-66,ENSG00000134339
ZBTB20,-2.5219845605245,7.138559404523,390.201624892558,7.38497295493762e-67,9.78719915756518e-64,ENSG00000181722
BTG3,1.84966634546549,8.27556270745889,377.535632452913,3.38929601356223e-65,3.9303123897271e-62,ENSG00000154640
LINC01436,-2.50295476308935,7.22257921517885,340.70305373485,3.09746266906233e-60,3.1927956867657e-57,ENSG00000231106
KLK7,2.86180905442584,7.61623605141497,340.008936802026,3.85832276443056e-60,3.57936602856223e-57,ENSG00000169035
SLPI,-1.82449465903136,10.3702500045724,335.887553060992,1.42657643502678e-59,1.20312268979485e-56,ENSG00000124107
RAC1,-1.05798840106471,9.33170463649471,314.880690846681,1.22862638887285e-56,9.49830584131117e-54,ENSG00000136238
IFITM2,-2.65001340167015,6.57829249415462,312.391866664574,2.76533748269902e-56,1.9733873713076e-53,ENSG00000185201
KLK11,3.0567293930927,6.73882888952319,311.822299558522,3.33056179035257e-56,2.20697298065006e-53,ENSG00000167757
FSCN1,-2.18932235200455,6.81362090942466,300.832340091929,1.23377835403197e-54,7.63050786023639e-52,ENSG00000075618
FAM171B,-1.873257078065,7.11193732840768,293.541832525967,1.38933091230265e-53,8.05551429589478e-51,ENSG00000144369
GUCY1A1,-2.1285555995772,6.75598149721027,289.153377027538,6.02641837078297e-53,3.2886519544561e-50,ENSG00000164116
SPRR3,-3.0836951925144,8.98763393117997,284.307361706229,3.07279708342999e-52,1.58368547461e-49,ENSG00000163209
EPRS,-1.2557833259032,8.65849172632419,277.52249113582,3.05359503170618e-51,1.49095795311254e-48,ENSG00000136628
LGALS3BP,2.70663596598647,6.5327626868215,272.192522609601,1.87860688978029e-50,8.71391805824586e-48,ENSG00000108679
KLK5,2.6611474759666,7.06717315009544,268.998411942636,5.61133957084437e-50,2.47887605708206e-47,ENSG00000167754
