gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
IFITM3,3.19523188447452,7.72455188736979,818.100488976197,1.91398417816292e-126,1.9513068696371e-122,ENSG00000142089
FBXO2,2.95358244501718,6.67802300357721,811.79490712428,9.56086701226251e-126,3.44425200225253e-122,ENSG00000116661
IGF1,3.84256891334049,7.07123192187218,811.566699790547,1.0135121144441e-125,3.44425200225253e-122,ENSG00000017427
XIST,3.29645734291381,6.94308321200418,662.111226094023,2.48359447105527e-108,6.33006140810212e-105,ENSG00000229807
SPRR3,3.61786852172153,8.42946229247521,596.664246249142,3.64167982861363e-100,7.4253851705432e-97,ENSG00000163209
LAMP2,1.63434338587374,7.64306782459178,496.258730359721,6.95095355380182e-87,1.18108285801683e-83,ENSG00000005893
LGALS3BP,-3.33742642112914,6.72712661748858,494.127788176134,1.3633303334076e-86,1.98559324987007e-83,ENSG00000108679
KLK5,-3.37944719300934,7.56595895227904,485.294308343915,2.25089100546705e-85,2.86847922509207e-82,ENSG00000167754
S100A10,1.50505803966025,11.5157650655138,456.343675272407,2.51823609700732e-81,2.85260188988774e-78,ENSG00000197747
KRT5,2.7146286135244,8.17648999972344,440.526225213051,4.48298698266033e-79,4.5704052288222e-76,ENSG00000186081
SPPL3,1.63837442010649,7.40422395555738,420.507273038542,3.4678893820027e-76,3.21410293177432e-73,ENSG00000157837
S100A11,0.938335053755154,12.1330216387596,386.470650833146,3.6166149588605e-71,3.0726157921319e-68,ENSG00000163191
GUCY1A1,2.22605898964697,6.42843931813101,376.045437287545,1.32836587235407e-69,1.04174538989614e-66,ENSG00000164116
GRB14,2.24109677443951,6.17699158300583,361.266322392737,2.31820051496674e-67,1.68814673214899e-64,ENSG00000115290
UPK1B,2.24263710680753,6.58916436200579,353.805918865702,3.21623530061486e-66,2.18596792598457e-63,ENSG00000114638
TOMM7,-1.03408898942471,9.54697215822767,353.394519801765,3.71998998023301e-66,2.37033111552972e-63,ENSG00000196683
CYB5A,1.39046592224826,7.5594817863546,343.030017517298,1.47864654649053e-64,8.86753031851231e-62,ENSG00000166347
CDH1,1.34211006620498,7.68412322018508,335.781783717544,1.9801844528515e-63,1.12155447204561e-60,ENSG00000039068
FAM171B,1.72317029269018,6.84435849409215,333.568512918252,4.38713631726458e-63,2.3540449870796e-60,ENSG00000144369
NQO1,1.52838057167211,7.01390785070192,320.99854272947,4.13776472056903e-61,2.10922556631006e-58,ENSG00000181019
SLC25A3,0.988852128504991,9.27919571590429,315.758678340566,2.79406667712386e-60,1.35645284634656e-57,ENSG00000075415
ANXA2,1.00506980522529,10.1315472980419,303.144681195355,2.87506585941195e-58,1.33233165621385e-55,ENSG00000182718
MT-ND3,-1.24576579208791,12.8339047430213,296.567042375568,3.2878546223813e-57,1.45737729892076e-54,ENSG00000198840
ELOB,-0.984271702266292,8.53224212106419,285.531709824894,2.02440427975889e-55,8.59950068005914e-53,ENSG00000103363
UBL4A,1.61938141682059,6.68948751606645,278.965890100123,2.39526996005353e-54,9.47820491148864e-52,ENSG00000102178
ATP5ME,-1.159849490074,8.08344731203598,278.941745065851,2.41719791759396e-54,9.47820491148864e-52,ENSG00000169020
ITGAV,1.71324698120347,6.9549428878828,274.77215080325,1.16968147361781e-53,4.41663060130874e-51,ENSG00000138448
SRSF9,0.906209225015496,8.06432180029299,248.216470491888,3.09597980495754e-49,1.12726836112651e-46,ENSG00000111786
S100A8,-5.12033518224375,9.40506136673462,242.210022601944,3.20821474117042e-48,1.12785342366319e-45,ENSG00000143546
BCAP31,1.14164559095563,7.53963274556566,242.002898149281,3.47842009560527e-48,1.18208309582319e-45,ENSG00000185825
KHDRBS3,1.94384823646226,5.97268418719169,254.448387722767,1.05703894617271e-47,3.47629421168735e-45,ENSG00000131773
SPINT2,0.760283947044168,9.51334805035985,237.661688298957,1.90115588065314e-47,6.05696381351838e-45,ENSG00000167642
ERP29,1.0157106736367,7.7181977920545,235.116743745533,5.1622779256206e-47,1.59483101368794e-44,ENSG00000089248
VMO1,1.99080567297346,6.51707493006409,229.886873191825,4.05158753896905e-46,1.21488043999381e-43,ENSG00000182853
ACAA2,1.31270269783665,6.76233724918821,229.255643100022,5.19903402764257e-46,1.5144043403376e-43,ENSG00000167315
S100A2,2.1167471441518,6.23181948949527,225.360215901458,2.43042324528214e-45,6.8828236071254e-43,ENSG00000196754
ARPC3,0.81024201135743,8.67160120145586,221.174405223016,1.28275072082611e-44,3.53449826995195e-42,ENSG00000111229
SMIM22,-1.19573692382529,7.61853627624232,206.750575320618,4.16884704446118e-42,1.11845777942847e-39,ENSG00000267795
EEF1D,0.701102023745389,9.72275295870257,206.402281727611,4.79849041322651e-42,1.2543746093037e-39,ENSG00000104529
PEBP1,0.873837222598071,8.8294854951955,204.008764508552,1.26320604296235e-41,3.21959640200029e-39,ENSG00000089220
NAE1,1.18497797983596,6.99551145435053,203.726022148144,1.41643468529433e-41,3.52208576014042e-39,ENSG00000159593
SH3BP5,1.37132841795589,6.84534873481285,203.198858076587,1.75363388611509e-41,4.25673749260556e-39,ENSG00000131370
SCD5,1.20429360355333,6.88883251827194,198.056154108069,1.41641865754958e-40,3.35822981714371e-38,ENSG00000145284
FAM96B,1.03985108901783,7.23665136219642,196.442623015724,2.73393240540357e-40,6.33464565297486e-38,ENSG00000166595
EPHX3,1.7844285441746,6.04827596809143,196.338071481046,2.85304816481499e-40,6.46373912006419e-38,ENSG00000105131
RAN,0.877897063159724,9.04367215042082,194.20493363829,6.81728838189008e-40,1.51091858811672e-37,ENSG00000132341
CDH3,1.59425507471531,6.29518335485612,192.272072396088,1.50343325019139e-39,3.26117063525557e-37,ENSG00000062038
MT-ND4L,-1.0739488518335,8.89716736870215,191.924716137452,1.73332290517385e-39,3.68150562880154e-37,ENSG00000212907
