gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CRABP1,4.13992823023409,7.15546530886372,1441.11113781135,1.48002228528329e-190,1.53389509646761e-186,ENSG00000166426
CXADR,2.23587676678931,7.81663321211125,925.841477039989,2.65393488457633e-141,1.37526905718745e-137,ENSG00000154639
BTG3,2.21421759139701,7.79585460854205,902.94303859545,8.34889926485577e-139,2.88426639936551e-135,ENSG00000154640
TOMM7,-1.36413976464041,9.4478266508683,643.273922940112,4.73076182235968e-108,1.22574038817339e-104,ENSG00000196683
RFLNB,2.73195649700413,6.88236224456161,640.744538315951,9.97844265680171e-108,2.06833159390186e-104,ENSG00000183688
TACC1,2.7970268255679,6.5154324422308,530.838065207129,4.14418666437754e-93,7.15839176493481e-90,ENSG00000147526
RAC1,-1.15413778909065,9.5882667027942,513.511375621376,1.05451468874216e-90,1.56128431916054e-87,ENSG00000136238
ATP5MC3,1.02027667081997,9.60022596202404,433.779347357196,3.04395660464065e-79,3.94344578131196e-76,ENSG00000154518
PDZK1IP1,-1.99193666263364,8.29595312521432,405.181311745074,5.75766893422973e-75,6.63027564826189e-72,ENSG00000162366
FAM69C,2.28009578679051,6.11514512686798,402.294511863175,1.57441261979282e-74,1.63172123915327e-71,ENSG00000187773
C21orf91,2.05311149966404,6.27832431044096,396.862087595723,1.0515799175562e-73,9.90779478686591e-71,ENSG00000154642
MSN,1.90457215291484,6.78261304258215,378.543868937819,6.73465926575543e-71,5.77810317778889e-68,ENSG00000147065
CHN1,2.11632592704789,6.06309807936309,378.3372298228,7.24771722416591e-71,5.77810317778889e-68,ENSG00000128656
EIF3B,-1.2539257640773,8.17949468828177,349.205444197177,2.55513489205606e-66,1.89152985866208e-63,ENSG00000106263
MT-ND3,-1.23793653340312,12.7755994020677,344.784440834457,1.27845353778063e-65,8.83326164370565e-63,ENSG00000198840
XIST,2.45975307600304,6.71222349875339,342.968189820768,2.48128865939365e-65,1.60725472912224e-62,ENSG00000229807
PSMB1,0.990035205630677,8.84699522778858,340.926222620202,5.23552196235426e-65,3.19182056575527e-62,ENSG00000008018
ACTG1,1.08999201659711,11.2477107463078,334.741733164582,5.06241946492519e-64,2.91482862969359e-61,ENSG00000184009
FAM96B,1.18823693429091,7.33779161957804,326.498305793227,1.06040489240682e-62,5.78422963416013e-60,ENSG00000166595
SMIM22,-1.40523472604321,7.55922320211785,314.348439301167,9.74610557733974e-61,5.05043191017745e-58,ENSG00000267795
GMPR,2.12101730161253,6.09986791677031,313.980977373554,1.11818901605099e-60,5.51852902969165e-58,ENSG00000137198
MT-ND6,1.93936503871059,7.25566144697665,311.351370871874,2.99328513396991e-60,1.41010941493019e-57,ENSG00000198695
CDH1,1.20622185132745,7.6967735776968,308.555407716786,8.54769353815575e-60,3.85166503606288e-57,ENSG00000039068
MYL9,2.10831180757268,6.54423568115932,304.586498584558,3.80652109122705e-59,1.64378269122822e-56,ENSG00000101335
OLA1,1.08524435868371,7.77332547384923,296.173270188725,9.17601978348073e-58,3.80401076143977e-55,ENSG00000138430
KDELR2,-1.12373370226113,9.01568451498929,285.474182891791,5.42448032803758e-56,2.16228131229929e-53,ENSG00000136240
SEC61G,-0.946348951653385,8.82809281582185,279.402388725842,5.5835888131055e-55,2.14327090588983e-52,ENSG00000132432
HMGN3,1.16445397566682,8.4553708115928,275.637528180378,2.38435181496334e-54,8.82550793224287e-52,ENSG00000118418
SSB,0.863552701178618,8.78535247717302,272.947618545859,6.74610006383405e-54,2.41091658833021e-51,ENSG00000138385
NAE1,1.246538962619,7.06826544110792,271.598052508617,1.13777881666968e-53,3.93064655198818e-51,ENSG00000159593
FLNA,1.67252711985193,7.19239962318469,269.703917996773,2.37193702322612e-53,7.92992106732758e-51,ENSG00000196924
RHBDD2,-1.92016129239165,6.46969920580664,266.224936378164,9.1715701555117e-53,2.97044228411635e-50,ENSG00000005486
ELOB,-0.860890196323065,8.51749275746251,260.655888022775,8.05920963366828e-52,2.53108026191933e-49,ENSG00000103363
FSCN1,-2.09436566491919,6.8525793729793,259.885607975416,1.08942264368944e-51,3.32081655270511e-49,ENSG00000075618
BCAP31,1.07694694748307,7.57179685861394,257.286910568027,3.01626423415758e-51,8.93158929223118e-49,ENSG00000185825
ATP5F1E,-0.66464412356779,9.6071804928348,248.510076239037,9.5625547870096e-50,2.75295327257132e-47,ENSG00000124172
LCN2,-1.99583081931441,8.70132698119988,244.775862380408,4.19488253949502e-49,1.17502061187369e-46,ENSG00000148346
KRT17,2.18693819558039,9.0463932711697,243.952669629212,5.81514131107491e-49,1.58600327757843e-46,ENSG00000128422
NQO1,1.30419370090998,7.00282586554007,243.126756747609,8.07183236380985e-49,2.14503770816732e-46,ENSG00000181019
ATP5ME,-0.958156205706717,8.07805829222566,242.422067262128,1.06797955160998e-48,2.76713501822146e-46,ENSG00000169020
LAS1L,1.54623486222707,6.38354821477252,241.58341787567,1.49061595498608e-48,3.76798628231115e-46,ENSG00000001497
CALB2,1.52120192918766,7.4473222352277,241.449762484071,1.57200094383407e-48,3.87909947188006e-46,ENSG00000172137
HSPA13,1.6476854424677,6.337339360562,228.879254963223,2.39894237878158e-46,5.78200902644006e-44,ENSG00000155304
NDUFB1,-1.11859972503273,7.40043520353549,227.770950488279,3.74719402447062e-46,8.82634519763944e-44,ENSG00000183648
EIF2AK1,-0.990339896761516,7.72611136810408,226.373930724833,6.57840145668502e-46,1.51507894882408e-43,ENSG00000086232
