gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SEM1,-1.63928106845131,9.05312827633809,1194.85961182061,6.22203241601551e-173,5.51645394003935e-169,ENSG00000127922
TOMM7,-1.64408065105892,9.23650319621228,1180.66749338913,1.60062437020446e-171,7.09556783311635e-168,ENSG00000196683
TMSB10,-1.40273778341004,12.0426686934603,1121.54100536841,1.51588900913796e-165,4.47995731833906e-162,ENSG00000034510
FAU,-1.26725222093935,9.9173991043162,1044.84764664031,1.53506141790766e-157,3.40246363279232e-154,ENSG00000149806
OST4,-1.56841098313704,9.17181499940984,1042.42575549716,2.77843814130433e-157,4.92672651216084e-154,ENSG00000228474
SEC61G,-1.76005921862185,8.59841583121435,973.88916411146,7.33581915991357e-150,1.08398954452989e-146,ENSG00000132432
UBA52,-1.16230116352661,10.0507145041969,950.134729450583,3.14870520633025e-147,3.988060051332e-144,ENSG00000221983
COX7C,-1.46493862904379,8.91735013971578,924.91824598569,2.12931729575731e-144,2.35981589302304e-141,ENSG00000127184
SERF2,-1.26867372839364,9.63089169972301,840.490892449574,1.20696030018844e-134,1.18899000238564e-131,ENSG00000140264
MT-ND4L,-1.81074933454932,8.92652576138526,793.719131988461,4.78469565040596e-129,4.24211116364992e-126,ENSG00000212907
MT-ND3,-1.47772789219106,12.5338795987628,792.614239136352,6.51421870183685e-129,5.2504602736805e-126,ENSG00000198840
COX6B1,-1.34131366556275,8.78336863032292,775.716752757729,7.47603097459588e-127,5.52354088506392e-124,ENSG00000126267
NDUFB2,-1.39215083699714,8.97803110703752,754.200672392598,3.35055158612608e-124,2.21332916296499e-121,ENSG00000090266
S100P,-2.38869851946092,8.85692233672497,754.052840573301,3.49499303874463e-124,2.21332916296499e-121,ENSG00000163993
ATP5MPL,-1.42773195002126,8.46145544164689,718.860187873991,8.94833341832264e-120,5.2890616057899e-117,ENSG00000156411
COX5B,-1.33532131231044,8.75764328863666,705.828014772297,4.04743707273371e-118,2.24278606792857e-115,ENSG00000135940
NDUFB4,-1.39153379931066,8.58790133198349,691.924810328372,2.43953149438693e-116,1.27228742524909e-113,ENSG00000065518
NDUFS5,-1.24952854607297,9.14325689302475,676.359123967203,2.49911392658969e-114,1.23095244850801e-111,ENSG00000168653
COX7A2,-1.40896202578528,8.30164768327224,652.318961604263,3.46685407838745e-111,1.61774359257806e-108,ENSG00000112695
S100A1,-1.75918026559731,8.89127075139676,649.661178037262,7.76481578837986e-111,3.44214283898879e-108,ENSG00000160678
S100A11,-1.06033907959105,11.2908515607446,619.487694171216,8.05454574797236e-107,3.40055250483443e-104,ENSG00000163191
ATP5MD,-1.46194851994813,8.33621316753415,616.554948968925,1.99695681767154e-106,8.04773597521629e-104,ENSG00000173915
ATP5F1E,-1.12712368232881,9.36402907982665,614.659262740141,3.59450353530231e-106,1.38560297147784e-103,ENSG00000124172
TMA7,-1.36052760882864,8.39996402728412,592.780298880519,3.34038298944576e-103,1.23399314935109e-100,ENSG00000232112
UBL5,-1.37661419167046,8.56033524441268,590.605100763775,6.62404688672641e-103,2.34915198790866e-100,ENSG00000198258
NDUFA1,-1.64998834987655,7.78248476727162,583.719815961371,5.82062289292355e-102,1.98483240648693e-99,ENSG00000125356
ATP5MF,-1.2410540379751,8.98013920263926,579.296539738335,2.36317395356127e-101,7.75996306380525e-99,ENSG00000241468
FKBP1A,1.38073690591966,8.8132306870407,561.997277424317,5.88801941706942e-99,1.86439929113348e-96,ENSG00000088832
UQCRH,-1.09964008634883,9.3974349659616,539.662733383034,8.01159962510957e-96,2.44933938883522e-93,ENSG00000173660
