gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ODAM,-4.90090946057281,7.78208856990894,277.677315652254,5.37624445122979e-47,4.51980871014889e-43,ENSG00000109205
PIGR,3.85408199269894,8.1848213878043,181.823047693942,4.95171188624967e-34,2.08145209138505e-30,ENSG00000162896
RBP7,-2.29158295472207,6.59679717308885,161.768279148747,4.94021551062955e-31,1.38441305992875e-27,ENSG00000162444
NDUFA13,1.22826790792548,8.21161169531816,157.107996930504,2.55298812229053e-30,5.36574278602413e-27,ENSG00000186010
SOSTDC1,2.96564649181663,6.74409787565373,147.053875950988,9.28952654668516e-29,1.56194099355964e-25,ENSG00000171243
SAA2,2.71373152453928,8.86504947703312,146.508885974922,1.13105824885824e-28,1.58480111635853e-25,ENSG00000134339
IFITM3,2.22937269514651,7.39240927736775,145.46163966215,1.65204608780482e-28,1.98410735145359e-25,ENSG00000142089
SAA1,2.56887243456147,9.76459382580599,124.211478535031,4.28981204728851e-25,4.50805623519432e-22,ENSG00000173432
MMP7,2.45297410933191,9.69778208291555,123.330251769324,5.98761196038219e-25,5.59309486121479e-22,ENSG00000137673
HERPUD1,-1.86059998610302,7.5566368744283,118.783488227406,3.37817021228685e-24,2.84002769746955e-21,ENSG00000051108
EEF1A2,2.22761890790431,6.50174616838522,114.410847204842,1.81190509790387e-23,1.38478965073435e-20,ENSG00000101210
UCHL1,1.8721672509161,7.2860128164885,113.404415907003,2.6729412648592e-23,1.87261810113927e-20,ENSG00000154277
CLDN16,-2.1937440945019,6.13730558069637,110.923016792712,6.99612941483134e-23,4.52434307619131e-20,ENSG00000113946
CREG1,-1.39535324348118,7.48275034810456,109.806539284461,1.08043467493525e-22,6.39708881732488e-20,ENSG00000143162
MUC15,-1.71632202144153,6.78399891830341,109.665741319071,1.1413861336966e-22,6.39708881732488e-20,ENSG00000169550
PLA2G2A,3.38551960794928,8.01094514444422,106.59412427066,3.79486917580351e-22,1.99396657256125e-19,ENSG00000188257
KAT6A,-1.31105559021777,7.23986381333916,100.560295151725,4.11476889090736e-21,2.03487423916813e-18,ENSG00000083168
IKBKE,1.82405806054914,6.43547939807834,99.5922284809233,6.04929279395176e-21,2.82535580659736e-18,ENSG00000263528
C4orf3,-1.33277630859069,8.12244289631691,97.0661254090332,1.66000928988461e-20,7.34510426318941e-18,ENSG00000164096
TMEM59,-0.935765255655336,8.29461195811433,96.6386009180314,1.9703866429504e-20,8.28252025364199e-18,ENSG00000116209
CYC1,1.03352033971908,8.20513853312822,95.8944126150785,2.65643804841472e-20,1.06346069871536e-17,ENSG00000179091
PDK4,-2.28811284980608,6.29528150282109,93.8358259983037,6.08610647066678e-20,2.32572259540435e-17,ENSG00000004799
C19orf33,2.23337962683874,6.52091721248548,92.0344231194403,1.26115736126338e-19,4.52844803681209e-17,ENSG00000167644
PI3,2.74637048051671,7.4977822981465,91.9733512230878,1.29276499207197e-19,4.52844803681209e-17,ENSG00000124102
NSD3,-0.955718320012971,7.75547641988221,90.6534964789996,2.20909020750875e-19,7.22365874590317e-17,ENSG00000147548
AL133453.1,-1.91278614756247,6.09042983137053,90.5701840370647,2.28520437524171e-19,7.22365874590317e-17,ENSG00000258757
PFN1,0.786012593374542,9.26179489180055,90.5330684681696,2.31995701367177e-19,7.22365874590317e-17,ENSG00000108518
COX6C,0.790910068223812,8.74813838125631,89.7254768959482,3.22287775663376e-19,9.67669046429286e-17,ENSG00000164919
PLPP5,-1.1672397482655,7.42567610591985,89.4232149604959,3.64539383090479e-19,1.05678710125574e-16,ENSG00000147535
LSM1,-0.964195450856797,7.64904106384492,88.4575413955426,5.40651003753042e-19,1.51508432951727e-16,ENSG00000175324
TMEM14C,-0.845564099119055,8.17570944311636,85.9935756013772,1.48385891122268e-18,4.02412963440294e-16,ENSG00000111843
VIM,-1.55557429050959,10.1341429755692,85.6365583801528,1.71843109460844e-18,4.51464069136661e-16,ENSG00000026025
TMSB4X,-0.806750410675664,11.6094939625863,84.6219888375495,2.60948013163184e-18,6.64784832322086e-16,ENSG00000205542
NLRP7,1.28959297516938,7.58409857932783,82.9976747236575,5.10385393544095e-18,1.26200294221329e-15,ENSG00000167634
