gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ODAM,-5.11616508506199,7.11220724162074,1147.28653554631,6.14368172991972e-159,6.01405004541841e-155,ENSG00000109205
KLK5,-2.54650209473972,7.04301481378247,393.94658209526,4.06571966926121e-72,1.9899664921199e-68,ENSG00000167754
CD99,-1.75851431495832,7.6110661773172,345.16244378898,9.4097253873293e-65,3.07039339388555e-61,ENSG00000002586
HERPUD1,-1.87967897301334,7.27446703456288,246.698350200464,6.6696996950512e-49,1.63224225787141e-45,ENSG00000051108
SEC61G,-0.96324022531747,8.83498352332978,229.098262533578,6.47198223079565e-46,1.26708468114517e-42,ENSG00000132432
RBP7,-1.98262680711385,6.53966969326744,219.462273562208,2.93614882420433e-44,4.79032680668936e-41,ENSG00000162444
SIX3,-1.92152026140293,6.37547975954716,214.596428387569,2.04295397219608e-43,2.85692520483249e-40,ENSG00000138083
CREG1,-1.42414854829947,7.28301719417859,211.600195489891,6.77671681703184e-43,8.29216011524058e-40,ENSG00000143162
PNPLA4,-1.95491389323298,6.46405353371825,207.926254512323,2.96247188045379e-42,3.22218191530691e-39,ENSG00000006757
SAA2,2.92844744422907,9.5260782159516,200.599747478064,5.70325185924701e-41,5.5829132450169e-38,ENSG00000134339
C4orf3,-1.25819212801265,7.90124405445149,198.108570395733,1.56672507764976e-40,1.39424288955577e-37,ENSG00000164096
FAU,-0.637351924985995,10.3495396232657,195.119654497083,5.28425862293935e-40,4.31063397166277e-37,ENSG00000149806
GOLGA7,-1.19853469827327,7.49087511602461,194.333802336183,7.27889807138602e-40,5.48101024775367e-37,ENSG00000147533
KLK11,-1.90761756881591,6.31525246200028,180.700732326404,1.96060673350429e-37,1.37088423673382e-34,ENSG00000167757
CXCL10,-2.73455779571638,6.85069329341767,176.963227130015,9.21571950273634e-37,6.01417854748574e-34,ENSG00000169245
MMP7,2.64451718895716,10.3528366459312,170.64179291468,1.27997487613389e-35,7.83104628904663e-33,ENSG00000137673
PIGR,3.21659298385285,8.19644871352613,167.292799013013,5.19494921740367e-35,2.99137399348027e-32,ENSG00000162896
CTSC,2.45527376062977,7.96422521233364,159.759779578313,1.23525962290237e-33,6.71775358255071e-31,ENSG00000109861
IFITM3,2.19188192810109,7.72878995528549,157.095735666309,3.81091988960911e-33,1.96342604207282e-30,ENSG00000142089
MUC15,-1.5453759677771,6.73471455939667,152.659083640111,2.50548520218528e-32,1.20928112797993e-29,ENSG00000169550
UCHL1,1.76687434999038,7.53750835185928,152.577276297442,2.59422859205011e-32,1.20928112797993e-29,ENSG00000154277
EEF1A1,-0.697243026721455,12.4328929114117,150.884415402404,5.33468566778753e-32,2.37369263645328e-29,ENSG00000156508
SAA1,2.39781779060379,10.1032844807305,150.222940943874,7.07299000018186e-32,3.01032604833827e-29,ENSG00000173432
TMEM14C,-0.839651384394849,8.02715685979366,144.061542213714,9.87940627768164e-31,4.0295628355094e-28,ENSG00000111843
VIM,-1.42235910341309,9.7596082453283,143.92620767016,1.04705105112669e-30,4.09983309579165e-28,ENSG00000026025
ALDH1A3,1.57459043280874,8.90419480055685,143.618811861329,1.19482468556576e-30,4.49851494115507e-28,ENSG00000184254
NLRP2,0.976153887942201,8.55603769259349,133.078235545664,1.13465326117509e-28,4.11374843468257e-26,ENSG00000022556
PI3,3.15558740974473,8.20538614815507,129.224397807888,6.07507907563362e-28,2.12389103826348e-25,ENSG00000124102
ARSD,-1.54883127219605,6.59658837540121,127.718430456714,1.17256622372915e-27,3.95801750485677e-25,ENSG00000006756
PLPP5,-1.08247151104741,7.3235635934649,127.09570600929,1.53945223458866e-27,5.02323264146279e-25,ENSG00000147535
IKBKE,1.90742016539798,6.75353131502327,125.617730116531,2.93964629216149e-27,9.04768192882774e-25,ENSG00000263528
SOSTDC1,2.63791029046442,6.95128451407248,125.603779338327,2.95766494761965e-27,9.04768192882774e-25,ENSG00000171243
MESP1,-1.31881971615686,7.18166792292436,125.19487224357,3.53797427594465e-27,1.04949182385522e-24,ENSG00000166823
TMEM59,-0.831101437478587,8.17303717419112,124.311547765656,5.21135906498766e-27,1.50041158491659e-24,ENSG00000116209
PERP,-0.810566604466768,9.22541746543767,123.493647490613,7.46167070905772e-27,2.0869227020276e-24,ENSG00000112378
TMSB4X,-0.766505750621221,11.3883217257612,122.183276231931,1.32701651236323e-26,3.56644336362653e-24,ENSG00000205542
EEF1A2,2.13659993350096,6.78309834610288,122.14754912753,1.34802742317072e-26,3.56644336362653e-24,ENSG00000101210
ERO1A,-1.21180848816186,7.24614875696386,121.824386106973,1.55389543616888e-26,4.00291642754136e-24,ENSG00000197930
ANG,-1.72238165969361,6.16604136906122,154.227824210624,2.14631169543012e-26,5.34342303401663e-24,ENSG00000214274
PLIN2,-1.53686862377961,6.85530236400377,121.051442850989,2.1834397932441e-26,5.34342303401663e-24,ENSG00000147872
ZFP36,-1.27861919020828,8.90001461120703,112.464408773772,9.74635594399822e-25,2.32700191062923e-22,ENSG00000128016
PDK4,-1.69263184999493,6.36549967160375,111.317156152588,1.62351564273232e-24,3.78395110159683e-22,ENSG00000004799
C12orf57,-0.867238421314698,7.59460577934226,109.901381768557,3.05027233504077e-24,6.94398043900329e-22,ENSG00000111678
PLA2G2A,3.20296662145554,8.33155311568622,109.400108059021,3.8143092952479e-24,8.48597129345039e-22,ENSG00000188257
LSM1,-0.873138409225604,7.55732334786259,108.983257519202,4.59394616368738e-24,9.99336422140795e-22,ENSG00000175324
POLR2C,-1.22768624834611,6.6741541126229,108.445637276237,5.8400048641965e-24,1.23847572883096e-21,ENSG00000102978
FNTA,-0.844203720640228,7.62819940041614,108.405242560223,5.9463029170554e-24,1.23847572883096e-21,ENSG00000168522
HIST3H2A,-1.68278536184732,6.4306067255272,107.099685937808,1.06568954467267e-23,2.17334061516682e-21,ENSG00000181218
NUPR2,-0.852224215724005,7.88544817905611,106.738890361771,1.25233640280127e-23,2.50186143816769e-21,ENSG00000185290
RCAN1,1.29775448656565,8.77972598487131,105.649249531418,2.03975102054077e-23,3.99342454801472e-21,ENSG00000159200
EIF1,-0.570059223971098,10.8043633522557,103.543098233572,5.24594473507653e-23,1.00691280415028e-20,ENSG00000173812
CUTA,-0.711605059865208,8.05069905356478,103.351632113498,5.7169951841919e-23,1.07622434342412e-20,ENSG00000112514
KLF2,-1.52074317614701,6.32475138965682,98.2285499954803,5.74743095197448e-22,1.06153965262034e-19,ENSG00000127528
MT-ATP8,1.0177159039433,7.82648224956991,93.7155030058029,4.44035690534075e-21,8.04938032340381e-19,ENSG00000228253
SPIRE1,1.5099505771263,6.71626992849489,93.1291370159961,5.79606470688931e-21,1.03159413483163e-18,ENSG00000134278
EIF5B,0.636444973274729,8.91193961623213,92.7810082015332,6.7900375203954e-21,1.18501505821478e-18,ENSG00000158417
GAL,1.20529281700894,8.20369258717547,92.7456243668604,6.9001796218452e-21,1.18501505821478e-18,ENSG00000069482
NLRP7,1.09340444871304,7.72798551973376,91.5941421834782,1.16529510513218e-20,1.9667368593343e-18,ENSG00000167634
HEBP2,-0.644861444650523,9.86853138703881,91.1097942166508,1.45296222641161e-20,2.41068597192259e-18,ENSG00000051620
CSTB,-0.751792512378057,10.6094012119485,90.8637052249578,1.625396249514e-20,2.65183398108209e-18,ENSG00000160213
C19orf33,1.95390745781634,6.72887230482015,90.5799651226572,1.84983806854498e-20,2.96853522180112e-18,ENSG00000167644
KAT6A,-0.932544268723679,7.24671997630793,90.0504154473486,2.35518051627937e-20,3.71852614094496e-18,ENSG00000083168
HMGB1,0.768393717206908,10.0771370954391,88.724330402825,4.31499822271706e-20,6.70468533367894e-18,ENSG00000189403
CFTR,-1.54443510531709,6.14335527637578,125.991581574714,7.42993229539733e-20,1.13643136311945e-17,ENSG00000001626
LCN2,1.39774412963543,9.66539989888282,86.8879254638111,9.99596241493195e-20,1.50539193968875e-17,ENSG00000148346
BNIP3,-1.1498714604364,7.01430239682973,86.3009196081061,1.30802975536267e-19,1.94004595079473e-17,ENSG00000176171
ASCL2,-1.35740619624287,6.22552120178823,88.4209482639747,1.48595547423935e-19,2.17104748318343e-17,ENSG00000183734
COX7A2,-0.590272047044123,8.56753130077324,85.5950287431343,1.80790069446004e-19,2.6025793967749e-17,ENSG00000112695
PARP1,0.853942284635825,8.21726484415429,84.7980135928552,2.60628052047848e-19,3.69751884274839e-17,ENSG00000143799
PCAT6,-1.34551718972544,6.30027604937103,83.231161422588,5.35485970567524e-19,7.48838880840785e-17,ENSG00000228288
PLK2,1.28110424590822,7.59367398315012,83.1287270259982,5.61324220690612e-19,7.73915886808507e-17,ENSG00000145632
CYC1,0.813841913968709,8.28959466250915,82.2508740973551,8.40830037838346e-19,1.14317850561105e-16,ENSG00000179091
COL9A3,1.73986132219371,6.635695524554,81.8495947627551,1.01156159760528e-18,1.35646253136412e-16,ENSG00000092758
LAMTOR5,-0.654658141029068,8.01835401287703,80.9446471739021,1.53529308032592e-18,2.03094377882574e-16,ENSG00000134248
OSTC,-0.713779194119415,7.72921397268733,80.6448544570832,1.7630469051564e-18,2.30112882061013e-16,ENSG00000198856
SH3GLB1,-0.700604263987552,7.78737102509523,80.2093886182889,2.15557112968802e-18,2.77643234059422e-16,ENSG00000097033
SOCS3,-1.41402710273115,6.84095190927188,79.6837599097737,2.74788585288603e-18,3.49338371609108e-16,ENSG00000184557
LAPTM4B,1.04820865654507,7.25327655791185,79.5910378699285,2.86817086087356e-18,3.59955443039631e-16,ENSG00000104341
NARS,0.924565149186765,7.39366749088799,79.406367538078,3.12369626625749e-18,3.87061553802463e-16,ENSG00000134440
ISG15,-1.43019454502138,6.99843719922704,78.964684385834,3.83133550213905e-18,4.68811790380489e-16,ENSG00000187608
PALLD,1.11710091890922,7.19322639964344,78.8194402725975,4.09753834631312e-18,4.95195097185915e-16,ENSG00000129116
ATP6V1G1,-0.607275470243232,8.28803223030046,78.2940418702504,5.22510996427228e-18,6.23763432198309e-16,ENSG00000136888
DCAF13,0.983935505285993,7.17233086324454,78.1240031959942,5.6529801190342e-18,6.66711113075009e-16,ENSG00000164934
ADAM9,-0.862159453885315,7.38912497647294,77.8335643151935,6.46665551156183e-18,7.53596319079509e-16,ENSG00000168615
RUVBL1,0.899558796620643,7.60274832174922,77.2993972838035,8.28222348481768e-18,9.53819831680945e-16,ENSG00000175792
PUF60,0.703255827465101,8.37324890813843,76.824496665496,1.0321693990771e-17,1.17487281948439e-15,ENSG00000179950
OST4,-0.505253750479809,9.36859822929874,76.2522952123527,1.34591852077296e-17,1.51439039078695e-15,ENSG00000228474
SLC25A6,-0.718686822752262,8.11302782739282,75.6957482947236,1.74266005242477e-17,1.93851127877114e-15,ENSG00000169100
PYGL,1.43732017252336,6.62653299502337,73.9073061008182,4.00201029992325e-17,4.40176166583694e-15,ENSG00000100504
TRPV6,-1.23373689243155,6.49485400349457,73.8585457437432,4.09386785315598e-17,4.45276360161599e-15,ENSG00000165125
PRDX5,-0.59126246394144,8.64556588093227,73.5970988305912,4.62369133344628e-17,4.9737708201215e-15,ENSG00000126432
TOMM7,-0.493668166217713,9.47792567688482,73.5319057245851,4.76618876200504e-17,5.07132845557254e-15,ENSG00000196683
MYADM,-0.953728917386286,7.00264486577114,73.3668560335294,5.14695164023046e-17,5.41758167808774e-15,ENSG00000179820
EFEMP1,1.65063227855989,6.46598977387063,73.3119236646126,5.28032800508656e-17,5.49884370657365e-15,ENSG00000115380
ANKRD37,-1.29913194106124,6.62253547076698,73.1241777606958,5.76289784553519e-17,5.93821126420463e-15,ENSG00000186352
NPW,1.80244013679185,6.48679636942481,72.7267409771139,6.9353814030831e-17,7.0719217244563e-15,ENSG00000183971
C8orf82,0.963434169921569,7.21413355470668,72.4347749562293,7.94660558672715e-17,8.01951774107959e-15,ENSG00000213563
RSPRY1,-1.22357395068693,6.21616886162755,81.0974904215543,1.06285401698201e-16,1.06166101757519e-14,ENSG00000159579
PPP1CB,-0.661468793776119,8.30935090831708,71.663522899855,1.13876833779768e-16,1.12600032916177e-14,ENSG00000213639
MRPS25,0.825183574110276,7.55047706204031,71.4670100689863,1.24816822724229e-16,1.22183187764747e-14,ENSG00000131368
PA2G4,0.841694385789577,7.62327696375523,71.0014686474356,1.55127732046738e-16,1.5035102663421e-14,ENSG00000170515
CAPS,1.30641345967512,7.30905676030387,70.72052064776,1.76886966446404e-16,1.69759462210182e-14,ENSG00000105519
KLK10,-1.25618697755674,6.41766284290745,70.6072872117724,1.86499453965514e-16,1.77246908239652e-14,ENSG00000129451
CMSS1,0.920990206449546,7.41707085018843,69.8839964405682,2.61550312032423e-16,2.46184231200518e-14,ENSG00000184220
GNG5,-0.516031267795779,8.79017512001426,69.5132941478241,3.11090398789182e-16,2.90025134642601e-14,ENSG00000174021
KLK7,-1.23690662802048,6.82744913511056,68.5412563353496,4.90443937076526e-16,4.52920349060577e-14,ENSG00000169035
HIST1H2AC,-1.24098716461452,6.64595722823264,68.4234541194653,5.18282063667235e-16,4.74155431891455e-14,ENSG00000180573
PYDC1,1.63453563434369,7.22572458584831,68.2867341198487,5.52583654296604e-16,5.00855684436061e-14,ENSG00000169900
GUCY1A1,1.57418370850873,6.45370784603255,68.2543081481591,5.6104754029998e-16,5.03861868990505e-14,ENSG00000164116
OLFM2,1.30267949437821,6.52298067318461,68.1179118991758,5.98097165985218e-16,5.32252105257209e-14,ENSG00000105088
LIPG,1.38282679881778,6.79727848004436,67.9781852472395,6.38597300502051e-16,5.63173781496809e-14,ENSG00000101670
UBA52,-0.355797933722498,10.3184779461369,66.8656910716818,1.07639733095441e-15,9.40790488635062e-14,ENSG00000221983
HNRNPD,0.693750779805796,8.05574394718626,66.8352116373926,1.09191671551373e-15,9.45909090987955e-14,ENSG00000138668
ATP5ME,0.657698471596725,8.15311838022725,66.6050283801168,1.21660093702377e-15,1.04467601513383e-13,ENSG00000169020
