gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
SEM1,-1.66169332502487,9.30634355470392,702.590877179299,3.61086690495244e-110,3.17034114254824e-106,ENSG00000127922
TOMM7,-1.61848666916423,9.49914361604778,672.904710809673,8.8715871814856e-107,3.89462677267218e-103,ENSG00000196683
TMSB10,-1.35893510761138,12.2756550585429,604.450334867788,1.10259350423938e-98,3.22692365574059e-95,ENSG00000034510
UBA52,-1.17940720882354,10.2447435586784,547.384944176967,1.28184357685558e-91,2.813646651198e-88,ENSG00000221983
OST4,-1.49750821479389,9.42989625073417,540.974596793856,8.33259470121389e-91,1.46320362953316e-87,ENSG00000228474
FAU,-1.19789234500159,10.1411392938951,504.516699604937,4.18952049052836e-86,6.13066498447316e-83,ENSG00000149806
SEC61G,-1.66310204089845,8.8756672249825,503.446436072968,5.78398218246459e-86,7.25476622314844e-83,ENSG00000132432
COX7C,-1.39613357370004,9.16369440432719,500.810519959045,1.28141942722219e-85,1.40635782137635e-82,ENSG00000127184
S100A1,-1.99738405063264,9.13323330328116,486.009419461569,1.15108294420219e-83,1.12294536112169e-80,ENSG00000160678
MT-ND4L,-1.7991614275217,9.20554689822287,453.586080543621,2.64865577456239e-79,2.32551977006578e-76,ENSG00000212907
PI3,3.46955718904005,7.90963574484381,449.667550292826,9.08033775808745e-79,7.24776050145525e-76,ENSG00000124102
GNAS,1.02922583976373,10.4207322717131,441.753904318941,1.10674257551947e-77,8.09766651088411e-75,ENSG00000087460
FKBP1A,1.44400915196615,8.67889562685487,440.346758460202,1.72939394189959e-77,1.16800606229834e-74,ENSG00000088832
COX6B1,-1.32173723081076,9.00472143144469,434.985943244003,9.51689152319371e-77,5.96845054097434e-74,ENSG00000126267
NDUFB2,-1.38577377574387,9.20480171481311,425.036659624238,2.30088790400497e-75,1.34678638647758e-72,ENSG00000090266
ATP5MPL,-1.38418378968212,8.69499511098005,423.940988585148,3.27308174101924e-75,1.79610360538431e-72,ENSG00000156411
CTSC,2.74840759285874,8.12282054881115,419.562236196162,1.34300960998581e-74,6.93624963275024e-72,ENSG00000109861
SERF2,-1.15285173480299,9.86300875249101,417.090199573101,2.98697102507146e-74,1.45697808889597e-71,ENSG00000140264
SAA2,2.82756026284341,8.35518650245795,416.34894820172,3.79724863477444e-74,1.7547285796484e-71,ENSG00000134339
UBL4A,2.16390065728699,7.266415963151,415.682765994295,4.71201761346476e-74,1.98609661634646e-71,ENSG00000102178
MT-ND3,-1.45716215516314,12.7717410150925,415.657769699883,4.75034498214984e-74,1.98609661634646e-71,ENSG00000198840
COX5B,-1.30733842717737,8.98011429330102,412.678434099535,1.249132932507e-73,4.98517597609611e-71,ENSG00000135940
HLA-B,2.80050748702766,7.32412449970668,412.056008419075,1.5291984439336e-73,5.83754884249435e-71,ENSG00000234745
HLA-A,1.61122198757945,8.80591645036119,408.706545575156,4.55037349950777e-73,1.66467830523659e-70,ENSG00000206503
B2M,1.7570012396962,8.98635948362878,400.36113926394,6.98196647823251e-72,2.45206662715526e-69,ENSG00000166710
S100P,-2.35980631150047,9.18834304494774,391.260887964695,1.40281892247296e-70,4.73721159204332e-68,ENSG00000163993
NDUFB4,-1.35241852741608,8.81933956151349,384.765463211167,1.21174236735706e-69,3.9404066612574e-67,ENSG00000065518
NDUFS5,-1.21488903620862,9.35728563091387,374.549694095089,3.69012037415292e-68,1.15711631732367e-65,ENSG00000168653
LCN2,1.96241522355942,9.46444259972152,368.685981944691,2.65897915170133e-67,8.05028860411645e-65,ENSG00000148346
ATP5MF,-1.30697258671638,9.17590375513052,361.720756890857,2.81422447806648e-66,8.23629697247457e-64,ENSG00000241468
CHI3L2,2.01763632118479,9.25395272113351,358.186437731458,9.37005438172149e-66,2.65384120875854e-63,ENSG00000064886
COX7A2,-1.33155063650334,8.53636233181536,348.218660954226,2.84463393472979e-64,7.80496435841485e-62,ENSG00000112695
S100A11,-1.05255515986691,11.4725760149208,345.761630440486,6.62934690710606e-64,1.76380805589064e-61,ENSG00000163191
NDUFA1,-1.61933674579768,8.02360973245694,345.158520600455,8.16188677693405e-64,2.1076872323965e-61,ENSG00000125356
ATP5MD,-1.38860557670023,8.57707647256297,329.258630889576,2.04651403788991e-61,5.13382664362097e-59,ENSG00000173915
SCCPDH,1.15688537162804,9.76968410028285,329.132928259991,2.13856853264424e-61,5.21573103239345e-59,ENSG00000143653
CAPS,2.11821557509607,7.51278261914849,323.374085203318,1.61412884551967e-60,3.83028412531425e-58,ENSG00000105519
FBXW5,1.52693426761588,8.04277747517793,317.356031285533,1.34993410100145e-59,3.11905826494547e-57,ENSG00000159069
PLA2G2A,3.00982481147405,8.36529010921165,317.074354713049,1.49146100429364e-59,3.35769938915337e-57,ENSG00000188257
TMA7,-1.26860753649418,8.63338213521832,313.734767448957,4.87356511190555e-59,1.06974754206327e-56,ENSG00000232112
HLA-C,1.93646319389797,7.7350332974954,309.955511243243,1.86954006942881e-58,4.00355166087438e-56,ENSG00000204525
CTSH,1.52736706090607,8.17994184776338,307.986906152914,3.77317078423414e-58,7.88772368704185e-56,ENSG00000103811
RAB11FIP1,-1.48235569534264,10.2561666234383,306.68836170679,6.0004662016417e-58,1.22521147093986e-55,ENSG00000156675
CD151,1.19289813504528,8.86902404983815,305.400483062214,9.51160057412755e-58,1.89799666001909e-55,ENSG00000177697
CTSZ,1.3512910158771,8.1646236082014,299.821835703525,7.0422909170375e-57,1.37402920559087e-54,ENSG00000101160
DPP7,1.50765735687762,7.82566540433639,289.49670372576,2.9458807820662e-55,5.62278984055244e-53,ENSG00000176978
TMSB4X,-1.10872127194368,11.2767175335287,289.175517434604,3.3106554235645e-55,6.18458608912688e-53,ENSG00000205542
MAP2K2,1.44763649808877,7.70480486230939,287.44378593624,6.21636156977866e-55,1.13707613713868e-52,ENSG00000126934
COX8A,-1.33213478835142,8.21203071095626,286.893657416449,7.59547858366724e-55,1.36098575437956e-52,ENSG00000176340
SPINT2,0.928226155627073,9.78326855255394,285.17810695586,1.41976653197574e-54,2.49311003014941e-52,ENSG00000167642
TXN,-1.17883119733456,9.18893992550625,283.592926045074,2.53300345949048e-54,4.3607392890836e-52,ENSG00000136810
ACTG1,1.04683549096841,11.1055158385296,281.029484955382,6.47189440117891e-54,1.09275447773752e-51,ENSG00000184009
VWA1,1.60206713386928,7.76067361657403,279.571255041599,1.10467473690642e-53,1.83000833774309e-51,ENSG00000179403
TMEM258,-1.28790335121614,8.3009242822211,278.456969360961,1.66299681092062e-53,2.70390962960798e-51,ENSG00000134825
EGFL7,1.72508643203353,7.3119342454542,278.061626960074,1.92295679496708e-53,3.06973830178381e-51,ENSG00000172889
CXCL5,2.35155286139695,8.69355664345886,275.113212201396,5.69071581330721e-53,8.9222294358638e-51,ENSG00000163735
CEBPB,1.34058124299931,8.70369821564432,273.714646063515,9.53130941640158e-53,1.46815608203519e-50,ENSG00000172216
CTSD,1.24677496072351,8.95738045097706,266.263876623777,1.50528892888835e-51,2.27869599924823e-49,ENSG00000117984
SNRPD2,-1.17637365532223,8.59825403442589,266.0596419948,1.62403480423232e-51,2.41678399680675e-49,ENSG00000125743
UBL5,-1.15938127616116,8.81708286025071,265.526081559694,1.98049945713276e-51,2.89813087227094e-49,ENSG00000198258
ELOB,-1.1467204348852,8.55343519641475,265.006054536503,2.40332211684433e-51,3.45920789932676e-49,ENSG00000103363
UQCRH,-1.01406764847667,9.60212302915489,264.668981318607,2.72462463687472e-51,3.85842005028388e-49,ENSG00000173660
SNRPG,-1.28462108355552,8.53258027511841,262.863763507026,5.33907766785498e-51,7.44080982916932e-49,ENSG00000143977
FKBP8,1.20961627484603,8.05506602474874,260.832614443264,1.13976825761744e-50,1.56361957841892e-48,ENSG00000105701
NDUFA4,-1.00966077332417,9.7653522510507,257.588285379438,3.83941157071689e-50,5.11451178776266e-48,ENSG00000189043
CD81,1.04125462121636,9.10349157544176,257.584668701343,3.84462161722478e-50,5.11451178776266e-48,ENSG00000110651
KCNK17,-2.27673409823106,7.23219130875696,256.212397000099,6.43377025971217e-50,8.43111983287654e-48,ENSG00000124780
SLC25A39,1.21725147496755,8.22510496948981,254.439211119917,1.25273911789069e-49,1.61750727280592e-47,ENSG00000013306
ATP5F1E,-0.903644268762226,9.59842440109456,249.88786144878,6.96667776405388e-49,8.86484503889754e-47,ENSG00000124172
S100A6,-1.53968343136483,11.8597747376069,249.485120677649,8.11200352307024e-49,1.01747701332224e-46,ENSG00000197956
SNRPE,-1.26776463567795,8.21925558380434,248.621585421095,1.12447984718446e-48,1.39055395187036e-46,ENSG00000182004
COX17,-1.34213878905929,8.02805685355784,245.841351751525,3.22407358202496e-48,3.93157861808043e-46,ENSG00000138495
GNG5,-1.00961219200918,8.85531877938022,245.265220971803,4.01199874117313e-48,4.82539026678083e-46,ENSG00000174021
ATP5MG,-1.12574021905009,8.63087077135553,245.101439098326,4.26938017336271e-48,5.06556188136819e-46,ENSG00000167283
SMIM26,-1.46974870105591,7.86173570232907,239.8633011393,3.13606427239428e-47,3.67128590821624e-45,ENSG00000232388
BCAP31,1.31882734531088,8.04655435365877,236.034843322554,1.35601501272138e-46,1.56655418574917e-44,ENSG00000185825
SAA1,2.18921702765748,8.8412770052465,234.216813796675,2.72330936712407e-46,3.10528003160381e-44,ENSG00000173432
FXYD3,-1.22281740259619,9.29218297774367,233.653712000574,3.38071147816273e-46,3.80546753567549e-44,ENSG00000089356
BIRC3,2.14752552385036,7.58198974947961,233.454227990749,3.6499757360617e-46,4.05655531172427e-44,ENSG00000023445
COX6A1,-1.08147457870683,8.59117258511836,233.329234306767,3.8295466202693e-46,4.20292741574556e-44,ENSG00000111775
TUBB4B,1.14175695394976,9.12787016379292,229.965810517077,1.39764961084685e-45,1.51498315842412e-43,ENSG00000188229
LAMP2,1.38097150499239,7.94023735611624,228.429271386484,2.52873274407772e-45,2.70759432841492e-43,ENSG00000005893
ISYNA1,1.29805251531871,7.91569447048359,228.070286348089,2.90484536706013e-45,3.07283642443228e-43,ENSG00000105655
ERI3,1.31222163781114,7.57943057824643,223.926279398706,1.44511135741304e-44,1.51048544262934e-42,ENSG00000117419
ATP5PF,-1.03505051698636,8.63325230640037,223.869493688426,1.47730467815913e-44,1.52596883226319e-42,ENSG00000154723
EFEMP1,1.81241100222219,6.94868460323821,223.441344229832,1.74435203239956e-44,1.78086172610095e-42,ENSG00000115380
IL34,1.84457484898525,6.99860952429701,221.682420520365,3.45489400769699e-44,3.47344882584691e-42,ENSG00000157368
FTH1,1.04996799544846,12.1491329127768,221.662796957131,3.48136100996045e-44,3.47344882584691e-42,ENSG00000167996
DBI,-1.20255553903714,8.79564268559028,221.510131142488,3.69433220419265e-44,3.64452098346196e-42,ENSG00000155368
TMEM256,-1.53210638986091,7.53342084045765,220.875768920145,4.72857498955421e-44,4.61298760092066e-42,ENSG00000205544
AGPAT2,1.14031033555921,7.96165761982454,218.186825903594,1.34863002645073e-43,1.30120567387224e-41,ENSG00000169692
TYMP,1.29646910175854,8.07054470358937,217.876547470047,1.52228616023352e-43,1.45279048770112e-41,ENSG00000025708
TMEM230,1.23035741342518,7.88934503063291,217.3119978515,1.89780524485592e-43,1.79169140320806e-41,ENSG00000089063
TRMT112,-1.18362223822309,8.22818573493573,216.611134405861,2.49577925035786e-43,2.33116402320659e-41,ENSG00000173113
