gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
ODAM,-5.03906066420421,7.58721848348934,422.650449150735,6.45963664735745e-67,5.71613246924661e-63,ENSG00000109205
EEF1A2,2.67995121792579,6.76463670831273,215.568670136057,3.1210720465013e-40,1.3809183269745e-36,ENSG00000101210
RBP7,-2.22675444174433,6.52182666148514,195.357826170104,3.41322213404381e-37,1.00678675547179e-33,ENSG00000162444
UCHL1,2.08455725216213,7.48753147266039,178.51181571405,1.38145082878554e-34,3.05611459598082e-31,ENSG00000154277
CREG1,-1.6021531443635,7.34494568493248,170.595096533142,2.45499304440426e-33,4.34484668998666e-30,ENSG00000143162
TMEM59,-1.12896490579033,8.15587224168589,153.179704033236,1.573997122106e-30,2.32138342225266e-27,ENSG00000116209
PDK4,-2.51438957862869,6.2219396245605,148.537883210177,9.10015671495192e-30,1.15038981100871e-26,ENSG00000004799
KLK11,-2.05726793637879,6.23153841210224,142.875509452999,7.88534298360901e-29,8.72217500774451e-26,ENSG00000167757
KLK5,-1.97564916717348,7.35828675117918,138.944251441488,3.57500975135453e-28,3.51502903219292e-25,ENSG00000167754
MUC15,-1.71566917733643,6.71885917497679,137.72746432945,5.7196201484194e-28,5.06129186933633e-25,ENSG00000169550
C4orf3,-1.39608980977094,8.01700445993236,134.198679382983,2.24747210519463e-27,1.80798915080611e-24,ENSG00000164096
NDUFA13,1.0700165844946,8.18601905886985,133.397138464045,3.07045772568652e-27,2.26420670121666e-24,ENSG00000186010
PNPLA4,-2.06845954034543,6.45027530082439,127.844335340276,2.69913981317402e-26,1.83728370821361e-23,ENSG00000006757
ARSD,-1.98427744689704,6.5249332743452,126.37024526254,4.82384941332131e-26,3.04901738989145e-23,ENSG00000006756
TMSB4X,-0.898986849199397,11.4951901080524,124.700782762991,9.32789833903327e-26,5.50283816014036e-23,ENSG00000205542
XIST,2.23145177253092,7.32471486427777,121.762665855612,2.99148571300838e-25,1.6544785671507e-22,ENSG00000229807
MESP1,-1.51455708074883,7.20816731541891,116.661297027229,2.29617065678901e-24,1.19522436128976e-21,ENSG00000166823
CD99,-1.32672978677837,7.94037292744866,112.972259992481,1.01438678720977e-23,4.98683815556626e-21,ENSG00000002586
