gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
NDUFA13,-1.14271433416603,7.9072395741327,354.068998239743,1.17501879175609e-65,1.23576726328988e-61,ENSG00000186010
NDUFA7,-1.50077831671288,6.44980751698433,248.224237616928,6.72258431022084e-49,3.53507095952963e-45,ENSG00000267855
PFN1,-0.789778563670114,9.03377135935609,218.228606002465,7.76617556724832e-44,2.72256228135835e-40,ENSG00000108518
PSMA2,-0.950540670046092,7.40602141289917,180.828241054338,2.63507779770982e-37,6.92827829962853e-34,ENSG00000106588
UQCR11,-0.822343377035653,7.88018468423602,176.762177099463,1.4000982255167e-36,2.94496660755183e-33,ENSG00000127540
ARF5,0.931890019313369,7.79338068576953,174.278062131614,3.89804430038131e-36,6.83262198451838e-33,ENSG00000004059
MIF,0.84332974180845,8.34218940012349,158.790799914752,2.45464291348087e-33,3.68792564586833e-30,ENSG00000240972
HNRNPA1P48,-1.42095324537059,6.00873227958823,167.058858679893,5.4022439943173e-33,7.10192501102938e-30,ENSG00000224578
PPDPF,-0.67350683991896,8.57129796795719,146.007346901727,5.4455975339331e-31,6.36348325159716e-28,ENSG00000125534
MT-ATP8,1.04184879340109,7.67528876360924,144.288033534708,1.13265765901349e-30,1.19121605998449e-27,ENSG00000228253
MIA,-1.31613143617254,6.70745834423833,126.779352868418,2.12822648112321e-27,2.03477799108844e-24,ENSG00000261857
NDUFA11,-0.633391936776826,8.10869295611436,123.424589484973,9.17817201055896e-27,8.04390291958738e-24,ENSG00000174886
GABARAP,-1.28812522155927,6.18302307522191,122.312606675991,1.49172296231045e-26,1.20680387650915e-23,ENSG00000170296
POLR2L,-0.70737098652317,8.17393164842313,119.465450048678,5.18797618774542e-26,3.8972818261799e-23,ENSG00000177700
LRRC26,-1.3482902832406,5.94384421668793,119.308628279204,5.0306793356479e-25,3.52717697153393e-22,ENSG00000184709
EIF5AL1,-1.40009611156311,5.92760066244096,146.723631395095,7.01375593216401e-25,4.61022944616056e-22,ENSG00000253626
GAPDH,-0.604898717931542,11.1461594460964,109.807133013994,3.66999527204048e-24,2.2704317809441e-21,ENSG00000111640
UQCRQ,-0.600122285425139,7.9853651870937,108.1221146741,7.75384943062382e-24,4.53040191454837e-21,ENSG00000164405
CSNK2B,-0.707344968863593,7.51995109912769,106.959672528684,1.30017200738097e-23,7.19679421138191e-21,ENSG00000204435
FAU,-0.407491339776982,10.3252292883412,98.1377392925507,6.72728987844907e-22,3.53754538258244e-19,ENSG00000149806
COX6B1,-0.457315076546869,9.05849945150547,93.1209855585198,6.46605575682521e-21,3.23826230450147e-18,ENSG00000126267
