gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CXCL17,-2.6725965158835,6.86589545929449,133.039213887581,9.11796639008076e-26,6.22483565450813e-22,ENSG00000189377
C19orf33,-2.12033934921861,7.11170566381382,126.176685384091,1.02804122190672e-24,3.50921871097859e-21,ENSG00000167644
PSCA,-1.99594213990234,7.46091915650722,116.759920151919,3.04884945120749e-23,6.93816506779784e-20,ENSG00000167653
C3,-1.91769737589441,7.6299007290057,104.641907769183,2.68753570144974e-21,4.58695155844934e-18,ENSG00000125730
TOMM7,-1.00213190260364,8.99929635662978,98.08079817374,3.21849345865594e-20,4.39453096844882e-17,ENSG00000196683
SMIM22,-1.35140782001542,7.51182927332757,86.4265927777431,2.94441262116835e-18,3.35025082745273e-15,ENSG00000267795
SOX4,-1.16530518622374,9.78237653042031,84.457668949097,6.40336555392793e-18,6.24511094809514e-15,ENSG00000124766
PLA2G2A,-2.62274661054661,7.47867332156056,83.641618117325,8.8466879228468e-18,7.54954230615939e-15,ENSG00000188257
SSB,1.10785023822572,9.1721008490131,82.5755391306245,1.35092515944475e-17,1.02475178483659e-14,ENSG00000138385
ELOB,-0.997797536074149,8.41167026790239,80.4412711693373,3.1645294136802e-17,2.16042423071947e-14,ENSG00000103363
DST,2.47545221134798,6.99299174521239,79.8959423255168,3.93653113184624e-17,2.44315436701039e-14,ENSG00000151914
NDUFA3,-1.26554872973648,7.37066854921788,73.7290730442497,4.75619615119054e-16,2.70587926034815e-13,ENSG00000170906
SPNS2,-1.83203721084352,6.69006619861993,72.0629265620384,9.39416525006324e-16,4.93338201247552e-13,ENSG00000183018
ATP5ME,-0.978480640894674,8.31996721501944,69.3280825451367,2.89140346892591e-15,1.4099722487398e-12,ENSG00000169020
BPIFB1,-1.88267052749595,6.63323781695096,67.3474359269901,6.56319726839811e-15,2.98712985009026e-12,ENSG00000125999
HMGN3,1.38813225948736,8.37876300832095,66.3521954457459,9.92602293742207e-15,4.23530991211128e-12,ENSG00000118418
TMEM258,-0.936399021349872,8.05378808024258,65.5614752010082,1.38002564284774e-14,5.54202062571856e-12,ENSG00000134825
CALB2,2.06365312795128,7.45962876491999,63.7679927558374,2.92226598947947e-14,1.10835055056535e-11,ENSG00000172137
RFLNB,2.05065216844933,7.20361141369431,63.5160115855942,3.24815397541559e-14,1.16711301000854e-11,ENSG00000183688
