gene_symbol,logFC,logCPM,F,PValue,FDR,ensembl_gene_id
CXADR,2.37055610405654,7.54768411127723,470.630438144408,4.85981006859523e-81,4.6513242166525e-77,ENSG00000154639
C19orf33,3.10280863760111,6.65598746234418,449.554704151979,3.21656875307959e-78,1.53928897678624e-74,ENSG00000167644
MT-ND6,2.67094843993137,7.0512820043425,396.776146688494,6.29446829563725e-71,2.00814520191814e-67,ENSG00000198695
BTG3,2.09237554982465,7.51533441676254,327.754466573234,7.4030586356596e-61,1.77136685504745e-57,ENSG00000154640
TACC1,2.74959917175142,6.58694734339058,310.401750029114,3.19952111219435e-58,6.12452331296242e-55,ENSG00000147526
ALDH1A3,2.12196019145152,8.01849869743291,253.774379044485,2.65919560476965e-49,4.24186018887505e-46,ENSG00000184254
USP25,2.20192132298088,6.5515520777118,225.780727277172,1.06529370207082e-44,1.45656086035998e-41,ENSG00000155313
ANKRD36C,2.66861568695705,7.04104258334453,199.161545469304,3.40947838648857e-40,4.07901470463526e-37,ENSG00000174501
CHODL,2.22113286910495,6.37750812949042,222.173526651559,3.47236850866145e-37,3.69267099959986e-34,ENSG00000154645
C21orf91,2.05792946503825,6.38643091843977,199.229404184835,1.42891360337808e-36,1.36761320979316e-33,ENSG00000154642
PIGR,2.55235910957081,7.81822845282873,171.548634549253,2.22368971960249e-35,1.93481220966504e-32,ENSG00000162896
NRIP1,1.7999701362667,6.46991097679344,143.084680864266,2.95562251671669e-30,2.35735525895796e-27,ENSG00000180530
ATP5ME,1.04599442041173,8.1182547306212,133.027806901687,2.10021127855349e-28,1.54624016515657e-25,ENSG00000169020
MDH2,-1.20744617903942,8.88495000661048,131.306090820014,4.38029119700471e-28,2.99455478903801e-25,ENSG00000146701
HSPA13,1.74303157550485,6.54110745294177,130.113251448717,7.29573550407353e-28,4.53683271854362e-25,ENSG00000155304
NMB,1.89939546436272,7.4169901376613,130.022626703002,7.58429876676397e-28,4.53683271854362e-25,ENSG00000197696
GPRC5A,1.69650487207584,7.75821164900778,121.525486694297,2.93601138837512e-26,1.65297441165519e-23,ENSG00000013588
VIM,-2.36843147100003,10.1943400429285,116.513073662498,2.58360976326777e-25,1.37376272467977e-22,ENSG00000026025
